,URI US Equity
,BEST_EPS
2020-05-12,43.44
2020-05-13,43.44
2020-05-14,43.44
2020-05-15,43.44
2020-05-16,43.44
2020-05-17,43.44
2020-05-18,43.44
2020-05-19,43.44
2020-05-20,43.44
2020-05-21,43.44
2020-05-22,43.44
2020-05-23,43.44
2020-05-24,43.44
2020-05-25,43.44
2020-05-26,43.44
2020-05-27,43.44
2020-05-28,43.44
2020-05-29,43.44
2020-05-30,43.44
2020-05-31,43.44
2020-06-01,43.44
2020-06-02,43.44
2020-06-03,43.44
2020-06-04,43.44
2020-06-05,43.44
2020-06-06,43.44
2020-06-07,43.44
2020-06-08,43.44
2020-06-09,43.44
2020-06-10,43.44
2020-06-11,43.44
2020-06-12,43.44
2020-06-13,43.44
2020-06-14,43.44
2020-06-15,43.44
2020-06-16,43.44
2020-06-17,43.44
2020-06-18,43.44
2020-06-19,43.44
2020-06-20,43.44
2020-06-21,43.44
2020-06-22,43.44
2020-06-23,43.44
2020-06-24,43.44
2020-06-25,43.44
2020-06-26,43.44
2020-06-27,43.44
2020-06-28,43.44
2020-06-29,43.44
2020-06-30,43.44
2020-07-01,43.44
2020-07-02,43.44
2020-07-03,43.44
2020-07-04,43.44
2020-07-05,43.44
2020-07-06,43.44
2020-07-07,43.44
2020-07-08,43.44
2020-07-09,43.44
2020-07-10,43.44
2020-07-11,43.44
2020-07-12,43.44
2020-07-13,43.44
2020-07-14,34.23
2020-07-15,34.23
2020-07-16,34.23
2020-07-17,34.23
2020-07-18,34.23
2020-07-19,34.23
2020-07-20,34.23
2020-07-21,34.23
2020-07-22,34.23
2020-07-23,34.23
2020-07-24,34.23
2020-07-25,34.23
2020-07-26,34.23
2020-07-27,34.23
2020-07-28,34.23
2020-07-29,34.23
2020-07-30,34.23
2020-07-31,35.88
2020-08-01,35.88
2020-08-02,35.88
2020-08-03,35.88
2020-08-04,35.88
2020-08-05,35.88
2020-08-06,35.88
2020-08-07,35.88
2020-08-08,35.88
2020-08-09,35.88
2020-08-10,35.88
2020-08-11,35.88
2020-08-12,35.88
2020-08-13,35.88
2020-08-14,35.88
2020-08-15,35.88
2020-08-16,35.88
2020-08-17,35.88
2020-08-18,35.88
2020-08-19,35.88
2020-08-20,35.88
2020-08-21,35.88
2020-08-22,35.88
2020-08-23,35.88
2020-08-24,35.88
2020-08-25,35.88
2020-08-26,35.88
2020-08-27,35.88
2020-08-28,35.88
2020-08-29,35.88
2020-08-30,35.88
2020-08-31,35.88
2020-09-01,35.88
2020-09-02,35.88
2020-09-03,35.88
2020-09-04,35.88
2020-09-05,35.88
2020-09-06,35.88
2020-09-07,35.88
2020-09-08,35.88
2020-09-09,35.88
2020-09-10,35.88
2020-09-11,35.88
2020-09-12,35.88
2020-09-13,35.88
2020-09-14,35.88
2020-09-15,35.88
2020-09-16,35.88
2020-09-17,35.88
2020-09-18,35.88
2020-09-19,35.88
2020-09-20,35.88
2020-09-21,35.88
2020-09-22,30.67
2020-09-23,30.67
2020-09-24,30.67
2020-09-25,30.67
2020-09-26,30.67
2020-09-27,30.67
2020-09-28,30.67
2020-09-29,30.67
2020-09-30,30.67
2020-10-01,30.67
2020-10-02,30.67
2020-10-03,30.67
2020-10-04,30.67
2020-10-05,30.67
2020-10-06,30.67
2020-10-07,30.67
2020-10-08,30.67
2020-10-09,30.67
2020-10-10,30.67
2020-10-11,30.67
2020-10-12,29.673
2020-10-13,28.638
2020-10-14,28.638
2020-10-15,28.638
2020-10-16,28.638
2020-10-17,28.638
2020-10-18,28.638
2020-10-19,28.638
2020-10-20,28.638
2020-10-21,28.638
2020-10-22,28.638
2020-10-23,28.638
2020-10-24,28.638
2020-10-25,28.638
2020-10-26,28.638
2020-10-27,28.638
2020-10-28,28.638
2020-10-29,28.638
2020-10-30,27.168
2020-10-31,27.168
2020-11-01,27.168
2020-11-02,27.168
2020-11-03,27.168
2020-11-04,27.168
2020-11-05,27.168
2020-11-06,27.168
2020-11-07,27.168
2020-11-08,27.168
2020-11-09,27.168
2020-11-10,27.168
2020-11-11,27.168
2020-11-12,28.4
2020-11-13,28.4
2020-11-14,28.4
2020-11-15,28.4
2020-11-16,28.4
2020-11-17,28.4
2020-11-18,28.4
2020-11-19,28.4
2020-11-20,28.4
2020-11-21,28.4
2020-11-22,28.4
2020-11-23,28.4
2020-11-24,28.4
2020-11-25,28.4
2020-11-26,28.4
2020-11-27,28.4
2020-11-28,28.4
2020-11-29,28.4
2020-11-30,28.4
2020-12-01,28.4
2020-12-02,28.4
2020-12-03,28.4
2020-12-04,28.4
2020-12-05,28.4
2020-12-06,28.4
2020-12-07,28.4
2020-12-08,28.4
2020-12-09,28.4
2020-12-10,28.4
2020-12-11,28.4
2020-12-12,28.4
2020-12-13,28.4
2020-12-14,29.563
2020-12-15,29.563
2020-12-16,29.563
2020-12-17,29.563
2020-12-18,32.49
2020-12-19,32.49
2020-12-20,32.49
2020-12-21,32.49
2020-12-22,32.49
2020-12-23,32.49
2020-12-24,32.49
2020-12-25,32.49
2020-12-26,32.49
2020-12-27,32.49
2020-12-28,32.49
2020-12-29,32.49
2020-12-30,32.49
2020-12-31,32.49
2021-01-01,32.49
2021-01-02,32.49
2021-01-03,32.49
2021-01-04,32.49
2021-01-05,32.49
2021-01-06,32.49
2021-01-07,32.49
2021-01-08,32.49
2021-01-09,32.49
2021-01-10,32.49
2021-01-11,32.49
2021-01-12,32.48
2021-01-13,32.48
2021-01-14,32.48
2021-01-15,32.48
2021-01-16,32.48
2021-01-17,32.48
2021-01-18,32.48
2021-01-19,32.48
2021-01-20,32.48
2021-01-21,32.48
2021-01-22,32.48
2021-01-23,32.48
2021-01-24,32.48
2021-01-25,32.48
2021-01-26,32.48
2021-01-27,32.48
2021-01-28,34.827
2021-01-29,34.827
2021-01-30,34.827
2021-01-31,34.827
2021-02-01,34.827
2021-02-02,34.827
2021-02-03,34.827
2021-02-04,34.827
2021-02-05,34.827
2021-02-06,34.827
2021-02-07,34.827
2021-02-08,34.827
2021-02-09,34.827
