,TSLA US Equity
,BEST_EPS
2020-01-01,3.013
2020-01-02,3.013
2020-01-03,3.013
2020-01-04,3.013
2020-01-05,3.013
2020-01-06,2.295
2020-01-07,2.295
2020-01-08,2.295
2020-01-09,2.295
2020-01-10,2.295
2020-01-11,2.295
2020-01-12,2.295
2020-01-13,2.218
2020-01-14,2.276
2020-01-15,2.276
2020-01-16,2.276
2020-01-17,2.276
2020-01-18,2.276
2020-01-19,2.276
2020-01-20,2.276
2020-01-21,2.276
2020-01-22,2.276
2020-01-23,2.276
2020-01-24,2.276
2020-01-25,2.276
2020-01-26,2.276
2020-01-27,2.276
2020-01-28,2.276
2020-01-29,2.557
2020-01-30,2.516
2020-01-31,2.516
2020-02-01,2.516
2020-02-02,2.516
2020-02-03,2.516
2020-02-04,2.516
2020-02-05,2.516
2020-02-06,2.516
2020-02-07,2.516
2020-02-08,2.516
2020-02-09,2.516
2020-02-10,2.514
2020-02-11,2.514
2020-02-12,2.514
2020-02-13,2.514
2020-02-14,2.514
2020-02-15,2.514
2020-02-16,2.514
2020-02-17,2.514
2020-02-18,2.514
2020-02-19,2.514
2020-02-20,2.514
2020-02-21,2.514
2020-02-22,2.514
2020-02-23,2.514
2020-02-24,2.514
2020-02-25,2.499
2020-02-26,2.499
2020-02-27,2.499
2020-02-28,2.499
2020-02-29,2.499
2020-03-01,2.499
2020-03-02,2.499
2020-03-03,2.499
2020-03-04,2.499
2020-03-05,2.499
2020-03-06,2.499
2020-03-07,2.499
2020-03-08,2.499
2020-03-09,2.499
2020-03-10,2.499
2020-03-11,2.499
2020-03-12,2.499
2020-03-13,2.499
2020-03-14,2.499
2020-03-15,2.499
2020-03-16,2.499
2020-03-17,2.499
2020-03-18,2.499
2020-03-19,2.386
2020-03-20,2.386
2020-03-21,2.386
2020-03-22,2.386
2020-03-23,2.386
2020-03-24,2.386
2020-03-25,2.386
2020-03-26,2.386
2020-03-27,2.349
2020-03-28,2.349
2020-03-29,2.349
2020-03-30,2.33
2020-03-31,2.33
2020-04-01,2.316
2020-04-02,2.294
2020-04-03,2.307
2020-04-04,2.307
2020-04-05,2.307
2020-04-06,2.307
2020-04-07,2.307
2020-04-08,2.307
2020-04-09,2.307
2020-04-10,2.307
2020-04-11,2.307
2020-04-12,2.307
2020-04-13,2.307
2020-04-14,2.307
2020-04-15,2.3
2020-04-16,2.3
2020-04-17,2.3
2020-04-18,2.3
2020-04-19,2.3
2020-04-20,2.3
2020-04-21,2.3
2020-04-22,2.3
2020-04-23,2.3
2020-04-24,2.405
2020-04-25,2.405
2020-04-26,2.405
2020-04-27,2.405
2020-04-28,2.405
2020-04-29,2.48
2020-04-30,2.73
2020-05-01,2.73
2020-05-02,2.73
2020-05-03,2.73
2020-05-04,2.73
2020-05-05,2.73
2020-05-06,2.73
2020-05-07,2.73
2020-05-08,2.73
2020-05-09,2.73
2020-05-10,2.73
2020-05-11,2.73
2020-05-12,2.73
2020-05-13,2.73
2020-05-14,2.73
2020-05-15,2.73
2020-05-16,2.73
2020-05-17,2.73
2020-05-18,2.73
2020-05-19,2.73
