,2061517D US Equity
,BEST_EPS
2020-01-01,4.35
2020-01-02,4.35
2020-01-03,4.35
2020-01-04,4.35
2020-01-05,4.35
2020-01-06,4.35
2020-01-07,4.35
2020-01-08,4.35
2020-01-09,4.35
2020-01-10,4.35
2020-01-11,4.35
2020-01-12,4.35
2020-01-13,4.35
2020-01-14,4.35
2020-01-15,4.35
2020-01-16,4.35
2020-01-17,4.35
2020-01-18,4.35
2020-01-19,4.35
2020-01-20,4.35
2020-01-21,4.35
2020-01-22,4.35
2020-01-23,4.35
2020-01-24,4.35
2020-01-25,4.35
2020-01-26,4.35
2020-01-27,4.35
2020-01-28,4.35
2020-01-29,4.28
2020-01-30,4.328
2020-01-31,4.328
2020-02-01,4.328
2020-02-02,4.328
2020-02-03,4.328
2020-02-04,4.328
2020-02-05,4.328
2020-02-06,4.328
2020-02-07,4.328
2020-02-08,4.328
2020-02-09,4.328
2020-02-10,4.328
2020-02-11,4.328
2020-02-12,4.328
2020-02-13,4.328
2020-02-14,4.328
2020-02-15,4.328
2020-02-16,4.328
2020-02-17,4.328
2020-02-18,4.328
2020-02-19,4.328
2020-02-20,4.328
2020-02-21,4.328
2020-02-22,4.328
2020-02-23,4.328
2020-02-24,4.328
2020-02-25,4.328
2020-02-26,4.328
2020-02-27,4.328
2020-02-28,4.328
2020-02-29,4.328
2020-03-01,4.328
2020-03-02,4.328
2020-03-03,4.328
2020-03-04,4.328
2020-03-05,4.328
2020-03-06,4.328
2020-03-07,4.328
2020-03-08,4.328
2020-03-09,4.328
2020-03-10,4.328
2020-03-11,4.328
2020-03-12,4.328
2020-03-13,4.328
2020-03-14,4.328
2020-03-15,4.328
2020-03-16,4.288
2020-03-17,4.288
2020-03-18,4.288
2020-03-19,4.288
2020-03-20,4.288
2020-03-21,4.288
2020-03-22,4.288
2020-03-23,4.288
2020-03-24,4.288
2020-03-25,4.288
2020-03-26,4.288
2020-03-27,4.288
2020-03-28,4.288
2020-03-29,4.288
2020-03-30,4.288
2020-03-31,4.288
2020-04-01,4.288
2020-04-02,4.288
2020-04-03,4.288
2020-04-04,4.288
2020-04-05,4.288
2020-04-06,4.288
2020-04-07,4.288
2020-04-08,4.288
2020-04-09,4.288
2020-04-10,4.288
2020-04-11,4.288
2020-04-12,4.288
2020-04-13,4.288
2020-04-14,4.288
2020-04-15,4.288
2020-04-16,4.288
2020-04-17,4.288
2020-04-18,4.288
2020-04-19,4.288
2020-04-20,4.288
2020-04-21,4.288
2020-04-22,4.288
2020-04-23,4.288
2020-04-24,4.203
2020-04-25,4.203
2020-04-26,4.203
2020-04-27,4.203
2020-04-28,4.203
2020-04-29,4.203
2020-04-30,4.203
2020-05-01,4.203
2020-05-02,4.203
2020-05-03,4.203
2020-05-04,4.203
2020-05-05,4.203
2020-05-06,4.203
2020-05-07,3.783
2020-05-08,3.783
2020-05-09,3.783
2020-05-10,3.783
2020-05-11,3.783
2020-05-12,3.783
2020-05-13,3.783
2020-05-14,3.783
2020-05-15,3.783
2020-05-16,3.783
2020-05-17,3.783
2020-05-18,3.783
2020-05-19,3.783
2020-05-20,3.783
2020-05-21,3.783
2020-05-22,3.783
2020-05-23,3.783
2020-05-24,3.783
2020-05-25,3.783
2020-05-26,3.783
2020-05-27,3.783
2020-05-28,3.783
2020-05-29,3.783
2020-05-30,3.783
