,MOH US Equity
,BEST_EPS
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,18.2
2020-01-11,18.2
2020-01-12,18.2
2020-01-13,18.2
2020-01-14,18.2
2020-01-15,18.2
2020-01-16,18.2
2020-01-17,18.2
2020-01-18,18.2
2020-01-19,18.2
2020-01-20,18.2
2020-01-21,18.2
2020-01-22,18.2
2020-01-23,18.2
2020-01-24,18.2
2020-01-25,18.2
2020-01-26,18.2
2020-01-27,18.2
2020-01-28,18.2
2020-01-29,18.2
2020-01-30,18.2
2020-01-31,18.2
2020-02-01,18.2
2020-02-02,18.2
2020-02-03,18.2
2020-02-04,18.2
2020-02-05,18.2
2020-02-06,18.2
2020-02-07,18.2
2020-02-08,18.2
2020-02-09,18.2
2020-02-10,18.2
2020-02-11,16.97
2020-02-12,16.97
2020-02-13,16.97
2020-02-14,16.97
2020-02-15,16.97
2020-02-16,16.97
2020-02-17,16.97
2020-02-18,16.97
2020-02-19,16.97
2020-02-20,16.97
2020-02-21,16.97
2020-02-22,16.97
2020-02-23,16.97
2020-02-24,16.97
2020-02-25,16.97
2020-02-26,16.97
2020-02-27,16.97
2020-02-28,16.97
2020-02-29,16.97
2020-03-01,16.97
2020-03-02,16.97
2020-03-03,16.97
2020-03-04,16.97
2020-03-05,16.97
2020-03-06,16.97
2020-03-07,16.97
2020-03-08,16.97
2020-03-09,16.97
2020-03-10,16.97
2020-03-11,16.97
2020-03-12,16.97
2020-03-13,16.97
2020-03-14,16.97
2020-03-15,16.97
2020-03-16,16.97
2020-03-17,16.97
2020-03-18,16.97
2020-03-19,16.97
2020-03-20,16.97
2020-03-21,16.97
2020-03-22,16.97
2020-03-23,16.97
2020-03-24,16.97
2020-03-25,16.97
2020-03-26,16.97
2020-03-27,16.97
2020-03-28,16.97
2020-03-29,16.97
2020-03-30,16.97
2020-03-31,16.97
2020-04-01,16.97
2020-04-02,16.97
2020-04-03,16.97
2020-04-04,16.97
2020-04-05,16.97
2020-04-06,16.97
2020-04-07,16.97
2020-04-08,16.97
2020-04-09,16.97
2020-04-10,16.97
2020-04-11,16.97
2020-04-12,16.97
2020-04-13,16.97
2020-04-14,16.97
2020-04-15,16.97
2020-04-16,16.97
2020-04-17,16.97
2020-04-18,16.97
2020-04-19,16.97
2020-04-20,16.97
2020-04-21,16.97
2020-04-22,16.97
2020-04-23,16.97
2020-04-24,16.97
2020-04-25,16.97
2020-04-26,16.97
2020-04-27,16.97
2020-04-28,16.97
2020-04-29,16.97
2020-04-30,16.97
2020-05-01,16.97
2020-05-02,16.97
2020-05-03,16.97
2020-05-04,21.17
2020-05-05,21.17
2020-05-06,21.17
2020-05-07,21.17
2020-05-08,21.17
2020-05-09,21.17
2020-05-10,21.17
2020-05-11,21.17
2020-05-12,21.17
2020-05-13,21.17
2020-05-14,21.17
2020-05-15,21.17
2020-05-16,21.17
2020-05-17,21.17
2020-05-18,21.17
2020-05-19,21.17
2020-05-20,21.17
2020-05-21,21.17
2020-05-22,21.17
2020-05-23,21.17
2020-05-24,21.17
2020-05-25,21.17
2020-05-26,21.17
2020-05-27,21.17
2020-05-28,21.17
2020-05-29,21.17
2020-05-30,21.17
2020-05-31,21.17
2020-06-01,21.17
2020-06-02,21.17
2020-06-03,21.17
2020-06-04,21.17
2020-06-05,21.17
2020-06-06,21.17
2020-06-07,21.17
2020-06-08,21.17
2020-06-09,21.17
2020-06-10,21.17
2020-06-11,21.17
2020-06-12,21.17
2020-06-13,21.17
2020-06-14,21.17
2020-06-15,21.17
2020-06-16,20.61
2020-06-17,20.61
2020-06-18,20.61
2020-06-19,20.61
2020-06-20,20.61
2020-06-21,20.61
2020-06-22,20.61
2020-06-23,20.61
2020-06-24,20.61
2020-06-25,20.61
2020-06-26,20.61
2020-06-27,20.61
2020-06-28,20.61
2020-06-29,20.61
2020-06-30,20.61
2020-07-01,20.61
2020-07-02,20.61
2020-07-03,20.61
2020-07-04,20.61
2020-07-05,20.61
2020-07-06,20.61
2020-07-07,20.61
2020-07-08,20.61
2020-07-09,20.61
2020-07-10,20.61
2020-07-11,20.61
2020-07-12,20.61
2020-07-13,20.61
2020-07-14,20.61
2020-07-15,20.61
2020-07-16,20.61
2020-07-17,20.61
2020-07-18,20.61
2020-07-19,20.61
2020-07-20,20.61
2020-07-21,20.61
2020-07-22,20.61
2020-07-23,20.61
2020-07-24,20.61
2020-07-25,20.61
2020-07-26,20.61
2020-07-27,20.61
2020-07-28,20.61
2020-07-29,20.61
2020-07-30,20.61
2020-07-31,20.61
2020-08-01,20.61
2020-08-02,20.89
2020-08-03,20.89
2020-08-04,20.89
2020-08-05,20.89
2020-08-06,20.89
2020-08-07,20.89
2020-08-08,20.89
2020-08-09,20.89
2020-08-10,20.89
2020-08-11,20.89
2020-08-12,20.89
2020-08-13,20.89
2020-08-14,20.89
2020-08-15,20.89
2020-08-16,20.89
2020-08-17,20.89
2020-08-18,20.89
2020-08-19,20.89
2020-08-20,20.89
2020-08-21,20.89
2020-08-22,20.89
2020-08-23,20.89
2020-08-24,20.89
2020-08-25,20.89
2020-08-26,20.89
2020-08-27,20.89
2020-08-28,20.89
2020-08-29,20.89
2020-08-30,20.89
2020-08-31,20.89
2020-09-01,20.89
2020-09-02,20.89
2020-09-03,20.89
2020-09-04,20.89
2020-09-05,20.89
2020-09-06,20.89
2020-09-07,20.89
2020-09-08,20.89
2020-09-09,20.89
2020-09-10,20.89
2020-09-11,20.89
2020-09-12,20.89
2020-09-13,20.89
2020-09-14,20.89
2020-09-15,20.89
2020-09-16,20.89
2020-09-17,20.89
2020-09-18,20.89
2020-09-19,20.89
2020-09-20,20.89
2020-09-21,20.89
2020-09-22,20.89
2020-09-23,20.89
2020-09-24,20.89
2020-09-25,20.89
2020-09-26,20.89
2020-09-27,20.89
2020-09-28,20.89
2020-09-29,20.89
2020-09-30,20.89
2020-10-01,20.89
2020-10-02,20.89
2020-10-03,20.89
2020-10-04,20.89
2020-10-05,20.89
2020-10-06,20.89
2020-10-07,20.89
2020-10-08,20.89
2020-10-09,20.89
2020-10-10,20.89
2020-10-11,20.89
2020-10-12,20.89
2020-10-13,20.89
2020-10-14,20.89
2020-10-15,20.89
2020-10-16,20.89
2020-10-17,20.89
2020-10-18,20.89
2020-10-19,20.89
2020-10-20,20.89
2020-10-21,20.89
2020-10-22,20.89
2020-10-23,22.54
2020-10-24,22.54
2020-10-25,22.54
2020-10-26,22.54
2020-10-27,22.54
2020-10-28,22.54
2020-10-29,22.54
2020-10-30,22.54
2020-10-31,22.54
2020-11-01,22.54
2020-11-02,22.19
2020-11-03,22.19
2020-11-04,22.19
2020-11-05,22.19
2020-11-06,22.19
2020-11-07,22.19
2020-11-08,22.19
2020-11-09,22.19
2020-11-10,22.19
2020-11-11,22.19
2020-11-12,22.19
2020-11-13,22.19
2020-11-14,22.19
2020-11-15,22.19
2020-11-16,22.19
2020-11-17,22.19
2020-11-18,22.19
2020-11-19,22.19
2020-11-20,22.19
2020-11-21,22.19
2020-11-22,22.19
2020-11-23,22.19
2020-11-24,22.19
2020-11-25,22.19
2020-11-26,22.19
2020-11-27,22.19
2020-11-28,22.19
2020-11-29,22.19
2020-11-30,22.19
2020-12-01,22.19
2020-12-02,22.19
2020-12-03,22.19
2020-12-04,22.19
2020-12-05,22.19
2020-12-06,22.19
2020-12-07,22.19
2020-12-08,22.19
2020-12-09,22.19
2020-12-10,22.19
2020-12-11,22.19
2020-12-12,22.19
2020-12-13,22.19
2020-12-14,22.19
2020-12-15,22.19
2020-12-16,22.19
2020-12-17,22.19
2020-12-18,22.19
2020-12-19,22.19
2020-12-20,22.19
2020-12-21,22.19
2020-12-22,22.19
2020-12-23,22.19
2020-12-24,22.19
2020-12-25,22.19
2020-12-26,22.19
2020-12-27,22.19
2020-12-28,22.19
2020-12-29,22.19
2020-12-30,22.19
2020-12-31,22.19
2021-01-01,22.19
2021-01-02,22.19
2021-01-03,22.19
2021-01-04,22.19
2021-01-05,22.19
2021-01-06,22.19
2021-01-07,22.19
2021-01-08,22.19
2021-01-09,22.19
2021-01-10,22.19
2021-01-11,22.19
2021-01-12,22.19
2021-01-13,22.19
2021-01-14,22.19
2021-01-15,22.19
2021-01-16,22.19
2021-01-17,22.19
2021-01-18,22.19
2021-01-19,22.19
2021-01-20,22.19
2021-01-21,22.19
2021-01-22,22.19
2021-01-23,22.19
2021-01-24,22.19
2021-01-25,22.19
2021-01-26,22.19
2021-01-27,22.19
2021-01-28,22.19
2021-01-29,22.19
2021-01-30,22.19
2021-01-31,22.19
2021-02-01,22.19
2021-02-02,22.19
2021-02-03,22.19
2021-02-04,22.19
2021-02-05,22.19
2021-02-06,22.19
2021-02-07,22.19
2021-02-08,20.08
2021-02-09,20.08
2021-02-10,20.08
2021-02-11,20.08
2021-02-12,20.37
2021-02-13,20.37
2021-02-14,20.37
2021-02-15,20.37
2021-02-16,20.37
2021-02-17,20.37
2021-02-18,20.37
2021-02-19,20.37
2021-02-20,20.37
2021-02-21,20.37
2021-02-22,20.37
2021-02-23,20.37
2021-02-24,20.37
2021-02-25,20.37
2021-02-26,20.37
2021-02-27,20.37
2021-02-28,20.37
2021-03-01,20.37
2021-03-02,20.37
2021-03-03,20.37
2021-03-04,20.37
2021-03-05,20.37
2021-03-06,20.37
2021-03-07,20.37
2021-03-08,20.37
2021-03-09,20.37
2021-03-10,20.37
2021-03-11,20.37
2021-03-12,20.37
2021-03-13,20.37
2021-03-14,20.37
2021-03-15,20.37
2021-03-16,20.37
2021-03-17,20.37
2021-03-18,20.37
2021-03-19,20.37
2021-03-20,20.37
2021-03-21,20.37
2021-03-22,20.37
2021-03-23,20.37
