,LMT US Equity
,BEST_EPS
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,26.65
2020-01-30,26.65
2020-01-31,26.65
2020-02-01,26.65
2020-02-02,26.65
2020-02-03,26.65
2020-02-04,26.65
2020-02-05,26.65
2020-02-06,26.65
2020-02-07,26.65
2020-02-08,26.65
2020-02-09,26.65
2020-02-10,26.65
2020-02-11,26.65
2020-02-12,26.65
2020-02-13,26.65
2020-02-14,26.65
2020-02-15,26.65
2020-02-16,26.65
2020-02-17,26.65
2020-02-18,26.65
2020-02-19,26.65
2020-02-20,26.65
2020-02-21,26.65
2020-02-22,26.65
2020-02-23,26.65
2020-02-24,26.65
2020-02-25,26.65
2020-02-26,26.65
2020-02-27,26.65
2020-02-28,26.65
2020-02-29,26.65
2020-03-01,26.65
2020-03-02,26.65
2020-03-03,26.65
2020-03-04,26.65
2020-03-05,26.65
2020-03-06,26.65
2020-03-07,26.65
2020-03-08,26.65
2020-03-09,26.65
2020-03-10,26.65
2020-03-11,26.65
2020-03-12,26.65
2020-03-13,26.65
2020-03-14,26.65
2020-03-15,26.65
2020-03-16,26.65
2020-03-17,26.65
2020-03-18,26.65
2020-03-19,26.65
2020-03-20,26.65
2020-03-21,26.65
2020-03-22,26.65
2020-03-23,26.65
2020-03-24,26.65
2020-03-25,26.65
2020-03-26,26.65
2020-03-27,26.65
2020-03-28,26.65
2020-03-29,26.65
2020-03-30,26.65
2020-03-31,26.74
2020-04-01,26.74
2020-04-02,26.74
2020-04-03,26.74
2020-04-04,26.74
2020-04-05,26.74
2020-04-06,26.74
2020-04-07,26.74
2020-04-08,26.74
2020-04-09,26.74
2020-04-10,26.74
2020-04-11,26.74
2020-04-12,26.74
2020-04-13,26.74
2020-04-14,26.74
2020-04-15,26.74
2020-04-16,26.74
2020-04-17,26.74
2020-04-18,26.74
2020-04-19,26.74
2020-04-20,26.74
2020-04-21,26.865
2020-04-22,29.078
2020-04-23,29.078
2020-04-24,29.078
2020-04-25,29.078
2020-04-26,29.078
2020-04-27,29.078
2020-04-28,29.078
2020-04-29,29.078
2020-04-30,29.078
2020-05-01,29.078
2020-05-02,29.078
2020-05-03,29.078
2020-05-04,29.078
2020-05-05,29.078
2020-05-06,29.078
2020-05-07,29.078
2020-05-08,29.078
2020-05-09,29.078
2020-05-10,29.078
2020-05-11,29.078
2020-05-12,29.078
2020-05-13,29.078
2020-05-14,29.078
2020-05-15,29.078
2020-05-16,29.078
2020-05-17,29.078
2020-05-18,29.078
2020-05-19,29.078
2020-05-20,29.078
2020-05-21,29.078
2020-05-22,29.078
2020-05-23,29.078
2020-05-24,29.078
2020-05-25,29.078
2020-05-26,29.078
2020-05-27,29.078
2020-05-28,29.078
2020-05-29,29.078
2020-05-30,29.078
2020-05-31,29.078
2020-06-01,29.078
2020-06-02,29.078
2020-06-03,29.078
2020-06-04,29.078
2020-06-05,29.078
2020-06-06,29.078
2020-06-07,29.078
2020-06-08,29.078
2020-06-09,29.078
2020-06-10,29.078
2020-06-11,29.078
2020-06-12,29.078
2020-06-13,29.078
2020-06-14,29.078
2020-06-15,29.078
2020-06-16,29.078
2020-06-17,29.078
2020-06-18,29.078
2020-06-19,29.078
2020-06-20,29.078
2020-06-21,29.078
2020-06-22,29.078
2020-06-23,29.078
2020-06-24,29.078
2020-06-25,29.078
2020-06-26,29.078
2020-06-27,29.078
2020-06-28,29.078
2020-06-29,29.078
2020-06-30,29.078
2020-07-01,29.078
2020-07-02,29.078
2020-07-03,29.078
2020-07-04,29.078
2020-07-05,29.078
2020-07-06,29.078
2020-07-07,29.078
2020-07-08,29.078
2020-07-09,29.078
2020-07-10,29.078
2020-07-11,29.078
2020-07-12,29.078
2020-07-13,29.078
2020-07-14,29.078
2020-07-15,29.078
2020-07-16,29.078
2020-07-17,29.078
2020-07-18,29.078
2020-07-19,29.078
2020-07-20,29.078
2020-07-21,28.378
2020-07-22,29.096
2020-07-23,29.096
2020-07-24,29.096
2020-07-25,29.096
2020-07-26,29.096
2020-07-27,29.096
2020-07-28,29.096
2020-07-29,29.096
2020-07-30,29.096
2020-07-31,29.096
2020-08-01,29.096
2020-08-02,29.096
2020-08-03,29.096
2020-08-04,29.096
2020-08-05,29.096
2020-08-06,29.096
2020-08-07,29.096
2020-08-08,29.096
2020-08-09,29.096
2020-08-10,29.096
2020-08-11,29.096
2020-08-12,29.096
2020-08-13,29.096
2020-08-14,29.096
2020-08-15,29.096
2020-08-16,29.096
2020-08-17,29.096
2020-08-18,29.096
2020-08-19,29.096
2020-08-20,29.096
2020-08-21,29.096
2020-08-22,29.096
2020-08-23,29.096
2020-08-24,29.096
2020-08-25,29.096
2020-08-26,29.096
2020-08-27,29.096
2020-08-28,29.096
2020-08-29,29.096
2020-08-30,29.096
2020-08-31,29.096
2020-09-01,29.096
2020-09-02,29.096
2020-09-03,29.096
2020-09-04,29.096
2020-09-05,29.096
2020-09-06,29.096
2020-09-07,29.096
2020-09-08,29.096
2020-09-09,29.096
2020-09-10,29.096
2020-09-11,29.096
2020-09-12,29.096
2020-09-13,29.096
2020-09-14,29.096
2020-09-15,29.096
2020-09-16,29.096
2020-09-17,29.096
2020-09-18,29.096
2020-09-19,29.096
2020-09-20,29.096
2020-09-21,29.096
2020-09-22,29.096
2020-09-23,29.096
2020-09-24,29.096
2020-09-25,29.096
2020-09-26,29.096
2020-09-27,29.096
2020-09-28,29.096
2020-09-29,29.096
2020-09-30,29.096
2020-10-01,29.096
2020-10-02,29.096
2020-10-03,29.096
2020-10-04,29.096
2020-10-05,29.096
2020-10-06,29.096
2020-10-07,29.096
2020-10-08,29.096
2020-10-09,29.096
2020-10-10,29.096
2020-10-11,29.096
2020-10-12,29.096
2020-10-13,29.05
2020-10-14,29.05
2020-10-15,29.05
2020-10-16,29.05
2020-10-17,29.05
2020-10-18,29.05
2020-10-19,28.28
2020-10-20,29.696
2020-10-21,29.698
2020-10-22,29.698
2020-10-23,29.254
2020-10-24,29.254
2020-10-25,29.254
2020-10-26,29.254
2020-10-27,29.254
2020-10-28,29.59
2020-10-29,29.59
2020-10-30,29.59
2020-10-31,29.59
2020-11-01,29.59
2020-11-02,29.59
2020-11-03,29.59
2020-11-04,29.59
2020-11-05,29.59
2020-11-06,29.59
2020-11-07,29.59
2020-11-08,29.59
2020-11-09,29.59
2020-11-10,29.59
2020-11-11,29.59
2020-11-12,29.59
2020-11-13,29.59
2020-11-14,29.59
2020-11-15,29.59
2020-11-16,29.59
2020-11-17,29.59
2020-11-18,29.59
2020-11-19,29.59
2020-11-20,29.59
2020-11-21,29.59
2020-11-22,29.59
2020-11-23,29.59
2020-11-24,29.59
2020-11-25,29.59
2020-11-26,29.59
2020-11-27,29.59
2020-11-28,29.59
2020-11-29,29.59
2020-11-30,29.59
2020-12-01,29.59
2020-12-02,29.59
2020-12-03,29.59
2020-12-04,29.59
2020-12-05,29.59
2020-12-06,29.59
2020-12-07,29.59
2020-12-08,29.59
2020-12-09,29.59
2020-12-10,29.59
2020-12-11,29.59
2020-12-12,29.59
2020-12-13,29.59
2020-12-14,29.59
2020-12-15,29.59
2020-12-16,29.59
2020-12-17,29.59
2020-12-18,29.59
2020-12-19,29.59
2020-12-20,29.59
2020-12-21,29.553
2020-12-22,29.508
2020-12-23,29.508
2020-12-24,29.508
2020-12-25,29.035
2020-12-26,29.035
2020-12-27,29.035
2020-12-28,29.035
2020-12-29,29.035
2020-12-30,29.035
2020-12-31,29.035
2021-01-01,29.035
2021-01-02,29.035
2021-01-03,29.035
2021-01-04,29.035
2021-01-05,29.035
2021-01-06,29.035
2021-01-07,29.035
2021-01-08,29.035
2021-01-09,29.035
2021-01-10,29.035
2021-01-11,29.035
2021-01-12,29.035
2021-01-13,28.997
2021-01-14,28.997
2021-01-15,28.997
2021-01-16,28.997
2021-01-17,28.997
2021-01-18,28.997
2021-01-19,28.997
2021-01-20,28.997
2021-01-21,29.013
2021-01-22,29.013
2021-01-23,29.013
2021-01-24,29.013
2021-01-25,28.954
2021-01-26,28.934
2021-01-27,29.469
2021-01-28,29.469
2021-01-29,29.469
2021-01-30,29.469
2021-01-31,29.469
2021-02-01,29.469
2021-02-02,29.469
2021-02-03,29.469
2021-02-04,29.469
2021-02-05,29.469
2021-02-06,29.469
2021-02-07,29.469
2021-02-08,29.469
2021-02-09,29.469
2021-02-10,29.469
2021-02-11,29.469
2021-02-12,29.469
2021-02-13,29.469
2021-02-14,29.469
2021-02-15,29.469
2021-02-16,29.461
2021-02-17,29.461
2021-02-18,29.461
2021-02-19,29.461
2021-02-20,29.461
2021-02-21,29.461
2021-02-22,29.461
2021-02-23,29.461
2021-02-24,29.461
2021-02-25,29.461
2021-02-26,29.461
2021-02-27,29.461
2021-02-28,29.461
2021-03-01,29.461
2021-03-02,29.461
2021-03-03,29.461
2021-03-04,29.461
2021-03-05,29.461
2021-03-06,29.461
2021-03-07,29.461
2021-03-08,29.461
2021-03-09,29.461
2021-03-10,29.461
2021-03-11,29.461
2021-03-12,29.461
2021-03-13,29.461
2021-03-14,29.461
2021-03-15,29.461
2021-03-16,29.461
2021-03-17,29.461
2021-03-18,29.461
2021-03-19,29.461
2021-03-20,29.461
2021-03-21,29.461
2021-03-22,29.461
2021-03-23,29.461
2021-03-24,29.461
2021-03-25,29.461
2021-03-26,29.461
2021-03-27,29.461
2021-03-28,29.461
