,MSFT US Equity
,BEST_EPS
2020-01-01,8.937
2020-01-02,8.937
2020-01-03,8.937
2020-01-04,8.937
2020-01-05,8.937
2020-01-06,8.937
2020-01-07,8.937
2020-01-08,8.937
2020-01-09,8.997
2020-01-10,8.997
2020-01-11,8.997
2020-01-12,8.997
2020-01-13,8.997
2020-01-14,8.997
2020-01-15,8.997
2020-01-16,8.997
2020-01-17,8.997
2020-01-18,8.997
2020-01-19,8.997
2020-01-20,8.997
2020-01-21,8.997
2020-01-22,8.997
2020-01-23,8.997
2020-01-24,8.997
2020-01-25,8.997
2020-01-26,8.997
2020-01-27,8.997
2020-01-28,8.997
2020-01-29,8.997
2020-01-30,9.313
2020-01-31,8.867
2020-02-01,8.867
2020-02-02,8.867
2020-02-03,8.867
2020-02-04,8.867
2020-02-05,8.867
2020-02-06,8.867
2020-02-07,8.867
2020-02-08,8.867
2020-02-09,8.867
2020-02-10,8.867
2020-02-11,8.867
2020-02-12,8.917
2020-02-13,8.917
2020-02-14,8.917
2020-02-15,8.917
2020-02-16,8.917
2020-02-17,8.917
2020-02-18,8.917
2020-02-19,8.917
2020-02-20,8.917
2020-02-21,8.917
2020-02-22,8.917
2020-02-23,8.917
2020-02-24,8.917
2020-02-25,8.917
2020-02-26,8.917
2020-02-27,8.917
2020-02-28,8.917
2020-02-29,8.917
2020-03-01,8.917
2020-03-02,8.907
2020-03-03,8.907
2020-03-04,8.907
2020-03-05,8.907
2020-03-06,8.907
2020-03-07,8.907
2020-03-08,8.907
2020-03-09,8.907
2020-03-10,8.907
2020-03-11,8.907
2020-03-12,8.907
2020-03-13,8.907
2020-03-14,8.907
2020-03-15,8.907
2020-03-16,8.907
2020-03-17,8.907
2020-03-18,8.907
2020-03-19,8.907
2020-03-20,8.907
2020-03-21,8.907
2020-03-22,8.907
2020-03-23,8.907
2020-03-24,8.907
2020-03-25,8.907
2020-03-26,8.907
2020-03-27,8.907
2020-03-28,8.907
2020-03-29,8.907
2020-03-30,8.907
2020-03-31,8.907
2020-04-01,9.685
2020-04-02,9.17
2020-04-03,9.17
2020-04-04,9.17
2020-04-05,9.17
2020-04-06,9.17
2020-04-07,9.17
2020-04-08,9.17
2020-04-09,9.17
2020-04-10,9.17
2020-04-11,9.17
2020-04-12,9.17
2020-04-13,9.17
2020-04-14,9.17
2020-04-15,9.17
2020-04-16,9.17
2020-04-17,8.945
2020-04-18,8.945
2020-04-19,8.945
2020-04-20,8.945
2020-04-21,8.945
2020-04-22,8.945
2020-04-23,8.945
2020-04-24,8.945
2020-04-25,8.945
2020-04-26,8.945
2020-04-27,8.945
2020-04-28,8.945
2020-04-29,8.945
2020-04-30,8.945
2020-05-01,8.945
2020-05-02,8.945
2020-05-03,8.945
2020-05-04,8.945
2020-05-05,8.945
2020-05-06,8.945
2020-05-07,8.945
2020-05-08,8.945
2020-05-09,8.945
2020-05-10,8.945
2020-05-11,8.945
2020-05-12,8.945
2020-05-13,8.945
2020-05-14,8.945
2020-05-15,8.945
