,COP US Equity
,BEST_EPS
2020-01-01,3.23
2020-01-02,3.23
2020-01-03,3.23
2020-01-04,3.23
2020-01-05,3.23
2020-01-06,3.23
2020-01-07,3.23
2020-01-08,3.23
2020-01-09,3.23
2020-01-10,3.23
2020-01-11,3.23
2020-01-12,3.23
2020-01-13,3.23
2020-01-14,4.34
2020-01-15,4.34
2020-01-16,4.34
2020-01-17,4.34
2020-01-18,4.34
2020-01-19,4.34
2020-01-20,4.34
2020-01-21,4.34
2020-01-22,4.34
2020-01-23,4.34
2020-01-24,4.34
2020-01-25,4.34
2020-01-26,4.34
2020-01-27,4.34
2020-01-28,4.34
2020-01-29,4.34
2020-01-30,4.34
2020-01-31,4.34
2020-02-01,4.34
2020-02-02,4.34
2020-02-03,4.34
2020-02-04,5.45
2020-02-05,4.7
2020-02-06,4.7
2020-02-07,4.7
2020-02-08,4.7
2020-02-09,4.7
2020-02-10,4.7
2020-02-11,4.7
2020-02-12,4.7
2020-02-13,4.7
2020-02-14,4.7
2020-02-15,4.7
2020-02-16,4.7
2020-02-17,4.7
2020-02-18,4.7
2020-02-19,4.7
2020-02-20,4.7
2020-02-21,4.7
2020-02-22,4.7
2020-02-23,4.7
2020-02-24,4.7
2020-02-25,4.7
2020-02-26,4.7
2020-02-27,4.7
2020-02-28,4.7
2020-02-29,4.7
2020-03-01,4.7
2020-03-02,4.7
2020-03-03,4.7
2020-03-04,4.7
2020-03-05,4.7
2020-03-06,4.7
2020-03-07,4.7
2020-03-08,4.7
2020-03-09,4.7
2020-03-10,4.7
2020-03-11,4.7
2020-03-12,4.7
2020-03-13,4.7
2020-03-14,4.7
2020-03-15,4.7
2020-03-16,4.515
2020-03-17,4.515
2020-03-18,4.515
2020-03-19,5.485
2020-03-20,5.485
2020-03-21,5.485
2020-03-22,5.485
2020-03-23,5.485
2020-03-24,5.485
2020-03-25,5.485
2020-03-26,5.485
2020-03-27,5.485
2020-03-28,5.485
2020-03-29,5.485
2020-03-30,5.485
2020-03-31,5.485
2020-04-01,5.485
2020-04-02,5.485
2020-04-03,5.485
2020-04-04,5.485
2020-04-05,5.485
2020-04-06,5.485
2020-04-07,5.485
2020-04-08,5.485
2020-04-09,5.485
2020-04-10,4.56
2020-04-11,4.56
2020-04-12,4.56
2020-04-13,4.56
2020-04-14,4.56
2020-04-15,4.56
2020-04-16,4.56
2020-04-17,4.885
2020-04-18,4.885
2020-04-19,4.885
2020-04-20,4.885
2020-04-21,4.885
2020-04-22,4.885
2020-04-23,4.55
2020-04-24,4.55
2020-04-25,4.55
2020-04-26,4.55
2020-04-27,4.55
2020-04-28,4.55
2020-04-29,4.55
2020-04-30,4.55
2020-05-01,4.85
2020-05-02,4.85
2020-05-03,4.85
2020-05-04,4.137
2020-05-05,4.137
2020-05-06,4.137
2020-05-07,4.137
2020-05-08,4.137
2020-05-09,4.137
2020-05-10,4.137
2020-05-11,4.137
2020-05-12,4.137
2020-05-13,4.137
2020-05-14,4.137
2020-05-15,4.137
2020-05-16,4.137
2020-05-17,4.137
2020-05-18,4.137
2020-05-19,4.137
2020-05-20,4.137
2020-05-21,4.137
2020-05-22,3.117
2020-05-23,3.117
2020-05-24,3.117
2020-05-25,2.814
2020-05-26,2.814
2020-05-27,2.814
2020-05-28,2.535
2020-05-29,2.533
2020-05-30,2.533
2020-05-31,2.533
2020-06-01,2.533
2020-06-02,2.533
2020-06-03,2.533
2020-06-04,2.533
2020-06-05,2.533
2020-06-06,2.533
2020-06-07,2.533
2020-06-08,2.533
2020-06-09,2.533
2020-06-10,2.533
2020-06-11,2.533
2020-06-12,2.533
2020-06-13,2.533
2020-06-14,2.533
2020-06-15,2.533
2020-06-16,2.533
2020-06-17,2.803
2020-06-18,2.803
2020-06-19,2.803
2020-06-20,2.803
2020-06-21,2.803
2020-06-22,2.803
2020-06-23,2.635
2020-06-24,2.635
2020-06-25,2.635
2020-06-26,2.635
2020-06-27,2.635
2020-06-28,2.635
2020-06-29,2.787
2020-06-30,2.859
2020-07-01,2.853
2020-07-02,2.853
2020-07-03,2.853
2020-07-04,2.853
2020-07-05,2.853
2020-07-06,2.853
2020-07-07,2.853
2020-07-08,2.853
2020-07-09,2.853
2020-07-10,2.853
2020-07-11,2.853
2020-07-12,2.853
2020-07-13,2.853
2020-07-14,2.775
2020-07-15,2.767
2020-07-16,2.767
2020-07-17,2.767
2020-07-18,2.767
2020-07-19,2.767
2020-07-20,2.767
2020-07-21,2.767
2020-07-22,2.768
2020-07-23,2.765
2020-07-24,3.068
2020-07-25,3.068
2020-07-26,3.068
2020-07-27,3.068
2020-07-28,3.068
2020-07-29,3.068
2020-07-30,3.012
2020-07-31,2.812
2020-08-01,2.812
2020-08-02,2.812
2020-08-03,2.711
2020-08-04,2.711
2020-08-05,2.711
2020-08-06,2.711
2020-08-07,2.711
2020-08-08,2.711
2020-08-09,2.711
2020-08-10,2.711
2020-08-11,2.711
2020-08-12,2.711
2020-08-13,2.751
2020-08-14,2.751
2020-08-15,2.751
2020-08-16,2.751
2020-08-17,2.751
2020-08-18,3.026
2020-08-19,3.026
2020-08-20,3.026
2020-08-21,3.021
2020-08-22,3.021
2020-08-23,3.021
2020-08-24,3.021
2020-08-25,3.021
2020-08-26,3.021
2020-08-27,3.021
2020-08-28,3.021
2020-08-29,3.021
2020-08-30,3.021
2020-08-31,3.021
2020-09-01,3.021
2020-09-02,3.021
2020-09-03,3.021
2020-09-04,3.021
2020-09-05,3.021
2020-09-06,3.021
2020-09-07,3.021
2020-09-08,3.021
2020-09-09,3.021
2020-09-10,3.021
2020-09-11,3.021
2020-09-12,3.021
2020-09-13,3.021
2020-09-14,3.021
2020-09-15,3.021
2020-09-16,2.928
2020-09-17,2.928
2020-09-18,2.928
2020-09-19,2.928
2020-09-20,2.928
2020-09-21,2.928
2020-09-22,2.928
2020-09-23,2.944
2020-09-24,2.944
2020-09-25,2.944
2020-09-26,2.944
2020-09-27,2.944
2020-09-28,2.944
2020-09-29,2.944
2020-09-30,2.894
2020-10-01,2.834
2020-10-02,2.834
2020-10-03,2.834
2020-10-04,2.834
2020-10-05,2.804
