,CTRA US Equity
,BEST_EPS
2020-01-01,1.887
2020-01-02,1.887
2020-01-03,1.887
2020-01-04,1.887
2020-01-05,1.887
2020-01-06,1.887
2020-01-07,1.887
2020-01-08,1.887
2020-01-09,1.887
2020-01-10,1.887
2020-01-11,1.887
2020-01-12,1.887
2020-01-13,1.887
2020-01-14,1.887
2020-01-15,1.887
2020-01-16,1.887
2020-01-17,1.887
2020-01-18,1.887
2020-01-19,1.887
2020-01-20,1.887
2020-01-21,1.887
2020-01-22,1.887
2020-01-23,1.887
2020-01-24,1.887
2020-01-25,1.887
2020-01-26,1.887
2020-01-27,1.887
2020-01-28,1.887
2020-01-29,1.887
2020-01-30,1.887
2020-01-31,1.887
2020-02-01,1.887
2020-02-02,1.887
2020-02-03,1.887
2020-02-04,1.887
2020-02-05,1.887
2020-02-06,1.887
2020-02-07,1.887
2020-02-08,1.887
2020-02-09,1.887
2020-02-10,1.887
2020-02-11,1.887
2020-02-12,1.887
2020-02-13,1.887
2020-02-14,1.887
2020-02-15,1.887
2020-02-16,1.887
2020-02-17,1.887
2020-02-18,1.887
2020-02-19,1.887
2020-02-20,1.887
2020-02-21,1.887
2020-02-22,1.887
2020-02-23,1.887
2020-02-24,1.655
2020-02-25,1.655
2020-02-26,1.655
2020-02-27,1.655
2020-02-28,1.655
2020-02-29,1.655
2020-03-01,1.655
2020-03-02,2.06
2020-03-03,2.06
2020-03-04,2.06
2020-03-05,2.06
2020-03-06,2.06
2020-03-07,2.06
2020-03-08,2.06
2020-03-09,2.06
2020-03-10,2.06
2020-03-11,2.06
2020-03-12,2.06
2020-03-13,2.06
2020-03-14,2.06
2020-03-15,2.06
2020-03-16,2.06
2020-03-17,2.06
2020-03-18,2.06
2020-03-19,2.06
2020-03-20,2.06
2020-03-21,2.06
2020-03-22,2.06
2020-03-23,2.06
2020-03-24,2.06
2020-03-25,2.06
2020-03-26,2.06
2020-03-27,2.06
2020-03-28,2.06
2020-03-29,2.06
2020-03-30,2.06
2020-03-31,2.06
2020-04-01,2.06
2020-04-02,2.06
2020-04-03,2.06
2020-04-04,2.06
2020-04-05,2.06
2020-04-06,2.06
2020-04-07,2.06
2020-04-08,2.06
2020-04-09,2.06
2020-04-10,2.06
2020-04-11,2.06
2020-04-12,2.06
2020-04-13,2.06
2020-04-14,2.06
2020-04-15,2.06
2020-04-16,2.06
2020-04-17,2.06
2020-04-18,2.06
2020-04-19,2.06
2020-04-20,2.06
2020-04-21,2.06
2020-04-22,2.06
2020-04-23,2.06
2020-04-24,2.06
2020-04-25,2.06
2020-04-26,2.06
2020-04-27,2.06
2020-04-28,2.06
2020-04-29,2.06
2020-04-30,2.06
2020-05-01,2.06
2020-05-02,2.06
2020-05-03,2.06
2020-05-04,2.165
2020-05-05,2.165
2020-05-06,2.165
2020-05-07,2.165
2020-05-08,2.165
2020-05-09,2.165
2020-05-10,2.165
2020-05-11,2.165
2020-05-12,2.165
2020-05-13,2.165
2020-05-14,2.165
2020-05-15,2.165
2020-05-16,2.165
2020-05-17,2.165
2020-05-18,2.165
2020-05-19,2.165
2020-05-20,2.165
2020-05-21,2.165
2020-05-22,2.165
2020-05-23,2.165
2020-05-24,2.165
2020-05-25,2.165
2020-05-26,2.165
2020-05-27,2.165
2020-05-28,2.165
2020-05-29,2.165
2020-05-30,2.165
2020-05-31,2.165
2020-06-01,2.165
2020-06-02,2.165
2020-06-03,2.165
2020-06-04,2.165
2020-06-05,2.165
2020-06-06,2.165
2020-06-07,2.165
2020-06-08,2.165
2020-06-09,2.165
2020-06-10,2.165
2020-06-11,2.165
2020-06-12,2.165
2020-06-13,2.165
2020-06-14,2.165
2020-06-15,2.165
2020-06-16,2.165
2020-06-17,2.165
2020-06-18,2.165
2020-06-19,2.165
2020-06-20,2.165
2020-06-21,2.165
2020-06-22,2.165
2020-06-23,2.165
2020-06-24,2.165
2020-06-25,2.165
2020-06-26,2.165
2020-06-27,2.165
2020-06-28,2.165
2020-06-29,1.917
2020-06-30,1.917
2020-07-01,1.917
2020-07-02,1.917
2020-07-03,1.917
2020-07-04,1.917
2020-07-05,1.917
2020-07-06,1.917
2020-07-07,1.917
2020-07-08,1.958
2020-07-09,1.958
2020-07-10,1.958
2020-07-11,1.958
2020-07-12,1.958
2020-07-13,1.987
2020-07-14,1.881
2020-07-15,1.88
2020-07-16,1.88
2020-07-17,1.88
2020-07-18,1.88
2020-07-19,1.88
2020-07-20,1.838
2020-07-21,1.838
2020-07-22,1.838
2020-07-23,1.838
2020-07-24,1.838
2020-07-25,1.838
2020-07-26,1.838
2020-07-27,1.838
2020-07-28,1.838
2020-07-29,1.838
2020-07-30,1.838
2020-07-31,1.838
2020-08-01,1.849
2020-08-02,1.849
2020-08-03,1.867
2020-08-04,1.867
2020-08-05,1.867
2020-08-06,1.867
2020-08-07,1.867
2020-08-08,1.867
2020-08-09,1.867
2020-08-10,1.867
2020-08-11,1.869
2020-08-12,1.869
2020-08-13,1.876
2020-08-14,1.894
2020-08-15,1.894
2020-08-16,1.894
2020-08-17,1.894
2020-08-18,1.949
2020-08-19,1.949
2020-08-20,1.949
2020-08-21,1.949
2020-08-22,1.949
2020-08-23,1.949
2020-08-24,1.949
2020-08-25,1.949
2020-08-26,1.959
2020-08-27,1.959
2020-08-28,1.959
2020-08-29,1.959
2020-08-30,1.959
2020-08-31,1.959
2020-09-01,1.959
2020-09-02,1.959
2020-09-03,1.959
2020-09-04,1.959
2020-09-05,1.959
2020-09-06,1.959
2020-09-07,1.959
2020-09-08,1.959
2020-09-09,1.959
2020-09-10,1.959
2020-09-11,1.959
2020-09-12,1.959
2020-09-13,1.959
2020-09-14,1.959
2020-09-15,1.959
2020-09-16,1.984
2020-09-17,1.984
2020-09-18,1.984
2020-09-19,1.984
2020-09-20,1.984
2020-09-21,1.984
2020-09-22,1.984
2020-09-23,1.984
2020-09-24,1.981
2020-09-25,1.981
2020-09-26,1.981
2020-09-27,1.981
2020-09-28,1.981
2020-09-29,1.981
2020-09-30,1.981
2020-10-01,1.981
2020-10-02,1.981
2020-10-03,1.981
2020-10-04,1.981
2020-10-05,1.981
2020-10-06,1.981
2020-10-07,1.98
2020-10-08,1.868
2020-10-09,1.868
2020-10-10,1.868
2020-10-11,1.868
2020-10-12,1.868
2020-10-13,1.867
2020-10-14,1.851
2020-10-15,1.851
2020-10-16,1.851
2020-10-17,1.851
2020-10-18,1.851
2020-10-19,1.851
2020-10-20,1.812
2020-10-21,1.812
2020-10-22,1.812
2020-10-23,1.812
2020-10-24,1.812
2020-10-25,1.812
2020-10-26,1.812
2020-10-27,1.812
2020-10-28,1.812
2020-10-29,1.812
2020-10-30,1.812
2020-10-31,1.803
2020-11-01,1.803
2020-11-02,1.762
2020-11-03,1.762
2020-11-04,1.762
2020-11-05,1.762
2020-11-06,1.762
2020-11-07,1.762
2020-11-08,1.762
2020-11-09,1.762
2020-11-10,1.798
2020-11-11,1.798
2020-11-12,1.798
2020-11-13,1.801
2020-11-14,1.801
2020-11-15,1.801
2020-11-16,1.821
2020-11-17,1.821
2020-11-18,1.821
2020-11-19,1.821
2020-11-20,1.801
2020-11-21,1.801
2020-11-22,1.801
2020-11-23,1.801
2020-11-24,1.801
2020-11-25,1.801
2020-11-26,1.801
2020-11-27,1.801
2020-11-28,1.801
2020-11-29,1.801
2020-11-30,1.801
2020-12-01,1.801
2020-12-02,1.801
2020-12-03,1.801
2020-12-04,1.801
2020-12-05,1.801
2020-12-06,1.801
2020-12-07,1.819
2020-12-08,1.818
2020-12-09,1.788
2020-12-10,1.788
2020-12-11,1.788
2020-12-12,1.788
2020-12-13,1.788
2020-12-14,1.788
2020-12-15,1.788
2020-12-16,1.788
2020-12-17,1.761
2020-12-18,1.761
2020-12-19,1.761
2020-12-20,1.761
2020-12-21,1.761
2020-12-22,1.761
2020-12-23,1.761
2020-12-24,1.761
2020-12-25,1.761
2020-12-26,1.761
2020-12-27,1.761
2020-12-28,1.761
2020-12-29,1.761
2020-12-30,1.761
2020-12-31,1.761
2021-01-01,1.761
2021-01-02,1.761
2021-01-03,1.768
2021-01-04,1.768
2021-01-05,1.768
2021-01-06,1.768
2021-01-07,1.768
2021-01-08,1.768
2021-01-09,1.768
2021-01-10,1.768
2021-01-11,1.768
2021-01-12,1.753
2021-01-13,1.753
2021-01-14,1.735
2021-01-15,1.735
2021-01-16,1.735
2021-01-17,1.735
2021-01-18,1.735
2021-01-19,1.735
2021-01-20,1.731
2021-01-21,1.694
2021-01-22,1.694
2021-01-23,1.694
2021-01-24,1.694
2021-01-25,1.714
2021-01-26,1.714
2021-01-27,1.716
2021-01-28,1.716
2021-01-29,1.716
2021-01-30,1.716
2021-01-31,1.716
2021-02-01,1.716
2021-02-02,1.716
2021-02-03,1.716
2021-02-04,1.721
2021-02-05,1.723
2021-02-06,1.723
2021-02-07,1.723
2021-02-08,1.711
2021-02-09,1.711
2021-02-10,1.662
2021-02-11,1.661
2021-02-12,1.661
2021-02-13,1.661
2021-02-14,1.661
2021-02-15,1.661
2021-02-16,1.661
2021-02-17,1.661
2021-02-18,1.661
2021-02-19,1.661
2021-02-20,1.661
2021-02-21,1.661
2021-02-22,1.661
2021-02-23,1.658
2021-02-24,1.647
2021-02-25,1.604
2021-02-26,1.639
2021-02-27,1.639
2021-02-28,1.639
2021-03-01,1.639
2021-03-02,1.639
2021-03-03,1.642
2021-03-04,1.639
2021-03-05,1.654
2021-03-06,1.654
2021-03-07,1.654
2021-03-08,1.654
2021-03-09,1.654
2021-03-10,1.654
2021-03-11,1.654
2021-03-12,1.654
2021-03-13,1.654
2021-03-14,1.654
2021-03-15,1.654
2021-03-16,1.654
2021-03-17,1.654
2021-03-18,1.661
2021-03-19,1.661
2021-03-20,1.661
2021-03-21,1.661
2021-03-22,1.661
2021-03-23,1.661
2021-03-24,1.661
2021-03-25,1.661
2021-03-26,1.661
2021-03-27,1.661
2021-03-28,1.661
2021-03-29,1.661
2021-03-30,1.661
2021-03-31,1.661
2021-04-01,1.661
2021-04-02,1.661
2021-04-03,1.661
2021-04-04,1.661
2021-04-05,1.661
2021-04-06,1.661
2021-04-07,1.661
2021-04-08,1.661
2021-04-09,1.661
2021-04-10,1.661
2021-04-11,1.661
2021-04-12,1.661
2021-04-13,1.66
2021-04-14,1.666
2021-04-15,1.666
2021-04-16,1.668
2021-04-17,1.668
2021-04-18,1.668
2021-04-19,1.743
2021-04-20,1.763
2021-04-21,1.763
2021-04-22,1.763
2021-04-23,1.763
2021-04-24,1.763
2021-04-25,1.763
2021-04-26,1.763
2021-04-27,1.763
2021-04-28,1.763
2021-04-29,1.763
2021-04-30,1.756
2021-05-01,1.749
2021-05-02,1.749
2021-05-03,1.701
2021-05-04,1.701
2021-05-05,1.701
2021-05-06,1.701
2021-05-07,1.701
2021-05-08,1.701
2021-05-09,1.701
2021-05-10,1.701
2021-05-11,1.636
2021-05-12,1.648
2021-05-13,1.648
2021-05-14,1.648
2021-05-15,1.648
2021-05-16,1.648
2021-05-17,1.648
2021-05-18,1.648
2021-05-19,1.653
2021-05-20,1.653
2021-05-21,1.73
2021-05-22,1.73
2021-05-23,1.73
2021-05-24,1.773
2021-05-25,1.773
2021-05-26,1.773
2021-05-27,1.773
2021-05-28,1.773
2021-05-29,1.823
2021-05-30,1.823
2021-05-31,1.823
2021-06-01,1.823
2021-06-02,1.823
2021-06-03,1.823
2021-06-04,1.823
2021-06-05,1.823
2021-06-06,1.823
2021-06-07,1.71
2021-06-08,1.71
2021-06-09,1.71
2021-06-10,1.71
2021-06-11,1.71
2021-06-12,1.71
2021-06-13,1.71
2021-06-14,1.71
2021-06-15,1.71
2021-06-16,1.71
2021-06-17,1.997
2021-06-18,1.997
2021-06-19,1.997
2021-06-20,1.997
2021-06-21,1.997
2021-06-22,1.997
2021-06-23,1.997
2021-06-24,1.997
2021-06-25,1.997
2021-06-26,1.997
2021-06-27,1.997
2021-06-28,1.997
2021-06-29,1.997
2021-06-30,1.997
2021-07-01,1.997
2021-07-02,1.997
2021-07-03,1.997
2021-07-04,1.997
2021-07-05,1.997
2021-07-06,2.063
2021-07-07,2.063
2021-07-08,2.167
2021-07-09,2.167
2021-07-10,2.167
2021-07-11,2.167
2021-07-12,2.167
2021-07-13,2.167
2021-07-14,2.167
2021-07-15,2.144
2021-07-16,2.144
2021-07-17,2.144
2021-07-18,2.166
2021-07-19,2.21
2021-07-20,2.21
2021-07-21,2.21
2021-07-22,2.21
2021-07-23,2.21
2021-07-24,2.21
2021-07-25,2.21
2021-07-26,2.198
2021-07-27,2.185
2021-07-28,2.185
2021-07-29,2.185
2021-07-30,2.201
2021-07-31,2.208
2021-08-01,2.208
2021-08-02,2.166
2021-08-03,2.166
2021-08-04,2.166
2021-08-05,2.166
2021-08-06,2.166
2021-08-07,2.166
2021-08-08,2.166
2021-08-09,2.16
2021-08-10,2.163
2021-08-11,2.11
2021-08-12,2.131
2021-08-13,2.061
2021-08-14,2.061
2021-08-15,2.061
2021-08-16,2.068
2021-08-17,2.068
2021-08-18,2.068
2021-08-19,2.068
2021-08-20,2.068
2021-08-21,2.068
2021-08-22,2.068
2021-08-23,2.068
2021-08-24,2.068
2021-08-25,2.068
2021-08-26,2.068
2021-08-27,2.068
2021-08-28,2.068
2021-08-29,2.068
2021-08-30,2.068
2021-08-31,2.068
2021-09-01,2.068
2021-09-02,2.068
2021-09-03,2.068
2021-09-04,2.068
2021-09-05,2.068
2021-09-06,2.068
2021-09-07,2.099
2021-09-08,2.099
2021-09-09,2.099
2021-09-10,2.099
2021-09-11,2.099
2021-09-12,2.099
2021-09-13,2.099
