,SC US Equity
,BEST_EPS
2020-01-01,3.244
2020-01-02,3.244
2020-01-03,3.244
2020-01-04,3.244
2020-01-05,3.244
2020-01-06,3.224
2020-01-07,3.211
2020-01-08,3.19
2020-01-09,3.19
2020-01-10,3.19
2020-01-11,3.19
2020-01-12,3.19
2020-01-13,3.19
2020-01-14,3.191
2020-01-15,3.191
2020-01-16,3.191
2020-01-17,3.178
2020-01-18,3.178
2020-01-19,3.178
2020-01-20,3.178
2020-01-21,3.178
2020-01-22,3.178
2020-01-23,3.178
2020-01-24,3.178
2020-01-25,3.178
2020-01-26,3.178
2020-01-27,3.178
2020-01-28,3.134
2020-01-29,3.136
2020-01-30,3.017
2020-01-31,3.032
2020-02-01,3.032
2020-02-02,3.032
2020-02-03,2.992
2020-02-04,2.992
2020-02-05,2.992
2020-02-06,2.992
2020-02-07,2.992
2020-02-08,2.992
2020-02-09,2.992
2020-02-10,2.992
2020-02-11,2.992
2020-02-12,2.992
2020-02-13,2.992
2020-02-14,2.992
2020-02-15,2.992
2020-02-16,2.992
2020-02-17,2.992
2020-02-18,2.992
2020-02-19,2.992
2020-02-20,2.992
2020-02-21,2.992
2020-02-22,2.992
2020-02-23,2.992
2020-02-24,2.992
2020-02-25,2.992
2020-02-26,2.992
2020-02-27,2.992
2020-02-28,2.984
2020-02-29,3.025
2020-03-01,3.025
2020-03-02,3.024
2020-03-03,3.024
2020-03-04,3.024
2020-03-05,3.031
2020-03-06,3.02
2020-03-07,3.02
2020-03-08,3.02
2020-03-09,3.004
2020-03-10,3.004
2020-03-11,3.004
2020-03-12,3.004
2020-03-13,3.004
2020-03-14,3.004
2020-03-15,3.004
2020-03-16,3.004
2020-03-17,2.996
2020-03-18,2.974
2020-03-19,2.939
2020-03-20,2.939
2020-03-21,2.939
2020-03-22,2.919
2020-03-23,2.919
2020-03-24,2.919
2020-03-25,2.919
2020-03-26,2.901
2020-03-27,2.854
2020-03-28,2.854
2020-03-29,2.854
2020-03-30,2.739
2020-03-31,2.658
2020-04-01,2.658
2020-04-02,2.658
2020-04-03,2.658
2020-04-04,2.541
2020-04-05,2.541
2020-04-06,2.526
2020-04-07,2.526
2020-04-08,2.495
2020-04-09,2.329
2020-04-10,2.329
2020-04-11,2.329
2020-04-12,2.329
2020-04-13,2.257
2020-04-14,2.257
2020-04-15,2.257
2020-04-16,2.257
2020-04-17,2.257
2020-04-18,2.257
2020-04-19,2.257
2020-04-20,2.197
2020-04-21,2.197
2020-04-22,2.197
2020-04-23,2.197
2020-04-24,2.197
2020-04-25,2.197
2020-04-26,2.197
2020-04-27,2.269
2020-04-28,2.293
2020-04-29,2.258
2020-04-30,2.022
2020-05-01,2.022
2020-05-02,2.069
2020-05-03,2.069
2020-05-04,2.069
2020-05-05,2.069
2020-05-06,2.069
2020-05-07,2.066
2020-05-08,2.066
2020-05-09,2.066
2020-05-10,2.066
2020-05-11,2.028
2020-05-12,2.028
2020-05-13,2.027
2020-05-14,2.031
2020-05-15,2.031
2020-05-16,2.031
2020-05-17,2.031
2020-05-18,2.031
2020-05-19,1.96
2020-05-20,1.96
2020-05-21,1.96
2020-05-22,1.96
2020-05-23,1.96
2020-05-24,1.96
2020-05-25,1.96
2020-05-26,1.96
2020-05-27,1.96
2020-05-28,1.96
2020-05-29,1.96
2020-05-30,1.96
2020-05-31,1.96
2020-06-01,1.96
2020-06-02,1.96
2020-06-03,1.96
2020-06-04,1.96
2020-06-05,1.96
2020-06-06,1.96
2020-06-07,1.96
2020-06-08,1.96
2020-06-09,1.96
2020-06-10,1.96
2020-06-11,1.96
2020-06-12,1.96
2020-06-13,1.96
2020-06-14,1.96
2020-06-15,1.96
2020-06-16,1.96
2020-06-17,1.966
2020-06-18,1.966
2020-06-19,1.966
2020-06-20,1.966
2020-06-21,1.966
2020-06-22,1.858
2020-06-23,1.858
2020-06-24,1.858
2020-06-25,1.84
2020-06-26,1.84
2020-06-27,1.84
2020-06-28,1.84
2020-06-29,1.84
2020-06-30,1.84
2020-07-01,1.84
2020-07-02,1.84
2020-07-03,1.84
2020-07-04,1.84
2020-07-05,1.882
2020-07-06,1.882
2020-07-07,1.862
2020-07-08,1.838
2020-07-09,1.812
2020-07-10,1.812
2020-07-11,1.812
2020-07-12,1.812
2020-07-13,1.812
2020-07-14,1.812
2020-07-15,1.689
2020-07-16,1.689
2020-07-17,1.689
2020-07-18,1.689
2020-07-19,1.689
2020-07-20,1.689
2020-07-21,1.689
2020-07-22,1.689
2020-07-23,1.689
2020-07-24,1.691
2020-07-25,1.691
2020-07-26,1.691
2020-07-27,1.691
2020-07-28,1.691
2020-07-29,1.501
2020-07-30,1.446
2020-07-31,1.427
2020-08-01,1.427
2020-08-02,1.427
2020-08-03,1.422
2020-08-04,1.424
2020-08-05,1.424
2020-08-06,1.424
2020-08-07,1.336
2020-08-08,1.336
2020-08-09,1.336
2020-08-10,1.336
2020-08-11,1.339
2020-08-12,1.339
2020-08-13,1.339
2020-08-14,1.339
2020-08-15,1.339
2020-08-16,1.339
2020-08-17,1.341
2020-08-18,1.341
2020-08-19,1.341
2020-08-20,1.341
2020-08-21,1.341
2020-08-22,1.341
2020-08-23,1.344
2020-08-24,1.358
2020-08-25,1.358
2020-08-26,1.358
2020-08-27,1.358
2020-08-28,1.358
2020-08-29,1.358
2020-08-30,1.358
2020-08-31,1.358
2020-09-01,1.358
2020-09-02,1.358
2020-09-03,1.358
2020-09-04,1.358
2020-09-05,1.358
2020-09-06,1.358
2020-09-07,1.358
2020-09-08,1.358
2020-09-09,1.358
2020-09-10,1.358
2020-09-11,1.358
2020-09-12,1.358
2020-09-13,1.358
2020-09-14,1.358
2020-09-15,1.358
2020-09-16,1.358
2020-09-17,1.358
2020-09-18,1.358
2020-09-19,1.358
2020-09-20,1.358
2020-09-21,1.358
2020-09-22,1.358
2020-09-23,1.358
2020-09-24,1.358
2020-09-25,1.358
2020-09-26,1.358
2020-09-27,1.358
2020-09-28,1.358
2020-09-29,1.358
2020-09-30,1.358
2020-10-01,1.358
2020-10-02,1.528
2020-10-03,1.528
2020-10-04,1.528
2020-10-05,1.568
2020-10-06,1.571
2020-10-07,1.571
2020-10-08,1.566
2020-10-09,1.684
2020-10-10,1.684
2020-10-11,1.684
2020-10-12,1.688
2020-10-13,1.703
2020-10-14,1.703
2020-10-15,1.703
2020-10-16,1.703
2020-10-17,1.703
2020-10-18,1.703
2020-10-19,1.703
2020-10-20,1.703
2020-10-21,1.703
2020-10-22,1.703
2020-10-23,1.703
2020-10-24,1.703
2020-10-25,1.703
2020-10-26,1.703
2020-10-27,1.703
2020-10-28,1.847
2020-10-29,2.076
2020-10-30,2.16
2020-10-31,2.16
2020-11-01,2.16
2020-11-02,2.201
2020-11-03,2.241
2020-11-04,2.281
2020-11-05,2.281
2020-11-06,2.281
2020-11-07,2.281
2020-11-08,2.281
2020-11-09,2.281
2020-11-10,2.281
2020-11-11,2.281
2020-11-12,2.281
2020-11-13,2.282
2020-11-14,2.282
2020-11-15,2.282
2020-11-16,2.282
2020-11-17,2.282
2020-11-18,2.282
2020-11-19,2.282
2020-11-20,2.282
2020-11-21,2.282
2020-11-22,2.282
2020-11-23,2.282
2020-11-24,2.282
2020-11-25,2.282
2020-11-26,2.282
2020-11-27,2.282
2020-11-28,2.282
2020-11-29,2.296
2020-11-30,2.274
2020-12-01,2.274
2020-12-02,2.274
2020-12-03,2.274
2020-12-04,2.319
2020-12-05,2.319
2020-12-06,2.319
2020-12-07,2.319
2020-12-08,2.319
2020-12-09,2.319
2020-12-10,2.319
2020-12-11,2.319
2020-12-12,2.319
2020-12-13,2.319
2020-12-14,2.319
2020-12-15,2.319
2020-12-16,2.329
2020-12-17,2.329
2020-12-18,2.329
2020-12-19,2.329
2020-12-20,2.329
2020-12-21,2.329
2020-12-22,2.329
2020-12-23,2.329
2020-12-24,2.329
2020-12-25,2.329
2020-12-26,2.329
2020-12-27,2.329
2020-12-28,2.329
2020-12-29,2.329
2020-12-30,2.329
2020-12-31,2.329
2021-01-01,2.329
2021-01-02,2.329
2021-01-03,2.329
2021-01-04,2.329
2021-01-05,2.345
2021-01-06,2.352
2021-01-07,2.422
2021-01-08,2.422
2021-01-09,2.422
2021-01-10,2.422
2021-01-11,2.474
2021-01-12,2.539
2021-01-13,2.54
2021-01-14,2.563
2021-01-15,2.573
2021-01-16,2.573
2021-01-17,2.573
2021-01-18,2.573
2021-01-19,2.533
2021-01-20,2.533
2021-01-21,2.533
2021-01-22,2.533
2021-01-23,2.533
2021-01-24,2.533
2021-01-25,2.533
2021-01-26,2.533
2021-01-27,2.533
2021-01-28,2.533
2021-01-29,2.533
2021-01-30,2.533
2021-01-31,2.533
2021-02-01,2.533
2021-02-02,2.533
2021-02-03,2.888
2021-02-04,3.226
2021-02-05,3.203
