,LLY US Equity
,BEST_EPS
2020-01-01,9.675
2020-01-02,9.675
2020-01-03,9.768
2020-01-04,9.768
2020-01-05,9.768
2020-01-06,9.768
2020-01-07,9.768
2020-01-08,9.768
2020-01-09,9.768
2020-01-10,9.768
2020-01-11,9.768
2020-01-12,9.768
2020-01-13,9.768
2020-01-14,9.768
2020-01-15,9.768
2020-01-16,9.768
2020-01-17,9.768
2020-01-18,9.768
2020-01-19,9.768
2020-01-20,9.768
2020-01-21,9.768
2020-01-22,9.768
2020-01-23,9.807
2020-01-24,9.808
2020-01-25,9.808
2020-01-26,9.808
2020-01-27,9.808
2020-01-28,9.808
2020-01-29,9.808
2020-01-30,9.916
2020-01-31,9.916
2020-02-01,9.916
2020-02-02,9.966
2020-02-03,9.966
2020-02-04,9.966
2020-02-05,9.966
2020-02-06,9.966
2020-02-07,9.966
2020-02-08,9.966
2020-02-09,9.966
2020-02-10,9.966
2020-02-11,9.966
2020-02-12,9.966
2020-02-13,9.966
2020-02-14,9.966
2020-02-15,9.966
2020-02-16,9.966
2020-02-17,9.966
2020-02-18,9.966
2020-02-19,9.966
2020-02-20,9.966
2020-02-21,9.966
2020-02-22,9.966
2020-02-23,9.966
2020-02-24,9.966
2020-02-25,9.966
2020-02-26,9.966
2020-02-27,10.006
2020-02-28,10.006
2020-02-29,10.006
2020-03-01,10.006
2020-03-02,10.006
2020-03-03,10.006
2020-03-04,10.006
2020-03-05,10.006
2020-03-06,10.006
2020-03-07,10.006
2020-03-08,10.006
2020-03-09,10.006
2020-03-10,10.006
2020-03-11,10.006
2020-03-12,10.006
2020-03-13,10.006
2020-03-14,10.006
2020-03-15,10.006
2020-03-16,10.006
2020-03-17,10.006
2020-03-18,10.006
2020-03-19,10.006
2020-03-20,10.006
2020-03-21,10.006
2020-03-22,10.006
2020-03-23,10.006
2020-03-24,10.006
2020-03-25,10.006
2020-03-26,10.006
2020-03-27,10.006
2020-03-28,10.006
2020-03-29,10.006
2020-03-30,10.006
2020-03-31,10.006
2020-04-01,10.006
2020-04-02,10.006
2020-04-03,10.006
2020-04-04,10.006
2020-04-05,10.006
2020-04-06,10.006
2020-04-07,10.006
2020-04-08,10.006
2020-04-09,10.006
2020-04-10,10.078
2020-04-11,10.078
2020-04-12,10.078
2020-04-13,10.078
2020-04-14,10.078
2020-04-15,9.934
2020-04-16,9.934
2020-04-17,9.934
2020-04-18,9.934
2020-04-19,9.934
2020-04-20,9.932
2020-04-21,9.932
2020-04-22,9.932
2020-04-23,10.104
2020-04-24,10.104
2020-04-25,10.104
2020-04-26,10.104
2020-04-27,10.462
2020-04-28,10.462
2020-04-29,10.462
2020-04-30,10.462
2020-05-01,10.462
2020-05-02,10.462
2020-05-03,10.462
2020-05-04,10.462
2020-05-05,10.462
2020-05-06,10.462
2020-05-07,10.462
2020-05-08,10.462
2020-05-09,10.462
2020-05-10,10.462
2020-05-11,10.462
2020-05-12,10.462
2020-05-13,10.462
2020-05-14,10.462
2020-05-15,10.462
2020-05-16,10.462
2020-05-17,10.462
2020-05-18,10.462
2020-05-19,10.462
2020-05-20,10.462
2020-05-21,10.462
2020-05-22,10.462
2020-05-23,10.462
2020-05-24,10.462
2020-05-25,10.462
2020-05-26,10.462
2020-05-27,10.462
2020-05-28,10.462
2020-05-29,10.462
2020-05-30,10.462
2020-05-31,10.462
2020-06-01,10.497
2020-06-02,10.497
2020-06-03,10.497
2020-06-04,10.497
2020-06-05,10.497
2020-06-06,10.497
2020-06-07,10.497
2020-06-08,10.497
2020-06-09,10.497
2020-06-10,10.497
2020-06-11,10.497
2020-06-12,10.497
2020-06-13,10.497
2020-06-14,10.497
2020-06-15,10.497
2020-06-16,10.657
2020-06-17,11.16
2020-06-18,11.142
2020-06-19,11.142
2020-06-20,11.142
2020-06-21,11.142
2020-06-22,11.142
2020-06-23,11.142
2020-06-24,11.142
2020-06-25,11.142
2020-06-26,11.142
2020-06-27,11.142
2020-06-28,11.29
2020-06-29,11.29
2020-06-30,11.29
2020-07-01,11.29
2020-07-02,11.829
2020-07-03,11.829
2020-07-04,11.829
2020-07-05,11.829
2020-07-06,11.921
2020-07-07,11.921
2020-07-08,11.921
2020-07-09,11.921
2020-07-10,11.921
2020-07-11,11.921
2020-07-12,11.934
2020-07-13,12.129
2020-07-14,11.871
2020-07-15,11.881
2020-07-16,11.881
2020-07-17,11.886
2020-07-18,11.886
2020-07-19,11.886
2020-07-20,12.013
2020-07-21,12.013
2020-07-22,12.013
2020-07-23,12.011
2020-07-24,12.011
2020-07-25,12.011
2020-07-26,12.011
2020-07-27,12.011
2020-07-28,12.011
2020-07-29,12.011
2020-07-30,11.987
2020-07-31,11.883
2020-08-01,11.897
2020-08-02,11.897
2020-08-03,11.94
2020-08-04,11.94
2020-08-05,11.94
2020-08-06,11.94
2020-08-07,11.94
2020-08-08,11.94
2020-08-09,11.94
2020-08-10,11.94
2020-08-11,12.013
2020-08-12,12.013
2020-08-13,12.013
2020-08-14,12.013
2020-08-15,12.013
2020-08-16,12.013
2020-08-17,12.013
2020-08-18,12.013
2020-08-19,12.013
2020-08-20,12.013
2020-08-21,12.031
2020-08-22,12.031
2020-08-23,12.031
2020-08-24,12.031
2020-08-25,12.031
2020-08-26,12.031
2020-08-27,12.031
2020-08-28,12.031
2020-08-29,12.031
2020-08-30,12.031
2020-08-31,12.031
2020-09-01,12.031
2020-09-02,12.031
2020-09-03,12.031
2020-09-04,12.031
2020-09-05,12.031
2020-09-06,12.031
2020-09-07,12.031
2020-09-08,12.031
2020-09-09,12.031
2020-09-10,12.031
2020-09-11,12.031
2020-09-12,12.031
2020-09-13,12.031
2020-09-14,12.031
2020-09-15,12.031
2020-09-16,12.031
2020-09-17,12.031
2020-09-18,12.031
2020-09-19,12.031
2020-09-20,12.031
2020-09-21,12.031
2020-09-22,12.028
2020-09-23,12.028
2020-09-24,12.079
2020-09-25,12.079
2020-09-26,12.079
2020-09-27,12.079
2020-09-28,11.98
2020-09-29,11.98
2020-09-30,11.98
2020-10-01,11.98
2020-10-02,11.98
2020-10-03,11.98
2020-10-04,11.98
2020-10-05,11.98
2020-10-06,11.98
2020-10-07,11.98
2020-10-08,11.98
2020-10-09,11.98
2020-10-10,11.98
2020-10-11,11.98
2020-10-12,11.93
2020-10-13,11.93
2020-10-14,11.964
2020-10-15,11.964
2020-10-16,11.956
2020-10-17,11.956
2020-10-18,11.956
2020-10-19,11.933
2020-10-20,11.933
2020-10-21,11.933
2020-10-22,11.987
2020-10-23,11.987
2020-10-24,11.987
2020-10-25,11.987
2020-10-26,11.987
2020-10-27,11.961
2020-10-28,11.9
2020-10-29,11.864
2020-10-30,11.864
2020-10-31,11.864
2020-11-01,11.864
2020-11-02,11.864
2020-11-03,11.864
2020-11-04,11.864
2020-11-05,11.864
2020-11-06,11.864
2020-11-07,11.864
2020-11-08,11.864
2020-11-09,11.765
2020-11-10,11.765
2020-11-11,11.765
2020-11-12,11.765
2020-11-13,11.765
2020-11-14,11.765
2020-11-15,11.765
2020-11-16,11.685
2020-11-17,11.685
2020-11-18,11.685
2020-11-19,11.685
2020-11-20,11.685
2020-11-21,11.685
2020-11-22,11.685
2020-11-23,11.61
2020-11-24,11.61
2020-11-25,11.61
2020-11-26,11.61
2020-11-27,11.61
2020-11-28,11.61
2020-11-29,11.61
2020-11-30,11.61
2020-12-01,11.61
2020-12-02,11.61
2020-12-03,11.61
2020-12-04,11.552
2020-12-05,11.552
2020-12-06,11.552
2020-12-07,11.496
2020-12-08,11.496
2020-12-09,11.496
2020-12-10,11.496
2020-12-11,11.496
2020-12-12,11.496
2020-12-13,11.464
2020-12-14,11.464
2020-12-15,11.511
2020-12-16,11.511
2020-12-17,11.575
2020-12-18,11.575
2020-12-19,11.575
2020-12-20,11.575
2020-12-21,11.609
2020-12-22,11.609
2020-12-23,11.609
2020-12-24,11.609
2020-12-25,11.609
2020-12-26,11.609
2020-12-27,11.609
2020-12-28,11.609
2020-12-29,11.609
2020-12-30,11.609
2020-12-31,11.609
2021-01-01,11.609
2021-01-02,11.609
2021-01-03,11.609
2021-01-04,11.617
2021-01-05,11.617
2021-01-06,11.617
2021-01-07,11.615
2021-01-08,11.615
2021-01-09,11.615
2021-01-10,11.615
2021-01-11,11.68
2021-01-12,11.608
2021-01-13,11.608
2021-01-14,11.608
2021-01-15,11.608
2021-01-16,11.608
2021-01-17,11.608
2021-01-18,11.604
2021-01-19,11.604
2021-01-20,11.613
2021-01-21,11.613
2021-01-22,11.67
2021-01-23,11.67
2021-01-24,11.67
2021-01-25,11.653
2021-01-26,11.649
2021-01-27,11.722
2021-01-28,11.738
2021-01-29,11.729
2021-01-30,11.729
2021-01-31,11.651
2021-02-01,11.69
2021-02-02,11.69
2021-02-03,11.664
2021-02-04,11.651
2021-02-05,11.651
2021-02-06,11.651
2021-02-07,11.651
2021-02-08,11.651
2021-02-09,11.651
2021-02-10,11.651
2021-02-11,11.651
2021-02-12,11.651
2021-02-13,11.651
2021-02-14,11.651
2021-02-15,11.651
2021-02-16,11.65
2021-02-17,11.718
2021-02-18,11.718
2021-02-19,11.718
2021-02-20,11.718
2021-02-21,11.718
2021-02-22,11.718
2021-02-23,11.72
2021-02-24,11.72
2021-02-25,11.72
2021-02-26,11.729
2021-02-27,11.729
2021-02-28,11.729
2021-03-01,11.729
2021-03-02,11.729
2021-03-03,11.729
2021-03-04,11.729
