,FDS US Equity
,BEST_EPS
2020-01-01,14.94
2020-01-02,14.94
2020-01-03,14.94
2020-01-04,14.94
2020-01-05,14.94
2020-01-06,14.94
2020-01-07,14.94
2020-01-08,14.94
2020-01-09,14.94
2020-01-10,14.94
2020-01-11,14.94
2020-01-12,14.94
2020-01-13,14.94
2020-01-14,14.94
2020-01-15,14.94
2020-01-16,14.94
2020-01-17,14.94
2020-01-18,14.94
2020-01-19,14.94
2020-01-20,14.94
2020-01-21,14.94
2020-01-22,14.94
2020-01-23,14.94
2020-01-24,14.94
2020-01-25,14.94
2020-01-26,14.94
2020-01-27,14.94
2020-01-28,14.94
2020-01-29,14.94
2020-01-30,14.94
2020-01-31,14.94
2020-02-01,14.94
2020-02-02,14.94
2020-02-03,14.94
2020-02-04,14.94
2020-02-05,14.94
2020-02-06,14.94
2020-02-07,14.94
2020-02-08,14.94
2020-02-09,14.94
2020-02-10,14.94
2020-02-11,14.94
2020-02-12,14.94
2020-02-13,14.94
2020-02-14,14.94
2020-02-15,14.94
2020-02-16,14.94
2020-02-17,14.94
2020-02-18,14.94
2020-02-19,14.94
2020-02-20,14.94
2020-02-21,14.94
2020-02-22,14.94
2020-02-23,14.94
2020-02-24,14.94
2020-02-25,14.94
2020-02-26,14.94
2020-02-27,14.94
2020-02-28,14.94
2020-02-29,14.94
2020-03-01,14.94
2020-03-02,14.94
2020-03-03,14.94
2020-03-04,14.94
2020-03-05,14.94
2020-03-06,14.94
2020-03-07,14.94
2020-03-08,14.94
2020-03-09,14.94
2020-03-10,14.94
2020-03-11,14.94
2020-03-12,14.94
2020-03-13,14.94
2020-03-14,14.94
2020-03-15,14.94
2020-03-16,14.94
2020-03-17,14.94
2020-03-18,14.94
2020-03-19,14.94
2020-03-20,14.94
2020-03-21,14.94
2020-03-22,14.94
2020-03-23,14.94
2020-03-24,14.94
2020-03-25,14.94
2020-03-26,14.94
2020-03-27,14.94
2020-03-28,14.94
2020-03-29,14.94
2020-03-30,14.94
2020-03-31,14.94
2020-04-01,14.94
2020-04-02,14.94
2020-04-03,14.94
2020-04-04,14.94
2020-04-05,14.94
2020-04-06,14.94
2020-04-07,14.94
2020-04-08,14.94
2020-04-09,14.94
2020-04-10,14.94
2020-04-11,14.94
2020-04-12,14.94
2020-04-13,14.94
2020-04-14,14.94
2020-04-15,14.94
2020-04-16,14.94
2020-04-17,14.94
2020-04-18,14.94
2020-04-19,14.94
2020-04-20,14.94
2020-04-21,14.94
2020-04-22,14.94
2020-04-23,14.94
2020-04-24,14.94
2020-04-25,14.94
2020-04-26,14.94
2020-04-27,14.94
2020-04-28,14.94
2020-04-29,14.94
2020-04-30,14.94
2020-05-01,14.94
2020-05-02,14.94
2020-05-03,14.94
2020-05-04,14.94
2020-05-05,14.94
2020-05-06,14.94
2020-05-07,14.94
2020-05-08,14.94
2020-05-09,14.94
2020-05-10,14.94
2020-05-11,14.94
2020-05-12,14.94
2020-05-13,14.94
2020-05-14,14.94
2020-05-15,14.94
2020-05-16,14.94
2020-05-17,14.94
2020-05-18,14.94
2020-05-19,14.94
2020-05-20,14.94
2020-05-21,14.94
2020-05-22,14.94
2020-05-23,14.94
2020-05-24,14.94
2020-05-25,14.94
2020-05-26,14.94
2020-05-27,14.94
2020-05-28,14.94
2020-05-29,14.94
2020-05-30,14.94
2020-05-31,14.94
2020-06-01,14.94
2020-06-02,14.94
2020-06-03,14.94
2020-06-04,14.94
2020-06-05,14.94
2020-06-06,14.94
2020-06-07,14.94
2020-06-08,14.94
2020-06-09,14.94
2020-06-10,14.94
2020-06-11,14.94
2020-06-12,14.94
2020-06-13,14.94
2020-06-14,14.94
2020-06-15,14.94
