,EOG US Equity
,BEST_EPS
2020-01-01,6.37
2020-01-02,6.37
2020-01-03,6.37
2020-01-04,6.37
2020-01-05,6.37
2020-01-06,6.37
2020-01-07,6.37
2020-01-08,6.37
2020-01-09,6.37
2020-01-10,6.37
2020-01-11,6.37
2020-01-12,6.37
2020-01-13,6.37
2020-01-14,7.36
2020-01-15,7.36
2020-01-16,7.36
2020-01-17,7.36
2020-01-18,7.36
2020-01-19,7.36
2020-01-20,7.36
2020-01-21,7.36
2020-01-22,7.36
2020-01-23,7.36
2020-01-24,7.36
2020-01-25,7.36
2020-01-26,7.36
2020-01-27,7.36
2020-01-28,7.36
2020-01-29,7.36
2020-01-30,7.36
2020-01-31,7.36
2020-02-01,7.36
2020-02-02,7.36
2020-02-03,7.36
2020-02-04,7.36
2020-02-05,7.36
2020-02-06,7.36
2020-02-07,7.36
2020-02-08,7.36
2020-02-09,7.36
2020-02-10,7.36
2020-02-11,7.36
2020-02-12,7.36
2020-02-13,7.36
2020-02-14,7.36
2020-02-15,7.36
2020-02-16,7.36
2020-02-17,7.36
2020-02-18,7.36
2020-02-19,7.36
2020-02-20,7.36
2020-02-21,7.36
2020-02-22,7.36
2020-02-23,7.36
2020-02-24,7.36
2020-02-25,7.36
2020-02-26,7.36
2020-02-27,7.36
2020-02-28,7.36
2020-02-29,7.36
2020-03-01,7.36
2020-03-02,9.69
2020-03-03,9.69
2020-03-04,9.69
2020-03-05,9.69
2020-03-06,9.69
2020-03-07,9.69
2020-03-08,9.69
2020-03-09,9.69
2020-03-10,9.69
2020-03-11,9.69
2020-03-12,9.69
2020-03-13,9.69
2020-03-14,9.69
2020-03-15,9.69
2020-03-16,9.215
2020-03-17,8.665
2020-03-18,8.665
2020-03-19,8.665
2020-03-20,8.665
2020-03-21,8.665
2020-03-22,8.665
2020-03-23,8.665
2020-03-24,8.665
2020-03-25,8.665
2020-03-26,8.665
2020-03-27,8.665
2020-03-28,8.665
2020-03-29,8.665
2020-03-30,8.665
2020-03-31,8.665
2020-04-01,8.665
2020-04-02,8.665
2020-04-03,8.665
2020-04-04,8.665
2020-04-05,8.665
2020-04-06,8.665
2020-04-07,8.665
2020-04-08,8.115
2020-04-09,8.115
2020-04-10,8.115
2020-04-11,8.115
2020-04-12,8.115
2020-04-13,8.115
2020-04-14,8.115
2020-04-15,8.115
2020-04-16,8.115
2020-04-17,8.115
2020-04-18,8.115
2020-04-19,8.115
2020-04-20,8.115
2020-04-21,8.115
2020-04-22,8.115
2020-04-23,8.115
2020-04-24,8.155
2020-04-25,8.155
2020-04-26,8.155
2020-04-27,8.155
2020-04-28,8.155
2020-04-29,8.155
2020-04-30,8.155
2020-05-01,8.155
2020-05-02,8.155
2020-05-03,8.155
2020-05-04,8.155
2020-05-05,8.155
2020-05-06,8.155
2020-05-07,8.155
2020-05-08,8.155
2020-05-09,7.537
2020-05-10,7.537
2020-05-11,6.888
2020-05-12,6.888
2020-05-13,6.888
2020-05-14,6.888
2020-05-15,5.63
2020-05-16,5.63
2020-05-17,5.63
2020-05-18,5.63
2020-05-19,5.63
2020-05-20,5.63
2020-05-21,5.63
2020-05-22,5.63
2020-05-23,5.63
