,PNC US Equity
,BEST_EPS
2020-01-01,19.69
2020-01-02,19.69
2020-01-03,19.69
2020-01-04,19.69
2020-01-05,19.69
2020-01-06,19.69
2020-01-07,19.69
2020-01-08,19.69
2020-01-09,19.69
2020-01-10,19.69
2020-01-11,19.69
2020-01-12,19.69
2020-01-13,19.69
2020-01-14,19.69
2020-01-15,19.69
2020-01-16,19.69
2020-01-17,19.69
2020-01-18,19.69
2020-01-19,19.69
2020-01-20,19.69
2020-01-21,19.69
2020-01-22,19.69
2020-01-23,19.69
2020-01-24,19.69
2020-01-25,19.69
2020-01-26,19.69
2020-01-27,19.69
2020-01-28,19.69
2020-01-29,19.69
2020-01-30,19.69
2020-01-31,19.69
2020-02-01,19.69
2020-02-02,19.69
2020-02-03,19.69
2020-02-04,19.69
2020-02-05,19.69
2020-02-06,19.69
2020-02-07,19.69
2020-02-08,19.69
2020-02-09,19.69
2020-02-10,19.69
2020-02-11,19.69
2020-02-12,19.69
2020-02-13,19.69
2020-02-14,19.69
2020-02-15,19.69
2020-02-16,19.69
2020-02-17,19.69
2020-02-18,19.69
2020-02-19,19.69
2020-02-20,19.69
2020-02-21,19.69
2020-02-22,19.69
2020-02-23,19.69
2020-02-24,19.69
2020-02-25,19.69
2020-02-26,19.69
2020-02-27,19.69
2020-02-28,19.69
2020-02-29,19.69
2020-03-01,19.69
2020-03-02,19.69
2020-03-03,19.69
2020-03-04,19.69
2020-03-05,19.69
2020-03-06,19.69
2020-03-07,19.69
2020-03-08,19.69
2020-03-09,19.69
2020-03-10,19.69
2020-03-11,19.69
2020-03-12,19.69
2020-03-13,19.69
2020-03-14,19.69
2020-03-15,19.69
2020-03-16,19.69
2020-03-17,19.69
2020-03-18,19.69
2020-03-19,19.69
2020-03-20,19.69
2020-03-21,19.69
2020-03-22,19.69
2020-03-23,19.69
2020-03-24,19.69
2020-03-25,19.69
2020-03-26,19.69
2020-03-27,19.69
2020-03-28,19.69
2020-03-29,19.69
2020-03-30,19.69
2020-03-31,19.69
2020-04-01,19.69
2020-04-02,19.69
2020-04-03,19.69
2020-04-04,19.69
2020-04-05,19.69
2020-04-06,19.69
2020-04-07,19.69
2020-04-08,19.69
2020-04-09,19.69
2020-04-10,19.69
2020-04-11,19.69
2020-04-12,19.69
2020-04-13,19.69
2020-04-14,19.69
2020-04-15,19.69
2020-04-16,19.69
2020-04-17,19.69
2020-04-18,19.69
2020-04-19,19.69
2020-04-20,19.69
2020-04-21,19.69
2020-04-22,19.69
2020-04-23,19.69
2020-04-24,19.69
2020-04-25,19.69
2020-04-26,19.69
2020-04-27,19.69
2020-04-28,19.69
2020-04-29,19.69
2020-04-30,19.69
2020-05-01,19.69
2020-05-02,19.69
2020-05-03,19.69
2020-05-04,19.69
2020-05-05,19.69
2020-05-06,19.69
2020-05-07,19.69
2020-05-08,19.69
2020-05-09,19.69
2020-05-10,19.69
2020-05-11,19.69
2020-05-12,19.69
2020-05-13,16.18
2020-05-14,16.18
2020-05-15,16.18
2020-05-16,16.18
2020-05-17,16.18
2020-05-18,16.18
2020-05-19,16.18
2020-05-20,16.18
2020-05-21,16.18
2020-05-22,16.18
2020-05-23,16.18
2020-05-24,16.18
2020-05-25,16.18
2020-05-26,16.18
2020-05-27,16.18
2020-05-28,16.18
2020-05-29,16.18
2020-05-30,16.18
2020-05-31,16.18
2020-06-01,16.18
2020-06-02,16.18
2020-06-03,16.18
2020-06-04,16.18
