,HUM US Equity
,BEST_EPS
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,34.64
2020-01-11,34.64
2020-01-12,34.64
2020-01-13,34.64
2020-01-14,34.64
2020-01-15,34.64
2020-01-16,34.64
2020-01-17,34.64
2020-01-18,34.64
2020-01-19,34.64
2020-01-20,34.64
2020-01-21,34.64
2020-01-22,34.64
2020-01-23,34.64
2020-01-24,34.64
2020-01-25,34.64
2020-01-26,34.64
2020-01-27,34.64
2020-01-28,34.64
2020-01-29,34.64
2020-01-30,34.64
2020-01-31,34.64
2020-02-01,34.64
2020-02-02,34.64
2020-02-03,34.64
2020-02-04,34.64
2020-02-05,36.86
2020-02-06,36.86
2020-02-07,36.86
2020-02-08,36.86
2020-02-09,36.86
2020-02-10,36.86
2020-02-11,36.86
2020-02-12,36.86
2020-02-13,36.86
2020-02-14,36.86
2020-02-15,36.86
2020-02-16,36.86
2020-02-17,36.86
2020-02-18,36.86
2020-02-19,36.86
2020-02-20,36.86
2020-02-21,36.86
2020-02-22,36.86
2020-02-23,36.86
2020-02-24,36.86
2020-02-25,36.86
2020-02-26,36.86
2020-02-27,36.86
2020-02-28,36.86
2020-02-29,36.86
2020-03-01,36.86
2020-03-02,36.86
2020-03-03,36.86
2020-03-04,36.86
2020-03-05,36.86
2020-03-06,36.86
2020-03-07,36.86
2020-03-08,36.86
2020-03-09,36.86
2020-03-10,36.86
2020-03-11,36.86
2020-03-12,36.86
2020-03-13,36.86
2020-03-14,36.86
2020-03-15,36.86
2020-03-16,36.86
2020-03-17,36.86
2020-03-18,36.86
2020-03-19,36.86
2020-03-20,36.86
2020-03-21,36.86
2020-03-22,36.86
2020-03-23,36.86
2020-03-24,36.86
2020-03-25,36.86
2020-03-26,36.86
2020-03-27,36.86
2020-03-28,36.86
2020-03-29,36.86
2020-03-30,36.86
2020-03-31,36.86
2020-04-01,36.86
2020-04-02,36.86
2020-04-03,36.86
2020-04-04,36.86
2020-04-05,36.86
2020-04-06,36.86
2020-04-07,36.86
2020-04-08,36.86
2020-04-09,36.86
2020-04-10,36.86
2020-04-11,36.86
2020-04-12,36.86
2020-04-13,36.86
2020-04-14,36.86
2020-04-15,36.86
2020-04-16,36.86
2020-04-17,36.86
2020-04-18,36.86
2020-04-19,36.86
2020-04-20,36.86
2020-04-21,36.86
2020-04-22,36.86
2020-04-23,36.86
2020-04-24,35.41
2020-04-25,35.41
2020-04-26,35.41
2020-04-27,35.41
2020-04-28,35.41
2020-04-29,36.41
2020-04-30,32.585
2020-05-01,32.585
2020-05-02,32.585
2020-05-03,32.585
2020-05-04,32.585
2020-05-05,32.585
2020-05-06,32.585
2020-05-07,32.585
2020-05-08,32.585
2020-05-09,32.585
2020-05-10,32.585
2020-05-11,32.585
2020-05-12,32.585
2020-05-13,32.585
2020-05-14,32.585
2020-05-15,32.585
2020-05-16,32.585
2020-05-17,32.585
2020-05-18,32.585
2020-05-19,32.585
2020-05-20,32.585
2020-05-21,32.585
2020-05-22,32.585
2020-05-23,32.585
2020-05-24,32.585
2020-05-25,32.585
2020-05-26,32.585
2020-05-27,32.585
2020-05-28,32.585
2020-05-29,32.585
2020-05-30,32.585
2020-05-31,32.585
2020-06-01,32.585
2020-06-02,32.585
2020-06-03,32.585
2020-06-04,32.585
2020-06-05,32.585
2020-06-06,32.585
2020-06-07,32.585
2020-06-08,32.585
2020-06-09,32.585
2020-06-10,32.585
2020-06-11,32.585
2020-06-12,32.585
2020-06-13,32.585
2020-06-14,32.585
2020-06-15,32.585
2020-06-16,32.94
2020-06-17,32.94
2020-06-18,32.94
2020-06-19,32.96
2020-06-20,32.96
2020-06-21,32.96
2020-06-22,32.96
2020-06-23,32.96
2020-06-24,32.96
2020-06-25,32.96
2020-06-26,32.96
2020-06-27,32.96
2020-06-28,32.96
2020-06-29,32.96
2020-06-30,32.96
2020-07-01,32.96
2020-07-02,32.96
2020-07-03,32.96
2020-07-04,32.96
2020-07-05,32.96
2020-07-06,32.96
2020-07-07,32.96
2020-07-08,32.96
2020-07-09,32.96
2020-07-10,32.96
2020-07-11,32.96
2020-07-12,32.96
2020-07-13,32.96
2020-07-14,32.96
2020-07-15,32.96
2020-07-16,32.96
2020-07-17,32.96
2020-07-18,32.96
2020-07-19,32.96
2020-07-20,32.96
2020-07-21,32.96
2020-07-22,32.96
2020-07-23,32.96
2020-07-24,32.96
2020-07-25,32.96
2020-07-26,32.96
2020-07-27,32.96
2020-07-28,32.96
2020-07-29,32.96
2020-07-30,32.96
2020-07-31,32.96
2020-08-01,32.96
2020-08-02,32.96
2020-08-03,32.96
2020-08-04,32.96
2020-08-05,31.78
2020-08-06,32.01
2020-08-07,32.01
2020-08-08,32.01
2020-08-09,32.01
2020-08-10,32.01
2020-08-11,32.01
2020-08-12,32.01
2020-08-13,32.01
2020-08-14,32.01
2020-08-15,32.01
2020-08-16,32.01
2020-08-17,32.01
2020-08-18,32.01
2020-08-19,32.01
2020-08-20,32.01
2020-08-21,32.01
2020-08-22,32.01
2020-08-23,32.01
2020-08-24,32.01
2020-08-25,32.01
2020-08-26,32.01
2020-08-27,32.01
2020-08-28,32.01
2020-08-29,32.01
2020-08-30,32.01
2020-08-31,32.01
2020-09-01,32.01
2020-09-02,32.01
2020-09-03,32.01
2020-09-04,32.01
2020-09-05,32.01
2020-09-06,32.01
2020-09-07,32.01
2020-09-08,32.01
2020-09-09,32.01
2020-09-10,32.01
2020-09-11,32.01
2020-09-12,32.01
2020-09-13,32.01
2020-09-14,32.01
2020-09-15,32.01
2020-09-16,32.01
2020-09-17,32.01
2020-09-18,32.01
2020-09-19,32.01
2020-09-20,32.01
2020-09-21,32.01
2020-09-22,32.01
2020-09-23,32.01
2020-09-24,32.01
2020-09-25,32.01
2020-09-26,32.01
2020-09-27,32.01
2020-09-28,32.01
2020-09-29,32.01
2020-09-30,32.01
2020-10-01,32.01
2020-10-02,32.01
2020-10-03,32.01
2020-10-04,32.01
2020-10-05,32.01
2020-10-06,32.01
2020-10-07,32.01
2020-10-08,32.01
2020-10-09,32.01
2020-10-10,32.01
2020-10-11,32.01
2020-10-12,32.01
2020-10-13,32.01
2020-10-14,32.01
2020-10-15,32.01
2020-10-16,32.01
2020-10-17,32.01
2020-10-18,32.01
2020-10-19,32.01
2020-10-20,32.01
2020-10-21,32.01
2020-10-22,32.01
2020-10-23,32.04
2020-10-24,32.04
2020-10-25,32.04
2020-10-26,32.04
2020-10-27,32.04
2020-10-28,32.04
2020-10-29,32.04
2020-10-30,32.04
2020-10-31,32.04
2020-11-01,32.04
2020-11-02,32.04
2020-11-03,31.675
2020-11-04,32.06
2020-11-05,32.06
2020-11-06,32.06
2020-11-07,32.06
2020-11-08,32.06
2020-11-09,32.06
2020-11-10,32.06
2020-11-11,32.06
2020-11-12,32.06
2020-11-13,32.06
2020-11-14,32.06
2020-11-15,32.06
2020-11-16,32.06
2020-11-17,32.06
2020-11-18,32.06
2020-11-19,32.06
2020-11-20,32.06
2020-11-21,32.06
2020-11-22,32.06
2020-11-23,32.06
2020-11-24,32.06
2020-11-25,32.06
2020-11-26,32.06
2020-11-27,32.06
2020-11-28,32.06
2020-11-29,32.06
2020-11-30,32.06
2020-12-01,32.06
2020-12-02,32.06
2020-12-03,32.06
2020-12-04,32.06
2020-12-05,32.06
2020-12-06,32.06
2020-12-07,32.06
2020-12-08,32.06
2020-12-09,32.06
2020-12-10,32.06
2020-12-11,32.06
2020-12-12,32.06
2020-12-13,32.06
2020-12-14,32.06
2020-12-15,32.06
2020-12-16,32.06
2020-12-17,32.06
2020-12-18,32.06
2020-12-19,32.06
2020-12-20,32.06
2020-12-21,32.06
2020-12-22,32.06
2020-12-23,32.06
2020-12-24,32.06
2020-12-25,32.06
2020-12-26,32.06
2020-12-27,32.06
2020-12-28,32.06
2020-12-29,32.06
2020-12-30,32.06
2020-12-31,32.06
2021-01-01,32.06
2021-01-02,32.06
2021-01-03,32.06
2021-01-04,32.06
2021-01-05,32.06
2021-01-06,32.06
2021-01-07,32.06
2021-01-08,32.06
2021-01-09,32.06
2021-01-10,32.06
2021-01-11,32.06
2021-01-12,32.06
2021-01-13,32.06
2021-01-14,32.06
2021-01-15,32.06
2021-01-16,32.06
2021-01-17,32.06
2021-01-18,32.06
2021-01-19,32.06
2021-01-20,32.06
2021-01-21,32.06
2021-01-22,32.06
2021-01-23,32.06
2021-01-24,32.06
2021-01-25,32.06
2021-01-26,32.06
2021-01-27,32.06
2021-01-28,32.06
2021-01-29,32.06
2021-01-30,32.06
2021-01-31,32.06
2021-02-01,30.835
2021-02-02,30.835
2021-02-03,30.845
2021-02-04,30.845
2021-02-05,30.845
2021-02-06,30.845
2021-02-07,30.845
2021-02-08,30.845
2021-02-09,30.845
2021-02-10,30.845
2021-02-11,30.845
2021-02-12,30.845
2021-02-13,30.845
2021-02-14,30.845
2021-02-15,30.845
2021-02-16,30.845
2021-02-17,30.845
2021-02-18,30.845
2021-02-19,30.845
2021-02-20,30.845
2021-02-21,30.845
2021-02-22,30.845
2021-02-23,30.845
2021-02-24,30.845
2021-02-25,30.845
2021-02-26,30.845
2021-02-27,30.845
2021-02-28,30.845
2021-03-01,30.845
2021-03-02,31.7
2021-03-03,31.7
2021-03-04,31.7
2021-03-05,31.7
2021-03-06,31.7
2021-03-07,31.7
2021-03-08,31.7
2021-03-09,31.7
2021-03-10,31.7
2021-03-11,31.7
2021-03-12,31.7
2021-03-13,31.7
2021-03-14,31.7
2021-03-15,31.7
2021-03-16,31.7
2021-03-17,31.7
2021-03-18,31.7
2021-03-19,31.7
2021-03-20,31.7
2021-03-21,31.7
2021-03-22,31.7
2021-03-23,31.7
