,MMM US Equity
,BEST_EPS
2020-01-01,12.25
2020-01-02,12.25
2020-01-03,12.25
2020-01-04,12.25
2020-01-05,12.25
2020-01-06,12.25
2020-01-07,12.25
2020-01-08,12.25
2020-01-09,12.25
2020-01-10,12.25
2020-01-11,12.25
2020-01-12,12.25
2020-01-13,12.25
2020-01-14,12.25
2020-01-15,12.25
2020-01-16,12.25
2020-01-17,12.25
2020-01-18,12.25
2020-01-19,12.25
2020-01-20,12.25
2020-01-21,12.25
2020-01-22,12.25
2020-01-23,12.25
2020-01-24,12.25
2020-01-25,12.25
2020-01-26,12.25
2020-01-27,12.25
2020-01-28,12.25
2020-01-29,12.25
2020-01-30,12.25
2020-01-31,12.25
2020-02-01,12.25
2020-02-02,12.25
2020-02-03,12.25
2020-02-04,12.25
2020-02-05,12.25
2020-02-06,12.25
2020-02-07,12.25
2020-02-08,12.25
2020-02-09,12.25
2020-02-10,12.25
2020-02-11,12.25
2020-02-12,12.25
2020-02-13,12.25
2020-02-14,12.25
2020-02-15,12.25
2020-02-16,12.25
2020-02-17,12.25
2020-02-18,12.25
2020-02-19,12.25
2020-02-20,12.25
2020-02-21,12.25
2020-02-22,12.25
2020-02-23,12.25
2020-02-24,12.25
2020-02-25,12.25
2020-02-26,12.25
2020-02-27,12.25
2020-02-28,12.25
2020-02-29,12.25
2020-03-01,12.25
2020-03-02,12.25
2020-03-03,12.25
2020-03-04,12.25
2020-03-05,12.25
2020-03-06,12.25
2020-03-07,12.25
2020-03-08,12.25
2020-03-09,12.25
2020-03-10,12.25
2020-03-11,12.25
2020-03-12,12.25
2020-03-13,12.25
2020-03-14,12.25
2020-03-15,12.25
2020-03-16,12.25
2020-03-17,12.25
2020-03-18,12.25
2020-03-19,12.25
2020-03-20,12.25
2020-03-21,12.25
2020-03-22,12.25
2020-03-23,12.25
2020-03-24,12.25
2020-03-25,12.25
2020-03-26,12.25
2020-03-27,12.25
2020-03-28,12.25
2020-03-29,12.25
2020-03-30,12.25
2020-03-31,12.25
2020-04-01,12.25
2020-04-02,12.25
2020-04-03,12.25
2020-04-04,12.25
2020-04-05,12.25
2020-04-06,12.25
2020-04-07,12.25
2020-04-08,12.25
2020-04-09,12.25
2020-04-10,12.25
2020-04-11,12.25
2020-04-12,12.25
2020-04-13,12.25
2020-04-14,12.25
2020-04-15,12.25
2020-04-16,12.25
2020-04-17,12.25
2020-04-18,12.25
2020-04-19,12.25
2020-04-20,12.25
2020-04-21,12.25
2020-04-22,12.25
2020-04-23,12.25
2020-04-24,12.25
2020-04-25,12.25
2020-04-26,12.25
2020-04-27,12.25
2020-04-28,12.25
2020-04-29,12.25
2020-04-30,12.25
2020-05-01,12.25
2020-05-02,12.25
2020-05-03,12.25
2020-05-04,12.25
2020-05-05,12.25
2020-05-06,12.25
2020-05-07,12.25
2020-05-08,12.25
2020-05-09,12.25
2020-05-10,12.25
2020-05-11,12.25
2020-05-12,12.25
2020-05-13,12.25
2020-05-14,12.25
2020-05-15,12.25
2020-05-16,12.25
2020-05-17,12.25
2020-05-18,12.625
2020-05-19,12.625
2020-05-20,12.167
2020-05-21,12.167
2020-05-22,12.167
2020-05-23,12.167
2020-05-24,12.167
2020-05-25,12.167
2020-05-26,12.167
2020-05-27,12.167
2020-05-28,12.167
2020-05-29,12.167
2020-05-30,12.167
2020-05-31,12.167
2020-06-01,12.167
2020-06-02,12.167
2020-06-03,12.167
2020-06-04,12.167
2020-06-05,12.167
2020-06-06,12.167
2020-06-07,12.167
2020-06-08,12.167
2020-06-09,12.167
2020-06-10,12.167
2020-06-11,12.167
2020-06-12,12.167
