,IFF US Equity
,BEST_EPS
2020-01-01,8.585
2020-01-02,8.585
2020-01-03,8.585
2020-01-04,8.585
2020-01-05,8.585
2020-01-06,8.585
2020-01-07,8.585
2020-01-08,8.13
2020-01-09,8.13
2020-01-10,8.13
2020-01-11,8.13
2020-01-12,8.13
2020-01-13,8.13
2020-01-14,8.13
2020-01-15,8.13
2020-01-16,8.13
2020-01-17,8.13
2020-01-18,8.13
2020-01-19,8.13
2020-01-20,8.13
2020-01-21,8.13
2020-01-22,8.13
2020-01-23,8.13
2020-01-24,8.13
2020-01-25,8.13
2020-01-26,8.13
2020-01-27,8.13
2020-01-28,8.13
2020-01-29,8.13
2020-01-30,8.13
2020-01-31,8.13
2020-02-01,8.13
2020-02-02,8.13
2020-02-03,8.13
2020-02-04,8.13
2020-02-05,8.13
2020-02-06,8.13
2020-02-07,7.55
2020-02-08,7.55
2020-02-09,7.55
2020-02-10,7.55
2020-02-11,7.55
2020-02-12,7.55
2020-02-13,7.655
2020-02-14,7.655
2020-02-15,7.655
2020-02-16,7.655
2020-02-17,7.655
2020-02-18,7.655
2020-02-19,7.655
2020-02-20,7.655
2020-02-21,7.7
2020-02-22,7.7
2020-02-23,7.7
2020-02-24,7.7
2020-02-25,7.7
2020-02-26,7.7
2020-02-27,7.7
2020-02-28,7.7
2020-02-29,7.7
2020-03-01,7.7
2020-03-02,7.7
2020-03-03,7.7
2020-03-04,7.7
2020-03-05,7.7
2020-03-06,7.7
2020-03-07,7.7
2020-03-08,7.7
2020-03-09,7.7
2020-03-10,7.7
2020-03-11,7.7
2020-03-12,7.7
2020-03-13,7.69
2020-03-14,7.69
2020-03-15,7.69
2020-03-16,7.69
2020-03-17,7.69
2020-03-18,7.69
2020-03-19,7.69
2020-03-20,7.69
2020-03-21,7.69
2020-03-22,7.69
2020-03-23,7.69
2020-03-24,7.69
2020-03-25,7.69
2020-03-26,7.69
2020-03-27,7.69
2020-03-28,7.69
2020-03-29,7.69
2020-03-30,7.655
2020-03-31,7.655
2020-04-01,7.655
2020-04-02,7.655
2020-04-03,7.655
2020-04-04,7.655
2020-04-05,7.655
2020-04-06,7.565
2020-04-07,7.565
2020-04-08,7.565
2020-04-09,7.565
2020-04-10,7.565
2020-04-11,7.565
2020-04-12,7.565
