,GRA US Equity
,BEST_EPS
2020-01-01,5.34
2020-01-02,5.34
2020-01-03,5.34
2020-01-04,5.34
2020-01-05,5.34
2020-01-06,5.337
2020-01-07,5.337
2020-01-08,5.337
2020-01-09,5.337
2020-01-10,5.337
2020-01-11,5.337
2020-01-12,5.337
2020-01-13,5.326
2020-01-14,5.326
2020-01-15,5.326
2020-01-16,5.326
2020-01-17,5.326
2020-01-18,5.326
2020-01-19,5.326
2020-01-20,5.326
2020-01-21,5.326
2020-01-22,5.326
2020-01-23,5.309
2020-01-24,5.309
2020-01-25,5.309
2020-01-26,5.309
2020-01-27,5.309
2020-01-28,5.309
2020-01-29,5.309
2020-01-30,5.309
2020-01-31,5.309
2020-02-01,5.309
2020-02-02,5.309
2020-02-03,5.309
2020-02-04,5.263
2020-02-05,5.237
2020-02-06,5.237
2020-02-07,5.222
2020-02-08,5.222
2020-02-09,5.222
2020-02-10,5.222
2020-02-11,5.222
2020-02-12,5.222
2020-02-13,5.217
2020-02-14,5.217
2020-02-15,5.217
2020-02-16,5.217
2020-02-17,5.217
2020-02-18,5.217
2020-02-19,5.217
2020-02-20,5.217
2020-02-21,5.217
2020-02-22,5.217
2020-02-23,5.217
2020-02-24,5.217
2020-02-25,5.217
2020-02-26,5.217
2020-02-27,5.217
2020-02-28,5.217
2020-02-29,5.217
2020-03-01,5.217
2020-03-02,5.217
2020-03-03,5.217
2020-03-04,5.217
2020-03-05,5.217
2020-03-06,5.217
2020-03-07,5.217
2020-03-08,5.217
2020-03-09,5.217
2020-03-10,5.217
2020-03-11,5.219
2020-03-12,5.219
2020-03-13,5.219
2020-03-14,5.219
2020-03-15,5.219
2020-03-16,5.219
2020-03-17,5.219
2020-03-18,5.206
2020-03-19,5.206
2020-03-20,5.206
2020-03-21,5.206
2020-03-22,5.206
2020-03-23,5.178
2020-03-24,5.178
2020-03-25,5.178
2020-03-26,5.111
2020-03-27,5.0
2020-03-28,5.0
2020-03-29,5.0
2020-03-30,4.863
2020-03-31,4.863
2020-04-01,4.863
2020-04-02,4.863
2020-04-03,4.764
2020-04-04,4.764
2020-04-05,4.764
2020-04-06,4.582
2020-04-07,4.582
2020-04-08,4.56
2020-04-09,4.56
2020-04-10,4.56
2020-04-11,4.56
2020-04-12,4.56
2020-04-13,4.56
2020-04-14,4.56
2020-04-15,4.56
2020-04-16,4.498
2020-04-17,4.498
2020-04-18,4.498
2020-04-19,4.498
2020-04-20,4.498
2020-04-21,4.498
2020-04-22,4.498
2020-04-23,4.498
2020-04-24,4.498
2020-04-25,4.498
2020-04-26,4.498
2020-04-27,4.498
2020-04-28,4.498
2020-04-29,4.498
2020-04-30,4.313
2020-05-01,4.263
2020-05-02,4.263
2020-05-03,4.263
2020-05-04,4.181
2020-05-05,4.181
2020-05-06,4.092
2020-05-07,4.092
2020-05-08,4.073
2020-05-09,4.073
2020-05-10,4.073
2020-05-11,4.073
2020-05-12,4.073
2020-05-13,4.072
2020-05-14,4.067
2020-05-15,4.067
2020-05-16,4.067
2020-05-17,4.067
2020-05-18,4.067
2020-05-19,4.067
2020-05-20,4.067
2020-05-21,4.067
2020-05-22,4.067
2020-05-23,4.067
2020-05-24,4.067
2020-05-25,4.067
2020-05-26,4.067
2020-05-27,4.067
2020-05-28,4.067
2020-05-29,4.067
2020-05-30,4.067
2020-05-31,4.067
2020-06-01,4.067
2020-06-02,4.067
