,SYY US Equity
,BEST_EPS
2020-01-01,5.085
2020-01-02,5.085
2020-01-03,5.085
2020-01-04,5.085
2020-01-05,5.085
2020-01-06,5.085
2020-01-07,5.085
2020-01-08,5.085
2020-01-09,5.085
2020-01-10,5.085
2020-01-11,5.085
2020-01-12,5.085
2020-01-13,5.085
2020-01-14,5.085
2020-01-15,5.085
2020-01-16,5.085
2020-01-17,5.085
2020-01-18,5.085
2020-01-19,5.085
2020-01-20,5.085
2020-01-21,5.085
2020-01-22,5.085
2020-01-23,5.085
2020-01-24,5.085
2020-01-25,5.085
2020-01-26,5.085
2020-01-27,5.085
2020-01-28,5.085
2020-01-29,5.085
2020-01-30,5.085
2020-01-31,5.085
2020-02-01,5.085
2020-02-02,5.085
2020-02-03,4.91
2020-02-04,4.91
2020-02-05,4.91
2020-02-06,4.91
2020-02-07,4.91
2020-02-08,4.91
2020-02-09,4.91
2020-02-10,4.91
2020-02-11,4.91
2020-02-12,4.91
2020-02-13,4.91
2020-02-14,4.91
2020-02-15,4.91
2020-02-16,4.91
2020-02-17,4.91
2020-02-18,4.91
2020-02-19,4.91
2020-02-20,4.91
2020-02-21,4.91
2020-02-22,4.91
2020-02-23,4.91
2020-02-24,4.91
2020-02-25,4.91
2020-02-26,4.91
2020-02-27,4.91
2020-02-28,4.91
2020-02-29,4.91
2020-03-01,4.91
2020-03-02,4.91
2020-03-03,4.91
2020-03-04,4.91
2020-03-05,4.91
2020-03-06,4.91
2020-03-07,4.91
2020-03-08,4.91
2020-03-09,4.91
2020-03-10,4.91
2020-03-11,4.91
2020-03-12,4.91
2020-03-13,4.91
2020-03-14,4.91
2020-03-15,4.91
2020-03-16,4.91
2020-03-17,4.91
2020-03-18,4.91
2020-03-19,4.91
2020-03-20,4.91
2020-03-21,4.91
2020-03-22,4.91
2020-03-23,4.91
2020-03-24,4.91
2020-03-25,4.91
2020-03-26,4.7
2020-03-27,4.7
2020-03-28,4.7
2020-03-29,4.7
2020-03-30,4.7
2020-03-31,4.7
2020-04-01,4.7
2020-04-02,4.7
2020-04-03,4.7
2020-04-04,4.7
2020-04-05,4.7
2020-04-06,4.7
2020-04-07,4.7
2020-04-08,4.7
2020-04-09,4.7
2020-04-10,4.7
2020-04-11,4.7
2020-04-12,4.7
2020-04-13,4.7
2020-04-14,4.7
2020-04-15,4.7
2020-04-16,4.7
2020-04-17,4.7
2020-04-18,4.7
2020-04-19,4.7
