,NOC US Equity
,BEST_EPS
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,32.96
2020-02-01,32.96
2020-02-02,32.96
2020-02-03,32.96
2020-02-04,32.96
2020-02-05,32.96
2020-02-06,32.96
2020-02-07,32.96
2020-02-08,32.96
2020-02-09,32.96
2020-02-10,32.96
2020-02-11,32.96
2020-02-12,32.96
2020-02-13,32.96
2020-02-14,32.96
2020-02-15,32.96
2020-02-16,32.96
2020-02-17,32.96
2020-02-18,32.96
2020-02-19,32.96
2020-02-20,32.96
2020-02-21,32.96
2020-02-22,32.96
2020-02-23,32.96
2020-02-24,32.96
2020-02-25,32.96
2020-02-26,32.96
2020-02-27,32.96
2020-02-28,32.96
2020-02-29,32.96
2020-03-01,32.96
2020-03-02,32.96
2020-03-03,32.96
2020-03-04,32.96
2020-03-05,32.96
2020-03-06,32.96
2020-03-07,32.96
2020-03-08,32.96
2020-03-09,32.96
2020-03-10,32.96
2020-03-11,32.96
2020-03-12,32.96
2020-03-13,32.96
2020-03-14,32.96
2020-03-15,32.96
2020-03-16,32.96
2020-03-17,32.96
2020-03-18,32.96
2020-03-19,32.96
2020-03-20,32.96
2020-03-21,32.96
2020-03-22,32.96
2020-03-23,32.96
2020-03-24,32.96
2020-03-25,32.96
2020-03-26,32.96
2020-03-27,32.96
2020-03-28,32.96
2020-03-29,32.96
2020-03-30,32.96
2020-03-31,32.96
2020-04-01,32.96
2020-04-02,32.96
2020-04-03,32.96
2020-04-04,32.96
2020-04-05,32.96
2020-04-06,32.96
2020-04-07,32.96
2020-04-08,32.96
2020-04-09,32.96
2020-04-10,32.96
2020-04-11,32.96
2020-04-12,32.96
2020-04-13,32.96
2020-04-14,32.96
2020-04-15,32.96
2020-04-16,32.96
2020-04-17,32.96
2020-04-18,32.96
2020-04-19,32.96
2020-04-20,32.96
2020-04-21,32.96
2020-04-22,32.96
2020-04-23,32.96
2020-04-24,32.96
2020-04-25,32.96
2020-04-26,32.96
2020-04-27,32.96
2020-04-28,32.96
2020-04-29,32.96
2020-04-30,32.96
2020-05-01,27.36
2020-05-02,27.36
2020-05-03,29.075
2020-05-04,29.075
2020-05-05,29.075
2020-05-06,29.075
2020-05-07,29.075
2020-05-08,29.075
2020-05-09,29.075
2020-05-10,29.075
2020-05-11,29.075
2020-05-12,29.075
2020-05-13,29.075
2020-05-14,29.075
2020-05-15,30.467
2020-05-16,30.467
2020-05-17,30.467
2020-05-18,30.467
2020-05-19,30.467
2020-05-20,30.467
2020-05-21,30.467
2020-05-22,30.467
2020-05-23,30.467
2020-05-24,30.467
2020-05-25,30.467
2020-05-26,30.467
2020-05-27,30.467
2020-05-28,30.467
2020-05-29,30.467
2020-05-30,30.467
2020-05-31,30.467
2020-06-01,30.467
2020-06-02,30.467
2020-06-03,30.467
2020-06-04,30.467
2020-06-05,30.467
2020-06-06,30.467
2020-06-07,30.467
2020-06-08,30.467
2020-06-09,30.467
2020-06-10,30.467
2020-06-11,30.467
2020-06-12,30.467
2020-06-13,30.467
2020-06-14,30.467
2020-06-15,30.467
2020-06-16,30.467
2020-06-17,30.467
2020-06-18,30.467
2020-06-19,30.467
2020-06-20,30.467
2020-06-21,30.467
2020-06-22,30.467
2020-06-23,30.467
2020-06-24,30.467
2020-06-25,30.467
2020-06-26,30.467
2020-06-27,30.467
2020-06-28,30.467
2020-06-29,30.467
2020-06-30,30.467
2020-07-01,30.467
2020-07-02,30.467
2020-07-03,30.467
2020-07-04,30.467
2020-07-05,30.467
2020-07-06,30.467
2020-07-07,30.467
2020-07-08,30.467
2020-07-09,30.467
2020-07-10,30.467
2020-07-11,30.467
2020-07-12,30.467
2020-07-13,30.467
2020-07-14,30.467
2020-07-15,30.467
2020-07-16,30.467
2020-07-17,30.467
2020-07-18,30.467
2020-07-19,30.467
2020-07-20,30.467
2020-07-21,30.467
2020-07-22,30.467
2020-07-23,30.467
2020-07-24,30.467
2020-07-25,30.467
2020-07-26,30.467
2020-07-27,30.467
2020-07-28,30.467
2020-07-29,30.467
2020-07-30,29.555
2020-07-31,31.62
2020-08-01,31.62
2020-08-02,31.62
2020-08-03,31.62
2020-08-04,31.62
2020-08-05,31.62
2020-08-06,31.62
2020-08-07,31.62
2020-08-08,31.62
2020-08-09,31.62
2020-08-10,31.62
2020-08-11,31.62
2020-08-12,31.62
2020-08-13,31.62
2020-08-14,31.62
2020-08-15,31.62
2020-08-16,31.62
2020-08-17,31.62
2020-08-18,31.62
2020-08-19,31.62
2020-08-20,31.62
2020-08-21,31.62
2020-08-22,31.62
2020-08-23,31.62
2020-08-24,31.62
2020-08-25,31.62
2020-08-26,31.62
2020-08-27,31.62
2020-08-28,31.62
2020-08-29,31.62
2020-08-30,31.62
2020-08-31,31.62
2020-09-01,31.62
2020-09-02,31.62
2020-09-03,31.62
2020-09-04,31.62
2020-09-05,31.62
2020-09-06,31.62
2020-09-07,31.62
2020-09-08,31.62
2020-09-09,31.62
2020-09-10,31.62
2020-09-11,31.62
2020-09-12,31.62
2020-09-13,31.62
2020-09-14,31.62
2020-09-15,31.62
2020-09-16,31.62
2020-09-17,31.62
2020-09-18,31.62
2020-09-19,31.62
2020-09-20,31.62
2020-09-21,31.62
2020-09-22,31.62
2020-09-23,31.62
2020-09-24,31.62
2020-09-25,31.62
2020-09-26,31.62
2020-09-27,31.62
2020-09-28,31.62
2020-09-29,31.62
2020-09-30,31.62
2020-10-01,31.62
2020-10-02,31.62
2020-10-03,31.62
2020-10-04,31.62
2020-10-05,31.62
2020-10-06,31.62
2020-10-07,31.62
2020-10-08,31.62
2020-10-09,31.62
2020-10-10,31.62
2020-10-11,31.62
2020-10-12,31.62
2020-10-13,31.62
2020-10-14,31.62
2020-10-15,31.62
2020-10-16,31.62
2020-10-17,31.62
2020-10-18,31.62
2020-10-19,31.62
2020-10-20,31.62
2020-10-21,31.62
2020-10-22,29.926
2020-10-23,29.587
2020-10-24,29.587
2020-10-25,29.587
2020-10-26,29.587
2020-10-27,29.587
2020-10-28,29.587
2020-10-29,29.587
2020-10-30,29.587
2020-10-31,29.587
2020-11-01,29.587
2020-11-02,29.587
2020-11-03,29.587
2020-11-04,29.587
2020-11-05,29.587
2020-11-06,29.587
2020-11-07,29.587
2020-11-08,29.587
2020-11-09,29.587
2020-11-10,29.587
2020-11-11,29.587
2020-11-12,29.587
2020-11-13,29.587
2020-11-14,29.587
2020-11-15,29.587
2020-11-16,29.587
2020-11-17,29.587
2020-11-18,29.587
2020-11-19,29.587
2020-11-20,29.587
2020-11-21,29.587
2020-11-22,29.587
2020-11-23,29.587
2020-11-24,29.587
2020-11-25,29.587
2020-11-26,29.587
2020-11-27,29.587
2020-11-28,29.587
2020-11-29,29.587
2020-11-30,29.587
2020-12-01,29.587
2020-12-02,29.587
2020-12-03,29.587
2020-12-04,29.587
2020-12-05,29.587
2020-12-06,29.587
2020-12-07,29.587
2020-12-08,29.587
2020-12-09,29.523
2020-12-10,29.523
2020-12-11,29.523
2020-12-12,29.523
2020-12-13,29.523
2020-12-14,29.523
2020-12-15,29.523
2020-12-16,29.523
2020-12-17,29.523
2020-12-18,29.523
2020-12-19,29.523
2020-12-20,29.523
2020-12-21,29.523
2020-12-22,29.523
2020-12-23,29.523
2020-12-24,29.523
2020-12-25,29.523
2020-12-26,29.523
2020-12-27,29.523
2020-12-28,29.523
2020-12-29,29.523
2020-12-30,29.523
2020-12-31,29.523
2021-01-01,29.523
2021-01-02,29.523
2021-01-03,29.523
2021-01-04,29.523
2021-01-05,29.523
2021-01-06,29.523
2021-01-07,29.523
2021-01-08,29.523
2021-01-09,29.523
2021-01-10,29.523
2021-01-11,29.523
2021-01-12,29.523
2021-01-13,29.43
2021-01-14,29.43
2021-01-15,29.43
2021-01-16,29.43
2021-01-17,29.43
2021-01-18,29.43
2021-01-19,29.43
2021-01-20,29.43
2021-01-21,29.43
2021-01-22,29.43
2021-01-23,29.43
2021-01-24,29.43
2021-01-25,29.43
2021-01-26,29.43
2021-01-27,29.43
2021-01-28,29.628
2021-01-29,29.56
2021-01-30,28.9
2021-01-31,28.9
2021-02-01,28.9
2021-02-02,28.91
2021-02-03,28.91
2021-02-04,28.91
2021-02-05,28.91
2021-02-06,28.91
2021-02-07,28.91
2021-02-08,28.91
2021-02-09,28.91
2021-02-10,28.91
2021-02-11,28.91
2021-02-12,28.91
2021-02-13,28.91
2021-02-14,28.91
2021-02-15,28.91
2021-02-16,29.332
2021-02-17,29.332
2021-02-18,29.332
2021-02-19,29.332
2021-02-20,29.332
2021-02-21,29.332
2021-02-22,29.332
2021-02-23,29.332
2021-02-24,29.332
2021-02-25,29.332
2021-02-26,29.332
2021-02-27,29.332
2021-02-28,29.332
2021-03-01,29.332
2021-03-02,29.332
2021-03-03,29.332
2021-03-04,29.332
2021-03-05,29.332
2021-03-06,29.332
2021-03-07,29.332
2021-03-08,29.332
2021-03-09,29.332
2021-03-10,29.332
2021-03-11,29.332
2021-03-12,29.332
2021-03-13,29.332
2021-03-14,29.332
2021-03-15,29.332
2021-03-16,29.332
2021-03-17,29.504
2021-03-18,29.504
2021-03-19,29.504
2021-03-20,29.504
2021-03-21,29.504
2021-03-22,29.504
2021-03-23,29.504
2021-03-24,29.504
2021-03-25,29.504
2021-03-26,29.504
2021-03-27,29.504
2021-03-28,29.504
