,REGN US Equity
,BEST_EPS
2020-01-01,26.221
2020-01-02,26.932
2020-01-03,26.932
2020-01-04,26.932
2020-01-05,26.932
2020-01-06,26.932
2020-01-07,26.932
2020-01-08,26.932
2020-01-09,26.932
2020-01-10,26.932
2020-01-11,26.932
2020-01-12,26.932
2020-01-13,26.932
2020-01-14,26.932
2020-01-15,26.932
2020-01-16,26.932
2020-01-17,26.932
2020-01-18,26.932
2020-01-19,26.932
2020-01-20,26.932
2020-01-21,26.932
2020-01-22,26.932
2020-01-23,26.932
2020-01-24,28.761
2020-01-25,28.761
2020-01-26,28.761
2020-01-27,28.761
2020-01-28,28.761
2020-01-29,29.491
2020-01-30,29.278
2020-01-31,29.191
2020-02-01,29.191
2020-02-02,29.191
2020-02-03,29.191
2020-02-04,29.191
2020-02-05,29.191
2020-02-06,30.832
2020-02-07,30.832
2020-02-08,30.832
2020-02-09,31.124
2020-02-10,31.039
2020-02-11,31.039
2020-02-12,31.039
2020-02-13,31.039
2020-02-14,31.039
2020-02-15,31.039
2020-02-16,31.039
2020-02-17,31.039
2020-02-18,31.039
2020-02-19,31.039
2020-02-20,31.039
2020-02-21,31.039
2020-02-22,31.039
2020-02-23,31.039
2020-02-24,31.039
2020-02-25,31.85
2020-02-26,32.587
2020-02-27,32.587
2020-02-28,32.587
2020-02-29,32.587
2020-03-01,32.587
2020-03-02,32.587
2020-03-03,33.934
2020-03-04,33.934
2020-03-05,33.934
2020-03-06,33.934
2020-03-07,33.934
2020-03-08,33.934
2020-03-09,33.934
2020-03-10,33.934
2020-03-11,34.035
2020-03-12,34.035
2020-03-13,34.035
2020-03-14,34.035
2020-03-15,34.035
2020-03-16,34.035
2020-03-17,34.035
2020-03-18,34.035
2020-03-19,34.035
2020-03-20,34.035
2020-03-21,34.035
2020-03-22,34.035
2020-03-23,34.136
2020-03-24,34.136
2020-03-25,34.136
2020-03-26,34.136
2020-03-27,34.136
2020-03-28,34.136
2020-03-29,34.136
2020-03-30,35.226
2020-03-31,35.226
2020-04-01,35.226
2020-04-02,35.226
2020-04-03,35.226
2020-04-04,35.226
2020-04-05,35.226
2020-04-06,35.407
2020-04-07,35.407
2020-04-08,35.407
2020-04-09,35.407
2020-04-10,35.407
2020-04-11,35.407
2020-04-12,35.407
2020-04-13,35.407
2020-04-14,35.407
2020-04-15,35.407
2020-04-16,36.599
2020-04-17,37.617
2020-04-18,37.617
2020-04-19,37.617
2020-04-20,37.31
2020-04-21,35.991
2020-04-22,36.414
2020-04-23,36.37
2020-04-24,36.37
2020-04-25,36.37
2020-04-26,36.37
2020-04-27,37.443
2020-04-28,37.443
2020-04-29,37.443
2020-04-30,37.443
2020-05-01,37.547
2020-05-02,37.547
2020-05-03,37.547
2020-05-04,37.547
2020-05-05,36.974
2020-05-06,37.097
2020-05-07,37.097
2020-05-08,37.097
2020-05-09,37.097
2020-05-10,37.097
2020-05-11,37.097
2020-05-12,37.097
2020-05-13,37.097
2020-05-14,37.097
2020-05-15,37.097
2020-05-16,37.097
2020-05-17,37.097
2020-05-18,37.097
2020-05-19,37.097
2020-05-20,37.097
2020-05-21,37.097
2020-05-22,37.097
2020-05-23,37.097
2020-05-24,37.097
2020-05-25,37.097
2020-05-26,37.337
2020-05-27,37.337
2020-05-28,37.337
2020-05-29,37.337
2020-05-30,37.337
2020-05-31,37.337
2020-06-01,37.637
2020-06-02,38.648
2020-06-03,38.648
2020-06-04,38.648
2020-06-05,38.648
2020-06-06,38.648
2020-06-07,38.648
2020-06-08,38.648
2020-06-09,38.648
2020-06-10,38.648
2020-06-11,38.596
2020-06-12,38.596
2020-06-13,38.596
2020-06-14,38.596
2020-06-15,39.453
2020-06-16,39.727
2020-06-17,39.727
2020-06-18,39.727
2020-06-19,39.727
2020-06-20,39.727
2020-06-21,39.727
2020-06-22,39.727
2020-06-23,39.727
2020-06-24,39.727
2020-06-25,39.727
2020-06-26,39.727
2020-06-27,39.727
2020-06-28,39.727
2020-06-29,39.727
2020-06-30,39.018
2020-07-01,39.018
2020-07-02,39.018
2020-07-03,39.018
2020-07-04,39.018
2020-07-05,39.018
2020-07-06,39.018
2020-07-07,39.213
2020-07-08,39.519
2020-07-09,39.519
2020-07-10,39.515
2020-07-11,39.515
2020-07-12,39.998
2020-07-13,40.152
2020-07-14,40.024
2020-07-15,40.024
2020-07-16,40.024
2020-07-17,40.082
2020-07-18,40.082
2020-07-19,40.082
2020-07-20,39.758
2020-07-21,39.874
2020-07-22,39.874
2020-07-23,39.874
2020-07-24,39.874
2020-07-25,39.874
2020-07-26,39.874
2020-07-27,39.874
2020-07-28,39.874
2020-07-29,39.874
2020-07-30,39.874
2020-07-31,39.874
