,SUPN US Equity
,BEST_EPS
2020-01-01,4.457
2020-01-02,4.457
2020-01-03,4.457
2020-01-04,4.457
2020-01-05,4.457
2020-01-06,4.457
2020-01-07,4.457
2020-01-08,4.457
2020-01-09,4.74
2020-01-10,4.74
2020-01-11,4.74
2020-01-12,4.74
2020-01-13,4.74
2020-01-14,4.74
2020-01-15,4.74
2020-01-16,4.74
2020-01-17,4.74
2020-01-18,4.74
2020-01-19,4.74
2020-01-20,4.74
2020-01-21,4.74
2020-01-22,4.74
2020-01-23,4.74
2020-01-24,4.74
2020-01-25,4.74
2020-01-26,4.74
2020-01-27,4.74
2020-01-28,4.74
2020-01-29,4.74
2020-01-30,4.74
2020-01-31,4.74
2020-02-01,4.74
2020-02-02,4.74
2020-02-03,4.74
2020-02-04,4.74
2020-02-05,4.74
2020-02-06,4.74
2020-02-07,4.74
2020-02-08,4.74
2020-02-09,4.74
2020-02-10,4.74
2020-02-11,4.74
2020-02-12,4.74
2020-02-13,4.74
2020-02-14,4.74
2020-02-15,4.74
2020-02-16,4.74
2020-02-17,4.74
2020-02-18,4.74
2020-02-19,4.74
2020-02-20,4.74
2020-02-21,4.74
2020-02-22,4.74
2020-02-23,4.74
2020-02-24,4.74
2020-02-25,4.423
2020-02-26,4.437
2020-02-27,4.437
2020-02-28,4.437
2020-02-29,4.437
2020-03-01,4.437
2020-03-02,4.437
2020-03-03,4.437
2020-03-04,4.437
2020-03-05,4.437
2020-03-06,4.437
2020-03-07,4.437
2020-03-08,4.437
2020-03-09,4.437
2020-03-10,4.437
2020-03-11,4.437
2020-03-12,4.437
2020-03-13,4.437
2020-03-14,4.437
2020-03-15,4.437
2020-03-16,4.437
2020-03-17,4.437
2020-03-18,4.437
2020-03-19,4.437
2020-03-20,4.437
2020-03-21,4.437
2020-03-22,4.437
2020-03-23,4.437
2020-03-24,4.437
2020-03-25,4.437
2020-03-26,4.437
2020-03-27,4.437
2020-03-28,4.437
2020-03-29,4.437
2020-03-30,4.437
2020-03-31,3.723
2020-04-01,3.723
2020-04-02,3.723
2020-04-03,3.723
2020-04-04,3.723
2020-04-05,3.723
2020-04-06,3.723
2020-04-07,3.723
2020-04-08,3.723
2020-04-09,3.723
2020-04-10,3.723
2020-04-11,3.723
2020-04-12,3.723
2020-04-13,3.723
2020-04-14,3.723
2020-04-15,3.723
2020-04-16,3.695
2020-04-17,3.695
2020-04-18,3.695
2020-04-19,3.695
2020-04-20,3.695
2020-04-21,3.695
2020-04-22,3.695
2020-04-23,3.695
2020-04-24,3.695
2020-04-25,3.695
2020-04-26,3.695
2020-04-27,3.695
2020-04-28,3.695
2020-04-29,3.156
2020-04-30,3.156
2020-05-01,3.156
2020-05-02,3.156
2020-05-03,3.156
2020-05-04,3.156
2020-05-05,3.286
2020-05-06,3.304
2020-05-07,3.304
2020-05-08,3.304
2020-05-09,3.304
2020-05-10,3.304
2020-05-11,3.304
2020-05-12,3.304
2020-05-13,3.304
2020-05-14,3.304
2020-05-15,3.304
2020-05-16,3.304
2020-05-17,3.304
2020-05-18,3.735
2020-05-19,3.735
2020-05-20,3.735
2020-05-21,3.735
2020-05-22,3.735
2020-05-23,3.735
2020-05-24,3.735
2020-05-25,3.735
2020-05-26,3.735
2020-05-27,3.735
2020-05-28,3.735
2020-05-29,3.735
2020-05-30,3.735
2020-05-31,3.735
2020-06-01,3.735
2020-06-02,3.735
2020-06-03,3.735
2020-06-04,3.735
2020-06-05,3.735
2020-06-06,3.735
2020-06-07,3.735
2020-06-08,3.735
2020-06-09,3.735
2020-06-10,3.735
2020-06-11,3.735
2020-06-12,3.735
2020-06-13,3.735
2020-06-14,3.735
2020-06-15,4.053
2020-06-16,4.053
2020-06-17,4.053
2020-06-18,4.053
2020-06-19,4.053
2020-06-20,4.053
2020-06-21,4.053
2020-06-22,4.053
2020-06-23,4.053
2020-06-24,4.053
2020-06-25,4.053
2020-06-26,4.053
2020-06-27,4.053
2020-06-28,4.053
2020-06-29,4.053
2020-06-30,4.053
2020-07-01,4.053
2020-07-02,4.053
2020-07-03,4.053
2020-07-04,4.053
2020-07-05,4.053
2020-07-06,4.053
2020-07-07,4.053
2020-07-08,4.053
2020-07-09,4.053
2020-07-10,4.053
2020-07-11,4.053
2020-07-12,4.053
2020-07-13,4.053
2020-07-14,4.053
2020-07-15,4.053
2020-07-16,4.053
2020-07-17,4.053
2020-07-18,4.053
2020-07-19,4.053
2020-07-20,4.053
2020-07-21,4.053
2020-07-22,4.053
2020-07-23,4.053
2020-07-24,4.053
2020-07-25,4.053
2020-07-26,4.053
2020-07-27,4.26
2020-07-28,4.26
2020-07-29,4.26
2020-07-30,4.26
2020-07-31,4.26
2020-08-01,4.26
2020-08-02,4.26
2020-08-03,4.26
2020-08-04,4.26
2020-08-05,4.26
2020-08-06,4.26
2020-08-07,4.26
2020-08-08,4.26
2020-08-09,4.26
2020-08-10,4.26
2020-08-11,4.298
2020-08-12,4.298
2020-08-13,4.298
2020-08-14,4.298
2020-08-15,4.298
2020-08-16,4.298
2020-08-17,4.298
2020-08-18,4.298
2020-08-19,4.178
2020-08-20,4.178
2020-08-21,4.178
2020-08-22,4.178
2020-08-23,4.178
2020-08-24,4.178
2020-08-25,4.178
2020-08-26,4.178
2020-08-27,4.178
2020-08-28,4.178
2020-08-29,4.178
2020-08-30,4.178
2020-08-31,4.178
2020-09-01,4.178
2020-09-02,4.178
2020-09-03,4.178
2020-09-04,4.178
2020-09-05,4.178
2020-09-06,4.178
2020-09-07,4.178
2020-09-08,4.178
2020-09-09,4.178
2020-09-10,4.178
2020-09-11,4.178
2020-09-12,4.178
2020-09-13,4.178
2020-09-14,4.178
2020-09-15,4.178
2020-09-16,4.178
2020-09-17,4.178
2020-09-18,4.178
2020-09-19,4.178
2020-09-20,4.178
2020-09-21,4.178
2020-09-22,4.178
2020-09-23,4.178
2020-09-24,4.178
2020-09-25,4.178
2020-09-26,4.178
2020-09-27,4.178
2020-09-28,4.178
2020-09-29,4.178
2020-09-30,4.178
2020-10-01,4.178
2020-10-02,4.178
2020-10-03,4.178
2020-10-04,4.178
2020-10-05,4.178
2020-10-06,4.178
2020-10-07,4.178
2020-10-08,4.04
2020-10-09,4.04
2020-10-10,4.04
2020-10-11,4.04
2020-10-12,4.04
2020-10-13,4.04
2020-10-14,4.04
2020-10-15,4.04
2020-10-16,4.04
2020-10-17,4.04
2020-10-18,4.04
2020-10-19,4.04
2020-10-20,4.04
2020-10-21,4.04
2020-10-22,4.04
2020-10-23,4.04
2020-10-24,4.04
2020-10-25,4.04
2020-10-26,4.04
2020-10-27,4.04
2020-10-28,4.04
2020-10-29,4.04
2020-10-30,4.04
2020-10-31,4.04
2020-11-01,4.04
2020-11-02,4.04
2020-11-03,4.115
2020-11-04,3.928
2020-11-05,3.928
2020-11-06,3.928
2020-11-07,3.928
2020-11-08,3.928
2020-11-09,3.928
2020-11-10,3.928
2020-11-11,3.928
2020-11-12,3.928
2020-11-13,3.928
2020-11-14,3.928
2020-11-15,3.928
2020-11-16,3.928
2020-11-17,3.928
2020-11-18,3.928
2020-11-19,3.928
2020-11-20,3.928
2020-11-21,3.928
2020-11-22,3.928
2020-11-23,3.928
2020-11-24,3.928
2020-11-25,3.928
2020-11-26,3.928
2020-11-27,3.928
2020-11-28,3.928
2020-11-29,3.928
2020-11-30,3.928
2020-12-01,3.928
2020-12-02,3.928
2020-12-03,3.928
2020-12-04,3.928
2020-12-05,3.928
2020-12-06,3.928
2020-12-07,3.928
2020-12-08,3.928
2020-12-09,3.928
2020-12-10,3.928
2020-12-11,3.928
2020-12-12,3.928
2020-12-13,3.928
2020-12-14,3.928
2020-12-15,3.928
2020-12-16,3.928
2020-12-17,3.928
2020-12-18,3.928
2020-12-19,3.928
2020-12-20,3.928
2020-12-21,3.928
2020-12-22,3.928
2020-12-23,3.928
2020-12-24,3.928
2020-12-25,3.928
2020-12-26,3.928
2020-12-27,3.928
2020-12-28,3.928
2020-12-29,3.928
2020-12-30,3.928
2020-12-31,3.928
2021-01-01,3.928
2021-01-02,3.928
2021-01-03,3.928
2021-01-04,3.928
2021-01-05,3.928
2021-01-06,3.928
2021-01-07,3.928
2021-01-08,3.928
2021-01-09,3.928
2021-01-10,3.928
2021-01-11,3.92
2021-01-12,3.92
2021-01-13,3.92
2021-01-14,3.92
2021-01-15,3.92
2021-01-16,3.92
2021-01-17,3.92
2021-01-18,3.92
2021-01-19,3.92
2021-01-20,3.92
2021-01-21,3.92
2021-01-22,3.92
2021-01-23,3.92
2021-01-24,3.92
2021-01-25,3.92
2021-01-26,3.92
2021-01-27,3.92
2021-01-28,3.92
2021-01-29,3.92
2021-01-30,3.92
2021-01-31,3.92
2021-02-01,3.92
2021-02-02,3.968
2021-02-03,3.968
2021-02-04,3.968
2021-02-05,3.968
2021-02-06,3.968
2021-02-07,3.968
2021-02-08,3.968
2021-02-09,3.968
2021-02-10,3.968
2021-02-11,3.968
2021-02-12,3.968
2021-02-13,3.968
2021-02-14,3.968
2021-02-15,3.968
2021-02-16,3.968
2021-02-17,3.968
2021-02-18,3.968
2021-02-19,3.968
2021-02-20,3.968
2021-02-21,3.968
2021-02-22,3.968
2021-02-23,3.968
2021-02-24,3.968
2021-02-25,3.803
2021-02-26,4.753
2021-02-27,4.753
2021-02-28,4.753
2021-03-01,4.753
2021-03-02,4.753
2021-03-03,4.753
2021-03-04,4.753
2021-03-05,4.753
2021-03-06,4.753
2021-03-07,4.753
2021-03-08,4.753
2021-03-09,4.753
2021-03-10,4.753
2021-03-11,4.753
2021-03-12,4.753
2021-03-13,4.753
2021-03-14,4.753
2021-03-15,4.753
2021-03-16,4.753
2021-03-17,4.753
2021-03-18,4.753
2021-03-19,4.753
2021-03-20,4.753
2021-03-21,4.753
2021-03-22,4.753
2021-03-23,4.753
2021-03-24,4.753
2021-03-25,4.753
2021-03-26,4.753
2021-03-27,4.753
2021-03-28,4.753
2021-03-29,4.753
2021-03-30,4.753
2021-03-31,4.753
2021-04-01,4.753
2021-04-02,4.753
2021-04-03,4.753
2021-04-04,4.753
2021-04-05,4.753
2021-04-06,4.753
2021-04-07,4.753
2021-04-08,4.753
2021-04-09,4.753
2021-04-10,4.753
2021-04-11,4.753
2021-04-12,4.753
2021-04-13,4.753
2021-04-14,4.753
2021-04-15,4.753
2021-04-16,4.753
2021-04-17,4.753
2021-04-18,4.753
2021-04-19,4.753
2021-04-20,4.753
2021-04-21,4.753
2021-04-22,4.753
2021-04-23,4.753
2021-04-24,4.753
2021-04-25,4.753
2021-04-26,4.753
2021-04-27,4.753
2021-04-28,4.753
2021-04-29,4.753
2021-04-30,4.753
2021-05-01,4.753
2021-05-02,4.753
2021-05-03,4.753
2021-05-04,4.753
2021-05-05,4.72
2021-05-06,4.72
2021-05-07,4.72
2021-05-08,4.72
2021-05-09,4.72
2021-05-10,4.72
2021-05-11,4.72
2021-05-12,4.72
2021-05-13,4.72
2021-05-14,4.72
2021-05-15,4.72
2021-05-16,4.72
2021-05-17,4.72
2021-05-18,4.72
2021-05-19,4.72
2021-05-20,4.72
2021-05-21,4.72
2021-05-22,4.72
2021-05-23,4.72
2021-05-24,4.72
2021-05-25,4.72
2021-05-26,4.72
2021-05-27,4.72
2021-05-28,4.72
2021-05-29,4.72
2021-05-30,4.72
2021-05-31,4.72
2021-06-01,4.72
2021-06-02,4.72
2021-06-03,4.72
2021-06-04,4.72
2021-06-05,4.72
2021-06-06,4.72
2021-06-07,4.72
2021-06-08,4.72
2021-06-09,4.72
2021-06-10,4.72
2021-06-11,4.72
2021-06-12,4.72
2021-06-13,4.72
2021-06-14,4.72
2021-06-15,4.72
2021-06-16,4.72
2021-06-17,4.72
2021-06-18,4.72
2021-06-19,4.72
2021-06-20,4.72
2021-06-21,4.72
2021-06-22,4.72
2021-06-23,4.72
2021-06-24,4.72
2021-06-25,4.72
2021-06-26,4.72
2021-06-27,4.72
2021-06-28,4.72
2021-06-29,4.72
2021-06-30,4.72
2021-07-01,4.72
2021-07-02,4.72
2021-07-03,4.72
2021-07-04,4.72
2021-07-05,4.72
2021-07-06,4.72
2021-07-07,4.72
2021-07-08,4.72
2021-07-09,4.72
2021-07-10,4.72
2021-07-11,4.72
2021-07-12,4.72
2021-07-13,4.72
2021-07-14,4.72
2021-07-15,4.72
2021-07-16,4.72
2021-07-17,4.72
2021-07-18,4.72
2021-07-19,4.72
2021-07-20,4.72
2021-07-21,4.72
2021-07-22,4.72
2021-07-23,4.72
2021-07-24,4.72
2021-07-25,4.72
2021-07-26,4.72
2021-07-27,4.72
2021-07-28,4.72
2021-07-29,4.72
2021-07-30,4.72
2021-07-31,4.72
2021-08-01,4.72
2021-08-02,4.72
2021-08-03,4.72
2021-08-04,3.843
2021-08-05,3.843
2021-08-06,3.843
2021-08-07,3.843
2021-08-08,3.843
2021-08-09,3.843
2021-08-10,3.843
2021-08-11,3.843
2021-08-12,3.843
2021-08-13,3.843
2021-08-14,3.843
2021-08-15,3.843
2021-08-16,3.843
2021-08-17,3.843
2021-08-18,3.843
2021-08-19,3.843
2021-08-20,3.843
2021-08-21,3.843
2021-08-22,3.843
2021-08-23,3.843
2021-08-24,3.843
2021-08-25,3.843
2021-08-26,3.843
2021-08-27,3.843
2021-08-28,3.843
2021-08-29,3.843
2021-08-30,3.843
2021-08-31,3.843
2021-09-01,3.843
2021-09-02,3.843
2021-09-03,3.843
2021-09-04,3.843
2021-09-05,3.843
2021-09-06,3.843
2021-09-07,3.843
2021-09-08,3.843
2021-09-09,3.843
2021-09-10,3.843
2021-09-11,3.843
2021-09-12,3.843
2021-09-13,3.843
2021-09-14,3.843
2021-09-15,3.843
2021-09-16,3.843
2021-09-17,3.843
2021-09-18,3.843
2021-09-19,3.843
2021-09-20,3.843
2021-09-21,3.843
2021-09-22,3.843
2021-09-23,3.843
2021-09-24,3.843
2021-09-25,3.843
2021-09-26,3.843
2021-09-27,3.843
2021-09-28,3.843
2021-09-29,3.843
2021-09-30,3.843
2021-10-01,3.843
2021-10-02,3.843
2021-10-03,3.843
2021-10-04,3.843
2021-10-05,3.843
2021-10-06,3.843
2021-10-07,3.843
2021-10-08,3.843
2021-10-09,3.843
2021-10-10,3.843
2021-10-11,4.807
2021-10-12,4.807
2021-10-13,4.807
2021-10-14,4.807
2021-10-15,4.807
2021-10-16,4.807
2021-10-17,4.807
2021-10-18,4.807
2021-10-19,4.807
2021-10-20,4.807
2021-10-21,4.807
2021-10-22,4.807
2021-10-23,4.807
2021-10-24,4.807
2021-10-25,4.807
2021-10-26,4.807
2021-10-27,4.807
2021-10-28,5.293
2021-10-29,5.293
2021-10-30,5.293
2021-10-31,5.293
2021-11-01,5.293
2021-11-02,5.293
2021-11-03,4.973
2021-11-04,4.973
2021-11-05,4.973
2021-11-06,4.973
2021-11-07,4.973
2021-11-08,4.973
2021-11-09,4.973
2021-11-10,4.973
2021-11-11,4.973
2021-11-12,4.973
2021-11-13,4.973
2021-11-14,4.973
2021-11-15,4.973
2021-11-16,4.973
2021-11-17,4.973
2021-11-18,4.973
2021-11-19,4.973
2021-11-20,4.973
2021-11-21,4.973
2021-11-22,4.973
2021-11-23,4.973
2021-11-24,4.973
2021-11-25,4.973
2021-11-26,4.973
2021-11-27,4.973
2021-11-28,4.973
2021-11-29,4.973
2021-11-30,4.973
2021-12-01,1.67
2021-12-02,1.67
2021-12-03,1.67
2021-12-04,1.67
2021-12-05,1.67
2021-12-06,1.67
2021-12-07,1.67
2021-12-08,2.41
2021-12-09,2.41
2021-12-10,2.41
2021-12-11,2.41
2021-12-12,2.41
2021-12-13,2.41
2021-12-14,2.41
2021-12-15,2.41
2021-12-16,2.41
2021-12-17,2.41
2021-12-18,2.41
2021-12-19,2.41
2021-12-20,2.41
2021-12-21,2.41
2021-12-22,2.41
2021-12-23,2.41
2021-12-24,2.41
2021-12-25,2.41
2021-12-26,2.41
2021-12-27,2.41
2021-12-28,2.41
2021-12-29,2.41
2021-12-30,2.41
2021-12-31,2.41
2022-01-01,2.41
2022-01-02,2.41
2022-01-03,2.41
2022-01-04,2.41
2022-01-05,2.41
2022-01-06,2.41
2022-01-07,2.41
2022-01-08,2.41
2022-01-09,2.41
2022-01-10,2.41
2022-01-11,2.41
2022-01-12,2.41
2022-01-13,2.41
2022-01-14,2.435
2022-01-15,2.435
2022-01-16,2.435
2022-01-17,2.435
2022-01-18,2.435
2022-01-19,1.695
2022-01-20,1.695
2022-01-21,1.695
2022-01-22,1.695
2022-01-23,1.695
2022-01-24,1.695
2022-01-25,2.29
2022-01-26,2.29
2022-01-27,2.29
2022-01-28,2.29
2022-01-29,2.29
2022-01-30,2.29
2022-01-31,2.29
2022-02-01,2.29
2022-02-02,2.29
2022-02-03,2.29
2022-02-04,2.29
2022-02-05,2.29
2022-02-06,2.29
2022-02-07,2.29
2022-02-08,2.29
2022-02-09,2.29
2022-02-10,2.29
2022-02-11,2.29
2022-02-12,2.29
2022-02-13,2.29
2022-02-14,2.29
2022-02-15,2.29
2022-02-16,2.29
2022-02-17,2.29
