,DTE US Equity
,BEST_EPS
2020-01-01,6.79
2020-01-02,6.79
2020-01-03,6.79
2020-01-04,6.79
2020-01-05,6.79
2020-01-06,6.79
2020-01-07,6.79
2020-01-08,6.79
2020-01-09,6.79
2020-01-10,6.79
2020-01-11,6.79
2020-01-12,6.79
2020-01-13,6.79
2020-01-14,6.79
2020-01-15,6.79
2020-01-16,6.79
2020-01-17,7.655
2020-01-18,7.655
2020-01-19,7.655
2020-01-20,7.655
2020-01-21,7.655
2020-01-22,7.655
2020-01-23,7.655
2020-01-24,7.655
2020-01-25,7.655
2020-01-26,7.655
2020-01-27,7.655
2020-01-28,7.655
2020-01-29,7.655
2020-01-30,7.655
2020-01-31,7.655
2020-02-01,7.655
2020-02-02,7.655
2020-02-03,7.655
2020-02-04,7.655
2020-02-05,7.655
2020-02-06,7.655
2020-02-07,7.655
2020-02-08,7.655
2020-02-09,7.655
2020-02-10,7.655
2020-02-11,7.655
2020-02-12,7.655
2020-02-13,7.655
2020-02-14,7.655
2020-02-15,7.655
2020-02-16,7.655
2020-02-17,7.655
2020-02-18,7.655
2020-02-19,7.655
2020-02-20,7.655
2020-02-21,7.655
2020-02-22,7.655
2020-02-23,7.655
2020-02-24,7.655
2020-02-25,7.655
2020-02-26,7.655
2020-02-27,7.655
2020-02-28,7.655
2020-02-29,7.655
2020-03-01,7.655
2020-03-02,7.655
2020-03-03,7.655
2020-03-04,7.655
2020-03-05,7.655
2020-03-06,7.655
2020-03-07,7.655
2020-03-08,7.655
2020-03-09,7.655
2020-03-10,7.655
2020-03-11,7.655
2020-03-12,7.45
2020-03-13,7.45
2020-03-14,7.45
2020-03-15,7.45
2020-03-16,7.45
2020-03-17,7.45
2020-03-18,7.45
2020-03-19,7.45
2020-03-20,7.45
2020-03-21,7.45
2020-03-22,7.45
2020-03-23,7.45
2020-03-24,7.45
2020-03-25,7.45
2020-03-26,7.45
2020-03-27,7.45
2020-03-28,7.45
2020-03-29,7.45
2020-03-30,7.45
2020-03-31,7.45
2020-04-01,7.45
2020-04-02,7.45
2020-04-03,7.45
2020-04-04,7.45
2020-04-05,7.45
2020-04-06,7.45
2020-04-07,7.45
2020-04-08,7.45
2020-04-09,7.45
2020-04-10,7.45
2020-04-11,7.45
2020-04-12,7.45
2020-04-13,7.45
2020-04-14,7.45
2020-04-15,7.45
2020-04-16,7.45
2020-04-17,7.45
2020-04-18,7.45
2020-04-19,7.45
2020-04-20,7.425
2020-04-21,7.425
2020-04-22,7.425
2020-04-23,7.425
2020-04-24,7.425
2020-04-25,7.425
2020-04-26,7.425
2020-04-27,7.425
2020-04-28,7.37
2020-04-29,7.75
2020-04-30,7.75
2020-05-01,7.75
2020-05-02,7.75
2020-05-03,7.75
2020-05-04,7.75
2020-05-05,7.75
2020-05-06,7.75
2020-05-07,7.75
2020-05-08,7.75
2020-05-09,7.75
2020-05-10,7.748
2020-05-11,7.748
2020-05-12,7.748
2020-05-13,7.748
2020-05-14,7.748
2020-05-15,7.748
2020-05-16,7.748
2020-05-17,7.748
2020-05-18,7.748
2020-05-19,7.748
2020-05-20,7.748
2020-05-21,7.748
2020-05-22,7.748
2020-05-23,7.748
2020-05-24,7.748
2020-05-25,7.748
2020-05-26,7.748
2020-05-27,7.748
2020-05-28,7.748
2020-05-29,7.748
2020-05-30,7.748
2020-05-31,7.748
2020-06-01,7.748
2020-06-02,7.748
2020-06-03,7.748
2020-06-04,7.748
2020-06-05,7.748
2020-06-06,7.748
2020-06-07,7.748
2020-06-08,7.748
2020-06-09,7.748
2020-06-10,7.748
2020-06-11,7.748
2020-06-12,7.748
2020-06-13,7.748
2020-06-14,7.748
2020-06-15,7.748
2020-06-16,7.748
2020-06-17,7.748
2020-06-18,7.748
2020-06-19,7.748
2020-06-20,7.748
2020-06-21,7.748
2020-06-22,7.748
2020-06-23,7.748
2020-06-24,7.748
2020-06-25,7.748
2020-06-26,7.748
2020-06-27,7.748
2020-06-28,7.748
2020-06-29,7.748
2020-06-30,7.748
2020-07-01,7.748
2020-07-02,7.748
2020-07-03,7.748
2020-07-04,7.748
2020-07-05,7.748
2020-07-06,7.748
2020-07-07,7.748
2020-07-08,7.748
2020-07-09,7.884
2020-07-10,7.884
2020-07-11,7.884
2020-07-12,7.884
2020-07-13,7.884
2020-07-14,7.884
2020-07-15,7.884
2020-07-16,7.884
2020-07-17,7.884
2020-07-18,7.884
2020-07-19,7.884
2020-07-20,7.93
2020-07-21,7.798
2020-07-22,7.798
2020-07-23,7.798
2020-07-24,8.172
2020-07-25,8.172
2020-07-26,8.172
2020-07-27,8.172
2020-07-28,8.172
2020-07-29,8.172
2020-07-30,8.248
2020-07-31,8.248
2020-08-01,8.248
2020-08-02,8.248
2020-08-03,8.248
2020-08-04,8.248
2020-08-05,8.248
2020-08-06,8.248
2020-08-07,8.248
2020-08-08,8.248
2020-08-09,8.248
2020-08-10,8.248
2020-08-11,8.248
2020-08-12,8.248
2020-08-13,8.248
2020-08-14,8.248
2020-08-15,8.248
2020-08-16,8.248
2020-08-17,8.248
2020-08-18,8.248
2020-08-19,8.248
2020-08-20,8.305
2020-08-21,8.305
2020-08-22,8.305
2020-08-23,8.305
2020-08-24,8.305
2020-08-25,8.305
2020-08-26,8.305
2020-08-27,8.305
2020-08-28,8.305
2020-08-29,8.305
2020-08-30,8.305
2020-08-31,8.305
2020-09-01,8.305
2020-09-02,8.305
2020-09-03,8.305
2020-09-04,8.305
2020-09-05,8.305
2020-09-06,8.305
2020-09-07,8.305
2020-09-08,8.305
2020-09-09,8.305
2020-09-10,8.305
2020-09-11,8.305
2020-09-12,8.305
2020-09-13,8.305
2020-09-14,8.305
2020-09-15,8.305
2020-09-16,8.305
2020-09-17,8.305
2020-09-18,8.305
2020-09-19,8.305
2020-09-20,8.305
2020-09-21,8.305
2020-09-22,8.305
2020-09-23,8.305
2020-09-24,8.305
2020-09-25,8.305
2020-09-26,8.305
2020-09-27,8.305
2020-09-28,8.305
2020-09-29,8.305
2020-09-30,8.305
2020-10-01,8.305
2020-10-02,8.305
2020-10-03,8.305
2020-10-04,8.305
2020-10-05,8.305
2020-10-06,8.305
2020-10-07,8.305
2020-10-08,8.305
2020-10-09,8.305
2020-10-10,8.305
2020-10-11,8.305
2020-10-12,8.305
2020-10-13,8.305
2020-10-14,8.305
2020-10-15,8.305
2020-10-16,8.305
2020-10-17,8.305
2020-10-18,8.273
2020-10-19,8.273
2020-10-20,8.335
2020-10-21,8.335
2020-10-22,8.335
2020-10-23,8.335
2020-10-24,8.335
2020-10-25,8.335
2020-10-26,8.335
2020-10-27,8.333
2020-10-28,8.386
2020-10-29,8.386
2020-10-30,8.386
2020-10-31,8.386
2020-11-01,8.386
2020-11-02,8.386
2020-11-03,8.386
2020-11-04,8.386
2020-11-05,8.386
2020-11-06,8.386
2020-11-07,8.41
2020-11-08,8.41
2020-11-09,8.41
2020-11-10,8.41
2020-11-11,8.41
2020-11-12,8.41
2020-11-13,8.41
2020-11-14,8.41
2020-11-15,8.41
2020-11-16,8.41
2020-11-17,8.41
2020-11-18,8.41
2020-11-19,8.41
2020-11-20,8.41
2020-11-21,8.41
2020-11-22,8.41
2020-11-23,8.41
2020-11-24,8.41
2020-11-25,8.41
2020-11-26,8.41
2020-11-27,8.41
2020-11-28,8.41
2020-11-29,8.41
2020-11-30,8.41
2020-12-01,8.41
2020-12-02,8.41
2020-12-03,8.41
2020-12-04,8.41
2020-12-05,8.41
2020-12-06,8.41
2020-12-07,8.41
2020-12-08,8.41
2020-12-09,8.41
2020-12-10,8.41
2020-12-11,8.41
2020-12-12,8.41
2020-12-13,8.41
2020-12-14,8.41
2020-12-15,8.41
2020-12-16,8.232
2020-12-17,8.232
2020-12-18,8.232
2020-12-19,8.232
2020-12-20,8.232
2020-12-21,8.232
2020-12-22,8.232
2020-12-23,8.232
2020-12-24,8.232
2020-12-25,8.232
2020-12-26,8.232
2020-12-27,8.232
2020-12-28,8.232
2020-12-29,8.232
2020-12-30,8.232
2020-12-31,8.232
2021-01-01,8.232
2021-01-02,8.232
2021-01-03,8.232
2021-01-04,8.232
2021-01-05,8.232
2021-01-06,8.232
2021-01-07,8.232
2021-01-08,8.232
2021-01-09,8.232
2021-01-10,8.232
2021-01-11,8.232
2021-01-12,8.232
2021-01-13,8.232
2021-01-14,8.232
2021-01-15,8.232
2021-01-16,8.232
2021-01-17,8.232
2021-01-18,8.134
2021-01-19,8.134
2021-01-20,8.17
2021-01-21,8.17
2021-01-22,8.17
2021-01-23,8.17
2021-01-24,8.17
2021-01-25,8.17
2021-01-26,8.17
2021-01-27,8.17
2021-01-28,8.17
2021-01-29,8.17
2021-01-30,8.17
2021-01-31,8.17
2021-02-01,8.17
2021-02-02,8.17
2021-02-03,8.17
