,BBY US Equity
,BEST_EPS
2020-01-01,9.22
2020-01-02,9.22
2020-01-03,9.22
2020-01-04,9.22
2020-01-05,9.22
2020-01-06,9.22
2020-01-07,9.22
2020-01-08,9.22
2020-01-09,9.22
2020-01-10,9.22
2020-01-11,9.22
2020-01-12,9.22
2020-01-13,9.22
2020-01-14,9.22
2020-01-15,9.22
2020-01-16,9.22
2020-01-17,9.22
2020-01-18,9.22
2020-01-19,9.22
2020-01-20,9.22
2020-01-21,9.22
2020-01-22,9.22
2020-01-23,9.22
2020-01-24,9.22
2020-01-25,9.22
2020-01-26,9.22
2020-01-27,9.22
2020-01-28,9.22
2020-01-29,9.22
2020-01-30,9.22
2020-01-31,9.22
2020-02-01,9.22
2020-02-02,9.22
2020-02-03,9.22
2020-02-04,9.22
2020-02-05,9.22
2020-02-06,9.22
2020-02-07,9.22
2020-02-08,9.22
2020-02-09,9.22
2020-02-10,9.22
2020-02-11,9.22
2020-02-12,9.22
2020-02-13,9.22
2020-02-14,9.22
2020-02-15,9.22
2020-02-16,9.22
2020-02-17,9.22
2020-02-18,9.22
2020-02-19,9.22
2020-02-20,9.22
2020-02-21,9.22
2020-02-22,9.22
2020-02-23,9.22
2020-02-24,9.22
2020-02-25,9.22
2020-02-26,9.22
2020-02-27,9.22
2020-02-28,9.22
2020-02-29,9.22
2020-03-01,9.22
2020-03-02,9.22
2020-03-03,9.22
2020-03-04,9.22
2020-03-05,9.22
2020-03-06,9.22
2020-03-07,9.22
2020-03-08,9.22
2020-03-09,9.22
2020-03-10,9.22
2020-03-11,9.22
2020-03-12,9.22
2020-03-13,9.22
2020-03-14,9.22
2020-03-15,9.22
2020-03-16,9.22
2020-03-17,9.22
2020-03-18,9.22
2020-03-19,9.22
2020-03-20,9.22
2020-03-21,9.22
2020-03-22,9.22
2020-03-23,9.22
2020-03-24,9.22
2020-03-25,9.22
2020-03-26,9.22
2020-03-27,9.22
2020-03-28,9.22
2020-03-29,9.22
2020-03-30,9.22
2020-03-31,9.22
2020-04-01,9.22
2020-04-02,9.22
2020-04-03,9.22
2020-04-04,9.22
2020-04-05,9.22
2020-04-06,9.22
2020-04-07,9.22
2020-04-08,9.22
2020-04-09,9.22
2020-04-10,9.22
2020-04-11,9.22
2020-04-12,9.22
2020-04-13,9.22
2020-04-14,9.22
2020-04-15,9.22
2020-04-16,9.22
2020-04-17,9.22
2020-04-18,9.22
2020-04-19,9.22
2020-04-20,9.22
2020-04-21,9.22
2020-04-22,9.22
2020-04-23,9.22
2020-04-24,9.22
2020-04-25,9.22
2020-04-26,9.22
2020-04-27,9.22
