,MSM US Equity
,BEST_EPS
2020-01-01,6.76
2020-01-02,6.76
2020-01-03,6.76
2020-01-04,6.76
2020-01-05,6.76
2020-01-06,6.76
2020-01-07,6.76
2020-01-08,6.52
2020-01-09,6.52
2020-01-10,6.52
2020-01-11,6.52
2020-01-12,6.52
2020-01-13,6.52
2020-01-14,6.52
2020-01-15,6.52
2020-01-16,6.52
2020-01-17,6.52
2020-01-18,6.52
2020-01-19,6.52
2020-01-20,6.52
2020-01-21,6.52
2020-01-22,6.52
2020-01-23,6.52
2020-01-24,6.52
2020-01-25,6.52
2020-01-26,6.52
2020-01-27,6.52
2020-01-28,6.52
2020-01-29,6.52
2020-01-30,6.52
2020-01-31,6.52
2020-02-01,6.52
2020-02-02,6.52
2020-02-03,6.52
2020-02-04,6.52
2020-02-05,6.52
2020-02-06,6.52
2020-02-07,6.52
2020-02-08,6.52
2020-02-09,6.52
2020-02-10,6.52
2020-02-11,6.52
2020-02-12,6.52
2020-02-13,6.52
2020-02-14,6.52
2020-02-15,6.52
2020-02-16,6.52
2020-02-17,6.52
2020-02-18,6.52
2020-02-19,6.52
2020-02-20,6.52
2020-02-21,6.52
2020-02-22,6.52
2020-02-23,6.52
2020-02-24,6.52
2020-02-25,6.52
2020-02-26,6.52
2020-02-27,6.52
2020-02-28,6.52
2020-02-29,6.52
2020-03-01,6.52
2020-03-02,6.52
2020-03-03,6.52
2020-03-04,6.52
2020-03-05,6.52
2020-03-06,6.52
2020-03-07,6.52
2020-03-08,6.52
2020-03-09,6.52
2020-03-10,6.52
2020-03-11,6.52
2020-03-12,6.52
2020-03-13,6.52
2020-03-14,6.52
2020-03-15,6.52
2020-03-16,5.71
2020-03-17,5.71
2020-03-18,5.71
2020-03-19,5.71
2020-03-20,5.71
2020-03-21,5.71
2020-03-22,5.71
2020-03-23,5.71
2020-03-24,5.71
2020-03-25,5.71
2020-03-26,5.71
2020-03-27,5.71
2020-03-28,5.71
2020-03-29,5.71
2020-03-30,5.71
2020-03-31,5.71
2020-04-01,5.71
2020-04-02,5.71
2020-04-03,5.71
2020-04-04,5.71
2020-04-05,5.71
2020-04-06,5.71
2020-04-07,5.71
2020-04-08,5.1
2020-04-09,5.1
2020-04-10,5.1
2020-04-11,5.1
2020-04-12,5.1
2020-04-13,5.1
2020-04-14,5.1
2020-04-15,5.1
2020-04-16,5.1
2020-04-17,5.1
2020-04-18,5.1
2020-04-19,5.1
2020-04-20,5.1
2020-04-21,5.1
2020-04-22,5.1
2020-04-23,5.1
2020-04-24,5.1
2020-04-25,5.1
2020-04-26,5.1
2020-04-27,5.1
2020-04-28,5.1
2020-04-29,5.1
2020-04-30,5.1
2020-05-01,5.1
2020-05-02,5.1
2020-05-03,5.1
2020-05-04,5.1
2020-05-05,5.1
2020-05-06,5.1
2020-05-07,5.1
2020-05-08,5.1
2020-05-09,5.1
2020-05-10,5.1
2020-05-11,5.1
2020-05-12,5.1
2020-05-13,5.1
2020-05-14,5.1
2020-05-15,5.1
2020-05-16,5.1
2020-05-17,5.1
2020-05-18,5.1
2020-05-19,5.1
2020-05-20,5.1
2020-05-21,5.1
2020-05-22,5.1
2020-05-23,5.1
2020-05-24,5.1
2020-05-25,5.1
2020-05-26,5.1
2020-05-27,5.1
2020-05-28,5.1
2020-05-29,5.1
2020-05-30,5.1
2020-05-31,5.1
2020-06-01,5.1
2020-06-02,5.1
2020-06-03,5.1
2020-06-04,5.1
2020-06-05,5.1
2020-06-06,5.1
2020-06-07,5.1
2020-06-08,5.1
2020-06-09,5.5
2020-06-10,5.5
2020-06-11,5.5
2020-06-12,5.5
2020-06-13,5.5
2020-06-14,5.5
2020-06-15,5.5
2020-06-16,5.5
2020-06-17,5.5
2020-06-18,5.5
2020-06-19,5.5
2020-06-20,5.5
2020-06-21,5.5
2020-06-22,5.5
2020-06-23,5.5
2020-06-24,5.5
2020-06-25,5.5
2020-06-26,5.5
2020-06-27,5.5
2020-06-28,5.5
2020-06-29,5.5
2020-06-30,5.5
2020-07-01,5.5
2020-07-02,5.5
2020-07-03,5.5
2020-07-04,5.5
2020-07-05,5.5
2020-07-06,5.5
2020-07-07,5.5
2020-07-08,5.35
2020-07-09,5.35
2020-07-10,6.06
2020-07-11,6.06
2020-07-12,6.06
