,SIVBQ US Equity
,BEST_EPS
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,25.52
2020-01-28,25.52
2020-01-29,25.52
2020-01-30,25.52
2020-01-31,25.52
2020-02-01,25.52
2020-02-02,25.52
2020-02-03,25.52
2020-02-04,25.52
2020-02-05,25.52
2020-02-06,25.52
2020-02-07,25.52
2020-02-08,25.52
2020-02-09,25.52
2020-02-10,25.52
2020-02-11,25.52
2020-02-12,25.52
2020-02-13,25.52
2020-02-14,25.52
2020-02-15,25.52
2020-02-16,25.52
2020-02-17,25.52
2020-02-18,25.52
2020-02-19,25.52
2020-02-20,25.52
2020-02-21,25.52
2020-02-22,25.52
2020-02-23,25.52
2020-02-24,25.52
2020-02-25,25.52
2020-02-26,25.52
2020-02-27,25.52
2020-02-28,25.52
2020-02-29,25.52
2020-03-01,25.52
2020-03-02,25.52
2020-03-03,25.52
2020-03-04,25.52
2020-03-05,25.52
2020-03-06,25.52
2020-03-07,25.52
2020-03-08,25.52
2020-03-09,25.52
2020-03-10,25.52
2020-03-11,25.52
2020-03-12,25.52
2020-03-13,25.52
2020-03-14,25.52
2020-03-15,25.52
2020-03-16,25.52
2020-03-17,25.52
2020-03-18,25.52
2020-03-19,25.52
2020-03-20,25.52
2020-03-21,25.52
2020-03-22,25.52
2020-03-23,25.52
2020-03-24,25.52
2020-03-25,25.52
2020-03-26,25.52
2020-03-27,25.52
2020-03-28,25.52
2020-03-29,25.52
2020-03-30,25.52
2020-03-31,25.52
2020-04-01,25.52
2020-04-02,25.52
2020-04-03,25.52
2020-04-04,25.52
2020-04-05,25.52
2020-04-06,25.52
2020-04-07,25.52
2020-04-08,23.25
2020-04-09,23.25
2020-04-10,23.25
2020-04-11,23.25
2020-04-12,23.25
2020-04-13,23.25
2020-04-14,23.25
2020-04-15,23.25
2020-04-16,23.25
2020-04-17,23.25
2020-04-18,23.25
2020-04-19,23.25
2020-04-20,23.25
2020-04-21,23.25
2020-04-22,23.25
2020-04-23,23.25
2020-04-24,24.13
2020-04-25,24.13
2020-04-26,24.13
2020-04-27,24.13
2020-04-28,24.13
2020-04-29,24.13
2020-04-30,24.13
2020-05-01,24.13
2020-05-02,24.13
2020-05-03,24.13
2020-05-04,24.13
2020-05-05,24.13
2020-05-06,24.13
2020-05-07,24.13
2020-05-08,24.13
2020-05-09,24.13
2020-05-10,24.13
2020-05-11,24.13
2020-05-12,24.13
2020-05-13,24.13
2020-05-14,24.13
2020-05-15,24.13
2020-05-16,24.13
2020-05-17,24.13
2020-05-18,24.13
2020-05-19,24.13
2020-05-20,24.13
2020-05-21,24.13
2020-05-22,24.13
2020-05-23,24.13
2020-05-24,24.13
2020-05-25,24.13
2020-05-26,24.13
2020-05-27,24.13
2020-05-28,24.13
2020-05-29,24.13
2020-05-30,24.13
2020-05-31,24.13
2020-06-01,24.13
2020-06-02,24.13
2020-06-03,24.13
2020-06-04,24.13
2020-06-05,24.13
2020-06-06,24.13
2020-06-07,24.13
2020-06-08,24.13
2020-06-09,24.13
2020-06-10,24.13
2020-06-11,24.13
2020-06-12,24.13
2020-06-13,24.13
2020-06-14,24.13
2020-06-15,24.13
2020-06-16,24.13
2020-06-17,24.13
2020-06-18,24.13
2020-06-19,24.13
2020-06-20,24.13
2020-06-21,24.13
2020-06-22,24.13
2020-06-23,24.13
2020-06-24,24.13
2020-06-25,24.13
2020-06-26,24.13
2020-06-27,24.13
2020-06-28,24.13
2020-06-29,24.13
2020-06-30,24.13
2020-07-01,24.13
2020-07-02,24.13
2020-07-03,24.13
2020-07-04,24.13
2020-07-05,24.13
2020-07-06,24.13
2020-07-07,26.9
2020-07-08,26.9
2020-07-09,26.9
2020-07-10,26.9
2020-07-11,26.9
2020-07-12,26.9
2020-07-13,26.9
2020-07-14,26.9
2020-07-15,26.9
2020-07-16,26.9
2020-07-17,26.9
2020-07-18,26.9
2020-07-19,26.9
2020-07-20,26.9
2020-07-21,26.9
2020-07-22,26.9
2020-07-23,26.9
2020-07-24,25.53
2020-07-25,25.53
2020-07-26,25.53
2020-07-27,25.53
2020-07-28,25.53
2020-07-29,25.53
2020-07-30,25.53
2020-07-31,25.53
2020-08-01,25.53
2020-08-02,25.53
2020-08-03,25.53
2020-08-04,25.53
2020-08-05,25.53
2020-08-06,25.53
2020-08-07,25.53
2020-08-08,25.53
2020-08-09,25.53
2020-08-10,25.53
2020-08-11,25.53
2020-08-12,25.53
2020-08-13,25.53
2020-08-14,25.53
2020-08-15,25.53
2020-08-16,25.53
2020-08-17,25.53
2020-08-18,25.53
2020-08-19,25.53
2020-08-20,25.53
2020-08-21,25.53
2020-08-22,25.53
2020-08-23,25.53
2020-08-24,25.53
2020-08-25,25.53
2020-08-26,25.53
2020-08-27,25.53
2020-08-28,25.53
2020-08-29,25.53
2020-08-30,25.53
2020-08-31,25.53
2020-09-01,25.53
2020-09-02,25.53
2020-09-03,25.53
2020-09-04,25.53
2020-09-05,25.53
2020-09-06,25.53
2020-09-07,25.53
2020-09-08,25.53
2020-09-09,25.53
2020-09-10,25.53
2020-09-11,25.53
2020-09-12,25.53
2020-09-13,25.53
2020-09-14,25.53
2020-09-15,25.53
2020-09-16,25.53
2020-09-17,25.53
2020-09-18,25.53
2020-09-19,25.53
2020-09-20,25.53
2020-09-21,25.53
2020-09-22,25.53
2020-09-23,25.53
2020-09-24,25.53
2020-09-25,25.53
2020-09-26,25.53
2020-09-27,25.53
2020-09-28,25.53
2020-09-29,25.53
2020-09-30,25.53
2020-10-01,25.53
2020-10-02,25.53
2020-10-03,25.53
2020-10-04,25.53
2020-10-05,25.53
2020-10-06,25.53
2020-10-07,25.53
2020-10-08,25.54
2020-10-09,25.54
2020-10-10,25.54
2020-10-11,25.54
2020-10-12,25.54
2020-10-13,25.54
2020-10-14,25.54
2020-10-15,25.54
2020-10-16,25.54
2020-10-17,25.54
2020-10-18,25.54
2020-10-19,25.54
2020-10-20,25.54
2020-10-21,25.54
2020-10-22,25.54
2020-10-23,31.16
2020-10-24,31.16
2020-10-25,31.16
2020-10-26,31.16
2020-10-27,31.16
2020-10-28,31.16
2020-10-29,31.16
2020-10-30,31.16
2020-10-31,31.16
2020-11-01,31.16
2020-11-02,31.16
2020-11-03,31.16
2020-11-04,31.16
2020-11-05,31.16
2020-11-06,31.16
2020-11-07,31.16
2020-11-08,31.16
2020-11-09,31.16
2020-11-10,31.16
2020-11-11,31.16
2020-11-12,31.16
2020-11-13,31.16
2020-11-14,31.16
2020-11-15,31.16
2020-11-16,31.16
2020-11-17,31.16
2020-11-18,31.16
2020-11-19,31.16
2020-11-20,31.16
2020-11-21,31.16
2020-11-22,31.16
2020-11-23,31.16
2020-11-24,31.16
2020-11-25,31.16
2020-11-26,31.16
2020-11-27,31.16
2020-11-28,31.16
2020-11-29,31.16
2020-11-30,31.16
2020-12-01,31.16
2020-12-02,31.16
2020-12-03,31.16
2020-12-04,31.16
2020-12-05,31.16
2020-12-06,31.16
2020-12-07,31.16
2020-12-08,31.16
2020-12-09,31.16
2020-12-10,31.16
2020-12-11,31.16
2020-12-12,31.16
2020-12-13,31.16
2020-12-14,31.16
2020-12-15,31.16
2020-12-16,31.16
2020-12-17,31.16
2020-12-18,31.16
2020-12-19,31.16
2020-12-20,31.16
2020-12-21,31.16
2020-12-22,31.16
2020-12-23,31.16
2020-12-24,31.16
2020-12-25,31.16
2020-12-26,31.16
2020-12-27,31.16
2020-12-28,31.16
2020-12-29,31.16
2020-12-30,31.16
2020-12-31,31.16
2021-01-01,31.16
2021-01-02,31.16
2021-01-03,31.16
2021-01-04,33.9
2021-01-05,33.9
2021-01-06,33.9
2021-01-07,33.9
2021-01-08,33.9
2021-01-09,33.9
2021-01-10,33.9
2021-01-11,33.9
2021-01-12,33.9
2021-01-13,24.0
2021-01-14,24.0
2021-01-15,24.0
2021-01-16,24.0
2021-01-17,24.0
2021-01-18,24.0
2021-01-19,24.0
2021-01-20,24.0
2021-01-21,24.0
2021-01-22,24.0
2021-01-23,24.0
2021-01-24,24.0
2021-01-25,23.325
2021-01-26,23.113
2021-01-27,23.113
2021-01-28,23.113
2021-01-29,23.113
2021-01-30,23.113
2021-01-31,23.113
2021-02-01,23.113
2021-02-02,22.923
2021-02-03,22.923
2021-02-04,22.923
2021-02-05,22.923
2021-02-06,22.923
2021-02-07,22.923
2021-02-08,22.923
2021-02-09,22.923
2021-02-10,22.923
2021-02-11,22.923
2021-02-12,23.02
2021-02-13,23.02
2021-02-14,23.02
2021-02-15,23.02
2021-02-16,23.02
2021-02-17,23.02
2021-02-18,23.02
2021-02-19,23.02
2021-02-20,23.02
2021-02-21,23.02
2021-02-22,23.02
2021-02-23,23.02
2021-02-24,23.24
2021-02-25,23.24
2021-02-26,23.24
2021-02-27,23.24
2021-02-28,23.24
2021-03-01,23.24
2021-03-02,23.24
2021-03-03,23.24
2021-03-04,23.24
2021-03-05,23.24
2021-03-06,23.24
2021-03-07,23.24
2021-03-08,23.24
2021-03-09,23.24
2021-03-10,23.24
2021-03-11,23.24
2021-03-12,23.24
2021-03-13,23.24
2021-03-14,23.24
2021-03-15,23.24
2021-03-16,23.24
2021-03-17,23.24
2021-03-18,23.24
2021-03-19,23.24
2021-03-20,23.24
2021-03-21,23.24
2021-03-22,23.317
2021-03-23,23.317
2021-03-24,23.317
2021-03-25,23.317
2021-03-26,23.317
2021-03-27,23.317
