,CLR US Equity
,BEST_EPS
2020-01-01,2.045
2020-01-02,2.045
2020-01-03,2.045
2020-01-04,2.045
2020-01-05,2.045
2020-01-06,2.045
2020-01-07,2.045
2020-01-08,2.045
2020-01-09,2.045
2020-01-10,2.045
2020-01-11,2.045
2020-01-12,2.045
2020-01-13,2.045
2020-01-14,2.045
2020-01-15,2.045
2020-01-16,2.045
2020-01-17,2.045
2020-01-18,2.045
2020-01-19,2.045
2020-01-20,2.045
2020-01-21,2.045
2020-01-22,2.045
2020-01-23,3.28
2020-01-24,3.28
2020-01-25,3.28
2020-01-26,3.28
2020-01-27,3.28
2020-01-28,3.245
2020-01-29,3.245
2020-01-30,3.245
2020-01-31,3.245
2020-02-01,3.245
2020-02-02,3.245
2020-02-03,3.245
2020-02-04,3.245
2020-02-05,3.245
2020-02-06,3.245
2020-02-07,3.245
2020-02-08,3.245
2020-02-09,3.245
2020-02-10,3.245
2020-02-11,3.245
2020-02-12,3.245
2020-02-13,3.245
2020-02-14,3.245
2020-02-15,3.245
2020-02-16,3.245
2020-02-17,3.245
2020-02-18,3.245
2020-02-19,3.245
2020-02-20,3.245
2020-02-21,3.245
2020-02-22,3.245
2020-02-23,3.245
2020-02-24,3.245
2020-02-25,3.245
2020-02-26,3.245
2020-02-27,3.245
2020-02-28,2.913
2020-02-29,2.913
2020-03-01,2.913
2020-03-02,2.913
2020-03-03,2.913
2020-03-04,2.913
2020-03-05,2.913
2020-03-06,2.913
2020-03-07,2.913
2020-03-08,2.913
2020-03-09,2.913
2020-03-10,2.913
2020-03-11,2.913
2020-03-12,2.913
2020-03-13,2.913
2020-03-14,2.913
2020-03-15,2.913
2020-03-16,2.913
2020-03-17,2.913
2020-03-18,2.913
2020-03-19,2.913
2020-03-20,1.173
2020-03-21,1.173
2020-03-22,1.173
2020-03-23,1.173
2020-03-24,1.173
2020-03-25,1.173
2020-03-26,1.173
2020-03-27,1.173
2020-03-28,1.173
2020-03-29,1.173
2020-03-30,1.173
2020-03-31,1.173
2020-04-01,1.173
2020-04-02,1.173
2020-04-03,1.173
2020-04-04,1.173
2020-04-05,1.173
2020-04-06,1.173
2020-04-07,1.173
2020-04-08,1.173
2020-04-09,1.173
2020-04-10,1.755
2020-04-11,1.755
2020-04-12,1.755
2020-04-13,1.755
2020-04-14,1.755
2020-04-15,1.755
2020-04-16,1.755
2020-04-17,1.755
2020-04-18,1.755
2020-04-19,1.755
2020-04-20,1.755
2020-04-21,1.755
2020-04-22,1.755
2020-04-23,1.755
2020-04-24,1.755
2020-04-25,1.76
2020-04-26,1.76
2020-04-27,1.76
2020-04-28,1.76
2020-04-29,1.76
2020-04-30,1.76
2020-05-01,1.76
2020-05-02,1.76
2020-05-03,1.76
2020-05-04,1.76
2020-05-05,1.76
2020-05-06,1.76
2020-05-07,1.76
2020-05-08,1.885
2020-05-09,1.885
2020-05-10,1.885
2020-05-11,1.885
2020-05-12,1.913
2020-05-13,1.913
2020-05-14,1.913
2020-05-15,1.913
2020-05-16,1.913
2020-05-17,1.913
2020-05-18,1.958
2020-05-19,1.958
2020-05-20,1.958
2020-05-21,1.958
2020-05-22,1.91
2020-05-23,1.91
2020-05-24,1.91
2020-05-25,1.91
2020-05-26,1.91
