,LOW US Equity
,BEST_EPS
2019-01-01,
2019-01-02,
2019-01-03,
2019-01-04,
2019-01-05,
2019-01-06,
2019-01-07,
2019-01-08,
2019-01-09,
2019-01-10,
2019-01-11,
2019-01-12,
2019-01-13,
2019-01-14,
2019-01-15,
2019-01-16,
2019-01-17,
2019-01-18,
2019-01-19,
2019-01-20,
2019-01-21,
2019-01-22,
2019-01-23,
2019-01-24,
2019-01-25,
2019-01-26,
2019-01-27,
2019-01-28,
2019-01-29,
2019-01-30,
2019-01-31,
2019-02-01,
2019-02-02,
2019-02-03,
2019-02-04,
2019-02-05,
2019-02-06,
2019-02-07,
2019-02-08,
2019-02-09,
2019-02-10,
2019-02-11,
2019-02-12,
2019-02-13,
2019-02-14,
2019-02-15,
2019-02-16,
2019-02-17,
2019-02-18,
2019-02-19,
2019-02-20,
2019-02-21,
2019-02-22,
2019-02-23,
2019-02-24,
2019-02-25,
2019-02-26,
2019-02-27,
2019-02-28,
2019-03-01,
2019-03-02,
2019-03-03,
2019-03-04,
2019-03-05,
2019-03-06,
2019-03-07,
2019-03-08,
2019-03-09,
2019-03-10,
2019-03-11,
2019-03-12,
2019-03-13,
2019-03-14,
2019-03-15,
2019-03-16,
2019-03-17,
2019-03-18,
2019-03-19,
2019-03-20,
2019-03-21,
2019-03-22,
2019-03-23,
2019-03-24,
2019-03-25,
2019-03-26,
2019-03-27,
2019-03-28,
2019-03-29,
2019-03-30,
2019-03-31,
2019-04-01,
2019-04-02,
2019-04-03,
2019-04-04,
2019-04-05,
2019-04-06,
2019-04-07,
2019-04-08,
2019-04-09,
2019-04-10,
2019-04-11,
2019-04-12,
2019-04-13,
2019-04-14,
2019-04-15,
2019-04-16,
2019-04-17,
2019-04-18,
2019-04-19,
2019-04-20,
2019-04-21,
2019-04-22,
2019-04-23,
2019-04-24,
2019-04-25,
2019-04-26,
2019-04-27,
2019-04-28,
2019-04-29,
2019-04-30,
2019-05-01,
2019-05-02,
2019-05-03,
2019-05-04,
2019-05-05,
2019-05-06,
2019-05-07,
2019-05-08,
2019-05-09,
2019-05-10,
2019-05-11,
2019-05-12,
2019-05-13,
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-18,
2019-05-19,
2019-05-20,
2019-05-21,
2019-05-22,8.78
2019-05-23,8.78
2019-05-24,8.78
2019-05-25,8.78
2019-05-26,8.78
2019-05-27,8.78
2019-05-28,8.78
2019-05-29,8.78
2019-05-30,8.78
2019-05-31,8.78
2019-06-01,8.78
2019-06-02,8.78
2019-06-03,8.78
2019-06-04,8.78
2019-06-05,8.78
2019-06-06,8.78
2019-06-07,8.78
2019-06-08,8.78
2019-06-09,8.78
2019-06-10,8.78
2019-06-11,8.78
2019-06-12,8.78
2019-06-13,8.78
2019-06-14,8.78
2019-06-15,8.78
2019-06-16,8.78
2019-06-17,8.78
2019-06-18,8.78
2019-06-19,8.78
2019-06-20,8.78
2019-06-21,8.78
2019-06-22,8.78
2019-06-23,8.78
2019-06-24,8.78
2019-06-25,8.78
2019-06-26,8.78
2019-06-27,8.78
2019-06-28,8.78
2019-06-29,8.78
2019-06-30,8.78
2019-07-01,8.78
2019-07-02,8.78
2019-07-03,8.78
2019-07-04,8.78
2019-07-05,8.78
2019-07-06,8.78
2019-07-07,8.78
2019-07-08,8.78
2019-07-09,8.78
2019-07-10,8.78
2019-07-11,12.63
2019-07-12,12.63
2019-07-13,12.63
2019-07-14,12.63
2019-07-15,12.63
2019-07-16,12.63
2019-07-17,12.63
2019-07-18,12.63
2019-07-19,12.63
2019-07-20,12.63
2019-07-21,12.63
2019-07-22,12.63
2019-07-23,12.63
2019-07-24,12.63
2019-07-25,12.63
2019-07-26,12.63
2019-07-27,12.63
2019-07-28,12.63
2019-07-29,12.63
2019-07-30,12.63
2019-07-31,12.63
2019-08-01,12.63
2019-08-02,12.63
2019-08-03,12.63
2019-08-04,12.63
2019-08-05,12.63
2019-08-06,12.63
2019-08-07,12.63
2019-08-08,12.63
2019-08-09,12.63
2019-08-10,12.63
2019-08-11,12.63
2019-08-12,12.63
2019-08-13,12.63
2019-08-14,12.63
2019-08-15,12.63
2019-08-16,12.63
2019-08-17,12.63
2019-08-18,12.63
2019-08-19,12.63
2019-08-20,12.63
2019-08-21,16.48
2019-08-22,16.48
2019-08-23,16.48
2019-08-24,16.48
2019-08-25,16.48
2019-08-26,16.48
2019-08-27,16.48
2019-08-28,16.48
2019-08-29,16.48
2019-08-30,16.48
2019-08-31,16.48
2019-09-01,16.48
2019-09-02,16.48
2019-09-03,16.48
2019-09-04,16.48
2019-09-05,16.48
2019-09-06,16.48
2019-09-07,16.48
2019-09-08,16.48
2019-09-09,16.48
2019-09-10,16.48
2019-09-11,16.48
2019-09-12,16.48
2019-09-13,16.48
2019-09-14,16.48
2019-09-15,16.48
2019-09-16,16.48
2019-09-17,16.48
2019-09-18,16.48
2019-09-19,16.48
2019-09-20,16.48
2019-09-21,16.48
2019-09-22,16.48
2019-09-23,16.48
2019-09-24,16.48
2019-09-25,16.48
2019-09-26,16.48
2019-09-27,16.48
2019-09-28,16.48
2019-09-29,16.48
2019-09-30,16.48
2019-10-01,16.48
2019-10-02,16.48
2019-10-03,16.48
2019-10-04,16.48
2019-10-05,16.48
2019-10-06,16.48
2019-10-07,16.48
2019-10-08,16.48
2019-10-09,16.48
2019-10-10,16.48
2019-10-11,16.48
2019-10-12,16.48
2019-10-13,16.48
2019-10-14,16.48
2019-10-15,16.48
2019-10-16,16.48
2019-10-17,16.48
2019-10-18,16.48
2019-10-19,16.48
2019-10-20,16.48
2019-10-21,16.48
2019-10-22,16.48
2019-10-23,16.48
2019-10-24,16.48
2019-10-25,16.48
2019-10-26,16.48
2019-10-27,16.48
2019-10-28,16.48
2019-10-29,16.48
2019-10-30,16.48
2019-10-31,16.48
2019-11-01,16.48
2019-11-02,16.48
2019-11-03,16.48
2019-11-04,16.48
2019-11-05,16.48
2019-11-06,16.48
2019-11-07,16.48
2019-11-08,16.48
2019-11-09,16.48
2019-11-10,16.48
2019-11-11,16.48
2019-11-12,16.48
2019-11-13,16.48
2019-11-14,16.48
2019-11-15,16.48
2019-11-16,16.48
2019-11-17,16.48
2019-11-18,16.48
2019-11-19,16.48
2019-11-20,16.48
2019-11-21,12.975
2019-11-22,12.975
2019-11-23,12.975
2019-11-24,12.975
2019-11-25,12.975
2019-11-26,12.975
2019-11-27,12.975
2019-11-28,12.975
2019-11-29,12.975
2019-11-30,12.975
2019-12-01,12.975
2019-12-02,12.975
2019-12-03,12.975
2019-12-04,12.975
2019-12-05,12.975
2019-12-06,12.975
2019-12-07,12.975
2019-12-08,12.975
2019-12-09,12.975
2019-12-10,12.975
2019-12-11,12.975
2019-12-12,12.975
2019-12-13,12.975
2019-12-14,12.975
2019-12-15,12.975
2019-12-16,12.975
2019-12-17,12.975
2019-12-18,12.975
2019-12-19,12.975
2019-12-20,12.975
2019-12-21,12.975
2019-12-22,12.975
2019-12-23,12.975
