,NVR US Equity
,BEST_EPS
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,370.64
2020-01-31,370.64
2020-02-01,370.64
2020-02-02,370.64
2020-02-03,370.64
2020-02-04,370.64
2020-02-05,370.64
2020-02-06,370.64
2020-02-07,370.64
2020-02-08,370.64
2020-02-09,370.64
2020-02-10,370.64
2020-02-11,370.64
2020-02-12,370.64
2020-02-13,370.64
2020-02-14,370.64
2020-02-15,370.64
2020-02-16,370.64
2020-02-17,370.64
2020-02-18,370.64
2020-02-19,370.64
2020-02-20,370.64
2020-02-21,370.64
2020-02-22,370.64
2020-02-23,370.64
2020-02-24,370.64
2020-02-25,370.64
2020-02-26,370.64
2020-02-27,370.64
2020-02-28,370.64
2020-02-29,370.64
2020-03-01,370.64
2020-03-02,370.64
2020-03-03,370.64
2020-03-04,370.64
2020-03-05,370.64
2020-03-06,370.64
2020-03-07,370.64
2020-03-08,370.64
2020-03-09,370.64
2020-03-10,370.64
2020-03-11,370.64
2020-03-12,370.64
2020-03-13,370.64
2020-03-14,370.64
2020-03-15,370.64
2020-03-16,370.64
2020-03-17,370.64
2020-03-18,370.64
2020-03-19,370.64
2020-03-20,370.64
2020-03-21,370.64
2020-03-22,370.64
2020-03-23,370.64
2020-03-24,370.64
2020-03-25,370.64
2020-03-26,370.64
2020-03-27,370.64
2020-03-28,370.64
2020-03-29,370.64
2020-03-30,370.64
2020-03-31,370.64
2020-04-01,370.64
2020-04-02,370.64
2020-04-03,370.64
2020-04-04,370.64
2020-04-05,370.64
2020-04-06,370.64
2020-04-07,370.64
2020-04-08,370.64
2020-04-09,370.64
2020-04-10,370.64
2020-04-11,370.64
2020-04-12,370.64
2020-04-13,370.64
2020-04-14,370.64
2020-04-15,370.64
2020-04-16,370.64
2020-04-17,370.64
2020-04-18,370.64
2020-04-19,370.64
2020-04-20,370.64
2020-04-21,370.64
2020-04-22,370.64
2020-04-23,370.64
2020-04-24,370.64
2020-04-25,370.64
2020-04-26,370.64
2020-04-27,370.64
2020-04-28,370.64
2020-04-29,370.64
2020-04-30,370.64
2020-05-01,370.64
2020-05-02,370.64
2020-05-03,370.64
2020-05-04,370.64
2020-05-05,370.64
2020-05-06,370.64
2020-05-07,370.64
2020-05-08,370.64
2020-05-09,370.64
2020-05-10,370.64
2020-05-11,370.64
2020-05-12,370.64
2020-05-13,370.64
2020-05-14,370.64
2020-05-15,370.64
2020-05-16,370.64
2020-05-17,370.64
2020-05-18,370.64
2020-05-19,370.64
2020-05-20,370.64
2020-05-21,370.64
2020-05-22,370.64
2020-05-23,370.64
2020-05-24,370.64
2020-05-25,370.64
2020-05-26,370.64
2020-05-27,370.64
2020-05-28,370.64
2020-05-29,370.64
2020-05-30,370.64
2020-05-31,370.64
2020-06-01,370.64
2020-06-02,370.64
2020-06-03,370.64
2020-06-04,370.64
2020-06-05,370.64
2020-06-06,370.64
2020-06-07,370.64
2020-06-08,370.64
2020-06-09,370.64
2020-06-10,370.64
2020-06-11,370.64
2020-06-12,370.64
2020-06-13,370.64
2020-06-14,370.64
2020-06-15,370.64
2020-06-16,370.64
2020-06-17,370.64
2020-06-18,370.64
2020-06-19,370.64
2020-06-20,370.64
2020-06-21,370.64
2020-06-22,370.64
2020-06-23,370.64
2020-06-24,370.64
2020-06-25,370.64
2020-06-26,370.64
2020-06-27,370.64
2020-06-28,370.64
2020-06-29,370.64
2020-06-30,370.64
2020-07-01,370.64
2020-07-02,370.64
2020-07-03,370.64
2020-07-04,370.64
2020-07-05,370.64
2020-07-06,370.64
2020-07-07,370.64
2020-07-08,370.64
2020-07-09,370.64
2020-07-10,370.64
2020-07-11,370.64
2020-07-12,370.64
2020-07-13,370.64
2020-07-14,370.64
2020-07-15,370.64
2020-07-16,370.64
2020-07-17,370.64
2020-07-18,370.64
2020-07-19,370.64
2020-07-20,370.64
2020-07-21,370.64
2020-07-22,370.64
2020-07-23,370.64
2020-07-24,370.64
2020-07-25,370.64
2020-07-26,370.64
2020-07-27,370.64
2020-07-28,370.64
2020-07-29,370.64
2020-07-30,370.64
2020-07-31,370.64
2020-08-01,370.64
2020-08-02,370.64
2020-08-03,370.64
2020-08-04,370.64
2020-08-05,370.64
2020-08-06,370.64
2020-08-07,370.64
2020-08-08,370.64
2020-08-09,370.64
2020-08-10,370.64
2020-08-11,370.64
2020-08-12,370.64
2020-08-13,370.64
2020-08-14,370.64
2020-08-15,370.64
2020-08-16,370.64
2020-08-17,370.64
2020-08-18,370.64
2020-08-19,370.64
2020-08-20,370.64
2020-08-21,370.64
2020-08-22,370.64
2020-08-23,370.64
2020-08-24,370.64
2020-08-25,370.64
2020-08-26,370.64
2020-08-27,370.64
2020-08-28,370.64
2020-08-29,370.64
2020-08-30,370.64
2020-08-31,370.64
2020-09-01,370.64
2020-09-02,370.64
2020-09-03,370.64
2020-09-04,370.64
2020-09-05,370.64
2020-09-06,370.64
2020-09-07,370.64
2020-09-08,370.64
2020-09-09,370.64
2020-09-10,370.64
2020-09-11,370.64
2020-09-12,370.64
2020-09-13,370.64
2020-09-14,370.64
2020-09-15,370.64
2020-09-16,370.64
2020-09-17,370.64
2020-09-18,370.64
2020-09-19,370.64
2020-09-20,370.64
2020-09-21,370.64
2020-09-22,370.64
2020-09-23,370.64
2020-09-24,370.64
2020-09-25,370.64
2020-09-26,370.64
2020-09-27,370.64
2020-09-28,370.64
2020-09-29,370.64
2020-09-30,370.64
2020-10-01,370.64
2020-10-02,370.64
2020-10-03,370.64
2020-10-04,370.64
2020-10-05,370.64
2020-10-06,370.64
2020-10-07,370.64
2020-10-08,370.64
2020-10-09,370.64
2020-10-10,370.64
2020-10-11,370.64
2020-10-12,370.64
2020-10-13,370.64
2020-10-14,370.64
2020-10-15,370.64
2020-10-16,370.64
2020-10-17,370.64
2020-10-18,370.64
2020-10-19,370.64
2020-10-20,370.64
2020-10-21,370.64
2020-10-22,370.64
2020-10-23,370.64
2020-10-24,370.64
2020-10-25,370.64
2020-10-26,370.64
2020-10-27,370.64
2020-10-28,370.64
2020-10-29,370.64
2020-10-30,370.64
2020-10-31,370.64
2020-11-01,370.64
2020-11-02,370.64
2020-11-03,370.64
2020-11-04,370.64
2020-11-05,370.64
2020-11-06,370.64
2020-11-07,370.64
2020-11-08,370.64
2020-11-09,370.64
2020-11-10,370.64
2020-11-11,370.64
2020-11-12,370.64
2020-11-13,370.64
2020-11-14,370.64
2020-11-15,370.64
2020-11-16,370.64
2020-11-17,370.64
2020-11-18,370.64
2020-11-19,370.64
2020-11-20,370.64
2020-11-21,370.64
2020-11-22,370.64
2020-11-23,370.64
2020-11-24,370.64
2020-11-25,370.64
2020-11-26,370.64
2020-11-27,370.64
2020-11-28,370.64
2020-11-29,370.64
2020-11-30,370.64
2020-12-01,370.64
2020-12-02,370.64
2020-12-03,370.64
2020-12-04,370.64
2020-12-05,370.64
2020-12-06,370.64
2020-12-07,370.64
2020-12-08,370.64
2020-12-09,370.64
2020-12-10,370.64
2020-12-11,370.64
2020-12-12,370.64
2020-12-13,370.64
2020-12-14,370.64
2020-12-15,370.64
2020-12-16,370.64
2020-12-17,370.64
2020-12-18,370.64
2020-12-19,370.64
2020-12-20,370.64
2020-12-21,370.64
2020-12-22,370.64
2020-12-23,370.64
2020-12-24,370.64
2020-12-25,370.64
2020-12-26,370.64
2020-12-27,370.64
2020-12-28,370.64
2020-12-29,370.64
2020-12-30,370.64
2020-12-31,370.64
2021-01-01,370.64
2021-01-02,370.64
2021-01-03,370.64
2021-01-04,370.64
2021-01-05,370.64
2021-01-06,370.64
2021-01-07,370.64
2021-01-08,370.64
2021-01-09,370.64
2021-01-10,370.64
2021-01-11,370.64
2021-01-12,370.64
2021-01-13,370.64
2021-01-14,370.64
2021-01-15,370.64
2021-01-16,370.64
2021-01-17,370.64
2021-01-18,370.64
2021-01-19,370.64
2021-01-20,370.64
2021-01-21,370.64
2021-01-22,370.64
2021-01-23,370.64
2021-01-24,370.64
2021-01-25,370.64
2021-01-26,370.64
2021-01-27,370.64
2021-01-28,370.64
2021-01-29,370.64
2021-01-30,370.64
2021-01-31,370.64
2021-02-01,370.64
2021-02-02,370.64
2021-02-03,370.64
2021-02-04,370.64
2021-02-05,370.64
2021-02-06,370.64
2021-02-07,370.64
2021-02-08,370.64
2021-02-09,370.64
2021-02-10,370.64
2021-02-11,370.64
2021-02-12,370.64
2021-02-13,370.64
2021-02-14,370.64
2021-02-15,370.64
2021-02-16,370.64
2021-02-17,370.64
2021-02-18,370.64
2021-02-19,370.64
2021-02-20,370.64
2021-02-21,370.64
2021-02-22,370.64
2021-02-23,370.64
2021-02-24,370.64
2021-02-25,370.64
2021-02-26,370.64
2021-02-27,370.64
2021-02-28,370.64
2021-03-01,370.64
2021-03-02,370.64
2021-03-03,370.64
2021-03-04,370.64
2021-03-05,370.64
2021-03-06,370.64
2021-03-07,370.64
2021-03-08,370.64
2021-03-09,370.64
2021-03-10,370.64
2021-03-11,370.64
2021-03-12,370.64
2021-03-13,370.64
2021-03-14,370.64
2021-03-15,370.64
2021-03-16,370.64
2021-03-17,370.64
2021-03-18,370.64
2021-03-19,370.64
2021-03-20,370.64
2021-03-21,370.64
2021-03-22,370.64
2021-03-23,370.64
2021-03-24,370.64
2021-03-25,370.64
2021-03-26,370.64
2021-03-27,370.64
2021-03-28,370.64
