,ETN US Equity
,BEST_EPS
2020-01-01,9.25
2020-01-02,9.25
2020-01-03,9.25
2020-01-04,9.25
2020-01-05,9.25
2020-01-06,9.25
2020-01-07,9.25
2020-01-08,9.25
2020-01-09,9.25
2020-01-10,9.25
2020-01-11,9.25
2020-01-12,9.25
2020-01-13,9.25
2020-01-14,9.25
2020-01-15,9.25
2020-01-16,9.25
2020-01-17,9.25
2020-01-18,9.25
2020-01-19,9.25
2020-01-20,9.25
2020-01-21,9.25
2020-01-22,9.25
2020-01-23,9.25
2020-01-24,9.25
2020-01-25,9.25
2020-01-26,9.25
2020-01-27,9.25
2020-01-28,9.25
2020-01-29,9.25
2020-01-30,9.25
2020-01-31,9.25
2020-02-01,9.25
2020-02-02,9.25
2020-02-03,9.25
2020-02-04,9.25
2020-02-05,9.25
2020-02-06,9.25
2020-02-07,9.25
2020-02-08,9.25
2020-02-09,9.25
2020-02-10,9.25
2020-02-11,9.25
2020-02-12,9.25
2020-02-13,9.25
2020-02-14,9.25
2020-02-15,9.25
2020-02-16,9.25
2020-02-17,9.25
2020-02-18,9.25
2020-02-19,9.25
2020-02-20,9.25
2020-02-21,9.25
2020-02-22,9.25
2020-02-23,9.25
2020-02-24,9.25
2020-02-25,9.25
2020-02-26,9.25
2020-02-27,9.25
2020-02-28,9.25
2020-02-29,9.25
2020-03-01,9.25
2020-03-02,9.25
2020-03-03,9.25
2020-03-04,9.25
2020-03-05,9.25
2020-03-06,9.25
2020-03-07,9.25
2020-03-08,9.25
2020-03-09,9.25
2020-03-10,9.25
2020-03-11,9.25
2020-03-12,9.25
2020-03-13,9.25
2020-03-14,9.25
2020-03-15,9.25
2020-03-16,9.25
2020-03-17,9.25
2020-03-18,9.25
2020-03-19,9.25
2020-03-20,9.25
2020-03-21,9.25
2020-03-22,9.25
2020-03-23,9.25
2020-03-24,9.25
2020-03-25,9.25
2020-03-26,9.25
2020-03-27,9.25
2020-03-28,9.25
2020-03-29,9.25
2020-03-30,9.25
2020-03-31,9.25
2020-04-01,9.25
2020-04-02,9.25
2020-04-03,9.25
2020-04-04,9.25
2020-04-05,9.25
2020-04-06,9.25
2020-04-07,9.25
2020-04-08,9.25
2020-04-09,9.25
2020-04-10,9.25
2020-04-11,9.25
2020-04-12,9.25
2020-04-13,9.25
2020-04-14,9.25
2020-04-15,9.25
2020-04-16,9.25
2020-04-17,9.25
2020-04-18,9.25
2020-04-19,9.25
2020-04-20,9.25
2020-04-21,9.25
2020-04-22,9.25
2020-04-23,9.25
2020-04-24,9.25
2020-04-25,9.25
2020-04-26,9.25
2020-04-27,9.25
2020-04-28,9.25
2020-04-29,9.25
2020-04-30,9.25
2020-05-01,9.25
2020-05-02,9.25
2020-05-03,9.25
2020-05-04,9.25
2020-05-05,9.25
2020-05-06,9.25
2020-05-07,9.25
2020-05-08,9.25
2020-05-09,9.25
2020-05-10,9.25
2020-05-11,9.25
2020-05-12,9.25
2020-05-13,9.25
2020-05-14,9.25
2020-05-15,9.25
2020-05-16,9.25
2020-05-17,9.25
2020-05-18,8.475
2020-05-19,8.475
2020-05-20,8.475
2020-05-21,8.475
2020-05-22,8.475
2020-05-23,8.475
2020-05-24,8.475
2020-05-25,8.475
2020-05-26,8.475
2020-05-27,8.475
2020-05-28,8.475
2020-05-29,8.475
2020-05-30,8.475
2020-05-31,8.475
2020-06-01,8.475
2020-06-02,8.475
2020-06-03,8.475
2020-06-04,8.475
2020-06-05,8.475
2020-06-06,8.475
2020-06-07,8.475
2020-06-08,8.475
2020-06-09,8.475
2020-06-10,8.475
2020-06-11,8.475
2020-06-12,8.475
2020-06-13,8.475
2020-06-14,8.475
2020-06-15,8.475
2020-06-16,8.475
2020-06-17,8.475
2020-06-18,8.475
2020-06-19,8.475
2020-06-20,8.475
2020-06-21,8.475
2020-06-22,8.475
2020-06-23,8.475
2020-06-24,8.475
2020-06-25,8.475
2020-06-26,8.475
2020-06-27,8.475
2020-06-28,8.475
2020-06-29,8.475
2020-06-30,8.475
2020-07-01,8.475
2020-07-02,8.475
2020-07-03,8.475
2020-07-04,8.475
2020-07-05,8.475
2020-07-06,8.475
2020-07-07,7.717
2020-07-08,7.717
2020-07-09,7.717
2020-07-10,7.717
2020-07-11,7.717
2020-07-12,7.717
2020-07-13,7.717
2020-07-14,7.717
2020-07-15,7.717
2020-07-16,7.717
2020-07-17,7.717
2020-07-18,7.717
2020-07-19,7.717
2020-07-20,7.717
2020-07-21,7.717
2020-07-22,7.717
2020-07-23,7.717
2020-07-24,7.717
2020-07-25,7.717
2020-07-26,7.717
2020-07-27,7.717
2020-07-28,7.717
2020-07-29,7.438
2020-07-30,7.453
2020-07-31,7.453
2020-08-01,7.453
2020-08-02,7.453
2020-08-03,7.453
2020-08-04,7.453
2020-08-05,7.453
2020-08-06,7.453
2020-08-07,7.453
2020-08-08,7.453
2020-08-09,7.453
2020-08-10,7.453
2020-08-11,7.453
2020-08-12,7.453
2020-08-13,7.453
2020-08-14,7.453
2020-08-15,7.453
2020-08-16,7.453
2020-08-17,7.453
2020-08-18,7.453
2020-08-19,7.453
2020-08-20,7.453
2020-08-21,7.44
2020-08-22,7.44
2020-08-23,7.44
2020-08-24,7.44
2020-08-25,7.44
2020-08-26,7.44
2020-08-27,7.44
2020-08-28,7.44
2020-08-29,7.44
2020-08-30,7.44
2020-08-31,7.44
2020-09-01,7.44
2020-09-02,7.44
2020-09-03,7.44
2020-09-04,7.44
2020-09-05,7.44
2020-09-06,7.44
2020-09-07,7.44
2020-09-08,7.44
2020-09-09,7.44
2020-09-10,7.44
2020-09-11,7.44
2020-09-12,7.44
2020-09-13,7.44
2020-09-14,7.44
2020-09-15,7.44
2020-09-16,7.44
2020-09-17,7.44
2020-09-18,7.44
2020-09-19,7.44
2020-09-20,7.44
2020-09-21,7.44
2020-09-22,7.44
2020-09-23,7.44
2020-09-24,7.44
2020-09-25,7.44
2020-09-26,7.44
2020-09-27,7.44
2020-09-28,7.44
2020-09-29,7.44
2020-09-30,7.44
2020-10-01,7.44
2020-10-02,7.44
2020-10-03,7.44
2020-10-04,7.44
2020-10-05,7.458
2020-10-06,7.458
2020-10-07,7.458
2020-10-08,7.458
2020-10-09,7.458
2020-10-10,7.458
2020-10-11,7.458
2020-10-12,7.206
2020-10-13,7.206
2020-10-14,7.206
2020-10-15,7.206
2020-10-16,7.206
2020-10-17,7.206
2020-10-18,7.206
2020-10-19,7.206
2020-10-20,7.206
2020-10-21,7.206
2020-10-22,7.206
2020-10-23,7.206
2020-10-24,7.206
2020-10-25,7.206
2020-10-26,7.206
2020-10-27,7.206
2020-10-28,7.206
2020-10-29,7.206
2020-10-30,7.206
2020-10-31,7.206
2020-11-01,7.206
2020-11-02,7.206
2020-11-03,7.252
2020-11-04,7.352
2020-11-05,7.372
2020-11-06,7.372
2020-11-07,7.372
2020-11-08,7.372
2020-11-09,7.372
2020-11-10,7.372
2020-11-11,7.372
2020-11-12,7.372
2020-11-13,7.303
2020-11-14,7.303
2020-11-15,7.303
2020-11-16,7.303
2020-11-17,7.303
2020-11-18,7.303
2020-11-19,7.303
2020-11-20,7.303
2020-11-21,7.303
2020-11-22,7.303
2020-11-23,7.303
2020-11-24,7.303
2020-11-25,7.303
2020-11-26,7.303
2020-11-27,7.303
2020-11-28,7.303
2020-11-29,7.303
2020-11-30,7.29
2020-12-01,7.29
2020-12-02,7.29
2020-12-03,7.29
2020-12-04,7.29
2020-12-05,7.29
2020-12-06,7.29
2020-12-07,7.29
2020-12-08,7.29
2020-12-09,7.29
2020-12-10,7.29
2020-12-11,7.29
2020-12-12,7.29
2020-12-13,7.29
2020-12-14,7.305
2020-12-15,7.305
2020-12-16,7.305
2020-12-17,7.305
2020-12-18,7.305
2020-12-19,7.305
2020-12-20,7.305
2020-12-21,7.305
2020-12-22,7.305
2020-12-23,7.324
2020-12-24,7.324
2020-12-25,7.324
2020-12-26,7.324
2020-12-27,7.324
2020-12-28,7.324
2020-12-29,7.324
2020-12-30,7.324
2020-12-31,7.324
2021-01-01,7.324
2021-01-02,7.324
2021-01-03,7.324
2021-01-04,7.294
2021-01-05,7.322
2021-01-06,7.322
2021-01-07,7.322
2021-01-08,7.322
2021-01-09,7.322
