,OGS US Equity
,BEST_EPS
2020-01-01,4.5
2020-01-02,4.5
2020-01-03,4.5
2020-01-04,4.5
2020-01-05,4.5
2020-01-06,4.5
2020-01-07,4.5
2020-01-08,4.5
2020-01-09,4.5
2020-01-10,4.5
2020-01-11,4.5
2020-01-12,4.5
2020-01-13,4.5
2020-01-14,4.5
2020-01-15,4.5
2020-01-16,4.49
2020-01-17,4.49
2020-01-18,4.49
2020-01-19,4.49
2020-01-20,4.49
2020-01-21,4.49
2020-01-22,4.49
2020-01-23,4.49
2020-01-24,4.49
2020-01-25,4.49
2020-01-26,4.49
2020-01-27,4.49
2020-01-28,4.49
2020-01-29,4.49
2020-01-30,4.49
2020-01-31,4.49
2020-02-01,4.49
2020-02-02,4.49
2020-02-03,4.49
2020-02-04,4.49
2020-02-05,4.49
2020-02-06,4.49
2020-02-07,4.49
2020-02-08,4.49
2020-02-09,4.49
2020-02-10,4.49
2020-02-11,4.49
2020-02-12,4.49
2020-02-13,4.49
2020-02-14,4.49
2020-02-15,4.49
2020-02-16,4.49
2020-02-17,4.49
2020-02-18,4.49
2020-02-19,4.49
2020-02-20,4.49
2020-02-21,4.49
2020-02-22,4.49
2020-02-23,4.49
2020-02-24,4.49
2020-02-25,4.49
2020-02-26,4.49
2020-02-27,4.49
2020-02-28,4.49
2020-02-29,4.49
2020-03-01,4.49
2020-03-02,4.49
2020-03-03,4.49
2020-03-04,4.49
2020-03-05,4.49
2020-03-06,4.49
2020-03-07,4.49
2020-03-08,4.49
2020-03-09,4.49
2020-03-10,4.49
2020-03-11,4.49
2020-03-12,4.49
2020-03-13,4.49
2020-03-14,4.49
2020-03-15,4.49
2020-03-16,4.49
2020-03-17,4.49
2020-03-18,4.49
2020-03-19,4.49
2020-03-20,4.49
2020-03-21,4.49
2020-03-22,4.49
2020-03-23,4.49
2020-03-24,4.49
2020-03-25,4.49
2020-03-26,4.49
2020-03-27,4.49
2020-03-28,4.49
2020-03-29,4.49
2020-03-30,4.49
2020-03-31,4.49
2020-04-01,4.49
2020-04-02,4.49
2020-04-03,4.49
2020-04-04,4.49
2020-04-05,4.49
2020-04-06,4.49
2020-04-07,4.49
2020-04-08,4.49
2020-04-09,4.49
2020-04-10,4.49
2020-04-11,4.49
2020-04-12,4.49
2020-04-13,4.49
2020-04-14,4.49
2020-04-15,4.49
2020-04-16,4.49
2020-04-17,4.49
2020-04-18,4.49
2020-04-19,4.49
2020-04-20,4.49
2020-04-21,4.49
2020-04-22,4.49
2020-04-23,4.49
2020-04-24,4.49
2020-04-25,4.49
2020-04-26,4.49
2020-04-27,4.49
2020-04-28,4.49
2020-04-29,4.49
2020-04-30,4.49
2020-05-01,4.49
2020-05-02,4.49
2020-05-03,4.49
2020-05-04,4.49
2020-05-05,4.49
2020-05-06,4.49
2020-05-07,4.49
2020-05-08,4.49
2020-05-09,4.49
2020-05-10,4.49
2020-05-11,4.49
2020-05-12,4.49
2020-05-13,4.49
2020-05-14,4.49
2020-05-15,4.49
2020-05-16,4.49
2020-05-17,4.49
2020-05-18,4.49
2020-05-19,4.49
2020-05-20,4.49
2020-05-21,4.49
2020-05-22,4.49
2020-05-23,4.49
2020-05-24,4.49
2020-05-25,4.49
2020-05-26,4.49
2020-05-27,4.49
2020-05-28,4.49
2020-05-29,4.48
2020-05-30,4.48
2020-05-31,4.48
2020-06-01,4.48
2020-06-02,4.48
2020-06-03,4.48
2020-06-04,4.48
2020-06-05,4.48
2020-06-06,4.48
2020-06-07,4.48
2020-06-08,4.48
2020-06-09,4.48
2020-06-10,4.48
2020-06-11,4.48
2020-06-12,4.48
2020-06-13,4.48
2020-06-14,4.48
2020-06-15,4.48
2020-06-16,4.48
2020-06-17,4.48
2020-06-18,4.48
2020-06-19,4.48
2020-06-20,4.48
2020-06-21,4.48
2020-06-22,4.48
2020-06-23,4.48
2020-06-24,4.48
2020-06-25,4.48
2020-06-26,4.48
2020-06-27,4.48
2020-06-28,4.48
2020-06-29,4.48
2020-06-30,4.48
2020-07-01,4.48
2020-07-02,4.48
2020-07-03,4.48
2020-07-04,4.48
2020-07-05,4.48
2020-07-06,4.48
2020-07-07,4.48
2020-07-08,4.48
2020-07-09,4.48
2020-07-10,4.48
2020-07-11,4.48
2020-07-12,4.48
2020-07-13,4.48
2020-07-14,4.48
2020-07-15,4.48
2020-07-16,4.48
2020-07-17,4.48
2020-07-18,4.48
2020-07-19,4.48
2020-07-20,4.48
2020-07-21,4.48
2020-07-22,4.48
2020-07-23,4.48
2020-07-24,4.48
2020-07-25,4.48
2020-07-26,4.48
2020-07-27,4.48
2020-07-28,4.48
2020-07-29,4.48
2020-07-30,4.48
2020-07-31,4.48
2020-08-01,4.48
2020-08-02,4.48
2020-08-03,4.48
2020-08-04,4.48
2020-08-05,4.48
2020-08-06,4.48
2020-08-07,4.48
2020-08-08,4.48
2020-08-09,4.48
2020-08-10,4.48
2020-08-11,4.48
2020-08-12,4.48
2020-08-13,4.48
2020-08-14,4.48
2020-08-15,4.48
2020-08-16,4.48
2020-08-17,4.48
2020-08-18,4.48
2020-08-19,4.48
2020-08-20,4.48
2020-08-21,4.48
2020-08-22,4.48
2020-08-23,4.48
2020-08-24,4.48
2020-08-25,4.48
2020-08-26,4.48
2020-08-27,4.48
2020-08-28,4.48
2020-08-29,4.48
2020-08-30,4.48
2020-08-31,4.48
2020-09-01,4.48
2020-09-02,4.48
2020-09-03,4.48
2020-09-04,4.48
2020-09-05,4.48
2020-09-06,4.48
2020-09-07,4.48
2020-09-08,4.48
2020-09-09,4.48
2020-09-10,4.48
2020-09-11,4.48
2020-09-12,4.48
2020-09-13,4.48
2020-09-14,4.48
2020-09-15,4.48
2020-09-16,4.48
2020-09-17,4.48
2020-09-18,4.48
2020-09-19,4.48
2020-09-20,4.48
2020-09-21,4.48
2020-09-22,4.48
2020-09-23,4.48
2020-09-24,4.48
2020-09-25,4.48
2020-09-26,4.48
2020-09-27,4.48
2020-09-28,4.48
2020-09-29,4.48
2020-09-30,4.48
2020-10-01,4.48
2020-10-02,4.48
2020-10-03,4.48
2020-10-04,4.48
2020-10-05,4.48
2020-10-06,4.48
2020-10-07,4.48
2020-10-08,4.48
2020-10-09,4.48
2020-10-10,4.48
2020-10-11,4.48
2020-10-12,4.48
2020-10-13,4.48
2020-10-14,4.48
2020-10-15,4.48
2020-10-16,4.48
2020-10-17,4.48
