,MTZ US Equity
2020-04-27,7.42
2020-04-28,7.42
2020-04-29,7.42
2020-04-30,7.42
2020-05-01,7.42
2020-05-02,7.42
2020-05-03,7.42
2020-05-04,7.42
2020-05-05,7.42
2020-05-06,7.42
2020-05-07,7.42
2020-05-08,7.42
2020-05-09,7.42
2020-05-10,7.42
2020-05-11,7.42
2020-05-12,7.42
2020-05-13,7.42
2020-05-14,7.42
2020-05-15,7.42
2020-05-16,7.42
2020-05-17,7.42
2020-05-18,7.42
2020-05-19,7.42
2020-05-20,7.42
2020-05-21,7.42
2020-05-22,7.42
2020-05-23,7.42
2020-05-24,7.42
2020-05-25,7.42
2020-05-26,7.42
2020-05-27,7.42
2020-05-28,7.42
2020-05-29,7.42
2020-05-30,7.42
2020-05-31,7.42
2020-06-01,7.42
2020-06-02,7.42
2020-06-03,7.42
2020-06-04,7.42
2020-06-05,7.42
2020-06-06,7.42
2020-06-07,7.42
2020-06-08,7.42
2020-06-09,7.42
2020-06-10,7.42
2020-06-11,7.42
2020-06-12,7.42
2020-06-13,7.42
2020-06-14,7.42
2020-06-15,7.42
2020-06-16,7.42
2020-06-17,7.42
2020-06-18,7.42
2020-06-19,7.42
2020-06-20,7.42
2020-06-21,7.42
2020-06-22,7.42
2020-06-23,7.42
2020-06-24,7.42
2020-06-25,7.42
2020-06-26,7.42
2020-06-27,7.42
2020-06-28,7.42
2020-06-29,7.42
2020-06-30,7.42
2020-07-01,7.42
2020-07-02,7.42
2020-07-03,7.42
2020-07-04,7.42
2020-07-05,7.42
2020-07-06,7.42
2020-07-07,7.42
2020-07-08,7.42
2020-07-09,7.42
2020-07-10,7.42
2020-07-11,7.42
2020-07-12,7.42
2020-07-13,7.42
2020-07-14,7.42
2020-07-15,7.42
2020-07-16,7.42
2020-07-17,7.42
2020-07-18,7.42
2020-07-19,7.42
2020-07-20,7.42
2020-07-21,7.42
2020-07-22,7.42
2020-07-23,7.42
2020-07-24,7.42
2020-07-25,7.42
2020-07-26,7.42
2020-07-27,7.42
2020-07-28,7.42
2020-07-29,7.42
2020-07-30,7.42
2020-07-31,7.42
2020-08-01,7.42
2020-08-02,7.42
2020-08-03,7.42
2020-08-04,7.42
2020-08-05,7.42
2020-08-06,7.42
2020-08-07,7.42
2020-08-08,7.42
2020-08-09,7.42
2020-08-10,7.42
2020-08-11,7.42
2020-08-12,7.42
2020-08-13,7.42
2020-08-14,7.42
2020-08-15,7.42
2020-08-16,7.42
2020-08-17,7.42
2020-08-18,7.42
2020-08-19,7.42
2020-08-20,7.42
2020-08-21,7.42
2020-08-22,7.42
2020-08-23,7.42
2020-08-24,7.42
2020-08-25,7.42
2020-08-26,7.42
2020-08-27,7.42
2020-08-28,7.42
2020-08-29,7.42
2020-08-30,7.42
2020-08-31,7.42
2020-09-01,7.42
2020-09-02,7.42
2020-09-03,7.42
2020-09-04,7.42
2020-09-05,7.42
2020-09-06,7.42
2020-09-07,7.42
2020-09-08,7.42
2020-09-09,7.42
2020-09-10,7.42
2020-09-11,7.42
2020-09-12,7.42
2020-09-13,7.42
2020-09-14,7.42
2020-09-15,7.42
2020-09-16,7.42
2020-09-17,7.42
2020-09-18,7.42
2020-09-19,7.42
2020-09-20,7.42
2020-09-21,7.42
2020-09-22,7.42
2020-09-23,7.42
2020-09-24,7.42
2020-09-25,7.42
2020-09-26,7.42
2020-09-27,7.42
2020-09-28,7.42
2020-09-29,7.42
2020-09-30,7.42
2020-10-01,7.42
2020-10-02,7.42
2020-10-03,7.42
2020-10-04,7.42
2020-10-05,7.42
2020-10-06,7.42
2020-10-07,7.42
2020-10-08,7.42
2020-10-09,7.42
2020-10-10,7.42
2020-10-11,7.42
2020-10-12,7.42
2020-10-13,7.42
2020-10-14,7.42
2020-10-15,7.42
2020-10-16,7.42
2020-10-17,7.42
2020-10-18,7.42
2020-10-19,7.42
2020-10-20,7.42
2020-10-21,7.42
2020-10-22,7.42
2020-10-23,7.42
2020-10-24,7.42
2020-10-25,7.42
2020-10-26,7.42
2020-10-27,7.42
2020-10-28,7.42
2020-10-29,7.42
2020-10-30,7.42
2020-10-31,7.42
2020-11-01,7.42
2020-11-02,7.42
2020-11-03,7.42
2020-11-04,7.42
2020-11-05,7.42
2020-11-06,7.42
2020-11-07,7.42
2020-11-08,7.42
2020-11-09,7.42
2020-11-10,7.42
2020-11-11,7.42
2020-11-12,7.42
2020-11-13,7.42
2020-11-14,7.42
2020-11-15,7.42
2020-11-16,7.42
2020-11-17,7.42
2020-11-18,7.42
2020-11-19,7.42
2020-11-20,7.42
2020-11-21,7.42
2020-11-22,7.42
2020-11-23,7.42
2020-11-24,7.42
2020-11-25,7.42
2020-11-26,7.42
2020-11-27,7.42
2020-11-28,7.42
2020-11-29,7.42
2020-11-30,7.42
2020-12-01,7.42
2020-12-02,7.42
2020-12-03,7.42
2020-12-04,7.42
2020-12-05,7.42
2020-12-06,7.42
2020-12-07,7.42
2020-12-08,7.42
2020-12-09,7.42
2020-12-10,7.42
2020-12-11,7.42
2020-12-12,7.42
2020-12-13,7.42
2020-12-14,7.42
2020-12-15,7.42
2020-12-16,7.42
2020-12-17,7.42
2020-12-18,7.42
2020-12-19,7.42
2020-12-20,7.42
2020-12-21,7.42
2020-12-22,7.42
2020-12-23,7.42
2020-12-24,7.42
2020-12-25,7.42
2020-12-26,7.42
2020-12-27,7.42
2020-12-28,7.42
2020-12-29,7.42
2020-12-30,7.42
2020-12-31,7.42
2021-01-01,7.42
2021-01-02,7.42
2021-01-03,7.42
2021-01-04,7.42
2021-01-05,7.42
2021-01-06,7.42
2021-01-07,7.42
2021-01-08,7.42
2021-01-09,7.42
2021-01-10,7.42
2021-01-11,7.42
2021-01-12,7.42
2021-01-13,7.42
2021-01-14,7.42
2021-01-15,7.42
2021-01-16,7.42
2021-01-17,7.42
2021-01-18,7.42
2021-01-19,7.42
2021-01-20,7.42
2021-01-21,7.42
2021-01-22,7.42
2021-01-23,7.42
2021-01-24,7.42
2021-01-25,7.42
2021-01-26,7.42
2021-01-27,7.42
2021-01-28,7.42
2021-01-29,7.42
2021-01-30,7.42
2021-01-31,7.42
2021-02-01,7.42
2021-02-02,7.42
2021-02-03,7.42
2021-02-04,7.42
2021-02-05,7.42
2021-02-06,7.42
2021-02-07,7.42
2021-02-08,7.42
2021-02-09,7.42
2021-02-10,7.42
2021-02-11,7.42
2021-02-12,7.42
2021-02-13,7.42
2021-02-14,7.42
2021-02-15,7.42
2021-02-16,7.42
2021-02-17,7.42
2021-02-18,7.42
2021-02-19,7.42
2021-02-20,7.42
2021-02-21,7.42
2021-02-22,7.42
2021-02-23,7.42
2021-02-24,7.42
2021-02-25,7.42
2021-02-26,7.42
2021-02-27,7.42
2021-02-28,7.42
2021-03-01,7.42
2021-03-02,7.42
2021-03-03,7.42
2021-03-04,7.42
2021-03-05,7.42
2021-03-06,7.42
2021-03-07,7.42
2021-03-08,7.42
2021-03-09,7.42
2021-03-10,7.42
2021-03-11,7.42
2021-03-12,7.42
2021-03-13,7.42
2021-03-14,7.42
2021-03-15,7.42
2021-03-16,7.42
2021-03-17,7.42
2021-03-18,7.42
2021-03-19,7.42
2021-03-20,7.42
2021-03-21,7.42
2021-03-22,7.42
2021-03-23,7.42
2021-03-24,7.42
2021-03-25,7.42
2021-03-26,7.42
2021-03-27,7.42
2021-03-28,7.42
2021-03-29,7.42
2021-03-30,7.42
2021-03-31,7.42
2021-04-01,7.42
2021-04-02,7.42
2021-04-03,7.42
2021-04-04,7.42
2021-04-05,7.42
2021-04-06,7.42
2021-04-07,7.42
2021-04-08,7.42
2021-04-09,7.42
2021-04-10,7.42
2021-04-11,7.42
2021-04-12,7.42
2021-04-13,7.42
2021-04-14,7.42
2021-04-15,7.42
2021-04-16,7.42
2021-04-17,7.42
2021-04-18,7.42
2021-04-19,7.42
2021-04-20,7.42
2021-04-21,7.42
2021-04-22,7.42
2021-04-23,7.42
2021-04-24,7.42
2021-04-25,7.42
2021-04-26,7.42
2021-04-27,7.42
2021-04-28,7.42
2021-04-29,7.42
2021-04-30,7.42
2021-05-01,7.42
2021-05-02,7.42
2021-05-03,7.42
2021-05-04,7.42
2021-05-05,7.42
2021-05-06,7.42
2021-05-07,7.42
2021-05-08,7.42
2021-05-09,7.42
2021-05-10,7.42
2021-05-11,7.42
2021-05-12,7.42
2021-05-13,7.42
2021-05-14,7.42
2021-05-15,7.42
2021-05-16,7.42
2021-05-17,7.42
2021-05-18,7.42
2021-05-19,7.42
2021-05-20,7.42
2021-05-21,7.42
2021-05-22,7.42
2021-05-23,7.42
2021-05-24,7.42
2021-05-25,7.42
2021-05-26,7.42
2021-05-27,7.42
2021-05-28,7.42
2021-05-29,7.42
2021-05-30,7.42
2021-05-31,7.42
2021-06-01,7.42
2021-06-02,7.42
2021-06-03,7.42
2021-06-04,7.42
2021-06-05,7.42
2021-06-06,7.42
2021-06-07,7.42
2021-06-08,7.42
2021-06-09,7.42
2021-06-10,7.42
2021-06-11,7.42
2021-06-12,7.42
2021-06-13,7.42
2021-06-14,7.42
2021-06-15,7.42
2021-06-16,7.42
2021-06-17,7.42
2021-06-18,7.42
2021-06-19,7.42
2021-06-20,7.42
2021-06-21,7.42
2021-06-22,7.42
2021-06-23,7.42
2021-06-24,7.42
2021-06-25,7.42
2021-06-26,7.42
2021-06-27,7.42
2021-06-28,7.42
2021-06-29,7.42
2021-06-30,7.42
2021-07-01,7.42
2021-07-02,7.42
2021-07-03,7.42
2021-07-04,7.42
2021-07-05,7.42
2021-07-06,7.42
2021-07-07,7.42
2021-07-08,7.42
2021-07-09,7.42
2021-07-10,7.42
2021-07-11,7.42
2021-07-12,7.42
2021-07-13,7.42
2021-07-14,7.42
2021-07-15,7.42
2021-07-16,7.42
2021-07-17,7.42
2021-07-18,7.42
2021-07-19,7.42
2021-07-20,7.42
2021-07-21,7.42
2021-07-22,7.42
2021-07-23,7.42
2021-07-24,7.42
2021-07-25,7.42
2021-07-26,7.42
2021-07-27,7.42
2021-07-28,7.42
2021-07-29,7.42
2021-07-30,7.42
2021-07-31,7.42
2021-08-01,7.42
2021-08-02,7.42
2021-08-03,7.42
2021-08-04,7.42
2021-08-05,7.42
2021-08-06,7.42
2021-08-07,7.42
2021-08-08,7.42
2021-08-09,7.42
2021-08-10,7.58
2021-08-11,7.58
2021-08-12,7.58
2021-08-13,7.58
2021-08-14,7.58
2021-08-15,7.58
2021-08-16,7.58
2021-08-17,7.58
2021-08-18,7.58
2021-08-19,7.58
2021-08-20,7.58
2021-08-21,7.58
2021-08-22,7.58
2021-08-23,7.58
2021-08-24,7.58
2021-08-25,7.58
2021-08-26,7.58
2021-08-27,7.58
2021-08-28,7.58
2021-08-29,7.58
2021-08-30,7.58
2021-08-31,7.58
2021-09-01,7.58
2021-09-02,7.58
2021-09-03,7.58
2021-09-04,7.58
2021-09-05,7.58
2021-09-06,7.58
2021-09-07,7.58
2021-09-08,7.58
2021-09-09,7.58
2021-09-10,7.58
2021-09-11,7.58
2021-09-12,7.58
2021-09-13,7.58
2021-09-14,7.58
2021-09-15,7.58
2021-09-16,7.58
2021-09-17,7.58
2021-09-18,7.58
2021-09-19,7.58
2021-09-20,7.58
2021-09-21,7.58
2021-09-22,7.58
2021-09-23,7.58
2021-09-24,7.58
2021-09-25,7.58
2021-09-26,7.58
2021-09-27,7.58
2021-09-28,7.58
2021-09-29,7.58
2021-09-30,7.58
2021-10-01,7.58
2021-10-02,7.58
2021-10-03,7.58
2021-10-04,7.58
2021-10-05,7.58
2021-10-06,7.58
2021-10-07,7.58
2021-10-08,7.58
2021-10-09,7.58
2021-10-10,7.58
2021-10-11,7.58
2021-10-12,7.58
2021-10-13,7.58
2021-10-14,7.58
2021-10-15,7.365
2021-10-16,7.365
2021-10-17,7.365
2021-10-18,7.365
2021-10-19,7.365
2021-10-20,7.365
2021-10-21,7.365
2021-10-22,7.365
2021-10-23,7.365
2021-10-24,7.365
2021-10-25,7.365
2021-10-26,7.365
2021-10-27,7.365
2021-10-28,7.365
2021-10-29,7.365
2021-10-30,7.365
2021-10-31,7.365
2021-11-01,7.365
2021-11-02,7.57
2021-11-03,7.57
2021-11-04,7.57
2021-11-05,7.57
2021-11-06,7.57
2021-11-07,7.57
2021-11-08,7.603
2021-11-09,7.603
2021-11-10,7.603
2021-11-11,7.603
2021-11-12,7.603
2021-11-13,7.603
2021-11-14,7.603
2021-11-15,7.603
2021-11-16,7.603
2021-11-17,7.603
2021-11-18,7.603
2021-11-19,7.603
2021-11-20,7.603
2021-11-21,7.603
2021-11-22,7.603
2021-11-23,7.603
2021-11-24,7.603
2021-11-25,7.603
2021-11-26,7.603
2021-11-27,7.603
2021-11-28,7.603
2021-11-29,7.603
2021-11-30,7.603
2021-12-01,7.603
2021-12-02,7.603
2021-12-03,7.603
2021-12-04,7.603
2021-12-05,7.603
2021-12-06,7.603
2021-12-07,7.603
2021-12-08,7.603
2021-12-09,7.603
2021-12-10,7.603
2021-12-11,7.603
2021-12-12,7.603
2021-12-13,7.603
2021-12-14,7.387
2021-12-15,7.387
2021-12-16,7.387
2021-12-17,7.123
2021-12-18,7.123
2021-12-19,7.123
2021-12-20,7.508
2021-12-21,7.756
2021-12-22,7.756
2021-12-23,7.756
2021-12-24,7.756
2021-12-25,7.756
2021-12-26,7.756
2021-12-27,7.756
2021-12-28,7.756
2021-12-29,7.756
2021-12-30,7.756
2021-12-31,7.756
2022-01-01,7.756
2022-01-02,7.756
2022-01-03,7.756
2022-01-04,7.756
2022-01-05,7.756
2022-01-06,7.756
2022-01-07,7.756
2022-01-08,7.756
2022-01-09,7.756
2022-01-10,7.756
2022-01-11,7.756
2022-01-12,7.756
2022-01-13,7.658
2022-01-14,7.658
2022-01-15,7.658
2022-01-16,7.658
2022-01-17,7.658
2022-01-18,7.658
2022-01-19,7.658
2022-01-20,7.658
2022-01-21,7.658
2022-01-22,7.658
2022-01-23,7.658
2022-01-24,7.658
2022-01-25,7.658
2022-01-26,7.658
2022-01-27,7.658
2022-01-28,7.658
2022-01-29,7.658
2022-01-30,7.658
2022-01-31,7.658
2022-02-01,7.658
2022-02-02,7.658
2022-02-03,7.658
2022-02-04,7.658
2022-02-05,7.658
2022-02-06,7.658
2022-02-07,7.658
2022-02-08,7.658
2022-02-09,7.658
2022-02-10,7.658
2022-02-11,7.658
2022-02-12,7.658
2022-02-13,7.658
2022-02-14,7.658
2022-02-15,7.67
2022-02-16,7.67
2022-02-17,7.67
2022-02-18,7.67
2022-02-19,7.67
2022-02-20,7.67
2022-02-21,7.67
2022-02-22,7.67
2022-02-23,7.744
2022-02-24,7.744
2022-02-25,7.744
2022-02-26,7.744
2022-02-27,7.744
2022-02-28,7.686
2022-03-01,7.566
2022-03-02,7.566
2022-03-03,7.566
2022-03-04,7.566
2022-03-05,7.566
2022-03-06,7.566
2022-03-07,7.566
2022-03-08,7.566
2022-03-09,7.566
2022-03-10,7.566
2022-03-11,7.566
2022-03-12,7.566
2022-03-13,7.566
2022-03-14,7.566
2022-03-15,7.566
2022-03-16,7.566
2022-03-17,7.566
2022-03-18,7.566
2022-03-19,7.566
2022-03-20,7.566
2022-03-21,7.566
2022-03-22,7.566
2022-03-23,7.566
2022-03-24,7.566
2022-03-25,7.566
2022-03-26,7.566
2022-03-27,7.566
2022-03-28,7.566
2022-03-29,7.566
2022-03-30,7.566
2022-03-31,7.566
2022-04-01,7.566
2022-04-02,7.676
2022-04-03,7.676
2022-04-04,7.676
2022-04-05,7.676
2022-04-06,7.676
2022-04-07,7.676
2022-04-08,7.676
2022-04-09,7.676
2022-04-10,7.676
2022-04-11,7.676
2022-04-12,7.675
2022-04-13,7.675
2022-04-14,7.675
2022-04-15,7.675
2022-04-16,7.675
2022-04-17,7.675
2022-04-18,7.675
2022-04-19,7.675
2022-04-20,7.675
2022-04-21,7.675
2022-04-22,7.675
2022-04-23,7.675
2022-04-24,7.675
2022-04-25,7.675
2022-04-26,7.675
2022-04-27,7.675
2022-04-28,7.675
2022-04-29,7.675
2022-04-30,7.675
2022-05-01,7.675
2022-05-02,7.675
2022-05-03,7.675
2022-05-04,7.675
2022-05-05,7.675
2022-05-06,7.675
2022-05-07,7.675
2022-05-08,7.675
2022-05-09,7.5
2022-05-10,7.5
2022-05-11,7.5
2022-05-12,7.5
2022-05-13,7.5
2022-05-14,7.5
2022-05-15,7.5
2022-05-16,7.5
2022-05-17,7.5
2022-05-18,7.325
2022-05-19,7.325
2022-05-20,7.325
2022-05-21,7.325
2022-05-22,7.325
2022-05-23,7.325
2022-05-24,7.325
2022-05-25,7.255
2022-05-26,7.255
2022-05-27,7.255
2022-05-28,7.255
2022-05-29,7.255
2022-05-30,7.255
2022-05-31,7.255
2022-06-01,7.255
2022-06-02,7.255
2022-06-03,7.255
2022-06-04,7.255
2022-06-05,7.255
2022-06-06,7.255
2022-06-07,7.255
2022-06-08,7.255
2022-06-09,7.255
2022-06-10,7.255
2022-06-11,7.255
2022-06-12,7.255
2022-06-13,7.255
2022-06-14,7.255
2022-06-15,7.255
2022-06-16,7.255
2022-06-17,7.255
2022-06-18,7.255
2022-06-19,7.255
2022-06-20,7.255
2022-06-21,7.255
2022-06-22,7.255
2022-06-23,7.255
2022-06-24,7.255
2022-06-25,7.255
2022-06-26,7.255
2022-06-27,7.255
2022-06-28,7.255
2022-06-29,7.255
2022-06-30,7.255
2022-07-01,7.255
2022-07-02,7.255
2022-07-03,7.255
2022-07-04,7.255
2022-07-05,7.255
2022-07-06,7.255
2022-07-07,7.255
2022-07-08,7.255
2022-07-09,7.255
2022-07-10,7.255
2022-07-11,7.255
2022-07-12,7.068
2022-07-13,7.068
2022-07-14,7.068
2022-07-15,7.068
2022-07-16,7.068
2022-07-17,7.068
2022-07-18,7.055
2022-07-19,7.055
2022-07-20,7.054
2022-07-21,7.054
2022-07-22,7.054
2022-07-23,7.054
2022-07-24,7.054
2022-07-25,7.134
2022-07-26,7.134
2022-07-27,7.134
2022-07-28,7.134
2022-07-29,7.134
2022-07-30,7.134
2022-07-31,7.134
2022-08-01,7.134
2022-08-02,7.134
2022-08-03,6.888
2022-08-04,6.888
2022-08-05,6.888
2022-08-06,6.888
2022-08-07,6.888
2022-08-08,6.933
2022-08-09,6.925
2022-08-10,6.975
2022-08-11,6.975
2022-08-12,6.975
2022-08-13,6.975
2022-08-14,6.975
2022-08-15,6.975
2022-08-16,6.975
2022-08-17,6.975
2022-08-18,6.975
2022-08-19,6.975
2022-08-20,6.975
2022-08-21,6.975
2022-08-22,6.975
2022-08-23,6.975
2022-08-24,6.975
2022-08-25,6.975
2022-08-26,6.975
2022-08-27,6.975
2022-08-28,6.975
2022-08-29,6.877
2022-08-30,6.877
2022-08-31,6.877
2022-09-01,6.877
2022-09-02,6.877
2022-09-03,6.877
2022-09-04,6.877
2022-09-05,6.877
2022-09-06,6.877
2022-09-07,6.877
2022-09-08,6.877
2022-09-09,6.877
2022-09-10,6.877
2022-09-11,6.885
2022-09-12,6.885
2022-09-13,6.885
2022-09-14,6.885
2022-09-15,6.885
2022-09-16,6.885
2022-09-17,6.885
2022-09-18,6.885
2022-09-19,6.885
2022-09-20,6.885
2022-09-21,6.885
2022-09-22,6.885
2022-09-23,6.885
2022-09-24,6.885
2022-09-25,6.885
2022-09-26,6.885
2022-09-27,6.885
2022-09-28,6.885
2022-09-29,6.885
2022-09-30,6.885
2022-10-01,6.885
2022-10-02,6.885
2022-10-03,6.885
2022-10-04,6.885
2022-10-05,6.885
2022-10-06,6.885
2022-10-07,6.885
2022-10-08,6.885
2022-10-09,6.885
2022-10-10,6.885
2022-10-11,6.885
2022-10-12,6.885
2022-10-13,6.885
2022-10-14,6.885
2022-10-15,6.885
2022-10-16,6.885
2022-10-17,6.885
2022-10-18,6.885
2022-10-19,6.922
2022-10-20,6.922
2022-10-21,6.922
2022-10-22,6.922
2022-10-23,6.922
2022-10-24,6.922
2022-10-25,6.922
2022-10-26,6.922
2022-10-27,6.922
2022-10-28,6.922
2022-10-29,6.922
2022-10-30,6.922
2022-10-31,6.922
2022-11-01,6.922
2022-11-02,7.042
2022-11-03,7.042
2022-11-04,6.843
2022-11-05,6.843
2022-11-06,6.797
2022-11-07,6.538
2022-11-08,6.538
2022-11-09,6.538
2022-11-10,6.338
2022-11-11,6.338
2022-11-12,6.338
2022-11-13,6.338
2022-11-14,6.338
2022-11-15,6.338
2022-11-16,6.338
2022-11-17,6.338
2022-11-18,6.338
2022-11-19,6.338
2022-11-20,6.338
2022-11-21,6.338
2022-11-22,6.338
2022-11-23,6.338
2022-11-24,6.338
2022-11-25,6.338
2022-11-26,6.338
2022-11-27,6.338
2022-11-28,6.338
2022-11-29,6.338
2022-11-30,6.338
2022-12-01,6.338
2022-12-02,6.338
2022-12-03,6.338
2022-12-04,6.338
2022-12-05,6.338
2022-12-06,6.338
2022-12-07,6.338
2022-12-08,6.338
2022-12-09,6.338
2022-12-10,6.338
2022-12-11,6.338
2022-12-12,6.338
2022-12-13,6.338
2022-12-14,6.338
2022-12-15,6.338
2022-12-16,6.516
2022-12-17,6.516
2022-12-18,6.516
2022-12-19,6.516
2022-12-20,6.516
2022-12-21,6.516
2022-12-22,6.516
2022-12-23,6.63
2022-12-24,6.607
2022-12-25,6.607
2022-12-26,6.607
2022-12-27,6.607
2022-12-28,6.607
2022-12-29,6.607
2022-12-30,6.607
2022-12-31,6.607
2023-01-01,6.607
2023-01-02,6.607
2023-01-03,6.607
2023-01-04,6.607
2023-01-05,6.607
2023-01-06,6.607
2023-01-07,6.607
2023-01-08,6.607
2023-01-09,6.607
2023-01-10,6.607
2023-01-11,6.607
2023-01-12,6.607
2023-01-13,6.607
2023-01-14,6.607
2023-01-15,6.607
2023-01-16,6.607
2023-01-17,6.607
2023-01-18,6.607
2023-01-19,6.607
2023-01-20,6.489
2023-01-21,6.489
2023-01-22,6.489
2023-01-23,6.484
2023-01-24,6.484
2023-01-25,6.468
2023-01-26,6.468
2023-01-27,6.468
2023-01-28,6.468
2023-01-29,6.468
2023-01-30,6.468
2023-01-31,6.468
2023-02-01,6.468
2023-02-02,6.468
2023-02-03,6.468
2023-02-04,6.468
2023-02-05,6.468
2023-02-06,6.468
2023-02-07,6.468
2023-02-08,6.468
2023-02-09,6.468
2023-02-10,6.468
2023-02-11,6.468
2023-02-12,6.468
2023-02-13,6.512
2023-02-14,6.512
2023-02-15,6.512
2023-02-16,6.439
2023-02-17,6.439
2023-02-18,6.439
2023-02-19,6.439
2023-02-20,6.439
2023-02-21,6.439
2023-02-22,6.439
2023-02-23,6.439
2023-02-24,6.398
2023-02-25,6.398
2023-02-26,6.398
2023-02-27,6.398
2023-02-28,6.398
2023-03-01,6.416
2023-03-02,6.416
2023-03-03,6.414
2023-03-04,6.414
2023-03-05,6.414
2023-03-06,6.414
2023-03-07,6.414
2023-03-08,6.414
2023-03-09,6.461
2023-03-10,6.461
2023-03-11,6.461
2023-03-12,6.461
2023-03-13,6.461
2023-03-14,6.461
2023-03-15,6.461
2023-03-16,6.461
2023-03-17,6.461
2023-03-18,6.461
2023-03-19,6.461
2023-03-20,6.461
2023-03-21,6.461
2023-03-22,6.461
2023-03-23,6.461
2023-03-24,6.461
2023-03-25,6.461
2023-03-26,6.461
2023-03-27,6.461
2023-03-28,6.461
2023-03-29,6.386
2023-03-30,6.386
2023-03-31,6.386
2023-04-01,6.386
2023-04-02,6.386
2023-04-03,6.37
2023-04-04,6.37
2023-04-05,6.37
2023-04-06,6.37
2023-04-07,6.37
2023-04-08,6.37
2023-04-09,6.37
2023-04-10,6.37
2023-04-11,6.37
2023-04-12,6.386
2023-04-13,6.386
2023-04-14,6.386
2023-04-15,6.386
2023-04-16,6.386
2023-04-17,6.397
2023-04-18,6.397
2023-04-19,6.397
2023-04-20,6.397
2023-04-21,6.397
2023-04-22,6.397
2023-04-23,6.381
2023-04-24,6.375
2023-04-25,6.375
2023-04-26,6.375
2023-04-27,6.375
2023-04-28,6.375
2023-04-29,6.375
2023-04-30,6.375
2023-05-01,6.375
2023-05-02,6.375
2023-05-03,6.375
2023-05-04,6.375
2023-05-05,6.281
2023-05-06,6.281
2023-05-07,6.281
2023-05-08,6.259
2023-05-09,6.227
2023-05-10,6.227
2023-05-11,6.227
2023-05-12,6.227
2023-05-13,6.227
2023-05-14,6.227
2023-05-15,6.227
2023-05-16,6.22
2023-05-17,6.224
2023-05-18,6.224
2023-05-19,6.224
2023-05-20,6.224
2023-05-21,6.224
2023-05-22,6.224
2023-05-23,6.224
2023-05-24,6.224
2023-05-25,6.224
2023-05-26,6.224
2023-05-27,6.224
2023-05-28,6.224
2023-05-29,6.224
2023-05-30,6.224
2023-05-31,6.224
2023-06-01,6.228
2023-06-02,6.228
2023-06-03,6.228
2023-06-04,6.228
2023-06-05,6.228
2023-06-06,6.228
2023-06-07,6.228
2023-06-08,6.228
2023-06-09,6.228
2023-06-10,6.228
2023-06-11,6.228
2023-06-12,6.228
2023-06-13,6.228
2023-06-14,6.228
2023-06-15,6.228
2023-06-16,6.228
2023-06-17,6.228
2023-06-18,6.228
2023-06-19,6.228
2023-06-20,6.228
2023-06-21,6.228
2023-06-22,6.228
2023-06-23,6.228
