,DRI US Equity
,BEST_EPS
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,8.54
2020-01-10,8.54
2020-01-11,8.54
2020-01-12,8.54
2020-01-13,8.54
2020-01-14,8.54
2020-01-15,8.54
2020-01-16,8.54
2020-01-17,8.54
2020-01-18,8.54
2020-01-19,8.54
2020-01-20,8.54
2020-01-21,8.54
2020-01-22,8.54
2020-01-23,8.54
2020-01-24,8.54
2020-01-25,8.54
2020-01-26,8.54
2020-01-27,8.54
2020-01-28,8.54
2020-01-29,8.54
2020-01-30,8.54
2020-01-31,8.54
2020-02-01,8.54
2020-02-02,8.54
2020-02-03,8.54
2020-02-04,8.54
2020-02-05,8.54
2020-02-06,8.54
2020-02-07,8.54
2020-02-08,8.54
2020-02-09,8.54
2020-02-10,8.54
2020-02-11,8.54
2020-02-12,8.535
2020-02-13,8.535
2020-02-14,8.535
2020-02-15,8.535
2020-02-16,8.535
2020-02-17,8.535
2020-02-18,8.535
2020-02-19,8.535
2020-02-20,8.535
2020-02-21,8.535
2020-02-22,8.535
2020-02-23,8.535
2020-02-24,8.535
2020-02-25,8.535
2020-02-26,8.535
2020-02-27,8.535
2020-02-28,8.535
2020-02-29,8.535
2020-03-01,8.535
2020-03-02,8.535
2020-03-03,8.535
2020-03-04,8.535
2020-03-05,8.535
2020-03-06,8.535
2020-03-07,8.535
2020-03-08,8.535
2020-03-09,8.535
2020-03-10,8.535
2020-03-11,8.535
2020-03-12,8.535
2020-03-13,8.48
2020-03-14,8.48
2020-03-15,8.48
2020-03-16,8.48
2020-03-17,8.48
2020-03-18,8.48
2020-03-19,7.01
2020-03-20,7.01
2020-03-21,7.01
2020-03-22,7.01
2020-03-23,7.01
2020-03-24,7.027
2020-03-25,7.027
2020-03-26,7.027
2020-03-27,7.027
2020-03-28,7.027
2020-03-29,7.027
2020-03-30,7.027
2020-03-31,7.027
2020-04-01,7.027
2020-04-02,7.027
2020-04-03,7.027
2020-04-04,7.027
2020-04-05,7.027
2020-04-06,7.027
2020-04-07,7.02
2020-04-08,7.02
2020-04-09,7.02
2020-04-10,7.02
2020-04-11,7.02
2020-04-12,7.02
2020-04-13,7.02
2020-04-14,7.02
2020-04-15,7.02
2020-04-16,7.02
2020-04-17,7.02
2020-04-18,7.02
2020-04-19,7.02
2020-04-20,7.02
2020-04-21,7.02
2020-04-22,7.02
2020-04-23,7.02
2020-04-24,7.02
2020-04-25,7.02
2020-04-26,7.02
2020-04-27,7.02
2020-04-28,7.02
2020-04-29,7.02
2020-04-30,7.02
2020-05-01,7.02
2020-05-02,7.02
2020-05-03,7.02
2020-05-04,7.02
2020-05-05,7.02
2020-05-06,7.02
2020-05-07,7.02
2020-05-08,7.02
2020-05-09,7.02
2020-05-10,7.02
2020-05-11,7.02
2020-05-12,7.02
2020-05-13,7.02
2020-05-14,7.02
2020-05-15,7.02
2020-05-16,7.02
2020-05-17,7.02
2020-05-18,7.02
2020-05-19,7.02
2020-05-20,7.02
2020-05-21,7.02
2020-05-22,7.02
2020-05-23,7.02
2020-05-24,7.02
2020-05-25,7.02
2020-05-26,7.02
2020-05-27,7.02
2020-05-28,7.02
2020-05-29,7.02
2020-05-30,7.02
2020-05-31,7.02
2020-06-01,7.02
2020-06-02,7.02
2020-06-03,7.02
2020-06-04,7.02
2020-06-05,7.02
2020-06-06,7.02
2020-06-07,7.02
2020-06-08,7.02
2020-06-09,7.02
2020-06-10,7.02
2020-06-11,7.02
2020-06-12,6.857
2020-06-13,6.857
2020-06-14,6.857
2020-06-15,6.857
2020-06-16,6.857
2020-06-17,6.857
2020-06-18,6.857
2020-06-19,6.74
2020-06-20,6.74
2020-06-21,6.74
2020-06-22,6.74
2020-06-23,6.74
2020-06-24,6.74
2020-06-25,6.817
2020-06-26,6.753
2020-06-27,6.753
2020-06-28,6.753
2020-06-29,6.753
2020-06-30,6.753
2020-07-01,6.753
2020-07-02,6.753
2020-07-03,6.75
2020-07-04,6.75
2020-07-05,6.75
2020-07-06,6.75
2020-07-07,6.75
2020-07-08,6.75
2020-07-09,6.75
2020-07-10,6.75
2020-07-11,6.75
2020-07-12,6.75
2020-07-13,6.75
2020-07-14,6.75
2020-07-15,6.75
2020-07-16,6.75
2020-07-17,6.75
2020-07-18,6.75
2020-07-19,6.75
2020-07-20,6.75
2020-07-21,6.75
2020-07-22,6.75
2020-07-23,6.75
2020-07-24,6.75
2020-07-25,6.75
2020-07-26,6.75
2020-07-27,6.75
2020-07-28,6.75
2020-07-29,6.75
2020-07-30,6.75
2020-07-31,6.75
2020-08-01,6.75
2020-08-02,6.75
2020-08-03,6.75
2020-08-04,6.75
2020-08-05,6.75
2020-08-06,6.75
2020-08-07,6.75
2020-08-08,6.75
2020-08-09,6.75
2020-08-10,6.75
2020-08-11,6.75
2020-08-12,6.75
2020-08-13,6.76
2020-08-14,6.76
2020-08-15,6.76
2020-08-16,6.76
2020-08-17,6.76
2020-08-18,6.76
2020-08-19,6.76
2020-08-20,6.76
2020-08-21,6.76
2020-08-22,6.76
2020-08-23,6.76
2020-08-24,6.76
2020-08-25,6.76
2020-08-26,6.76
2020-08-27,6.76
2020-08-28,6.76
2020-08-29,6.76
2020-08-30,6.76
2020-08-31,6.76
2020-09-01,6.76
2020-09-02,6.76
2020-09-03,6.76
2020-09-04,6.76
2020-09-05,6.76
2020-09-06,6.76
2020-09-07,6.76
2020-09-08,6.76
2020-09-09,6.76
2020-09-10,6.76
2020-09-11,6.76
2020-09-12,6.76
2020-09-13,6.76
2020-09-14,6.76
2020-09-15,6.76
2020-09-16,6.76
2020-09-17,6.76
2020-09-18,6.767
2020-09-19,6.767
2020-09-20,6.767
2020-09-21,6.767
2020-09-22,6.767
2020-09-23,6.767
2020-09-24,7.16
2020-09-25,7.148
2020-09-26,7.148
2020-09-27,7.148
2020-09-28,7.148
2020-09-29,7.213
2020-09-30,7.213
2020-10-01,7.213
2020-10-02,7.213
2020-10-03,7.213
2020-10-04,7.213
2020-10-05,7.213
2020-10-06,7.213
2020-10-07,7.213
2020-10-08,7.213
2020-10-09,7.213
2020-10-10,7.213
2020-10-11,7.213
2020-10-12,7.213
2020-10-13,7.213
2020-10-14,7.213
2020-10-15,7.213
2020-10-16,7.213
2020-10-17,7.213
2020-10-18,7.213
2020-10-19,7.213
2020-10-20,7.213
2020-10-21,7.213
2020-10-22,7.213
2020-10-23,7.213
2020-10-24,7.213
2020-10-25,7.213
2020-10-26,7.213
2020-10-27,7.213
2020-10-28,7.213
2020-10-29,7.213
2020-10-30,7.213
2020-10-31,7.213
2020-11-01,7.213
2020-11-02,7.213
2020-11-03,7.213
2020-11-04,7.213
2020-11-05,7.213
2020-11-06,7.213
2020-11-07,7.213
2020-11-08,7.213
2020-11-09,7.213
2020-11-10,7.213
2020-11-11,7.213
2020-11-12,7.213
2020-11-13,7.213
2020-11-14,7.213
2020-11-15,7.213
2020-11-16,7.213
2020-11-17,7.434
2020-11-18,7.434
2020-11-19,7.434
2020-11-20,7.434
2020-11-21,7.434
2020-11-22,7.434
2020-11-23,7.434
2020-11-24,7.434
2020-11-25,7.434
2020-11-26,7.434
2020-11-27,7.434
2020-11-28,7.434
2020-11-29,7.434
2020-11-30,7.434
2020-12-01,7.434
2020-12-02,7.434
2020-12-03,7.434
2020-12-04,7.434
2020-12-05,7.434
2020-12-06,7.434
2020-12-07,7.434
2020-12-08,7.65
2020-12-09,7.65
2020-12-10,7.65
2020-12-11,7.63
2020-12-12,7.63
2020-12-13,7.63
2020-12-14,7.63
2020-12-15,7.63
2020-12-16,7.63
2020-12-17,7.63
2020-12-18,7.543
2020-12-19,7.543
2020-12-20,7.543
2020-12-21,7.855
2020-12-22,7.855
2020-12-23,7.855
2020-12-24,7.855
2020-12-25,7.855
2020-12-26,7.855
2020-12-27,7.855
2020-12-28,7.855
2020-12-29,7.855
2020-12-30,7.855
2020-12-31,7.855
2021-01-01,7.855
2021-01-02,7.855
2021-01-03,7.855
2021-01-04,7.855
2021-01-05,7.855
2021-01-06,7.855
2021-01-07,7.855
2021-01-08,7.855
2021-01-09,7.855
2021-01-10,7.855
2021-01-11,7.855
2021-01-12,7.855
2021-01-13,7.855
2021-01-14,7.855
2021-01-15,7.855
2021-01-16,7.855
2021-01-17,7.855
2021-01-18,7.855
2021-01-19,8.21
2021-01-20,8.21
2021-01-21,8.21
2021-01-22,8.21
2021-01-23,8.21
2021-01-24,8.21
2021-01-25,8.21
2021-01-26,8.21
2021-01-27,8.274
2021-01-28,8.274
2021-01-29,8.274
2021-01-30,8.274
2021-01-31,8.274
2021-02-01,8.274
2021-02-02,8.274
2021-02-03,8.274
2021-02-04,8.274
2021-02-05,8.274
2021-02-06,8.274
2021-02-07,8.274
2021-02-08,8.274
2021-02-09,8.274
2021-02-10,8.274
2021-02-11,8.274
2021-02-12,8.274
2021-02-13,8.274
2021-02-14,8.274
2021-02-15,8.274
2021-02-16,8.274
2021-02-17,8.274
2021-02-18,8.274
2021-02-19,8.274
2021-02-20,8.274
2021-02-21,8.274
2021-02-22,8.274
2021-02-23,8.274
2021-02-24,8.274
2021-02-25,8.274
2021-02-26,8.274
2021-02-27,8.274
2021-02-28,8.274
2021-03-01,8.274
2021-03-02,8.274
2021-03-03,8.274
2021-03-04,8.274
2021-03-05,8.274
2021-03-06,8.274
2021-03-07,8.274
2021-03-08,8.274
2021-03-09,8.274
2021-03-10,8.274
2021-03-11,8.274
2021-03-12,8.274
2021-03-13,8.274
2021-03-14,8.205
2021-03-15,8.205
2021-03-16,8.205
2021-03-17,8.205
2021-03-18,8.441
2021-03-19,8.441
2021-03-20,8.441
2021-03-21,8.441
2021-03-22,8.441
