,PFE US Equity
,BEST_EPS
2020-01-01,4.29
2020-01-02,4.29
2020-01-03,4.29
2020-01-04,4.29
2020-01-05,4.29
2020-01-06,4.29
2020-01-07,4.66
2020-01-08,4.66
2020-01-09,4.29
2020-01-10,4.29
2020-01-11,4.29
2020-01-12,4.29
2020-01-13,4.18
2020-01-14,4.18
2020-01-15,4.18
2020-01-16,4.18
2020-01-17,4.29
2020-01-18,4.29
2020-01-19,4.29
2020-01-20,4.29
2020-01-21,4.29
2020-01-22,4.29
2020-01-23,4.66
2020-01-24,4.66
2020-01-25,4.66
2020-01-26,4.66
2020-01-27,4.66
2020-01-28,4.207
2020-01-29,4.207
2020-01-30,3.65
2020-01-31,3.65
2020-02-01,3.65
2020-02-02,3.65
2020-02-03,3.65
2020-02-04,3.65
2020-02-05,3.65
2020-02-06,3.65
2020-02-07,3.65
2020-02-08,3.65
2020-02-09,4.057
2020-02-10,4.057
2020-02-11,4.057
2020-02-12,4.057
2020-02-13,4.057
2020-02-14,4.057
2020-02-15,4.057
2020-02-16,4.057
2020-02-17,4.057
2020-02-18,4.057
2020-02-19,4.057
2020-02-20,4.057
2020-02-21,4.057
2020-02-22,4.057
2020-02-23,4.057
2020-02-24,4.057
2020-02-25,4.057
2020-02-26,4.057
2020-02-27,4.057
2020-02-28,4.057
2020-02-29,4.057
2020-03-01,4.057
2020-03-02,4.057
2020-03-03,4.057
2020-03-04,4.057
2020-03-05,4.057
2020-03-06,4.057
2020-03-07,4.057
2020-03-08,3.9
2020-03-09,3.9
2020-03-10,3.9
2020-03-11,3.9
2020-03-12,3.9
2020-03-13,3.9
2020-03-14,3.9
2020-03-15,3.9
2020-03-16,3.9
2020-03-17,3.9
2020-03-18,3.9
2020-03-19,3.9
2020-03-20,3.9
2020-03-21,3.9
2020-03-22,3.9
2020-03-23,3.9
2020-03-24,3.9
2020-03-25,3.9
2020-03-26,3.9
2020-03-27,3.9
2020-03-28,3.9
2020-03-29,3.9
2020-03-30,3.9
2020-03-31,3.9
2020-04-01,3.9
2020-04-02,3.9
2020-04-03,3.9
2020-04-04,3.9
2020-04-05,3.9
2020-04-06,3.9
2020-04-07,3.9
2020-04-08,3.9
2020-04-09,3.9
2020-04-10,3.65
2020-04-11,3.65
2020-04-12,3.65
2020-04-13,3.65
2020-04-14,3.65
2020-04-15,3.65
2020-04-16,3.65
2020-04-17,3.65
2020-04-18,3.65
2020-04-19,3.65
2020-04-20,4.11
2020-04-21,4.11
2020-04-22,4.11
2020-04-23,4.11
2020-04-24,4.11
2020-04-25,4.11
2020-04-26,4.11
2020-04-27,4.11
2020-04-28,4.11
2020-04-29,4.97
2020-04-30,4.97
2020-05-01,4.97
2020-05-02,4.97
2020-05-03,4.97
2020-05-04,4.97
2020-05-05,4.97
2020-05-06,4.97
2020-05-07,4.97
2020-05-08,4.97
2020-05-09,4.97
2020-05-10,4.97
2020-05-11,4.97
2020-05-12,4.97
2020-05-13,4.97
2020-05-14,4.97
2020-05-15,4.97
2020-05-16,4.97
2020-05-17,4.97
2020-05-18,4.97
2020-05-19,4.97
2020-05-20,4.97
2020-05-21,4.97
2020-05-22,4.97
2020-05-23,4.97
2020-05-24,4.97
2020-05-25,4.97
2020-05-26,4.97
2020-05-27,4.97
2020-05-28,4.97
2020-05-29,4.005
2020-05-30,4.005
2020-05-31,4.005
2020-06-01,3.74
2020-06-02,3.74
2020-06-03,3.74
2020-06-04,3.74
2020-06-05,3.74
2020-06-06,3.74
2020-06-07,3.74
2020-06-08,3.74
2020-06-09,3.74
2020-06-10,3.74
2020-06-11,3.74
2020-06-12,3.74
2020-06-13,3.74
2020-06-14,3.74
2020-06-15,3.74
2020-06-16,3.74
2020-06-17,3.74
2020-06-18,3.74
2020-06-19,3.74
2020-06-20,3.74
2020-06-21,3.74
2020-06-22,3.74
2020-06-23,3.74
2020-06-24,3.74
2020-06-25,3.74
2020-06-26,3.74
2020-06-27,3.74
2020-06-28,3.753
2020-06-29,3.753
2020-06-30,3.753
2020-07-01,3.753
2020-07-02,3.753
2020-07-03,3.753
2020-07-04,3.753
2020-07-05,3.753
2020-07-06,3.753
2020-07-07,3.753
2020-07-08,3.753
2020-07-09,3.753
2020-07-10,3.753
2020-07-11,3.753
2020-07-12,3.753
2020-07-13,3.753
2020-07-14,3.753
2020-07-15,3.753
2020-07-16,3.753
2020-07-17,4.027
2020-07-18,4.027
2020-07-19,4.027
2020-07-20,4.027
2020-07-21,4.027
2020-07-22,4.027
2020-07-23,4.155
2020-07-24,4.155
2020-07-25,4.155
2020-07-26,4.155
2020-07-27,4.155
2020-07-28,3.765
2020-07-29,3.82
2020-07-30,3.867
2020-07-31,3.867
2020-08-01,3.867
2020-08-02,3.867
2020-08-03,3.867
2020-08-04,3.867
2020-08-05,3.867
2020-08-06,3.867
2020-08-07,3.867
2020-08-08,3.867
2020-08-09,3.867
2020-08-10,3.867
2020-08-11,3.867
2020-08-12,3.867
2020-08-13,3.867
2020-08-14,3.867
2020-08-15,3.867
2020-08-16,3.867
2020-08-17,3.867
2020-08-18,3.867
2020-08-19,3.867
2020-08-20,3.867
2020-08-21,3.867
2020-08-22,3.867
2020-08-23,3.867
2020-08-24,3.867
2020-08-25,3.867
2020-08-26,3.867
2020-08-27,3.867
2020-08-28,3.867
2020-08-29,3.867
2020-08-30,3.867
2020-08-31,3.867
2020-09-01,3.867
2020-09-02,3.867
2020-09-03,3.867
2020-09-04,3.867
2020-09-05,3.867
2020-09-06,3.867
2020-09-07,3.867
2020-09-08,3.867
2020-09-09,3.867
2020-09-10,3.867
2020-09-11,3.867
2020-09-12,3.867
2020-09-13,3.863
2020-09-14,3.863
2020-09-15,4.33
2020-09-16,4.33
2020-09-17,4.33
2020-09-18,4.33
2020-09-19,4.33
2020-09-20,4.33
2020-09-21,4.33
2020-09-22,4.33
2020-09-23,4.33
2020-09-24,4.33
2020-09-25,4.33
2020-09-26,4.33
2020-09-27,4.33
2020-09-28,4.22
2020-09-29,4.33
2020-09-30,4.33
2020-10-01,4.33
2020-10-02,4.33
2020-10-03,4.33
2020-10-04,4.33
2020-10-05,4.33
2020-10-06,4.33
2020-10-07,4.123
2020-10-08,4.123
2020-10-09,4.123
2020-10-10,4.123
2020-10-11,4.123
2020-10-12,4.155
2020-10-13,4.155
2020-10-14,4.155
2020-10-15,4.155
2020-10-16,4.155
2020-10-17,4.155
2020-10-18,4.155
2020-10-19,4.155
2020-10-20,4.155
2020-10-21,4.155
2020-10-22,3.99
2020-10-23,3.99
2020-10-24,3.99
2020-10-25,3.99
2020-10-26,3.99
2020-10-27,3.75
2020-10-28,3.74
2020-10-29,3.74
2020-10-30,3.74
2020-10-31,3.74
2020-11-01,3.74
2020-11-02,3.74
2020-11-03,3.74
2020-11-04,3.74
2020-11-05,3.74
2020-11-06,3.74
2020-11-07,3.74
2020-11-08,3.74
2020-11-09,3.62
2020-11-10,3.603
2020-11-11,3.603
2020-11-12,3.603
2020-11-13,3.574
2020-11-14,3.574
