,BR US Equity
,BEST_EPS
2020-01-01,7.05
2020-01-02,7.05
2020-01-03,7.05
2020-01-04,7.05
2020-01-05,7.05
2020-01-06,7.05
2020-01-07,7.12
2020-01-08,7.12
2020-01-09,7.12
2020-01-10,7.12
2020-01-11,7.12
2020-01-12,7.12
2020-01-13,7.12
2020-01-14,7.12
2020-01-15,7.12
2020-01-16,7.12
2020-01-17,7.12
2020-01-18,7.12
2020-01-19,7.12
2020-01-20,7.12
2020-01-21,7.12
2020-01-22,7.12
2020-01-23,7.12
2020-01-24,7.12
2020-01-25,7.12
2020-01-26,7.12
2020-01-27,7.12
2020-01-28,7.12
2020-01-29,7.12
2020-01-30,7.12
2020-01-31,7.05
2020-02-01,7.05
2020-02-02,7.05
2020-02-03,7.05
2020-02-04,7.05
2020-02-05,7.05
2020-02-06,7.05
2020-02-07,7.05
2020-02-08,7.05
2020-02-09,7.05
2020-02-10,7.05
2020-02-11,7.05
2020-02-12,7.05
2020-02-13,7.05
2020-02-14,7.05
2020-02-15,7.05
2020-02-16,7.05
2020-02-17,7.05
2020-02-18,7.05
2020-02-19,7.05
2020-02-20,7.05
2020-02-21,7.05
2020-02-22,7.05
2020-02-23,7.05
2020-02-24,7.05
2020-02-25,7.05
2020-02-26,7.05
2020-02-27,7.05
2020-02-28,7.05
2020-02-29,7.05
2020-03-01,7.05
2020-03-02,7.05
2020-03-03,7.05
2020-03-04,7.05
2020-03-05,7.05
2020-03-06,7.05
2020-03-07,7.05
2020-03-08,7.05
2020-03-09,7.05
2020-03-10,7.05
2020-03-11,7.05
2020-03-12,7.05
2020-03-13,7.05
2020-03-14,7.05
2020-03-15,7.05
2020-03-16,7.05
2020-03-17,7.05
2020-03-18,6.75
2020-03-19,6.75
2020-03-20,6.75
2020-03-21,6.75
2020-03-22,6.75
2020-03-23,6.75
2020-03-24,6.75
2020-03-25,6.75
2020-03-26,6.75
2020-03-27,6.75
2020-03-28,6.75
2020-03-29,6.75
2020-03-30,6.75
2020-03-31,6.75
2020-04-01,6.75
2020-04-02,6.75
2020-04-03,6.75
2020-04-04,6.75
2020-04-05,6.75
2020-04-06,6.75
2020-04-07,6.75
2020-04-08,6.75
2020-04-09,6.75
2020-04-10,6.75
2020-04-11,6.75
2020-04-12,6.75
2020-04-13,6.75
2020-04-14,6.75
2020-04-15,6.75
2020-04-16,6.75
2020-04-17,6.75
2020-04-18,6.75
2020-04-19,6.75
2020-04-20,6.75
2020-04-21,6.75
2020-04-22,6.75
2020-04-23,6.75
2020-04-24,6.75
2020-04-25,6.75
2020-04-26,6.75
2020-04-27,6.75
2020-04-28,6.75
2020-04-29,6.75
2020-04-30,6.75
2020-05-01,6.75
2020-05-02,6.75
2020-05-03,6.75
2020-05-04,6.75
2020-05-05,6.75
2020-05-06,6.75
2020-05-07,6.75
2020-05-08,6.6
2020-05-09,6.485
2020-05-10,6.485
2020-05-11,6.485
2020-05-12,6.485
2020-05-13,6.485
2020-05-14,6.485
2020-05-15,6.485
2020-05-16,6.485
2020-05-17,6.485
2020-05-18,6.485
2020-05-19,6.485
2020-05-20,6.485
2020-05-21,6.485
2020-05-22,6.485
2020-05-23,6.485
2020-05-24,6.485
2020-05-25,6.485
2020-05-26,6.485
2020-05-27,6.485
2020-05-28,6.485
2020-05-29,6.485
2020-05-30,6.485
2020-05-31,6.485
2020-06-01,6.485
2020-06-02,6.485
2020-06-03,6.485
2020-06-04,6.485
2020-06-05,6.485
2020-06-06,6.485
2020-06-07,6.485
2020-06-08,6.485
2020-06-09,6.485
2020-06-10,6.485
2020-06-11,6.485
2020-06-12,6.485
2020-06-13,6.485
2020-06-14,6.485
2020-06-15,6.485
2020-06-16,6.485
2020-06-17,6.485
2020-06-18,6.485
2020-06-19,6.485
2020-06-20,6.485
2020-06-21,6.485
2020-06-22,6.485
2020-06-23,6.485
2020-06-24,6.485
2020-06-25,6.485
2020-06-26,6.485
2020-06-27,6.485
2020-06-28,6.485
2020-06-29,6.485
2020-06-30,6.485
2020-07-01,6.485
2020-07-02,6.485
2020-07-03,6.485
2020-07-04,6.485
2020-07-05,6.485
2020-07-06,6.485
2020-07-07,6.485
2020-07-08,6.485
2020-07-09,6.485
2020-07-10,6.485
2020-07-11,6.485
2020-07-12,6.485
2020-07-13,6.485
2020-07-14,6.485
2020-07-15,6.485
2020-07-16,6.485
2020-07-17,6.485
2020-07-18,6.485
2020-07-19,6.485
2020-07-20,6.485
2020-07-21,6.485
2020-07-22,6.485
2020-07-23,6.485
2020-07-24,6.555
2020-07-25,6.555
2020-07-26,6.555
2020-07-27,6.555
2020-07-28,6.555
2020-07-29,6.555
2020-07-30,6.555
2020-07-31,6.555
2020-08-01,6.555
2020-08-02,6.555
2020-08-03,6.555
2020-08-04,6.555
2020-08-05,6.555
2020-08-06,6.555
2020-08-07,6.555
2020-08-08,6.555
2020-08-09,6.555
2020-08-10,6.555
2020-08-11,6.635
2020-08-12,6.9
2020-08-13,6.9
2020-08-14,6.9
2020-08-15,6.9
2020-08-16,6.9
2020-08-17,6.9
2020-08-18,6.9
2020-08-19,6.9
2020-08-20,6.9
2020-08-21,6.9
2020-08-22,6.9
2020-08-23,6.9
2020-08-24,6.9
2020-08-25,6.9
2020-08-26,6.9
2020-08-27,6.9
2020-08-28,6.9
2020-08-29,6.9
2020-08-30,6.9
2020-08-31,6.9
2020-09-01,6.9
2020-09-02,6.9
2020-09-03,6.9
2020-09-04,6.9
2020-09-05,6.9
2020-09-06,6.9
2020-09-07,6.9
2020-09-08,6.9
2020-09-09,6.9
2020-09-10,6.9
2020-09-11,6.9
2020-09-12,6.9
2020-09-13,6.9
2020-09-14,6.9
2020-09-15,6.9
2020-09-16,6.9
2020-09-17,6.9
2020-09-18,6.9
2020-09-19,6.9
2020-09-20,6.9
2020-09-21,6.9
2020-09-22,6.9
2020-09-23,6.9
2020-09-24,6.9
2020-09-25,6.9
2020-09-26,6.9
2020-09-27,6.9
2020-09-28,6.9
2020-09-29,6.9
2020-09-30,6.9
2020-10-01,6.9
2020-10-02,6.9
2020-10-03,6.9
2020-10-04,6.9
2020-10-05,6.9
2020-10-06,6.9
2020-10-07,6.9
2020-10-08,6.9
2020-10-09,6.9
2020-10-10,6.9
2020-10-11,6.9
2020-10-12,6.9
2020-10-13,6.9
2020-10-14,6.9
2020-10-15,6.9
2020-10-16,6.9
2020-10-17,6.9
2020-10-18,6.9
2020-10-19,6.9
2020-10-20,6.9
2020-10-21,6.9
2020-10-22,6.9
2020-10-23,6.95
2020-10-24,6.95
2020-10-25,6.95
2020-10-26,6.95
2020-10-27,6.95
2020-10-28,6.95
2020-10-29,6.95
2020-10-30,6.95
2020-10-31,6.95
2020-11-01,6.95
2020-11-02,6.95
2020-11-03,6.95
2020-11-04,6.95
2020-11-05,6.95
2020-11-06,6.95
2020-11-07,6.95
2020-11-08,6.95
2020-11-09,6.95
2020-11-10,6.95
2020-11-11,6.95
2020-11-12,6.95
2020-11-13,6.95
2020-11-14,6.95
2020-11-15,6.95
2020-11-16,6.95
2020-11-17,6.95
2020-11-18,6.95
2020-11-19,6.95
2020-11-20,6.95
2020-11-21,6.95
2020-11-22,6.95
2020-11-23,6.95
2020-11-24,6.95
2020-11-25,6.95
2020-11-26,6.95
2020-11-27,6.95
2020-11-28,6.95
2020-11-29,6.95
2020-11-30,6.95
2020-12-01,6.95
2020-12-02,6.95
2020-12-03,6.95
2020-12-04,6.95
2020-12-05,6.95
2020-12-06,6.95
2020-12-07,6.95
2020-12-08,6.95
2020-12-09,6.95
2020-12-10,6.95
2020-12-11,6.95
2020-12-12,6.95
2020-12-13,6.95
2020-12-14,6.95
2020-12-15,6.95
2020-12-16,6.95
2020-12-17,6.95
2020-12-18,6.95
2020-12-19,6.95
2020-12-20,6.95
2020-12-21,6.95
2020-12-22,6.95
2020-12-23,6.95
2020-12-24,6.95
2020-12-25,6.95
2020-12-26,6.95
2020-12-27,6.95
2020-12-28,6.95
2020-12-29,6.95
2020-12-30,6.95
2020-12-31,6.95
2021-01-01,6.95
2021-01-02,6.95
2021-01-03,6.95
2021-01-04,6.95
2021-01-05,6.95
2021-01-06,6.95
2021-01-07,6.95
2021-01-08,6.95
2021-01-09,6.95
2021-01-10,6.95
2021-01-11,6.95
2021-01-12,6.95
2021-01-13,6.95
2021-01-14,6.95
2021-01-15,6.95
2021-01-16,6.95
2021-01-17,6.95
2021-01-18,6.95
2021-01-19,6.95
2021-01-20,6.95
2021-01-21,6.95
2021-01-22,6.95
2021-01-23,6.95
2021-01-24,6.95
2021-01-25,6.95
2021-01-26,6.95
2021-01-27,6.95
2021-01-28,6.95
2021-01-29,6.95
2021-01-30,6.95
2021-01-31,6.95
2021-02-01,6.95
2021-02-02,6.95
2021-02-03,7.103
2021-02-04,7.103
2021-02-05,7.103
2021-02-06,7.103
2021-02-07,7.103
2021-02-08,7.103
2021-02-09,7.103
2021-02-10,7.103
2021-02-11,7.103
2021-02-12,7.103
2021-02-13,7.103
2021-02-14,7.103
2021-02-15,7.103
2021-02-16,7.103
2021-02-17,7.103
2021-02-18,7.103
2021-02-19,7.103
2021-02-20,7.103
2021-02-21,7.103
2021-02-22,7.103
2021-02-23,7.103
2021-02-24,7.103
2021-02-25,7.103
2021-02-26,7.103
2021-02-27,7.103
2021-02-28,7.103
2021-03-01,7.103
2021-03-02,7.103
2021-03-03,7.103
2021-03-04,7.103
2021-03-05,7.103
2021-03-06,7.103
2021-03-07,7.103
2021-03-08,7.103
2021-03-09,7.103
2021-03-10,7.103
2021-03-11,7.103
2021-03-12,7.103
2021-03-13,7.103
2021-03-14,7.103
2021-03-15,7.103
2021-03-16,7.103
2021-03-17,7.103
2021-03-18,7.103
2021-03-19,7.103
2021-03-20,7.103
2021-03-21,7.103
2021-03-22,7.103
2021-03-23,7.103
2021-03-24,7.103
2021-03-25,7.103
2021-03-26,7.103
2021-03-27,7.103
2021-03-28,7.103
2021-03-29,7.103
2021-03-30,7.103
2021-03-31,7.103
2021-04-01,7.103
2021-04-02,7.103
2021-04-03,7.103
2021-04-04,7.103
2021-04-05,7.103
2021-04-06,7.103
2021-04-07,7.103
2021-04-08,7.103
2021-04-09,7.103
2021-04-10,7.103
2021-04-11,7.103
2021-04-12,7.103
2021-04-13,7.103
2021-04-14,7.103
2021-04-15,7.103
2021-04-16,7.103
2021-04-17,7.103
2021-04-18,7.103
2021-04-19,7.103
2021-04-20,7.103
2021-04-21,7.103
2021-04-22,7.103
2021-04-23,7.103
2021-04-24,7.103
2021-04-25,7.103
2021-04-26,7.103
2021-04-27,7.103
2021-04-28,7.103
2021-04-29,7.103
2021-04-30,7.103
2021-05-01,7.103
2021-05-02,7.103
2021-05-03,7.103
2021-05-04,7.253
2021-05-05,7.617
2021-05-06,7.617
2021-05-07,7.617
2021-05-08,7.617
2021-05-09,7.617
2021-05-10,7.617
2021-05-11,7.617
2021-05-12,7.617
2021-05-13,7.617
2021-05-14,7.617
2021-05-15,7.617
2021-05-16,7.617
2021-05-17,7.617
2021-05-18,7.617
2021-05-19,7.617
2021-05-20,7.617
2021-05-21,7.617
2021-05-22,7.617
2021-05-23,7.617
2021-05-24,7.617
2021-05-25,7.617
2021-05-26,7.617
2021-05-27,7.617
2021-05-28,7.617
2021-05-29,7.617
2021-05-30,7.617
2021-05-31,7.617
2021-06-01,7.617
2021-06-02,7.617
2021-06-03,7.617
2021-06-04,7.617
2021-06-05,7.617
2021-06-06,7.617
2021-06-07,7.617
2021-06-08,7.617
2021-06-09,7.617
2021-06-10,7.617
2021-06-11,7.617
2021-06-12,7.617
2021-06-13,7.617
2021-06-14,7.617
2021-06-15,7.617
2021-06-16,7.617
2021-06-17,7.617
2021-06-18,7.617
2021-06-19,7.617
2021-06-20,7.617
2021-06-21,7.617
2021-06-22,7.617
2021-06-23,7.617
2021-06-24,7.617
2021-06-25,7.617
2021-06-26,7.617
2021-06-27,7.617
2021-06-28,7.617
2021-06-29,7.617
2021-06-30,7.617
2021-07-01,7.617
2021-07-02,7.617
2021-07-03,7.617
2021-07-04,7.617
2021-07-05,7.617
2021-07-06,7.617
2021-07-07,7.617
2021-07-08,7.617
2021-07-09,7.617
2021-07-10,7.617
2021-07-11,7.617
2021-07-12,7.617
2021-07-13,7.617
2021-07-14,7.617
2021-07-15,7.617
2021-07-16,7.617
2021-07-17,7.617
2021-07-18,7.617
2021-07-19,7.617
2021-07-20,7.617
2021-07-21,7.617
2021-07-22,7.617
2021-07-23,7.617
2021-07-24,7.617
2021-07-25,7.617
2021-07-26,7.617
2021-07-27,7.617
2021-07-28,7.617
2021-07-29,7.617
2021-07-30,7.617
2021-07-31,7.617
2021-08-01,7.617
2021-08-02,7.617
2021-08-03,7.617
2021-08-04,7.617
2021-08-05,7.617
2021-08-06,7.617
2021-08-07,7.617
2021-08-08,7.617
2021-08-09,7.617
2021-08-10,7.617
2021-08-11,7.617
2021-08-12,7.613
2021-08-13,7.543
2021-08-14,7.407
2021-08-15,7.407
2021-08-16,7.407
2021-08-17,7.407
2021-08-18,7.407
2021-08-19,7.407
2021-08-20,7.407
2021-08-21,7.407
2021-08-22,7.407
2021-08-23,7.407
2021-08-24,7.407
2021-08-25,7.407
2021-08-26,7.407
2021-08-27,7.407
2021-08-28,7.407
2021-08-29,7.407
2021-08-30,7.407
2021-08-31,7.407
2021-09-01,7.407
2021-09-02,7.407
2021-09-03,7.407
2021-09-04,7.407
2021-09-05,7.407
2021-09-06,7.407
2021-09-07,7.407
2021-09-08,7.407
2021-09-09,7.407
2021-09-10,7.407
2021-09-11,7.407
2021-09-12,7.407
2021-09-13,7.407
2021-09-14,7.407
2021-09-15,7.407
2021-09-16,7.407
2021-09-17,7.407
2021-09-18,7.407
2021-09-19,7.407
2021-09-20,7.407
2021-09-21,7.407
2021-09-22,7.407
2021-09-23,7.407
2021-09-24,7.407
2021-09-25,7.407
2021-09-26,7.407
2021-09-27,7.407
2021-09-28,7.407
2021-09-29,7.407
2021-09-30,7.407
2021-10-01,7.407
2021-10-02,7.407
2021-10-03,7.407
2021-10-04,7.407
2021-10-05,7.407
2021-10-06,7.407
2021-10-07,7.407
2021-10-08,7.407
2021-10-09,7.407
2021-10-10,7.407
2021-10-11,7.407
2021-10-12,7.407
2021-10-13,7.407
2021-10-14,7.407
2021-10-15,7.407
2021-10-16,7.407
2021-10-17,7.407
2021-10-18,7.407
2021-10-19,7.407
2021-10-20,7.407
2021-10-21,7.407
2021-10-22,7.407
2021-10-23,7.407
2021-10-24,7.407
2021-10-25,7.407
2021-10-26,7.407
