,ITW US Equity
,BEST_EPS
2020-01-01,11.46
2020-01-02,11.46
2020-01-03,11.46
2020-01-04,11.46
2020-01-05,11.46
2020-01-06,11.46
2020-01-07,11.46
2020-01-08,11.46
2020-01-09,11.46
2020-01-10,11.46
2020-01-11,11.46
2020-01-12,11.46
2020-01-13,11.46
2020-01-14,11.46
2020-01-15,11.46
2020-01-16,11.46
2020-01-17,11.46
2020-01-18,11.46
2020-01-19,11.46
2020-01-20,11.46
2020-01-21,11.46
2020-01-22,11.46
2020-01-23,11.46
2020-01-24,11.46
2020-01-25,11.46
2020-01-26,11.46
2020-01-27,11.46
2020-01-28,11.46
2020-01-29,11.46
2020-01-30,11.46
2020-01-31,11.46
2020-02-01,11.46
2020-02-02,11.46
2020-02-03,11.46
2020-02-04,11.46
2020-02-05,11.46
2020-02-06,11.46
2020-02-07,11.46
2020-02-08,11.46
2020-02-09,11.46
2020-02-10,11.46
2020-02-11,11.46
2020-02-12,11.46
2020-02-13,11.46
2020-02-14,11.46
2020-02-15,11.46
2020-02-16,11.46
2020-02-17,11.46
2020-02-18,11.46
2020-02-19,11.46
2020-02-20,11.46
2020-02-21,11.46
2020-02-22,11.46
2020-02-23,11.46
2020-02-24,11.46
2020-02-25,11.46
2020-02-26,11.46
2020-02-27,11.46
2020-02-28,11.46
2020-02-29,11.46
2020-03-01,11.46
2020-03-02,11.46
2020-03-03,11.46
2020-03-04,11.46
2020-03-05,11.46
2020-03-06,11.46
2020-03-07,11.46
2020-03-08,11.46
2020-03-09,11.46
2020-03-10,11.46
2020-03-11,11.46
2020-03-12,11.46
2020-03-13,11.46
2020-03-14,11.46
2020-03-15,11.46
2020-03-16,11.46
2020-03-17,11.46
2020-03-18,11.46
2020-03-19,11.46
2020-03-20,11.46
2020-03-21,11.46
2020-03-22,11.46
2020-03-23,11.46
2020-03-24,11.46
2020-03-25,11.46
2020-03-26,11.46
2020-03-27,11.46
2020-03-28,11.46
2020-03-29,11.46
2020-03-30,11.46
2020-03-31,11.46
2020-04-01,11.46
2020-04-02,11.46
2020-04-03,11.46
2020-04-04,11.46
2020-04-05,11.46
2020-04-06,11.46
2020-04-07,11.46
2020-04-08,11.46
2020-04-09,11.46
2020-04-10,11.46
2020-04-11,11.46
2020-04-12,11.46
2020-04-13,11.46
2020-04-14,11.46
2020-04-15,11.46
2020-04-16,11.46
2020-04-17,11.46
2020-04-18,11.46
2020-04-19,11.46
2020-04-20,11.46
2020-04-21,11.46
2020-04-22,11.46
2020-04-23,11.46
2020-04-24,11.46
2020-04-25,11.46
2020-04-26,11.46
2020-04-27,11.46
2020-04-28,11.46
2020-04-29,11.46
2020-04-30,11.46
2020-05-01,11.46
2020-05-02,11.46
2020-05-03,11.46
2020-05-04,11.46
2020-05-05,11.46
2020-05-06,11.46
2020-05-07,11.46
2020-05-08,11.46
2020-05-09,11.46
2020-05-10,11.46
2020-05-11,11.46
2020-05-12,11.46
2020-05-13,11.46
2020-05-14,11.46
2020-05-15,11.46
2020-05-16,11.46
2020-05-17,11.46
2020-05-18,10.18
2020-05-19,10.18
2020-05-20,10.18
2020-05-21,10.18
2020-05-22,10.18
2020-05-23,10.18
2020-05-24,10.18
2020-05-25,10.18
2020-05-26,10.18
2020-05-27,10.18
2020-05-28,10.18
2020-05-29,10.18
2020-05-30,10.18
2020-05-31,10.18
2020-06-01,10.18
2020-06-02,10.18
2020-06-03,10.18
2020-06-04,10.18
2020-06-05,10.18
2020-06-06,10.18
2020-06-07,10.18
2020-06-08,10.18
2020-06-09,10.18
2020-06-10,10.18
2020-06-11,10.18
2020-06-12,10.18
2020-06-13,10.18
2020-06-14,10.18
2020-06-15,10.18
2020-06-16,10.18
2020-06-17,10.18
2020-06-18,10.18
2020-06-19,10.18
2020-06-20,10.18
2020-06-21,10.18
2020-06-22,9.03
2020-06-23,9.03
2020-06-24,9.03
2020-06-25,9.03
2020-06-26,9.03
2020-06-27,9.03
2020-06-28,9.03
2020-06-29,9.03
2020-06-30,9.03
2020-07-01,9.03
2020-07-02,9.03
2020-07-03,9.03
2020-07-04,9.03
2020-07-05,9.03
2020-07-06,9.03
2020-07-07,9.03
2020-07-08,9.03
2020-07-09,9.03
2020-07-10,9.03
2020-07-11,9.03
2020-07-12,9.03
2020-07-13,9.03
2020-07-14,9.03
2020-07-15,9.19
2020-07-16,9.19
2020-07-17,9.19
2020-07-18,9.19
2020-07-19,9.19
2020-07-20,9.19
2020-07-21,9.19
2020-07-22,9.19
2020-07-23,9.19
2020-07-24,9.19
2020-07-25,9.19
2020-07-26,9.19
2020-07-27,9.19
2020-07-28,9.19
2020-07-29,9.19
2020-07-30,9.19
2020-07-31,9.19
2020-08-01,9.19
2020-08-02,9.19
2020-08-03,9.533
2020-08-04,9.533
2020-08-05,9.533
2020-08-06,9.533
2020-08-07,9.533
2020-08-08,9.533
2020-08-09,9.533
2020-08-10,9.533
2020-08-11,9.533
2020-08-12,9.25
2020-08-13,9.25
2020-08-14,9.25
2020-08-15,9.25
2020-08-16,9.25
2020-08-17,9.25
2020-08-18,9.25
2020-08-19,9.25
2020-08-20,9.25
2020-08-21,9.338
2020-08-22,9.338
2020-08-23,9.338
2020-08-24,9.338
2020-08-25,9.258
2020-08-26,9.258
2020-08-27,9.258
2020-08-28,9.258
2020-08-29,9.258
2020-08-30,9.258
2020-08-31,9.258
2020-09-01,9.258
2020-09-02,9.258
2020-09-03,9.258
2020-09-04,9.258
2020-09-05,9.258
2020-09-06,9.258
2020-09-07,9.258
2020-09-08,9.258
2020-09-09,9.258
2020-09-10,9.258
2020-09-11,9.258
2020-09-12,9.258
2020-09-13,9.258
2020-09-14,9.258
2020-09-15,9.258
2020-09-16,9.258
2020-09-17,9.258
2020-09-18,9.258
2020-09-19,9.258
2020-09-20,9.258
2020-09-21,9.258
2020-09-22,9.258
2020-09-23,9.258
2020-09-24,9.258
2020-09-25,9.258
2020-09-26,9.258
2020-09-27,9.258
2020-09-28,9.258
2020-09-29,9.258
2020-09-30,9.258
2020-10-01,9.258
2020-10-02,9.258
2020-10-03,9.258
2020-10-04,9.258
2020-10-05,9.234
2020-10-06,9.234
2020-10-07,9.234
2020-10-08,9.234
2020-10-09,9.234
2020-10-10,9.234
2020-10-11,9.234
2020-10-12,9.286
2020-10-13,9.286
2020-10-14,9.286
2020-10-15,9.286
2020-10-16,9.286
2020-10-17,9.286
2020-10-18,9.286
2020-10-19,9.263
2020-10-20,9.263
2020-10-21,9.263
2020-10-22,9.263
2020-10-23,9.325
2020-10-24,9.325
2020-10-25,9.325
2020-10-26,9.688
2020-10-27,9.688
2020-10-28,9.688
2020-10-29,9.688
2020-10-30,9.688
2020-10-31,9.688
2020-11-01,9.688
2020-11-02,9.688
2020-11-03,9.688
2020-11-04,9.688
2020-11-05,9.688
2020-11-06,9.688
2020-11-07,9.688
2020-11-08,9.688
2020-11-09,9.688
2020-11-10,9.688
2020-11-11,9.688
2020-11-12,9.688
2020-11-13,9.788
2020-11-14,9.788
2020-11-15,9.788
2020-11-16,9.788
2020-11-17,9.788
2020-11-18,9.788
2020-11-19,9.788
2020-11-20,9.788
2020-11-21,9.788
2020-11-22,9.788
2020-11-23,9.788
2020-11-24,9.788
2020-11-25,9.788
2020-11-26,9.788
2020-11-27,9.788
2020-11-28,9.788
2020-11-29,9.788
2020-11-30,9.788
2020-12-01,9.788
2020-12-02,9.788
2020-12-03,9.788
2020-12-04,9.788
2020-12-05,9.788
2020-12-06,9.788
2020-12-07,9.788
2020-12-08,9.788
2020-12-09,9.788
2020-12-10,9.788
2020-12-11,9.788
2020-12-12,9.788
2020-12-13,9.788
2020-12-14,9.818
2020-12-15,9.74
2020-12-16,9.74
2020-12-17,9.74
2020-12-18,9.74
2020-12-19,9.74
2020-12-20,9.74
2020-12-21,9.74
2020-12-22,9.74
2020-12-23,9.74
2020-12-24,9.74
2020-12-25,9.74
2020-12-26,9.74
2020-12-27,9.74
2020-12-28,9.74
2020-12-29,9.74
2020-12-30,9.74
2020-12-31,9.74
2021-01-01,9.74
2021-01-02,9.74
2021-01-03,9.74
2021-01-04,9.74
2021-01-05,9.786
2021-01-06,9.786
2021-01-07,9.786
2021-01-08,9.786
2021-01-09,9.786
2021-01-10,9.786
2021-01-11,9.786
2021-01-12,9.813
2021-01-13,9.813
2021-01-14,9.813
2021-01-15,9.813
2021-01-16,9.813
2021-01-17,9.813
2021-01-18,9.813
2021-01-19,9.941
2021-01-20,9.988
2021-01-21,9.988
2021-01-22,9.988
2021-01-23,9.988
2021-01-24,9.988
2021-01-25,9.988
2021-01-26,9.988
2021-01-27,9.988
2021-01-28,9.988
2021-01-29,9.988
2021-01-30,9.988
2021-01-31,9.988
2021-02-01,9.988
2021-02-02,9.988
2021-02-03,9.988
2021-02-04,9.988
2021-02-05,10.119
2021-02-06,10.09
2021-02-07,10.095
2021-02-08,10.183
2021-02-09,10.183
2021-02-10,10.183
2021-02-11,10.183
2021-02-12,10.183
2021-02-13,10.183
2021-02-14,10.183
2021-02-15,10.183
2021-02-16,10.183
2021-02-17,10.183
2021-02-18,10.183
2021-02-19,10.183
2021-02-20,10.183
2021-02-21,10.183
2021-02-22,10.183
2021-02-23,10.183
2021-02-24,10.183
2021-02-25,10.183
2021-02-26,10.183
2021-02-27,10.183
2021-02-28,10.183
2021-03-01,10.183
2021-03-02,10.283
2021-03-03,10.283
2021-03-04,10.283
2021-03-05,10.283
2021-03-06,10.283
2021-03-07,10.283
2021-03-08,10.283
2021-03-09,10.283
2021-03-10,10.283
2021-03-11,10.283
2021-03-12,10.283
2021-03-13,10.283
2021-03-14,10.283
2021-03-15,10.283
2021-03-16,10.283
2021-03-17,10.283
2021-03-18,10.214
2021-03-19,10.214
2021-03-20,10.214
2021-03-21,10.214
2021-03-22,10.214
2021-03-23,10.214
2021-03-24,10.214
2021-03-25,10.137
2021-03-26,10.137
2021-03-27,10.137
2021-03-28,10.137
2021-03-29,10.137
2021-03-30,10.137
2021-03-31,10.137
2021-04-01,10.137
2021-04-02,10.137
2021-04-03,10.137
2021-04-04,10.127
2021-04-05,10.127
2021-04-06,10.174
2021-04-07,10.174
2021-04-08,10.174
2021-04-09,10.174
2021-04-10,10.174
2021-04-11,10.174
2021-04-12,10.191
2021-04-13,10.191
