,PARA US Equity
,BEST_EPS
2020-01-01,8.48
2020-01-02,8.48
2020-01-03,8.48
2020-01-04,8.48
2020-01-05,8.48
2020-01-06,8.48
2020-01-07,8.48
2020-01-08,8.48
2020-01-09,8.48
2020-01-10,8.48
2020-01-11,8.48
2020-01-12,8.48
2020-01-13,8.48
2020-01-14,8.48
2020-01-15,8.48
2020-01-16,8.48
2020-01-17,8.48
2020-01-18,8.48
2020-01-19,8.48
2020-01-20,8.48
2020-01-21,8.48
2020-01-22,8.48
2020-01-23,8.48
2020-01-24,8.48
2020-01-25,8.48
2020-01-26,8.48
2020-01-27,8.48
2020-01-28,8.48
2020-01-29,8.48
2020-01-30,7.65
2020-01-31,7.65
2020-02-01,7.65
2020-02-02,6.82
2020-02-03,6.82
2020-02-04,6.82
2020-02-05,6.82
2020-02-06,6.82
2020-02-07,6.82
2020-02-08,6.82
2020-02-09,6.82
2020-02-10,6.82
2020-02-11,6.82
2020-02-12,6.82
2020-02-13,6.82
2020-02-14,6.82
2020-02-15,6.82
2020-02-16,6.82
2020-02-17,6.82
2020-02-18,6.46
2020-02-19,6.46
2020-02-20,6.46
2020-02-21,6.46
2020-02-22,6.46
2020-02-23,6.46
2020-02-24,6.46
2020-02-25,6.46
2020-02-26,6.46
2020-02-27,6.46
2020-02-28,6.46
2020-02-29,6.46
2020-03-01,6.46
2020-03-02,6.46
2020-03-03,6.46
2020-03-04,6.46
2020-03-05,6.46
2020-03-06,6.46
2020-03-07,6.46
2020-03-08,6.46
2020-03-09,6.46
2020-03-10,6.46
2020-03-11,6.46
2020-03-12,6.46
2020-03-13,6.46
2020-03-14,6.46
2020-03-15,6.46
2020-03-16,6.46
2020-03-17,6.46
2020-03-18,6.46
2020-03-19,6.46
2020-03-20,6.46
2020-03-21,6.46
2020-03-22,6.46
2020-03-23,6.46
2020-03-24,6.46
2020-03-25,6.46
2020-03-26,6.46
2020-03-27,6.46
2020-03-28,6.46
2020-03-29,6.46
2020-03-30,6.46
2020-03-31,6.46
2020-04-01,6.46
2020-04-02,6.46
2020-04-03,6.46
2020-04-04,6.46
2020-04-05,6.46
2020-04-06,6.46
2020-04-07,6.46
2020-04-08,6.46
2020-04-09,5.09
2020-04-10,5.09
2020-04-11,5.09
2020-04-12,5.09
2020-04-13,5.09
2020-04-14,5.09
2020-04-15,5.09
2020-04-16,5.09
2020-04-17,5.09
2020-04-18,5.09
2020-04-19,5.09
2020-04-20,5.09
2020-04-21,5.09
2020-04-22,5.09
2020-04-23,5.09
2020-04-24,5.09
2020-04-25,5.09
2020-04-26,5.09
2020-04-27,5.09
2020-04-28,5.09
2020-04-29,6.64
2020-04-30,6.64
2020-05-01,6.64
2020-05-02,6.64
2020-05-03,6.64
2020-05-04,6.64
2020-05-05,6.64
2020-05-06,6.64
2020-05-07,6.145
2020-05-08,6.145
2020-05-09,6.145
2020-05-10,6.145
2020-05-11,6.145
2020-05-12,6.165
2020-05-13,6.165
2020-05-14,6.165
2020-05-15,6.165
2020-05-16,6.165
2020-05-17,6.165
2020-05-18,6.165
2020-05-19,6.165
2020-05-20,6.165
2020-05-21,6.165
2020-05-22,6.165
2020-05-23,6.165
2020-05-24,6.165
2020-05-25,6.165
2020-05-26,6.165
2020-05-27,6.165
2020-05-28,6.165
2020-05-29,6.165
2020-05-30,6.165
2020-05-31,6.165
2020-06-01,6.165
2020-06-02,6.165
2020-06-03,6.165
2020-06-04,6.165
2020-06-05,6.165
2020-06-06,6.165
2020-06-07,6.165
2020-06-08,6.165
2020-06-09,6.165
2020-06-10,6.165
2020-06-11,6.165
2020-06-12,6.165
2020-06-13,6.165
2020-06-14,6.165
2020-06-15,6.165
2020-06-16,6.165
2020-06-17,6.165
2020-06-18,5.51
2020-06-19,5.51
2020-06-20,5.51
2020-06-21,5.51
2020-06-22,5.51
2020-06-23,5.51
2020-06-24,5.51
2020-06-25,5.51
2020-06-26,5.51
2020-06-27,5.51
2020-06-28,5.51
2020-06-29,5.51
2020-06-30,5.51
2020-07-01,5.51
2020-07-02,5.51
2020-07-03,5.51
2020-07-04,5.51
2020-07-05,5.51
2020-07-06,5.51
2020-07-07,5.51
2020-07-08,5.51
2020-07-09,5.51
2020-07-10,5.51
2020-07-11,5.51
2020-07-12,5.51
2020-07-13,4.738
2020-07-14,4.738
2020-07-15,4.738
2020-07-16,4.738
2020-07-17,4.738
2020-07-18,4.738
2020-07-19,4.738
2020-07-20,4.738
2020-07-21,4.738
2020-07-22,4.738
2020-07-23,4.738
2020-07-24,4.738
2020-07-25,4.738
2020-07-26,4.738
2020-07-27,4.738
2020-07-28,4.938
2020-07-29,4.8
2020-07-30,4.8
2020-07-31,4.8
2020-08-01,4.8
2020-08-02,4.8
2020-08-03,4.8
2020-08-04,4.8
2020-08-05,4.8
2020-08-06,4.8
2020-08-07,4.716
2020-08-08,4.716
2020-08-09,4.47
2020-08-10,4.47
2020-08-11,4.47
2020-08-12,4.47
2020-08-13,4.47
2020-08-14,4.47
2020-08-15,4.47
2020-08-16,4.47
2020-08-17,4.47
2020-08-18,4.47
2020-08-19,4.47
2020-08-20,4.47
2020-08-21,4.47
2020-08-22,4.47
2020-08-23,4.47
2020-08-24,4.47
2020-08-25,4.47
2020-08-26,4.47
2020-08-27,4.47
2020-08-28,4.47
2020-08-29,4.47
2020-08-30,4.47
2020-08-31,4.47
2020-09-01,4.47
2020-09-02,4.47
2020-09-03,4.47
2020-09-04,4.47
2020-09-05,4.47
2020-09-06,4.47
2020-09-07,4.47
2020-09-08,4.47
2020-09-09,4.47
2020-09-10,4.47
2020-09-11,4.47
2020-09-12,4.47
2020-09-13,4.47
2020-09-14,4.47
2020-09-15,4.718
2020-09-16,4.718
2020-09-17,4.718
2020-09-18,4.718
2020-09-19,4.718
2020-09-20,4.718
2020-09-21,4.718
2020-09-22,4.718
2020-09-23,4.718
2020-09-24,4.718
2020-09-25,4.718
2020-09-26,4.718
2020-09-27,4.718
2020-09-28,4.718
2020-09-29,4.718
2020-09-30,4.696
2020-10-01,4.696
2020-10-02,4.696
2020-10-03,4.696
2020-10-04,4.696
2020-10-05,4.621
2020-10-06,4.621
2020-10-07,4.621
2020-10-08,4.621
2020-10-09,4.621
2020-10-10,4.621
2020-10-11,4.621
2020-10-12,4.621
2020-10-13,4.621
2020-10-14,4.621
2020-10-15,4.646
2020-10-16,4.646
2020-10-17,4.646
2020-10-18,4.646
2020-10-19,4.595
2020-10-20,4.595
2020-10-21,4.595
2020-10-22,4.595
2020-10-23,4.595
2020-10-24,4.595
2020-10-25,4.595
2020-10-26,4.595
2020-10-27,4.568
2020-10-28,4.568
2020-10-29,4.568
2020-10-30,4.568
2020-10-31,4.568
2020-11-01,4.568
2020-11-02,4.568
2020-11-03,4.568
2020-11-04,4.568
2020-11-05,4.568
2020-11-06,4.394
2020-11-07,4.394
2020-11-08,4.394
2020-11-09,4.36
2020-11-10,4.36
2020-11-11,4.36
2020-11-12,4.36
2020-11-13,4.322
2020-11-14,4.322
2020-11-15,4.336
2020-11-16,4.336
2020-11-17,4.336
2020-11-18,4.336
2020-11-19,4.336
