,NFG US Equity
,BEST_EPS
2020-01-01,3.76
2020-01-02,3.76
2020-01-03,3.76
2020-01-04,3.76
2020-01-05,3.76
2020-01-06,3.76
2020-01-07,3.76
2020-01-08,3.76
2020-01-09,3.76
2020-01-10,3.76
2020-01-11,3.76
2020-01-12,3.76
2020-01-13,3.76
2020-01-14,3.76
2020-01-15,3.76
2020-01-16,3.76
2020-01-17,3.76
2020-01-18,3.76
2020-01-19,3.76
2020-01-20,3.76
2020-01-21,3.76
2020-01-22,3.76
2020-01-23,3.76
2020-01-24,3.76
2020-01-25,3.76
2020-01-26,3.76
2020-01-27,3.76
2020-01-28,3.76
2020-01-29,3.76
2020-01-30,3.76
2020-01-31,3.76
2020-02-01,3.76
2020-02-02,3.76
2020-02-03,3.76
2020-02-04,3.76
2020-02-05,3.76
2020-02-06,3.76
2020-02-07,3.76
2020-02-08,3.76
2020-02-09,3.76
2020-02-10,3.76
2020-02-11,3.76
2020-02-12,3.76
2020-02-13,3.76
2020-02-14,3.76
2020-02-15,3.76
2020-02-16,3.76
2020-02-17,3.76
2020-02-18,3.76
2020-02-19,3.76
2020-02-20,3.76
2020-02-21,3.76
2020-02-22,3.76
2020-02-23,3.76
2020-02-24,3.76
2020-02-25,3.76
2020-02-26,3.76
2020-02-27,3.76
2020-02-28,3.76
2020-02-29,3.76
2020-03-01,3.76
2020-03-02,3.76
2020-03-03,3.76
2020-03-04,3.76
2020-03-05,3.76
2020-03-06,3.76
2020-03-07,3.76
2020-03-08,3.76
2020-03-09,3.76
2020-03-10,3.76
2020-03-11,3.76
2020-03-12,3.76
2020-03-13,3.76
2020-03-14,3.76
2020-03-15,3.76
2020-03-16,3.76
2020-03-17,3.76
2020-03-18,3.99
2020-03-19,3.99
2020-03-20,3.99
2020-03-21,3.99
2020-03-22,3.99
2020-03-23,3.99
2020-03-24,3.99
2020-03-25,3.99
2020-03-26,3.99
2020-03-27,3.99
2020-03-28,3.99
2020-03-29,3.99
2020-03-30,3.99
2020-03-31,3.99
2020-04-01,3.99
2020-04-02,3.99
2020-04-03,3.99
2020-04-04,3.99
2020-04-05,3.99
2020-04-06,3.99
2020-04-07,3.99
2020-04-08,3.99
2020-04-09,3.99
2020-04-10,3.99
2020-04-11,3.99
2020-04-12,3.99
2020-04-13,3.99
2020-04-14,3.99
2020-04-15,3.99
2020-04-16,3.99
2020-04-17,3.99
2020-04-18,3.99
2020-04-19,3.99
2020-04-20,3.99
2020-04-21,3.99
2020-04-22,3.99
2020-04-23,3.99
2020-04-24,4.13
2020-04-25,4.13
2020-04-26,4.13
2020-04-27,4.13
2020-04-28,4.13
2020-04-29,4.13
2020-04-30,4.13
2020-05-01,4.13
2020-05-02,4.13
2020-05-03,4.13
2020-05-04,4.13
2020-05-05,4.13
2020-05-06,4.13
2020-05-07,4.13
2020-05-08,4.13
2020-05-09,4.13
2020-05-10,4.13
2020-05-11,4.13
2020-05-12,4.13
2020-05-13,4.13
2020-05-14,4.13
2020-05-15,4.13
2020-05-16,4.13
2020-05-17,4.13
2020-05-18,4.13
2020-05-19,4.13
2020-05-20,4.13
2020-05-21,4.13
2020-05-22,4.13
2020-05-23,4.13
2020-05-24,4.13
2020-05-25,4.13
2020-05-26,4.13
2020-05-27,4.13
2020-05-28,4.13
2020-05-29,4.33
2020-05-30,4.33
2020-05-31,4.33
2020-06-01,4.33
2020-06-02,4.33
2020-06-03,4.33
2020-06-04,4.33
2020-06-05,4.33
2020-06-06,4.33
2020-06-07,4.33
2020-06-08,4.33
2020-06-09,4.33
2020-06-10,4.33
2020-06-11,4.33
2020-06-12,4.33
2020-06-13,4.33
2020-06-14,4.33
2020-06-15,4.33
2020-06-16,4.33
2020-06-17,4.33
2020-06-18,4.33
2020-06-19,4.33
2020-06-20,4.33
2020-06-21,4.33
2020-06-22,4.33
2020-06-23,4.33
2020-06-24,4.33
2020-06-25,4.33
2020-06-26,4.33
2020-06-27,4.33
2020-06-28,4.33
2020-06-29,4.33
2020-06-30,4.33
2020-07-01,4.33
2020-07-02,4.33
2020-07-03,4.33
2020-07-04,4.33
2020-07-05,4.33
2020-07-06,4.33
2020-07-07,4.33
2020-07-08,4.33
2020-07-09,4.33
2020-07-10,4.33
2020-07-11,4.33
2020-07-12,4.33
2020-07-13,4.33
2020-07-14,4.33
2020-07-15,4.33
2020-07-16,4.33
2020-07-17,4.33
2020-07-18,4.33
2020-07-19,4.33
2020-07-20,4.33
2020-07-21,4.33
2020-07-22,4.33
2020-07-23,4.33
2020-07-24,4.33
2020-07-25,4.33
2020-07-26,4.33
2020-07-27,4.33
2020-07-28,4.33
2020-07-29,4.33
2020-07-30,4.33
2020-07-31,4.33
2020-08-01,4.33
2020-08-02,4.33
2020-08-03,4.33
2020-08-04,4.33
2020-08-05,4.33
2020-08-06,4.33
2020-08-07,4.33
2020-08-08,4.33
2020-08-09,4.33
2020-08-10,4.33
2020-08-11,4.33
2020-08-12,4.33
2020-08-13,4.33
