,ALK US Equity
,BEST_EPS
2020-01-01,10.25
2020-01-02,10.25
2020-01-03,10.25
2020-01-04,10.25
2020-01-05,10.25
2020-01-06,10.25
2020-01-07,10.25
2020-01-08,10.25
2020-01-09,10.25
2020-01-10,10.25
2020-01-11,10.25
2020-01-12,10.25
2020-01-13,10.25
2020-01-14,10.25
2020-01-15,10.25
2020-01-16,10.25
2020-01-17,10.25
2020-01-18,10.25
2020-01-19,10.25
2020-01-20,10.25
2020-01-21,10.25
2020-01-22,10.25
2020-01-23,10.25
2020-01-24,10.25
2020-01-25,10.25
2020-01-26,10.25
2020-01-27,10.25
2020-01-28,10.25
2020-01-29,10.25
2020-01-30,10.25
2020-01-31,10.25
2020-02-01,10.25
2020-02-02,10.25
2020-02-03,10.25
2020-02-04,10.25
2020-02-05,10.25
2020-02-06,10.25
2020-02-07,10.25
2020-02-08,10.25
2020-02-09,10.25
2020-02-10,10.25
2020-02-11,10.25
2020-02-12,10.25
2020-02-13,10.25
2020-02-14,10.25
2020-02-15,10.25
2020-02-16,10.25
2020-02-17,10.25
2020-02-18,10.25
2020-02-19,10.25
2020-02-20,10.25
2020-02-21,10.25
2020-02-22,10.25
2020-02-23,10.25
2020-02-24,10.25
2020-02-25,10.25
2020-02-26,10.25
2020-02-27,10.25
2020-02-28,10.25
2020-02-29,10.25
2020-03-01,10.25
2020-03-02,10.25
2020-03-03,10.25
2020-03-04,10.25
2020-03-05,10.25
2020-03-06,10.25
2020-03-07,10.25
2020-03-08,10.25
2020-03-09,10.25
2020-03-10,10.25
2020-03-11,10.25
2020-03-12,10.25
2020-03-13,10.25
2020-03-14,10.25
2020-03-15,10.25
2020-03-16,10.25
2020-03-17,10.25
2020-03-18,10.25
2020-03-19,10.25
2020-03-20,10.25
2020-03-21,10.25
2020-03-22,10.25
2020-03-23,10.25
2020-03-24,10.25
2020-03-25,10.25
2020-03-26,10.25
2020-03-27,10.25
2020-03-28,10.25
2020-03-29,10.25
2020-03-30,10.25
2020-03-31,10.25
2020-04-01,10.25
2020-04-02,10.25
2020-04-03,10.25
2020-04-04,10.25
2020-04-05,10.25
2020-04-06,10.25
2020-04-07,10.25
2020-04-08,10.25
2020-04-09,10.25
2020-04-10,10.25
2020-04-11,10.25
2020-04-12,10.25
2020-04-13,10.25
2020-04-14,10.25
2020-04-15,10.25
2020-04-16,10.25
2020-04-17,10.25
2020-04-18,10.25
2020-04-19,10.25
2020-04-20,10.25
2020-04-21,10.25
2020-04-22,10.25
2020-04-23,10.25
2020-04-24,10.25
2020-04-25,10.25
2020-04-26,10.25
2020-04-27,10.25
2020-04-28,10.25
2020-04-29,10.25
2020-04-30,10.25
2020-05-01,10.25
2020-05-02,10.25
2020-05-03,10.25
2020-05-04,10.25
2020-05-05,10.25
2020-05-06,10.25
2020-05-07,10.25
2020-05-08,10.25
2020-05-09,10.25
2020-05-10,10.25
2020-05-11,10.25
2020-05-12,10.25
2020-05-13,10.25
2020-05-14,10.25
2020-05-15,10.25
2020-05-16,10.25
2020-05-17,10.25
2020-05-18,10.25
2020-05-19,10.25
2020-05-20,10.25
2020-05-21,10.25
2020-05-22,10.25
2020-05-23,10.25
2020-05-24,10.25
2020-05-25,10.25
2020-05-26,10.25
2020-05-27,10.25
2020-05-28,10.25
2020-05-29,10.25
2020-05-30,10.25
2020-05-31,10.25
2020-06-01,10.25
2020-06-02,10.25
2020-06-03,10.25
2020-06-04,10.25
2020-06-05,10.25
2020-06-06,10.25
2020-06-07,10.25
2020-06-08,10.25
2020-06-09,10.25
2020-06-10,10.25
2020-06-11,10.25
2020-06-12,10.25
2020-06-13,10.25
2020-06-14,10.25
2020-06-15,10.25
2020-06-16,10.25
2020-06-17,10.25
2020-06-18,10.25
2020-06-19,10.25
2020-06-20,10.25
2020-06-21,10.25
2020-06-22,10.25
2020-06-23,10.25
2020-06-24,10.25
2020-06-25,10.25
2020-06-26,10.25
2020-06-27,10.25
2020-06-28,10.25
2020-06-29,10.25
2020-06-30,10.25
2020-07-01,10.25
2020-07-02,10.25
2020-07-03,10.25
2020-07-04,10.25
2020-07-05,10.25
2020-07-06,10.25
2020-07-07,10.25
2020-07-08,10.25
2020-07-09,10.25
2020-07-10,10.25
2020-07-11,10.25
2020-07-12,10.25
2020-07-13,10.25
2020-07-14,10.25
2020-07-15,10.25
2020-07-16,10.25
2020-07-17,10.25
2020-07-18,10.25
2020-07-19,10.25
2020-07-20,10.25
2020-07-21,10.25
2020-07-22,10.25
2020-07-23,10.25
2020-07-24,10.25
2020-07-25,10.25
2020-07-26,10.25
2020-07-27,10.25
2020-07-28,10.25
2020-07-29,10.25
2020-07-30,10.25
2020-07-31,10.25
2020-08-01,10.25
2020-08-02,10.25
2020-08-03,10.25
2020-08-04,10.25
2020-08-05,10.25
2020-08-06,10.25
2020-08-07,10.25
2020-08-08,10.25
2020-08-09,10.25
2020-08-10,10.25
2020-08-11,10.25
2020-08-12,10.25
2020-08-13,10.25
2020-08-14,10.25
2020-08-15,10.25
2020-08-16,10.25
2020-08-17,10.25
2020-08-18,10.25
2020-08-19,10.25
2020-08-20,10.25
2020-08-21,10.25
2020-08-22,10.25
2020-08-23,10.25
2020-08-24,10.25
2020-08-25,10.25
2020-08-26,10.25
2020-08-27,10.25
2020-08-28,10.25
2020-08-29,10.25
2020-08-30,10.25
2020-08-31,10.25
2020-09-01,10.25
2020-09-02,10.25
2020-09-03,10.25
2020-09-04,10.25
2020-09-05,10.25
2020-09-06,10.25
2020-09-07,10.25
2020-09-08,10.25
2020-09-09,10.25
2020-09-10,10.25
2020-09-11,10.25
2020-09-12,10.25
2020-09-13,10.25
2020-09-14,10.25
2020-09-15,10.25
2020-09-16,10.25
2020-09-17,10.25
2020-09-18,10.25
2020-09-19,10.25
2020-09-20,10.25
2020-09-21,10.25
2020-09-22,10.25
2020-09-23,10.25
2020-09-24,10.25
2020-09-25,10.25
2020-09-26,10.25
2020-09-27,10.25
2020-09-28,10.25
2020-09-29,10.25
2020-09-30,10.25
2020-10-01,10.25
2020-10-02,10.25
2020-10-03,10.25
2020-10-04,10.25
2020-10-05,10.25
2020-10-06,10.25
2020-10-07,10.25
2020-10-08,10.25
2020-10-09,10.25
2020-10-10,10.25
2020-10-11,10.25
2020-10-12,10.25
2020-10-13,10.25
2020-10-14,10.25
2020-10-15,10.25
2020-10-16,10.25
2020-10-17,10.25
2020-10-18,10.25
2020-10-19,10.25
2020-10-20,10.25
2020-10-21,10.25
2020-10-22,10.25
2020-10-23,10.25
2020-10-24,10.25
2020-10-25,10.25
2020-10-26,10.25
2020-10-27,10.25
2020-10-28,10.25
2020-10-29,10.25
2020-10-30,10.25
2020-10-31,10.25
2020-11-01,10.25
2020-11-02,10.25
2020-11-03,10.25
2020-11-04,10.25
2020-11-05,10.25
2020-11-06,10.25
2020-11-07,10.25
2020-11-08,10.25
2020-11-09,10.25
2020-11-10,10.25
2020-11-11,10.25
2020-11-12,10.25
2020-11-13,10.25
2020-11-14,10.25
2020-11-15,10.25
2020-11-16,10.25
2020-11-17,10.25
2020-11-18,10.25
2020-11-19,10.25
2020-11-20,10.25
2020-11-21,10.25
2020-11-22,10.25
2020-11-23,10.25
2020-11-24,10.25
2020-11-25,10.25
2020-11-26,10.25
2020-11-27,10.25
2020-11-28,10.25
2020-11-29,10.25
2020-11-30,10.25
2020-12-01,10.25
2020-12-02,10.25
2020-12-03,10.25
2020-12-04,10.25
2020-12-05,10.25
2020-12-06,10.25
2020-12-07,10.25
2020-12-08,10.25
2020-12-09,10.25
2020-12-10,10.25
2020-12-11,10.25
2020-12-12,10.25
2020-12-13,10.25
2020-12-14,10.25
2020-12-15,10.25
2020-12-16,10.25
2020-12-17,10.25
2020-12-18,10.25
2020-12-19,10.25
2020-12-20,10.25
2020-12-21,10.25
2020-12-22,10.25
2020-12-23,10.25
2020-12-24,10.25
2020-12-25,10.25
2020-12-26,10.25
2020-12-27,10.25
2020-12-28,10.25
2020-12-29,10.25
2020-12-30,10.25
2020-12-31,10.25
2021-01-01,10.25
2021-01-02,10.25
2021-01-03,10.25
2021-01-04,10.25
2021-01-05,10.25
2021-01-06,10.25
2021-01-07,10.25
2021-01-08,10.25
2021-01-09,10.25
2021-01-10,10.25
2021-01-11,10.25
2021-01-12,10.25
2021-01-13,10.25
2021-01-14,10.25
2021-01-15,10.25
2021-01-16,10.25
2021-01-17,10.25
2021-01-18,10.25
2021-01-19,10.25
2021-01-20,10.25
2021-01-21,10.25
2021-01-22,10.25
2021-01-23,10.25
2021-01-24,10.25
2021-01-25,10.25
2021-01-26,10.25
2021-01-27,10.25
2021-01-28,10.25
2021-01-29,10.25
2021-01-30,10.25
2021-01-31,10.25
2021-02-01,10.25
2021-02-02,10.25
2021-02-03,10.25
2021-02-04,10.25
2021-02-05,10.25
2021-02-06,10.25
2021-02-07,10.25
2021-02-08,10.25
2021-02-09,10.25
2021-02-10,10.25
2021-02-11,10.25
2021-02-12,10.25
2021-02-13,10.25
2021-02-14,10.25
2021-02-15,10.25
2021-02-16,10.25
2021-02-17,10.25
2021-02-18,10.25
2021-02-19,10.25
2021-02-20,10.25
2021-02-21,10.25
2021-02-22,10.25
2021-02-23,10.25
2021-02-24,10.25
2021-02-25,10.25
2021-02-26,10.25
2021-02-27,10.25
2021-02-28,10.25
2021-03-01,10.25
2021-03-02,10.25
2021-03-03,10.25
2021-03-04,10.25
2021-03-05,10.25
2021-03-06,10.25
2021-03-07,10.25
2021-03-08,10.25
2021-03-09,10.25
2021-03-10,10.25
2021-03-11,10.25
2021-03-12,10.25
2021-03-13,10.25
2021-03-14,10.25
2021-03-15,10.25
2021-03-16,10.25
2021-03-17,10.25
2021-03-18,10.25
2021-03-19,10.25
2021-03-20,10.25
2021-03-21,10.25
2021-03-22,10.25
2021-03-23,10.25
2021-03-24,10.25
2021-03-25,10.25
2021-03-26,10.25
2021-03-27,10.25
2021-03-28,10.25
2021-03-29,10.25
2021-03-30,10.25
2021-03-31,10.25
2021-04-01,10.25
2021-04-02,10.25
2021-04-03,10.25
2021-04-04,10.25
2021-04-05,10.25
2021-04-06,10.25
2021-04-07,10.25
2021-04-08,10.25
2021-04-09,10.25
2021-04-10,10.25
2021-04-11,10.25
2021-04-12,10.25
2021-04-13,10.25
2021-04-14,10.25
2021-04-15,10.25
2021-04-16,10.25
2021-04-17,10.25
2021-04-18,10.25
2021-04-19,10.25
2021-04-20,10.25
2021-04-21,10.25
2021-04-22,10.25
2021-04-23,10.25
2021-04-24,10.25
2021-04-25,10.25
2021-04-26,10.25
2021-04-27,10.25
2021-04-28,10.25
2021-04-29,10.25
2021-04-30,10.25
2021-05-01,10.25
2021-05-02,10.25
2021-05-03,10.25
2021-05-04,10.25
2021-05-05,10.25
2021-05-06,10.25
2021-05-07,10.25
2021-05-08,10.25
2021-05-09,10.25
2021-05-10,10.25
2021-05-11,10.25
2021-05-12,10.25
2021-05-13,8.14
2021-05-14,8.14
2021-05-15,8.14
2021-05-16,8.14
2021-05-17,8.14
2021-05-18,8.14
2021-05-19,8.14
2021-05-20,8.14
2021-05-21,8.14
2021-05-22,8.14
2021-05-23,8.14
2021-05-24,8.14
2021-05-25,8.14
2021-05-26,8.14
2021-05-27,8.14
2021-05-28,7.995
2021-05-29,7.995
2021-05-30,7.995
2021-05-31,7.995
2021-06-01,7.995
2021-06-02,7.995
2021-06-03,7.995
2021-06-04,7.995
2021-06-05,7.995
2021-06-06,7.995
2021-06-07,7.995
2021-06-08,7.995
2021-06-09,7.995
2021-06-10,7.995
2021-06-11,7.995
2021-06-12,7.995
2021-06-13,7.995
2021-06-14,7.995
2021-06-15,7.995
2021-06-16,7.995
2021-06-17,8.33
2021-06-18,8.33
2021-06-19,8.33
2021-06-20,8.33
2021-06-21,8.33
2021-06-22,8.33
2021-06-23,8.33
2021-06-24,8.33
2021-06-25,8.33
2021-06-26,8.33
2021-06-27,8.33
2021-06-28,8.33
2021-06-29,8.33
2021-06-30,8.33
2021-07-01,8.33
2021-07-02,8.33
2021-07-03,8.33
2021-07-04,8.33
2021-07-05,8.33
2021-07-06,8.33
2021-07-07,8.33
2021-07-08,8.33
2021-07-09,8.33
2021-07-10,8.33
2021-07-11,8.33
2021-07-12,8.32
2021-07-13,8.32
2021-07-14,8.32
2021-07-15,8.335
2021-07-16,8.335
2021-07-17,8.335
2021-07-18,8.335
2021-07-19,8.335
2021-07-20,8.335
2021-07-21,8.335
2021-07-22,8.84
2021-07-23,8.84
2021-07-24,8.84
2021-07-25,8.84
2021-07-26,8.84
2021-07-27,8.84
2021-07-28,8.84
2021-07-29,8.84
2021-07-30,8.84
2021-07-31,8.84
2021-08-01,8.84
2021-08-02,8.84
2021-08-03,8.855
2021-08-04,8.855
2021-08-05,8.855
2021-08-06,8.855
2021-08-07,8.855
2021-08-08,8.855
2021-08-09,8.855
2021-08-10,8.855
2021-08-11,8.64
2021-08-12,8.64
2021-08-13,8.64
2021-08-14,8.64
2021-08-15,8.64
2021-08-16,8.64
2021-08-17,8.64
2021-08-18,8.64
2021-08-19,8.64
2021-08-20,8.64
2021-08-21,8.64
2021-08-22,8.64
2021-08-23,8.64
2021-08-24,8.64
2021-08-25,8.64
2021-08-26,8.64
2021-08-27,8.64
2021-08-28,8.64
2021-08-29,8.64
2021-08-30,8.64
2021-08-31,8.64
2021-09-01,8.64
2021-09-02,8.59
2021-09-03,8.59
2021-09-04,8.59
2021-09-05,8.59
2021-09-06,8.59
2021-09-07,8.59
2021-09-08,8.59
2021-09-09,8.41
2021-09-10,8.41
2021-09-11,8.41
2021-09-12,8.41
2021-09-13,8.41
2021-09-14,8.41
2021-09-15,8.41
2021-09-16,8.41
2021-09-17,8.41
2021-09-18,8.41
2021-09-19,8.41
2021-09-20,8.41
2021-09-21,8.41
2021-09-22,8.41
2021-09-23,8.41
2021-09-24,8.41
2021-09-25,8.41
2021-09-26,8.41
2021-09-27,8.41
2021-09-28,8.41
2021-09-29,8.41
2021-09-30,8.41
2021-10-01,8.41
2021-10-02,8.41
2021-10-03,8.41
2021-10-04,8.41
2021-10-05,8.41
2021-10-06,8.485
2021-10-07,8.485
2021-10-08,8.485
2021-10-09,8.485
2021-10-10,8.485
2021-10-11,8.485
2021-10-12,8.485
2021-10-13,8.485
2021-10-14,8.485
2021-10-15,8.485
2021-10-16,8.485
2021-10-17,8.485
2021-10-18,8.485
2021-10-19,8.485
2021-10-20,8.485
2021-10-21,8.485
2021-10-22,8.485
2021-10-23,8.485
2021-10-24,8.485
2021-10-25,8.355
2021-10-26,8.355
2021-10-27,8.355
2021-10-28,8.355
2021-10-29,8.355
2021-10-30,8.355
2021-10-31,8.355
2021-11-01,8.355
2021-11-02,8.355
2021-11-03,8.355
2021-11-04,8.355
2021-11-05,8.355
2021-11-06,8.355
2021-11-07,8.355
2021-11-08,8.355
2021-11-09,8.355
2021-11-10,8.355
2021-11-11,8.355
2021-11-12,8.355
2021-11-13,8.355
2021-11-14,8.355
2021-11-15,8.355
2021-11-16,8.355
2021-11-17,8.355
2021-11-18,8.23
2021-11-19,8.23
2021-11-20,8.23
2021-11-21,8.23
2021-11-22,8.23
2021-11-23,8.23
2021-11-24,8.23
2021-11-25,8.23
2021-11-26,8.375
2021-11-27,8.375
2021-11-28,8.375
2021-11-29,8.375
2021-11-30,8.375
2021-12-01,8.375
2021-12-02,8.32
2021-12-03,8.32
2021-12-04,8.32
2021-12-05,8.32
2021-12-06,8.32
2021-12-07,8.32
2021-12-08,8.32
2021-12-09,8.32
2021-12-10,8.32
2021-12-11,8.32
2021-12-12,8.32
2021-12-13,8.32
2021-12-14,8.32
2021-12-15,8.32
2021-12-16,8.32
2021-12-17,8.32
2021-12-18,8.32
2021-12-19,8.32
2021-12-20,8.32
2021-12-21,8.32
2021-12-22,8.32
2021-12-23,8.32
2021-12-24,8.32
2021-12-25,8.32
2021-12-26,8.32
2021-12-27,8.32
2021-12-28,8.32
2021-12-29,8.32
2021-12-30,8.32
2021-12-31,8.32
2022-01-01,8.32
2022-01-02,8.32
2022-01-03,8.32
2022-01-04,8.32
2022-01-05,8.32
2022-01-06,8.32
2022-01-07,8.32
2022-01-08,8.32
2022-01-09,8.32
2022-01-10,8.32
2022-01-11,8.27
2022-01-12,8.27
2022-01-13,8.27
2022-01-14,8.27
2022-01-15,8.27
2022-01-16,8.27
2022-01-17,8.27
2022-01-18,8.27
2022-01-19,8.27
2022-01-20,8.27
2022-01-21,8.27
2022-01-22,8.27
2022-01-23,8.27
2022-01-24,8.27
2022-01-25,8.27
2022-01-26,8.27
2022-01-27,8.165
2022-01-28,8.165
2022-01-29,8.165
2022-01-30,8.165
2022-01-31,8.165
2022-02-01,8.165
2022-02-02,8.165
2022-02-03,8.165
2022-02-04,8.165
2022-02-05,8.165
2022-02-06,8.165
2022-02-07,8.165
2022-02-08,8.165
2022-02-09,8.165
2022-02-10,8.165
2022-02-11,8.165
2022-02-12,8.165
2022-02-13,8.165
2022-02-14,8.3
2022-02-15,8.3
2022-02-16,8.3
2022-02-17,8.3
2022-02-18,8.3
2022-02-19,8.3
2022-02-20,8.3
2022-02-21,8.3
2022-02-22,8.3
2022-02-23,8.3
2022-02-24,8.3
2022-02-25,8.3
2022-02-26,8.3
2022-02-27,8.3
2022-02-28,8.3
2022-03-01,8.3
2022-03-02,8.3
2022-03-03,8.27
2022-03-04,8.27
2022-03-05,8.27
2022-03-06,8.27
2022-03-07,8.27
2022-03-08,8.27
2022-03-09,8.27
2022-03-10,8.27
2022-03-11,8.27
2022-03-12,8.27
2022-03-13,8.27
2022-03-14,8.27
2022-03-15,8.27
2022-03-16,8.27
2022-03-17,8.525
2022-03-18,8.525
2022-03-19,8.525
2022-03-20,8.525
2022-03-21,8.183
2022-03-22,8.183
2022-03-23,8.183
2022-03-24,7.875
2022-03-25,7.894
2022-03-26,7.894
2022-03-27,7.894
2022-03-28,8.162
2022-03-29,8.162
2022-03-30,8.162
2022-03-31,8.162
2022-04-01,8.162
2022-04-02,8.162
2022-04-03,8.162
2022-04-04,8.162
2022-04-05,8.162
2022-04-06,8.162
2022-04-07,8.162
2022-04-08,8.004
2022-04-09,8.004
2022-04-10,8.004
2022-04-11,8.011
2022-04-12,7.789
2022-04-13,7.789
2022-04-14,7.789
2022-04-15,7.789
2022-04-16,7.789
2022-04-17,7.789
2022-04-18,7.789
2022-04-19,7.789
2022-04-20,7.789
2022-04-21,7.901
2022-04-22,7.938
2022-04-23,7.938
2022-04-24,7.938
2022-04-25,7.938
2022-04-26,7.938
2022-04-27,7.938
2022-04-28,7.938
2022-04-29,7.938
2022-04-30,7.938
2022-05-01,7.938
2022-05-02,8.129
2022-05-03,8.129
2022-05-04,8.129
2022-05-05,8.129
2022-05-06,8.129
2022-05-07,8.129
2022-05-08,8.129
2022-05-09,8.129
2022-05-10,8.129
2022-05-11,8.129
2022-05-12,8.129
2022-05-13,8.129
2022-05-14,8.129
2022-05-15,8.129
2022-05-16,8.129
2022-05-17,7.925
2022-05-18,7.925
2022-05-19,7.843
2022-05-20,7.843
2022-05-21,7.843
2022-05-22,7.843
2022-05-23,7.843
