,MA US Equity
,BEST_EPS
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,17.41
2020-01-11,17.41
2020-01-12,17.41
2020-01-13,17.41
2020-01-14,17.41
2020-01-15,17.41
2020-01-16,17.41
2020-01-17,17.41
2020-01-18,17.41
2020-01-19,17.41
2020-01-20,17.41
2020-01-21,17.41
2020-01-22,17.41
2020-01-23,17.41
2020-01-24,17.41
2020-01-25,17.41
2020-01-26,17.41
2020-01-27,17.41
2020-01-28,17.41
2020-01-29,17.41
2020-01-30,19.4
2020-01-31,19.4
2020-02-01,19.4
2020-02-02,19.4
2020-02-03,19.4
2020-02-04,19.4
2020-02-05,19.4
2020-02-06,19.4
2020-02-07,19.4
2020-02-08,19.4
2020-02-09,19.4
2020-02-10,19.4
2020-02-11,19.4
2020-02-12,19.4
2020-02-13,19.4
2020-02-14,19.4
2020-02-15,19.4
2020-02-16,19.4
2020-02-17,19.4
2020-02-18,19.4
2020-02-19,19.4
2020-02-20,19.4
2020-02-21,19.4
2020-02-22,19.4
2020-02-23,19.4
2020-02-24,19.4
2020-02-25,19.4
2020-02-26,19.4
2020-02-27,19.4
2020-02-28,19.4
2020-02-29,19.4
2020-03-01,19.4
2020-03-02,19.4
2020-03-03,19.4
2020-03-04,19.4
2020-03-05,19.4
2020-03-06,19.4
2020-03-07,19.4
2020-03-08,19.4
2020-03-09,19.4
2020-03-10,19.4
2020-03-11,19.4
2020-03-12,19.4
2020-03-13,19.4
2020-03-14,19.4
2020-03-15,19.4
2020-03-16,19.4
2020-03-17,19.4
2020-03-18,19.4
2020-03-19,19.4
2020-03-20,19.4
2020-03-21,19.4
2020-03-22,19.4
2020-03-23,19.4
2020-03-24,17.705
2020-03-25,17.705
2020-03-26,17.705
2020-03-27,17.705
2020-03-28,17.705
2020-03-29,17.705
2020-03-30,17.705
2020-03-31,17.705
2020-04-01,17.705
2020-04-02,16.74
2020-04-03,16.74
2020-04-04,16.74
2020-04-05,16.74
2020-04-06,16.74
2020-04-07,16.74
2020-04-08,16.74
2020-04-09,16.74
2020-04-10,16.74
2020-04-11,16.74
2020-04-12,16.74
2020-04-13,16.74
2020-04-14,16.74
2020-04-15,16.74
2020-04-16,16.74
2020-04-17,16.74
2020-04-18,16.74
2020-04-19,16.74
2020-04-20,16.74
2020-04-21,16.74
2020-04-22,16.36
2020-04-23,16.36
2020-04-24,16.36
2020-04-25,16.36
2020-04-26,16.36
2020-04-27,16.36
2020-04-28,16.36
2020-04-29,16.36
2020-04-30,15.505
2020-05-01,15.505
2020-05-02,15.505
2020-05-03,15.505
2020-05-04,15.505
2020-05-05,15.505
2020-05-06,15.505
2020-05-07,15.505
2020-05-08,15.505
2020-05-09,15.505
2020-05-10,15.505
2020-05-11,15.505
2020-05-12,15.505
2020-05-13,15.505
2020-05-14,15.505
2020-05-15,15.505
2020-05-16,15.505
2020-05-17,15.505
2020-05-18,15.505
2020-05-19,15.505
2020-05-20,15.505
2020-05-21,15.505
2020-05-22,15.505
2020-05-23,15.505
2020-05-24,15.505
2020-05-25,15.505
2020-05-26,15.505
2020-05-27,15.505
2020-05-28,15.505
2020-05-29,15.505
2020-05-30,15.505
2020-05-31,15.505
2020-06-01,15.505
2020-06-02,15.505
2020-06-03,15.505
2020-06-04,15.505
2020-06-05,15.505
2020-06-06,15.505
2020-06-07,15.505
2020-06-08,15.505
2020-06-09,15.505
2020-06-10,15.505
2020-06-11,15.505
2020-06-12,15.505
2020-06-13,15.505
2020-06-14,15.505
2020-06-15,15.505
2020-06-16,15.505
2020-06-17,15.505
2020-06-18,15.505
2020-06-19,15.505
2020-06-20,15.505
2020-06-21,15.505
2020-06-22,15.505
2020-06-23,15.505
2020-06-24,15.505
2020-06-25,15.505
2020-06-26,15.505
2020-06-27,15.505
2020-06-28,15.505
2020-06-29,15.505
2020-06-30,15.505
2020-07-01,15.505
2020-07-02,15.505
2020-07-03,15.505
2020-07-04,15.505
2020-07-05,15.505
2020-07-06,15.505
2020-07-07,15.505
2020-07-08,15.825
2020-07-09,15.825
2020-07-10,15.825
2020-07-11,15.825
2020-07-12,15.825
2020-07-13,15.825
2020-07-14,15.825
2020-07-15,15.825
2020-07-16,15.825
2020-07-17,15.825
2020-07-18,15.825
2020-07-19,15.825
2020-07-20,15.825
2020-07-21,15.825
2020-07-22,15.825
2020-07-23,15.825
2020-07-24,15.825
2020-07-25,15.825
2020-07-26,15.825
2020-07-27,15.825
2020-07-28,15.825
2020-07-29,15.825
2020-07-30,15.825
2020-07-31,15.74
2020-08-01,15.74
2020-08-02,15.74
2020-08-03,15.74
2020-08-04,15.74
2020-08-05,15.74
2020-08-06,15.74
2020-08-07,15.74
2020-08-08,15.74
2020-08-09,15.74
2020-08-10,15.74
2020-08-11,15.74
2020-08-12,15.74
2020-08-13,15.74
2020-08-14,15.74
2020-08-15,15.74
2020-08-16,15.74
2020-08-17,15.74
2020-08-18,15.74
2020-08-19,15.74
2020-08-20,15.74
2020-08-21,15.74
2020-08-22,15.74
2020-08-23,15.74
2020-08-24,15.74
2020-08-25,15.74
2020-08-26,15.74
2020-08-27,15.74
2020-08-28,15.74
2020-08-29,15.74
2020-08-30,15.74
2020-08-31,15.74
2020-09-01,15.74
2020-09-02,15.74
2020-09-03,15.74
2020-09-04,15.74
2020-09-05,15.74
2020-09-06,15.74
2020-09-07,15.74
2020-09-08,15.69
2020-09-09,15.69
2020-09-10,15.69
2020-09-11,15.69
2020-09-12,15.69
2020-09-13,15.69
2020-09-14,15.69
2020-09-15,15.69
2020-09-16,15.69
2020-09-17,15.69
2020-09-18,15.42
2020-09-19,15.42
2020-09-20,15.42
2020-09-21,15.42
2020-09-22,15.42
2020-09-23,15.42
2020-09-24,15.42
2020-09-25,15.42
2020-09-26,15.42
2020-09-27,15.42
2020-09-28,15.42
2020-09-29,15.42
2020-09-30,15.42
2020-10-01,15.42
2020-10-02,15.42
2020-10-03,15.42
2020-10-04,15.42
2020-10-05,15.42
2020-10-06,15.42
2020-10-07,15.42
2020-10-08,15.42
2020-10-09,15.42
2020-10-10,15.42
2020-10-11,15.42
2020-10-12,15.42
2020-10-13,15.42
2020-10-14,15.42
2020-10-15,15.42
2020-10-16,15.42
2020-10-17,15.42
2020-10-18,15.42
2020-10-19,15.42
2020-10-20,15.42
2020-10-21,15.42
2020-10-22,15.42
2020-10-23,15.42
2020-10-24,15.42
2020-10-25,15.42
2020-10-26,15.42
2020-10-27,15.42
2020-10-28,15.42
2020-10-29,15.18
2020-10-30,15.18
2020-10-31,15.18
2020-11-01,15.18
2020-11-02,15.18
2020-11-03,15.18
2020-11-04,15.18
2020-11-05,15.18
2020-11-06,15.18
2020-11-07,15.18
2020-11-08,15.18
2020-11-09,15.18
2020-11-10,15.58
2020-11-11,15.98
2020-11-12,15.98
2020-11-13,15.98
2020-11-14,15.98
2020-11-15,15.98
2020-11-16,15.98
2020-11-17,15.98
2020-11-18,15.98
2020-11-19,16.28
2020-11-20,16.28
2020-11-21,16.28
2020-11-22,16.28
2020-11-23,16.28
2020-11-24,16.28
2020-11-25,16.28
2020-11-26,16.28
2020-11-27,16.28
2020-11-28,16.28
2020-11-29,16.28
2020-11-30,15.93
2020-12-01,15.93
2020-12-02,15.93
2020-12-03,15.93
2020-12-04,15.93
2020-12-05,15.93
2020-12-06,15.93
2020-12-07,15.93
2020-12-08,15.93
2020-12-09,15.93
2020-12-10,15.93
2020-12-11,15.93
2020-12-12,15.93
2020-12-13,15.93
2020-12-14,15.93
2020-12-15,15.93
2020-12-16,15.93
2020-12-17,15.93
2020-12-18,15.93
2020-12-19,15.93
2020-12-20,15.93
2020-12-21,15.93
2020-12-22,15.93
2020-12-23,15.93
2020-12-24,15.93
2020-12-25,15.93
2020-12-26,15.93
2020-12-27,15.93
2020-12-28,15.93
2020-12-29,15.93
2020-12-30,15.93
2020-12-31,15.93
2021-01-01,15.93
2021-01-02,15.93
2021-01-03,15.93
2021-01-04,15.93
2021-01-05,15.93
2021-01-06,15.93
2021-01-07,15.78
2021-01-08,15.78
2021-01-09,15.78
2021-01-10,15.78
2021-01-11,15.78
2021-01-12,15.78
2021-01-13,15.78
2021-01-14,15.78
2021-01-15,15.78
2021-01-16,15.78
2021-01-17,15.78
2021-01-18,15.78
2021-01-19,15.78
2021-01-20,15.78
2021-01-21,15.78
2021-01-22,15.78
2021-01-23,15.78
2021-01-24,15.78
2021-01-25,15.78
2021-01-26,15.6
2021-01-27,15.6
2021-01-28,15.6
2021-01-29,15.235
2021-01-30,15.235
2021-01-31,15.235
2021-02-01,15.198
2021-02-02,15.198
2021-02-03,15.198
2021-02-04,15.198
2021-02-05,15.198
2021-02-06,15.198
2021-02-07,15.198
2021-02-08,15.198
2021-02-09,15.198
2021-02-10,15.198
2021-02-11,15.198
2021-02-12,15.198
2021-02-13,15.198
2021-02-14,15.198
2021-02-15,15.198
2021-02-16,15.198
2021-02-17,15.198
2021-02-18,15.198
2021-02-19,15.198
2021-02-20,15.198
2021-02-21,15.198
2021-02-22,15.198
2021-02-23,15.198
2021-02-24,15.198
2021-02-25,14.937
2021-02-26,14.937
2021-02-27,14.937
2021-02-28,14.937
2021-03-01,14.937
2021-03-02,14.937
2021-03-03,14.937
2021-03-04,14.937
2021-03-05,14.937
2021-03-06,14.937
2021-03-07,14.937
2021-03-08,14.937
2021-03-09,14.937
2021-03-10,14.937
2021-03-11,14.937
2021-03-12,14.937
2021-03-13,14.937
2021-03-14,14.937
2021-03-15,14.937
2021-03-16,14.937
2021-03-17,14.937
2021-03-18,14.948
2021-03-19,14.948
2021-03-20,14.948
2021-03-21,14.948
2021-03-22,14.948
2021-03-23,14.948
