,ZTS US Equity
,BEST_EPS
2020-01-01,5.963
2020-01-02,5.963
2020-01-03,5.963
2020-01-04,5.963
2020-01-05,5.963
2020-01-06,5.963
2020-01-07,5.963
2020-01-08,5.963
2020-01-09,5.894
2020-01-10,5.894
2020-01-11,5.894
2020-01-12,5.894
2020-01-13,5.894
2020-01-14,5.894
2020-01-15,5.894
2020-01-16,5.894
2020-01-17,5.894
2020-01-18,5.894
2020-01-19,5.894
2020-01-20,5.894
2020-01-21,5.894
2020-01-22,5.894
2020-01-23,5.894
2020-01-24,5.894
2020-01-25,5.894
2020-01-26,5.894
2020-01-27,5.894
2020-01-28,5.894
2020-01-29,5.894
2020-01-30,5.894
2020-01-31,5.894
2020-02-01,5.894
2020-02-02,5.894
2020-02-03,5.894
2020-02-04,5.894
2020-02-05,5.894
2020-02-06,5.894
2020-02-07,5.894
2020-02-08,5.894
2020-02-09,5.894
2020-02-10,5.894
2020-02-11,5.894
2020-02-12,5.894
2020-02-13,5.963
2020-02-14,5.972
2020-02-15,5.972
2020-02-16,5.972
2020-02-17,5.972
2020-02-18,5.972
2020-02-19,5.972
2020-02-20,5.972
2020-02-21,5.972
2020-02-22,5.972
2020-02-23,5.972
2020-02-24,5.972
2020-02-25,5.972
2020-02-26,5.972
2020-02-27,5.99
2020-02-28,5.99
2020-02-29,5.99
2020-03-01,5.99
2020-03-02,5.99
2020-03-03,5.99
2020-03-04,5.99
2020-03-05,5.99
2020-03-06,5.99
2020-03-07,5.99
2020-03-08,5.99
2020-03-09,5.99
2020-03-10,5.99
2020-03-11,5.99
2020-03-12,5.99
2020-03-13,5.99
2020-03-14,5.99
2020-03-15,5.99
2020-03-16,5.99
2020-03-17,5.99
2020-03-18,5.99
2020-03-19,5.99
2020-03-20,5.99
2020-03-21,5.99
2020-03-22,5.99
2020-03-23,5.9
2020-03-24,5.9
2020-03-25,5.9
2020-03-26,5.9
2020-03-27,5.9
2020-03-28,5.9
2020-03-29,5.9
2020-03-30,5.9
2020-03-31,5.9
2020-04-01,5.9
2020-04-02,5.9
2020-04-03,5.9
2020-04-04,5.9
2020-04-05,5.9
2020-04-06,5.9
2020-04-07,5.9
2020-04-08,5.9
2020-04-09,5.9
2020-04-10,5.9
2020-04-11,5.9
2020-04-12,5.9
2020-04-13,5.9
2020-04-14,5.9
2020-04-15,5.9
2020-04-16,5.9
2020-04-17,5.9
2020-04-18,5.9
2020-04-19,5.9
2020-04-20,5.9
2020-04-21,5.9
2020-04-22,5.765
2020-04-23,5.765
2020-04-24,5.765
2020-04-25,5.765
2020-04-26,5.765
2020-04-27,5.765
2020-04-28,5.765
2020-04-29,5.765
2020-04-30,5.765
2020-05-01,5.765
2020-05-02,5.765
2020-05-03,5.765
2020-05-04,5.765
2020-05-05,5.765
2020-05-06,5.615
2020-05-07,5.594
2020-05-08,5.594
2020-05-09,5.594
2020-05-10,5.594
2020-05-11,5.594
2020-05-12,5.594
2020-05-13,5.511
2020-05-14,5.511
2020-05-15,5.511
2020-05-16,5.511
2020-05-17,5.511
2020-05-18,5.511
2020-05-19,5.418
2020-05-20,5.418
2020-05-21,5.418
2020-05-22,5.418
2020-05-23,5.418
2020-05-24,5.418
2020-05-25,5.418
2020-05-26,5.418
2020-05-27,5.381
2020-05-28,5.381
2020-05-29,5.381
2020-05-30,5.381
2020-05-31,5.381
2020-06-01,5.381
2020-06-02,5.381
2020-06-03,5.381
2020-06-04,5.381
2020-06-05,5.381
2020-06-06,5.381
2020-06-07,5.381
2020-06-08,5.381
2020-06-09,5.381
2020-06-10,5.381
2020-06-11,5.381
2020-06-12,5.381
2020-06-13,5.381
2020-06-14,5.381
2020-06-15,5.381
2020-06-16,5.381
2020-06-17,5.381
2020-06-18,5.381
2020-06-19,5.381
2020-06-20,5.381
2020-06-21,5.381
2020-06-22,5.381
2020-06-23,5.381
2020-06-24,5.381
2020-06-25,5.381
2020-06-26,5.381
2020-06-27,5.381
2020-06-28,5.381
2020-06-29,5.381
2020-06-30,5.381
2020-07-01,5.381
2020-07-02,5.381
2020-07-03,5.381
2020-07-04,5.381
2020-07-05,5.381
2020-07-06,5.381
2020-07-07,5.381
2020-07-08,5.381
2020-07-09,5.381
2020-07-10,5.381
2020-07-11,5.381
2020-07-12,5.381
2020-07-13,5.381
2020-07-14,5.381
2020-07-15,5.381
2020-07-16,5.381
2020-07-17,5.381
2020-07-18,5.381
2020-07-19,5.381
2020-07-20,5.381
2020-07-21,5.381
2020-07-22,5.381
2020-07-23,5.381
2020-07-24,5.381
2020-07-25,5.381
2020-07-26,5.381
2020-07-27,5.381
2020-07-28,5.381
2020-07-29,5.381
2020-07-30,5.379
2020-07-31,5.379
2020-08-01,5.379
2020-08-02,5.379
2020-08-03,5.379
