,ADP US Equity
,BEST_EPS
2020-01-01,9.5
2020-01-02,9.5
2020-01-03,9.5
2020-01-04,9.5
2020-01-05,9.5
2020-01-06,9.5
2020-01-07,9.3
2020-01-08,9.3
2020-01-09,9.3
2020-01-10,9.3
2020-01-11,9.3
2020-01-12,9.3
2020-01-13,9.3
2020-01-14,9.3
2020-01-15,9.3
2020-01-16,9.3
2020-01-17,9.3
2020-01-18,9.3
2020-01-19,9.3
2020-01-20,9.3
2020-01-21,9.3
2020-01-22,9.3
2020-01-23,9.3
2020-01-24,9.3
2020-01-25,9.3
2020-01-26,9.3
2020-01-27,9.3
2020-01-28,9.3
2020-01-29,9.3
2020-01-30,9.12
2020-01-31,9.12
2020-02-01,9.12
2020-02-02,9.12
2020-02-03,9.12
2020-02-04,9.12
2020-02-05,9.12
2020-02-06,9.12
2020-02-07,9.12
2020-02-08,9.12
2020-02-09,9.12
2020-02-10,9.12
2020-02-11,9.12
2020-02-12,9.12
2020-02-13,9.12
2020-02-14,9.12
2020-02-15,9.12
2020-02-16,9.12
2020-02-17,9.12
2020-02-18,9.12
2020-02-19,9.12
2020-02-20,9.12
2020-02-21,9.12
2020-02-22,9.12
2020-02-23,9.12
2020-02-24,9.12
2020-02-25,9.12
2020-02-26,9.12
2020-02-27,9.12
2020-02-28,9.12
2020-02-29,9.12
2020-03-01,9.12
2020-03-02,9.12
2020-03-03,9.12
2020-03-04,9.12
2020-03-05,9.12
2020-03-06,9.12
2020-03-07,9.12
2020-03-08,9.12
2020-03-09,9.12
2020-03-10,9.12
2020-03-11,9.12
2020-03-12,9.12
2020-03-13,9.12
2020-03-14,9.12
2020-03-15,9.12
2020-03-16,9.12
2020-03-17,9.12
2020-03-18,9.12
2020-03-19,9.12
2020-03-20,9.12
2020-03-21,9.12
2020-03-22,9.12
2020-03-23,9.12
2020-03-24,9.12
2020-03-25,9.12
2020-03-26,9.12
2020-03-27,9.12
2020-03-28,9.12
2020-03-29,9.12
2020-03-30,9.12
2020-03-31,9.12
2020-04-01,9.12
2020-04-02,9.12
2020-04-03,9.12
2020-04-04,9.12
2020-04-05,9.12
2020-04-06,9.12
2020-04-07,9.12
2020-04-08,9.12
2020-04-09,9.12
2020-04-10,9.12
2020-04-11,9.12
2020-04-12,9.12
2020-04-13,9.12
2020-04-14,9.12
2020-04-15,9.12
2020-04-16,9.12
2020-04-17,9.12
2020-04-18,9.12
2020-04-19,9.12
2020-04-20,9.12
2020-04-21,9.12
2020-04-22,9.12
2020-04-23,9.12
2020-04-24,9.12
2020-04-25,9.12
2020-04-26,9.12
2020-04-27,8.03
2020-04-28,8.03
2020-04-29,8.03
2020-04-30,7.645
2020-05-01,7.325
2020-05-02,7.325
2020-05-03,7.325
2020-05-04,7.325
2020-05-05,7.325
2020-05-06,7.325
2020-05-07,7.325
2020-05-08,7.325
2020-05-09,7.325
2020-05-10,7.325
2020-05-11,7.325
2020-05-12,7.325
2020-05-13,7.325
2020-05-14,7.325
2020-05-15,7.325
2020-05-16,7.325
2020-05-17,7.325
2020-05-18,7.325
2020-05-19,7.325
2020-05-20,7.325
2020-05-21,7.325
2020-05-22,7.325
2020-05-23,7.325
2020-05-24,7.325
2020-05-25,7.325
2020-05-26,7.325
2020-05-27,7.325
2020-05-28,7.325
2020-05-29,7.325
2020-05-30,7.325
2020-05-31,7.325
2020-06-01,7.325
2020-06-02,7.325
2020-06-03,7.325
2020-06-04,7.325
2020-06-05,7.325
2020-06-06,7.325
2020-06-07,7.325
2020-06-08,7.325
2020-06-09,7.325
2020-06-10,7.325
2020-06-11,7.325
2020-06-12,7.325
2020-06-13,7.325
2020-06-14,7.325
2020-06-15,7.325
2020-06-16,7.325
2020-06-17,7.325
2020-06-18,7.325
2020-06-19,7.325
2020-06-20,7.325
2020-06-21,7.325
2020-06-22,7.325
2020-06-23,7.325
2020-06-24,7.325
2020-06-25,7.325
2020-06-26,7.325
2020-06-27,7.325
2020-06-28,7.325
2020-06-29,7.325
2020-06-30,7.325
