,AC PM Equity,AC PM Equity,AC PM Equity,AC PM Equity,AC PM Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,212.0343,213.8012,212.0343,213.8012,198288.0
2010-01-02,212.0343,213.8012,212.0343,213.8012,198288.0
2010-01-03,212.0343,213.8012,212.0343,213.8012,198288.0
2010-01-04,213.8012,213.8012,212.0343,212.0343,836940.0
2010-01-05,215.2362,218.7938,213.4574,213.4574,729180.0
2010-01-06,213.4574,213.4574,213.4574,213.4574,535476.0
2010-01-07,213.4574,213.4574,211.6786,211.6786,268968.0
2010-01-08,211.6786,213.4574,211.6786,211.6786,353256.0
2010-01-09,211.6786,213.4574,211.6786,211.6786,353256.0
2010-01-10,211.6786,213.4574,211.6786,211.6786,353256.0
2010-01-11,213.4574,215.2362,211.6786,213.4574,987492.0
2010-01-12,213.4574,213.4574,211.6786,213.4574,439104.0
2010-01-13,213.4574,217.015,213.4574,215.2362,419868.0
2010-01-14,213.4574,215.2362,213.4574,215.2362,321840.0
2010-01-15,213.4574,215.2362,213.4574,213.4574,156720.0
2010-01-16,213.4574,215.2362,213.4574,213.4574,156720.0
2010-01-17,213.4574,215.2362,213.4574,213.4574,156720.0
2010-01-18,211.6786,213.4574,211.6786,213.4574,664692.0
2010-01-19,213.4574,213.4574,211.6786,213.4574,218028.0
2010-01-20,211.6786,213.4574,211.6786,213.4574,968004.0
2010-01-21,211.6786,213.4574,211.6786,211.6786,734784.0
2010-01-22,209.8997,209.8997,204.5633,204.5633,476280.0
2010-01-23,209.8997,209.8997,204.5633,204.5633,476280.0
2010-01-24,209.8997,209.8997,204.5633,204.5633,476280.0
2010-01-25,202.7845,204.5633,201.0057,201.0057,297816.0
2010-01-26,202.7845,204.5633,202.7845,204.5633,476112.0
2010-01-27,206.3421,206.3421,202.7845,206.3421,106980.0
2010-01-28,208.1209,209.8997,206.3421,209.8997,324612.0
2010-01-29,206.3421,206.3421,204.5633,206.3421,443316.0
2010-01-30,206.3421,206.3421,204.5633,206.3421,443316.0
2010-01-31,206.3421,206.3421,204.5633,206.3421,443316.0
2010-02-01,206.3421,206.3421,195.6693,197.4481,607104.0
2010-02-02,199.2269,201.0057,193.8904,193.8904,253500.0
2010-02-03,193.8904,199.2269,193.8904,197.4481,157248.0
2010-02-04,197.4481,201.0057,197.4481,197.4481,187560.0
2010-02-05,192.1116,192.1116,184.9964,186.7752,722580.0
2010-02-06,192.1116,192.1116,184.9964,186.7752,722580.0
2010-02-07,192.1116,192.1116,184.9964,186.7752,722580.0
2010-02-08,186.7752,188.554,183.2176,188.554,653604.0
2010-02-09,184.9964,188.554,184.9964,184.9964,864600.0
2010-02-10,192.1116,192.1116,188.554,190.3328,1147284.0
2010-02-11,188.554,197.4481,188.554,195.6693,584148.0
2010-02-12,197.4481,201.0057,197.4481,197.4481,268608.0
2010-02-13,197.4481,201.0057,197.4481,197.4481,268608.0
2010-02-14,197.4481,201.0057,197.4481,197.4481,268608.0
2010-02-15,197.4481,199.2269,195.6693,195.6693,155976.0
2010-02-16,195.6693,197.4481,193.8904,197.4481,120972.0
2010-02-17,199.2269,206.3421,199.2269,204.5633,779340.0
2010-02-18,206.3421,209.8997,204.5633,209.8997,476076.0
2010-02-19,208.1209,208.1209,206.3421,208.1209,496296.0
2010-02-20,208.1209,208.1209,206.3421,208.1209,496296.0
2010-02-21,208.1209,208.1209,206.3421,208.1209,496296.0
2010-02-22,208.1209,209.8997,206.3421,209.8997,217212.0
2010-02-23,208.1209,208.1209,206.3421,206.3421,737112.0
2010-02-24,206.3421,208.1209,204.5633,204.5633,757548.0
2010-02-25,204.5633,209.8997,204.5633,209.8997,160680.0
2010-02-26,208.1209,208.1209,206.3421,208.1209,252396.0
2010-02-27,208.1209,208.1209,206.3421,208.1209,252396.0
2010-02-28,208.1209,208.1209,206.3421,208.1209,252396.0
2010-03-01,208.1209,213.4574,208.1209,209.8997,353916.0
2010-03-02,209.8997,215.2362,209.8997,211.6786,520152.0
2010-03-03,211.6786,211.6786,209.8997,209.8997,126636.0
2010-03-04,209.8997,211.6786,208.1209,208.1209,310524.0
2010-03-05,208.1209,209.8997,206.3421,208.1209,120324.0
2010-03-06,208.1209,209.8997,206.3421,208.1209,120324.0
2010-03-07,208.1209,209.8997,206.3421,208.1209,120324.0
2010-03-08,215.2362,215.2362,211.6786,213.4574,321456.0
2010-03-09,211.6786,211.6786,211.6786,211.6786,254964.0
2010-03-10,213.4574,213.4574,211.6786,213.4574,184788.0
2010-03-11,213.4574,215.2362,213.4574,215.2362,357408.0
2010-03-12,215.2362,215.2362,213.4574,213.4574,249744.0
2010-03-13,215.2362,215.2362,213.4574,213.4574,249744.0
2010-03-14,215.2362,215.2362,213.4574,213.4574,249744.0
2010-03-15,215.2362,215.2362,213.4574,213.4574,292392.0
2010-03-16,211.6786,213.4574,209.8997,211.6786,818436.0
2010-03-17,211.6786,211.6786,208.1209,208.1209,626136.0
2010-03-18,209.8997,209.8997,208.1209,209.8997,762012.0
2010-03-19,209.8997,211.6786,209.8997,211.6786,79584.0
2010-03-20,209.8997,211.6786,209.8997,211.6786,79584.0
2010-03-21,209.8997,211.6786,209.8997,211.6786,79584.0
2010-03-22,213.4574,213.4574,209.8997,209.8997,159516.0
2010-03-23,209.8997,213.4574,209.8997,211.6786,126384.0
2010-03-24,211.6786,218.7938,211.6786,217.015,339648.0
2010-03-25,217.015,227.6879,217.015,225.9091,1073808.0
2010-03-26,229.4667,233.0243,227.6879,229.4667,1072440.0
2010-03-27,229.4667,233.0243,227.6879,229.4667,1072440.0
2010-03-28,229.4667,233.0243,227.6879,229.4667,1072440.0
2010-03-29,229.4667,231.2455,225.9091,229.4667,552756.0
