,GLO PM Equity,GLO PM Equity,GLO PM Equity,GLO PM Equity,GLO PM Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,435.363,435.363,428.341,428.341,34229.0
2010-01-02,435.363,435.363,428.341,428.341,34229.0
2010-01-03,435.363,435.363,428.341,428.341,34229.0
2010-01-04,428.341,430.682,428.341,430.682,120748.0
2010-01-05,430.682,437.704,430.682,437.704,81010.0
2010-01-06,440.044,449.407,440.044,447.066,95533.0
2010-01-07,447.066,449.407,444.726,447.066,18842.0
2010-01-08,449.407,449.407,444.726,444.726,14838.0
2010-01-09,449.407,449.407,444.726,444.726,14838.0
2010-01-10,449.407,449.407,444.726,444.726,14838.0
2010-01-11,444.726,444.726,442.385,444.726,28518.0
2010-01-12,444.726,444.726,440.044,440.044,8039.0
2010-01-13,437.704,444.726,437.704,440.044,20590.0
2010-01-14,442.385,444.726,440.044,442.385,46334.0
2010-01-15,442.385,447.066,442.385,444.726,57676.0
2010-01-16,442.385,447.066,442.385,444.726,57676.0
2010-01-17,442.385,447.066,442.385,444.726,57676.0
2010-01-18,444.726,444.726,440.044,442.385,107861.0
2010-01-19,444.726,447.066,442.385,444.726,45653.0
2010-01-20,444.726,449.407,444.726,447.066,110534.0
2010-01-21,444.726,447.066,442.385,444.726,30642.0
2010-01-22,440.044,444.726,440.044,442.385,58062.0
2010-01-23,440.044,444.726,440.044,442.385,58062.0
2010-01-24,440.044,444.726,440.044,442.385,58062.0
2010-01-25,440.044,440.044,430.682,437.704,29605.0
2010-01-26,437.704,442.385,437.704,442.385,48031.0
2010-01-27,440.044,444.726,437.704,440.044,34331.0
2010-01-28,440.044,440.044,433.022,433.022,28436.0
2010-01-29,430.682,430.682,428.341,428.341,50074.0
2010-01-30,430.682,430.682,428.341,428.341,50074.0
2010-01-31,430.682,430.682,428.341,428.341,50074.0
2010-02-01,428.341,433.022,428.341,430.682,97393.0
2010-02-02,430.682,430.682,428.341,430.682,24747.0
2010-02-03,430.682,435.363,430.682,435.363,16251.0
2010-02-04,435.363,437.704,435.363,437.704,8933.0
2010-02-05,430.682,442.385,430.682,442.385,128787.0
2010-02-06,430.682,442.385,430.682,442.385,128787.0
2010-02-07,430.682,442.385,430.682,442.385,128787.0
2010-02-08,444.726,451.748,444.726,451.748,100086.0
2010-02-09,447.066,449.407,442.385,444.726,189176.0
2010-02-10,449.407,451.748,447.066,451.748,230723.0
2010-02-11,451.748,461.11,451.748,461.11,99690.0
2010-02-12,461.11,477.495,461.11,468.132,189349.0
2010-02-13,461.11,477.495,461.11,468.132,189349.0
2010-02-14,461.11,477.495,461.11,468.132,189349.0
2010-02-15,465.792,468.132,463.451,465.792,152457.0
2010-02-16,460.914,460.914,458.476,460.914,35022.0
2010-02-17,460.914,477.985,460.914,470.669,287993.0
2010-02-18,470.669,470.669,465.792,465.792,117811.0
2010-02-19,465.792,465.792,460.914,460.914,98786.0
2010-02-20,465.792,465.792,460.914,460.914,98786.0
2010-02-21,465.792,465.792,460.914,460.914,98786.0
2010-02-22,460.914,470.669,460.914,468.23,84893.0
2010-02-23,468.23,468.23,463.353,468.23,113908.0
2010-02-24,463.353,465.792,460.914,465.792,16068.0
2010-02-25,465.792,473.108,465.792,473.108,52472.0
2010-02-26,473.108,473.108,468.23,473.108,20601.0
2010-02-27,473.108,473.108,468.23,473.108,20601.0
2010-02-28,473.108,473.108,468.23,473.108,20601.0
2010-03-01,473.108,475.546,473.108,475.546,54688.0
2010-03-02,475.546,477.985,475.546,477.985,44962.0
2010-03-03,475.546,475.546,470.669,475.546,16546.0
2010-03-04,475.546,475.546,470.669,473.108,25184.0
2010-03-05,473.108,473.108,468.23,470.669,55684.0
2010-03-06,473.108,473.108,468.23,470.669,55684.0
2010-03-07,473.108,473.108,468.23,470.669,55684.0
2010-03-08,470.669,470.669,468.23,470.669,25946.0
2010-03-09,473.108,475.546,473.108,475.546,20174.0
2010-03-10,475.546,477.985,475.546,477.985,32004.0
2010-03-11,477.985,477.985,475.546,475.546,49352.0
2010-03-12,473.108,475.546,465.792,470.669,39443.0
2010-03-13,473.108,475.546,465.792,470.669,39443.0
2010-03-14,473.108,475.546,465.792,470.669,39443.0
2010-03-15,470.669,475.546,470.669,475.546,40236.0
2010-03-16,470.669,475.546,470.669,475.546,3760.0
2010-03-17,470.669,477.985,470.669,475.546,46913.0
2010-03-18,475.546,477.985,475.546,477.985,62198.0
2010-03-19,477.985,482.863,475.546,482.863,148778.0
2010-03-20,477.985,482.863,475.546,482.863,148778.0
2010-03-21,477.985,482.863,475.546,482.863,148778.0
2010-03-22,482.863,482.863,482.863,482.863,25438.0
2010-03-23,482.863,485.301,482.863,485.301,49515.0
2010-03-24,482.863,482.863,473.108,475.546,18944.0
2010-03-25,473.108,482.863,473.108,480.424,34158.0
2010-03-26,480.424,480.424,475.546,477.985,29961.0
2010-03-27,480.424,480.424,475.546,477.985,29961.0
2010-03-28,480.424,480.424,475.546,477.985,29961.0
2010-03-29,475.546,482.863,475.546,482.863,33864.0
2010-03-30,480.424,485.301,480.424,485.301,14991.0
2010-03-31,482.863,487.74,482.863,487.74,144337.0
2010-04-01,482.863,487.74,482.863,487.74,144337.0
