,MER PM Equity,MER PM Equity,MER PM Equity,MER PM Equity,MER PM Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,100.265,105.863,100.265,104.337,240180.0
2010-01-02,100.265,105.863,100.265,104.337,240180.0
2010-01-03,100.265,105.863,100.265,104.337,240180.0
2010-01-04,104.845,105.863,101.792,101.792,127740.0
2010-01-05,102.301,105.354,101.792,104.845,394990.0
2010-01-06,104.845,107.899,104.337,104.337,260420.0
2010-01-07,104.337,106.372,104.337,105.863,135970.0
2010-01-08,105.354,105.354,103.319,103.828,73400.0
2010-01-09,105.354,105.354,103.319,103.828,73400.0
2010-01-10,105.354,105.354,103.319,103.828,73400.0
2010-01-11,102.81,104.337,102.81,104.337,87150.0
2010-01-12,104.337,105.354,102.81,102.81,151580.0
2010-01-13,103.319,103.319,100.774,100.774,143870.0
2010-01-14,100.774,101.792,100.774,100.774,53700.0
2010-01-15,100.774,101.283,99.756,100.265,147630.0
2010-01-16,100.774,101.283,99.756,100.265,147630.0
2010-01-17,100.774,101.283,99.756,100.265,147630.0
2010-01-18,100.265,101.283,98.229,98.229,172610.0
2010-01-19,98.229,98.229,97.211,97.72,129180.0
2010-01-20,97.72,99.247,96.702,98.229,147310.0
2010-01-21,96.702,97.72,96.702,97.72,97350.0
2010-01-22,97.211,97.211,89.577,89.577,553440.0
2010-01-23,97.211,97.211,89.577,89.577,553440.0
2010-01-24,97.211,97.211,89.577,89.577,553440.0
2010-01-25,90.595,90.595,84.487,86.014,582460.0
2010-01-26,87.032,88.559,84.487,84.487,271540.0
2010-01-27,84.487,86.014,82.96,83.978,269130.0
2010-01-28,84.487,84.996,80.415,83.469,383380.0
2010-01-29,83.469,83.469,80.924,82.451,333170.0
2010-01-30,83.469,83.469,80.924,82.451,333170.0
2010-01-31,83.469,83.469,80.924,82.451,333170.0
2010-02-01,80.924,81.942,73.799,77.362,488610.0
2010-02-02,78.889,80.415,75.326,78.38,408740.0
2010-02-03,78.38,80.924,78.38,80.924,232830.0
2010-02-04,80.924,87.541,80.924,85.505,373940.0
2010-02-05,82.96,82.96,79.398,81.433,414030.0
2010-02-06,82.96,82.96,79.398,81.433,414030.0
2010-02-07,82.96,82.96,79.398,81.433,414030.0
2010-02-08,83.978,84.487,81.433,82.96,335680.0
2010-02-09,82.96,82.96,78.889,79.907,242810.0
2010-02-10,81.433,83.469,81.433,83.469,191520.0
2010-02-11,83.469,87.032,82.96,86.523,171500.0
2010-02-12,88.559,89.068,87.032,87.541,171680.0
2010-02-13,88.559,89.068,87.032,87.541,171680.0
2010-02-14,88.559,89.068,87.032,87.541,171680.0
2010-02-15,88.05,88.05,85.505,86.523,135410.0
2010-02-16,86.014,88.559,85.505,85.505,39600.0
2010-02-17,84.996,87.032,83.469,86.523,296210.0
2010-02-18,86.523,86.523,84.487,85.505,104910.0
2010-02-19,84.487,84.996,82.451,82.451,187990.0
2010-02-20,84.487,84.996,82.451,82.451,187990.0
2010-02-21,84.487,84.996,82.451,82.451,187990.0
2010-02-22,82.96,83.469,82.96,82.96,143670.0
2010-02-23,83.469,86.014,83.469,84.487,329320.0
2010-02-24,83.978,88.05,83.978,86.523,357950.0
2010-02-25,88.559,90.595,87.541,90.086,353020.0
2010-02-26,90.595,92.63,90.595,91.613,499940.0
2010-02-27,90.595,92.63,90.595,91.613,499940.0
2010-02-28,90.595,92.63,90.595,91.613,499940.0
2010-03-01,91.613,93.648,91.613,92.63,287570.0
2010-03-02,92.63,94.157,90.086,90.086,232400.0
2010-03-03,90.595,90.595,89.577,90.086,124100.0
2010-03-04,90.595,90.595,86.523,86.523,218070.0
2010-03-05,87.032,90.595,87.032,90.595,179530.0
2010-03-06,87.032,90.595,87.032,90.595,179530.0
2010-03-07,87.032,90.595,87.032,90.595,179530.0
2010-03-08,92.122,93.648,91.613,93.648,217500.0
2010-03-09,93.648,93.648,92.122,92.63,191620.0
2010-03-10,93.139,93.648,92.122,93.139,179580.0
2010-03-11,92.63,92.63,92.122,92.63,76880.0
2010-03-12,91.613,91.613,88.05,88.05,117320.0
2010-03-13,91.613,91.613,88.05,88.05,117320.0
2010-03-14,91.613,91.613,88.05,88.05,117320.0
2010-03-15,89.577,90.595,89.068,89.068,73580.0
2010-03-16,89.068,91.613,89.068,91.613,70870.0
2010-03-17,91.613,91.613,89.577,90.595,391340.0
2010-03-18,91.104,93.139,90.086,93.139,115430.0
2010-03-19,93.139,94.666,92.122,94.157,222070.0
2010-03-20,93.139,94.666,92.122,94.157,222070.0
2010-03-21,93.139,94.666,92.122,94.157,222070.0
2010-03-22,91.613,91.613,90.595,90.595,54530.0
2010-03-23,91.613,93.139,91.613,92.63,188050.0
2010-03-24,93.648,94.157,92.122,92.122,170070.0
2010-03-25,92.122,94.666,92.122,94.666,268990.0
2010-03-26,95.684,95.684,93.139,94.157,117620.0
2010-03-27,95.684,95.684,93.139,94.157,117620.0
2010-03-28,95.684,95.684,93.139,94.157,117620.0
2010-03-29,93.648,93.648,91.613,91.613,292600.0
2010-03-30,92.63,94.157,92.122,92.63,125340.0
2010-03-31,92.63,92.63,89.577,89.577,508740.0
2010-04-01,92.63,92.63,89.577,89.577,508740.0
2010-04-02,92.63,92.63,89.577,89.577,508740.0
2010-04-03,92.63,92.63,89.577,89.577,508740.0
2010-04-04,92.63,92.63,89.577,89.577,508740.0
2010-04-05,91.613,92.63,90.595,91.613,53480.0
2010-04-06,91.613,94.666,91.613,93.139,278900.0
2010-04-07,93.139,94.157,92.63,93.139,173630.0
2010-04-08,92.63,92.63,91.613,91.613,116650.0
2010-04-09,92.63,92.63,91.613,91.613,116650.0
2010-04-10,92.63,92.63,91.613,91.613,116650.0
2010-04-11,92.63,92.63,91.613,91.613,116650.0
2010-04-12,92.122,92.122,90.595,91.104,183980.0
2010-04-13,91.104,91.104,89.577,90.086,300580.0
2010-04-14,90.086,90.595,89.068,89.577,283000.0
2010-04-15,89.577,90.595,89.068,89.068,244460.0
2010-04-16,90.182,90.7,89.146,90.182,97370.0
2010-04-17,90.182,90.7,89.146,90.182,97370.0
