,APL PA Equity
,RETURN_COM_EQY
2010-01-01,45.1394
2010-01-02,45.1394
2010-01-03,45.1394
2010-01-04,45.1394
2010-01-05,45.1394
2010-01-06,45.1394
2010-01-07,45.1394
2010-01-08,45.1394
2010-01-09,45.1394
2010-01-10,45.1394
2010-01-11,45.1394
2010-01-12,45.1394
2010-01-13,45.1394
2010-01-14,45.1394
2010-01-15,45.1394
2010-01-16,45.1394
2010-01-17,45.1394
2010-01-18,45.1394
2010-01-19,45.1394
2010-01-20,45.1394
2010-01-21,45.1394
2010-01-22,45.1394
2010-01-23,45.1394
2010-01-24,45.1394
2010-01-25,45.1394
2010-01-26,45.1394
2010-01-27,45.1394
2010-01-28,45.1394
2010-01-29,45.1394
2010-01-30,45.1394
2010-01-31,45.1394
2010-02-01,45.1394
2010-02-02,45.1394
2010-02-03,45.1394
2010-02-04,45.1394
2010-02-05,45.1394
2010-02-06,45.1394
2010-02-07,45.1394
2010-02-08,45.1394
2010-02-09,45.1394
2010-02-10,45.1394
2010-02-11,45.1394
2010-02-12,45.1394
2010-02-13,45.1394
2010-02-14,45.1394
2010-02-15,45.1394
2010-02-16,45.1394
2010-02-17,45.1394
2010-02-18,45.1394
2010-02-19,45.1394
2010-02-20,45.1394
2010-02-21,45.1394
2010-02-22,45.1394
2010-02-23,45.1394
2010-02-24,45.1394
2010-02-25,45.1394
2010-02-26,45.1394
2010-02-27,45.1394
2010-02-28,45.1394
2010-03-01,45.1394
2010-03-02,45.1394
2010-03-03,45.1394
2010-03-04,45.1394
2010-03-05,45.1394
2010-03-06,45.1394
2010-03-07,45.1394
2010-03-08,45.1394
2010-03-09,45.1394
2010-03-10,45.1394
2010-03-11,45.1394
2010-03-12,45.1394
2010-03-13,45.1394
2010-03-14,45.1394
2010-03-15,45.1394
2010-03-16,45.1394
2010-03-17,45.1394
2010-03-18,45.1394
2010-03-19,45.1394
2010-03-20,45.1394
2010-03-21,45.1394
2010-03-22,45.1394
2010-03-23,45.1394
2010-03-24,45.1394
2010-03-25,45.1394
2010-03-26,45.1394
2010-03-27,45.1394
2010-03-28,45.1394
2010-03-29,45.1394
2010-03-30,45.1394
2010-03-31,44.9517
2010-04-01,44.9517
2010-04-02,44.9517
2010-04-03,44.9517
2010-04-04,44.9517
2010-04-05,44.9517
2010-04-06,44.9517
2010-04-07,44.9517
2010-04-08,44.9517
2010-04-09,44.9517
2010-04-10,44.9517
2010-04-11,44.9517
2010-04-12,44.9517
