symbol,bb
ADI,ADI US Equity
ADP,ADP US Equity
BLK,BLK US Equity
BMY,BMY US Equity
CVX,CVX US Equity
ETN,ETN US Equity
PH,PH US Equity
SYY,SYY US Equity
LIN,LIN US Equity
ORCL,ORCL US Equity
SYK,SYK US Equity
TJX,TJX US Equity
GWW,GWW US Equity
LMT,LMT US Equity
CB,CB US Equity
ACN,ACN US Equity
BR,BR US Equity
RHI,RHI US Equity
RTN,RTN US Equity
JNJ,JNJ US Equity
HON,HON US Equity
AVGO,AVGO US Equity
MSFT,MSFT US Equity
CINF,CINF US Equity
AMP,AMP US Equity
LOW,LOW US Equity
SNA,SNA US Equity
ETN,ETN US Equity
ELV,ELV US Equity
