,SIM DC Equity,SIM DC Equity,SIM DC Equity,SIM DC Equity,SIM DC Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,74.837,74.837,74.455,74.455,39060.0
2010-01-02,74.837,74.837,74.455,74.455,39060.0
2010-01-03,74.837,74.837,74.455,74.455,39060.0
2010-01-04,74.073,75.372,73.692,75.219,213800.0
2010-01-05,74.684,76.441,74.684,74.913,228910.0
2010-01-06,74.99,75.601,74.532,75.601,16580.0
2010-01-07,74.073,76.212,74.073,75.219,113460.0
2010-01-08,74.837,75.448,73.844,74.684,184420.0
2010-01-09,74.837,75.448,73.844,74.684,184420.0
2010-01-10,74.837,75.448,73.844,74.684,184420.0
2010-01-11,74.226,77.281,74.226,76.364,281250.0
2010-01-12,76.364,76.364,74.684,75.982,48040.0
2010-01-13,75.601,75.601,74.684,75.295,109410.0
2010-01-14,75.142,75.601,74.608,75.448,61570.0
2010-01-15,75.906,75.906,75.066,75.601,90460.0
2010-01-16,75.906,75.906,75.066,75.601,90460.0
2010-01-17,75.906,75.906,75.066,75.601,90460.0
2010-01-18,75.142,75.601,74.302,74.608,78640.0
2010-01-19,75.219,75.601,74.532,75.601,120870.0
2010-01-20,75.601,75.982,74.99,75.448,128930.0
2010-01-21,75.753,76.364,75.601,76.288,103990.0
2010-01-22,74.532,75.753,74.302,74.302,161360.0
2010-01-23,74.532,75.753,74.302,74.302,161360.0
2010-01-24,74.532,75.753,74.302,74.302,161360.0
2010-01-25,73.768,75.295,73.768,74.455,56360.0
2010-01-26,73.768,74.684,73.31,74.532,61980.0
2010-01-27,73.844,75.066,73.844,74.837,25700.0
2010-01-28,74.837,75.448,74.15,74.15,16600.0
2010-01-29,74.837,74.837,73.157,73.539,71460.0
2010-01-30,74.837,74.837,73.157,73.539,71460.0
2010-01-31,74.837,74.837,73.157,73.539,71460.0
2010-02-01,74.455,76.135,73.615,76.059,52170.0
2010-02-02,75.982,76.059,74.684,75.524,22270.0
2010-02-03,75.83,75.906,74.837,75.142,21760.0
2010-02-04,75.448,75.448,73.768,73.921,14320.0
2010-02-05,73.997,74.073,72.775,74.073,74040.0
2010-02-06,73.997,74.073,72.775,74.073,74040.0
2010-02-07,73.997,74.073,72.775,74.073,74040.0
2010-02-08,72.928,73.386,70.713,72.088,105610.0
2010-02-09,71.095,71.401,68.728,70.484,41450.0
2010-02-10,70.713,71.706,69.873,70.713,94640.0
2010-02-11,71.019,71.019,67.582,67.964,104240.0
2010-02-12,68.728,69.186,68.422,68.728,128450.0
2010-02-13,68.728,69.186,68.422,68.728,128450.0
2010-02-14,68.728,69.186,68.422,68.728,128450.0
2010-02-15,68.728,68.728,68.193,68.651,115650.0
2010-02-16,68.728,68.728,68.27,68.346,32170.0
2010-02-17,68.346,68.728,68.346,68.575,62510.0
2010-02-18,68.728,68.728,67.659,67.659,34550.0
2010-02-19,68.957,68.957,65.75,66.513,83500.0
2010-02-20,68.957,68.957,65.75,66.513,83500.0
2010-02-21,68.957,68.957,65.75,66.513,83500.0
2010-02-22,66.055,66.819,65.902,65.902,82930.0
