,NOVOB DC Equity,NOVOB DC Equity,NOVOB DC Equity,NOVOB DC Equity,NOVOB DC Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,25.067,25.332,25.029,25.143,5474110.0
2010-01-02,25.067,25.332,25.029,25.143,5474110.0
2010-01-03,25.067,25.332,25.029,25.143,5474110.0
2010-01-04,25.218,25.824,25.18,25.824,7368020.0
2010-01-05,25.68,25.733,25.067,25.165,11085320.0
2010-01-06,25.294,25.673,25.218,25.514,9374330.0
2010-01-07,25.521,25.605,25.408,25.415,9021540.0
2010-01-08,25.506,25.809,25.218,25.748,8545940.0
2010-01-09,25.506,25.809,25.218,25.748,8545940.0
2010-01-10,25.506,25.809,25.218,25.748,8545940.0
2010-01-11,25.824,26.483,25.809,26.286,10202860.0
2010-01-12,26.294,26.294,25.961,26.112,6951510.0
2010-01-13,25.862,26.279,25.673,26.233,6230270.0
2010-01-14,26.4,26.574,26.142,26.544,6388190.0
2010-01-15,26.43,26.43,25.998,26.014,11010450.0
2010-01-16,26.43,26.43,25.998,26.014,11010450.0
2010-01-17,26.43,26.43,25.998,26.014,11010450.0
2010-01-18,26.097,26.279,25.93,26.029,4503330.0
2010-01-19,25.824,26.438,25.688,26.43,6806830.0
2010-01-20,26.703,26.99,26.589,26.597,12863860.0
2010-01-21,26.809,26.809,25.945,25.945,9439840.0
2010-01-22,25.885,26.165,25.771,25.854,9112810.0
2010-01-23,25.885,26.165,25.771,25.854,9112810.0
2010-01-24,25.885,26.165,25.771,25.854,9112810.0
2010-01-25,25.976,26.415,25.907,26.316,7478450.0
2010-01-26,27.869,28.142,27.149,27.248,45199940.0
2010-01-27,27.187,28.157,27.059,27.99,26043280.0
2010-01-28,28.391,28.475,27.861,27.96,12173000.0
2010-01-29,27.945,28.02,27.384,27.68,14751290.0
2010-01-30,27.945,28.02,27.384,27.68,14751290.0
2010-01-31,27.945,28.02,27.384,27.68,14751290.0
2010-02-01,27.43,28.376,27.422,28.376,13084060.0
2010-02-02,28.74,28.778,27.536,27.642,23718430.0
2010-02-03,27.839,28.823,27.717,28.823,32366590.0
2010-02-04,28.573,28.997,28.475,28.649,17310300.0
2010-02-05,28.513,28.626,28.195,28.604,20592540.0
2010-02-06,28.513,28.626,28.195,28.604,20592540.0
2010-02-07,28.513,28.626,28.195,28.604,20592540.0
2010-02-08,28.626,28.778,28.036,28.482,11276020.0
2010-02-09,28.399,28.626,28.157,28.422,14912370.0
2010-02-10,28.475,28.505,28.119,28.399,8471430.0
2010-02-11,28.551,28.763,28.467,28.755,11321450.0
2010-02-12,28.861,29.323,28.861,29.3,16913140.0
2010-02-13,28.861,29.323,28.861,29.3,16913140.0
2010-02-14,28.861,29.323,28.861,29.3,16913140.0
2010-02-15,29.391,29.823,29.353,29.641,10613760.0
2010-02-16,29.686,29.792,29.543,29.739,10143140.0
2010-02-17,29.838,29.899,29.633,29.762,9848450.0
2010-02-18,29.899,29.906,29.649,29.906,5702890.0
2010-02-19,29.899,30.027,29.717,29.959,7260180.0
2010-02-20,29.899,30.027,29.717,29.959,7260180.0
2010-02-21,29.899,30.027,29.717,29.959,7260180.0
2010-02-22,29.838,30.254,29.785,29.929,9470330.0
