,ROG SW Equity,ROG SW Equity,ROG SW Equity,ROG SW Equity,ROG SW Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,110.64,110.7,108.47,109.15,914764.0
2010-01-02,110.64,110.7,108.47,109.15,914764.0
2010-01-03,110.64,110.7,108.47,109.15,914764.0
2010-01-04,110.02,112.19,109.9,112.19,1868019.0
2010-01-05,112.32,112.32,109.83,110.7,1553689.0
2010-01-06,111.01,111.76,110.45,111.45,1485562.0
2010-01-07,111.08,111.2,109.71,110.52,1511340.0
2010-01-08,110.21,111.32,109.9,110.83,1499635.0
2010-01-09,110.21,111.32,109.9,110.83,1499635.0
2010-01-10,110.21,111.32,109.9,110.83,1499635.0
2010-01-11,111.63,112.13,110.95,110.95,1250218.0
2010-01-12,111.2,111.63,109.46,110.45,1446767.0
2010-01-13,109.96,111.94,109.96,111.08,1667419.0
2010-01-14,111.88,113.5,111.39,113.5,1923484.0
2010-01-15,113.25,115.05,113.25,114.49,2757567.0
2010-01-16,113.25,115.05,113.25,114.49,2757567.0
2010-01-17,113.25,115.05,113.25,114.49,2757567.0
2010-01-18,114.55,114.86,113.74,113.74,1178429.0
2010-01-19,113.68,115.17,112.38,115.17,1633769.0
2010-01-20,115.3,116.35,114.61,114.86,1989512.0
2010-01-21,115.36,116.23,114.8,115.48,1976861.0
2010-01-22,115.17,115.48,114.06,114.74,1962195.0
2010-01-23,115.17,115.48,114.06,114.74,1962195.0
2010-01-24,115.17,115.48,114.06,114.74,1962195.0
2010-01-25,114.24,114.24,112.25,112.69,1531443.0
2010-01-26,111.63,114.06,110.89,114.06,1739453.0
2010-01-27,113.25,113.74,112.81,113.56,1276050.0
2010-01-28,114.24,114.55,111.94,112.32,1447611.0
2010-01-29,112.57,112.63,109.96,110.83,2389616.0
2010-01-30,112.57,112.63,109.96,110.83,2389616.0
2010-01-31,112.57,112.63,109.96,110.83,2389616.0
2010-02-01,110.39,111.76,109.77,111.26,1355615.0
2010-02-02,111.57,112.88,111.14,112.13,2027360.0
2010-02-03,109.27,111.51,108.41,111.45,3756204.0
2010-02-04,110.58,110.89,108.96,108.96,1779111.0
2010-02-05,108.59,109.21,105.24,105.43,3365299.0
2010-02-06,108.59,109.21,105.24,105.43,3365299.0
2010-02-07,108.59,109.21,105.24,105.43,3365299.0
2010-02-08,105.43,109.71,104.99,109.4,2849122.0
2010-02-09,109.09,110.08,109.09,109.34,1698606.0
2010-02-10,109.58,109.83,108.22,108.65,1870935.0
2010-02-11,108.96,111.2,108.78,110.83,2117089.0
2010-02-12,111.14,112.07,110.08,110.7,1893507.0
2010-02-13,111.14,112.07,110.08,110.7,1893507.0
2010-02-14,111.14,112.07,110.08,110.7,1893507.0
2010-02-15,111.26,111.82,110.58,111.08,722877.0
2010-02-16,111.45,111.82,110.02,111.01,1217383.0
2010-02-17,111.45,112.57,111.2,112.5,1564354.0
2010-02-18,112.69,113.56,112.25,113.19,1445260.0
2010-02-19,111.82,114.37,111.82,114.24,8249260.0
2010-02-20,111.82,114.37,111.82,114.24,8249260.0
2010-02-21,111.82,114.37,111.82,114.24,8249260.0
2010-02-22,114.24,114.37,112.38,112.81,1531145.0
2010-02-23,111.14,112.25,110.83,111.14,2151660.0
2010-02-24,111.63,112.25,110.95,111.39,1387301.0
2010-02-25,111.76,112.13,109.71,110.45,1883363.0
2010-02-26,111.14,111.57,110.64,111.39,1853457.0
2010-02-27,111.14,111.57,110.64,111.39,1853457.0
2010-02-28,111.14,111.57,110.64,111.39,1853457.0
2010-03-01,112.57,113.0,112.13,113.0,1498491.0
2010-03-02,113.43,114.99,113.0,114.86,2098917.0
2010-03-03,114.37,115.42,114.37,115.3,1928902.0
2010-03-04,116.13,116.13,114.98,115.55,1821706.0
2010-03-05,115.36,116.2,114.66,115.87,1460513.0
2010-03-06,115.36,116.2,114.66,115.87,1460513.0
2010-03-07,115.36,116.2,114.66,115.87,1460513.0
2010-03-08,116.0,116.39,115.17,115.81,1352844.0
2010-03-09,116.32,116.97,115.87,115.87,1489682.0
2010-03-10,115.68,115.94,114.53,114.66,1467098.0
2010-03-11,114.78,115.1,114.46,114.72,1138572.0
2010-03-12,114.08,114.08,111.25,111.25,3544764.0
2010-03-13,114.08,114.08,111.25,111.25,3544764.0
2010-03-14,114.08,114.08,111.25,111.25,3544764.0
2010-03-15,111.58,111.96,111.45,111.9,1702239.0
2010-03-16,112.86,113.18,111.83,111.9,2387135.0
2010-03-17,112.28,112.41,111.38,111.38,2096213.0
2010-03-18,111.96,112.35,111.7,112.09,1505539.0
2010-03-19,112.35,113.56,112.09,112.92,4640228.0
2010-03-20,112.35,113.56,112.09,112.92,4640228.0
2010-03-21,112.35,113.56,112.09,112.92,4640228.0
2010-03-22,112.28,112.54,111.58,112.35,2063873.0
2010-03-23,112.47,112.79,111.58,111.64,1428281.0
2010-03-24,112.15,112.22,111.25,111.58,1666242.0
2010-03-25,111.64,112.02,111.0,111.06,1473830.0
2010-03-26,110.87,111.0,108.88,109.01,2100257.0
2010-03-27,110.87,111.0,108.88,109.01,2100257.0
2010-03-28,110.87,111.0,108.88,109.01,2100257.0
2010-03-29,109.46,110.04,109.2,109.59,1093643.0
2010-03-30,110.04,110.36,109.27,109.65,1504590.0
2010-03-31,109.27,110.42,109.14,109.71,1718207.0
2010-04-01,110.04,110.23,109.2,109.71,1606176.0
2010-04-02,110.04,110.23,109.2,109.71,1606176.0
2010-04-03,110.04,110.23,109.2,109.71,1606176.0
2010-04-04,110.04,110.23,109.2,109.71,1606176.0
2010-04-05,110.04,110.23,109.2,109.71,1606176.0
