,DOKA SW Equity,DOKA SW Equity,DOKA SW Equity,DOKA SW Equity,DOKA SW Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,163.735,164.392,161.236,163.8,1864.0
2010-01-02,163.735,164.392,161.236,163.8,1864.0
2010-01-03,163.735,164.392,161.236,163.8,1864.0
2010-01-04,165.543,170.146,164.063,170.146,4307.0
2010-01-05,167.187,170.31,167.022,169.981,2910.0
2010-01-06,168.009,171.132,168.009,171.132,1581.0
2010-01-07,168.009,168.502,167.351,168.502,900.0
2010-01-08,169.653,170.968,166.365,169.16,3083.0
2010-01-09,169.653,170.968,166.365,169.16,3083.0
2010-01-10,169.653,170.968,166.365,169.16,3083.0
2010-01-11,168.009,170.968,167.022,167.844,1179.0
2010-01-12,169.653,169.653,167.68,168.009,548.0
2010-01-13,166.365,168.009,165.707,166.036,2338.0
2010-01-14,166.036,169.488,166.036,168.502,1547.0
2010-01-15,168.338,169.324,166.2,169.16,2401.0
2010-01-16,168.338,169.324,166.2,169.16,2401.0
2010-01-17,168.338,169.324,166.2,169.16,2401.0
2010-01-18,171.297,173.269,170.146,173.269,7979.0
2010-01-19,172.283,176.228,172.283,176.228,5702.0
2010-01-20,177.215,177.215,174.913,176.393,3847.0
2010-01-21,176.557,176.557,172.283,172.283,4626.0
2010-01-22,172.283,174.913,170.968,172.941,6944.0
2010-01-23,172.283,174.913,170.968,172.941,6944.0
2010-01-24,172.283,174.913,170.968,172.941,6944.0
2010-01-25,174.256,175.9,172.941,174.749,2764.0
2010-01-26,174.256,175.9,171.625,175.242,3643.0
2010-01-27,173.598,176.064,173.269,175.571,1792.0
2010-01-28,173.598,176.722,172.447,174.584,1851.0
2010-01-29,176.064,177.215,174.584,175.078,5805.0
2010-01-30,176.064,177.215,174.584,175.078,5805.0
2010-01-31,176.064,177.215,174.584,175.078,5805.0
2010-02-01,175.242,176.228,172.776,174.913,954.0
2010-02-02,174.256,177.379,174.256,177.379,1535.0
2010-02-03,176.228,177.05,172.612,175.406,4031.0
2010-02-04,176.886,176.886,174.091,175.406,2790.0
2010-02-05,174.584,175.571,170.968,171.461,5417.0
2010-02-06,174.584,175.571,170.968,171.461,5417.0
2010-02-07,174.584,175.571,170.968,171.461,5417.0
2010-02-08,172.941,173.927,169.16,170.31,2663.0
2010-02-09,170.968,172.283,169.653,169.817,7194.0
2010-02-10,169.653,175.242,169.653,174.913,6229.0
2010-02-11,173.927,174.256,172.283,172.283,932.0
2010-02-12,172.447,176.557,169.16,170.31,15828.0
2010-02-13,172.447,176.557,169.16,170.31,15828.0
2010-02-14,172.447,176.557,169.16,170.31,15828.0
2010-02-15,168.338,171.79,167.844,169.653,762.0
2010-02-16,170.31,172.283,169.653,169.653,4307.0
2010-02-17,168.995,170.968,168.995,170.146,1620.0
2010-02-18,169.653,171.954,169.653,170.803,1579.0
