,KIMBERA MM Equity
,RETURN_COM_EQY
2010-01-01,47.8956
2010-01-02,47.8956
2010-01-03,47.8956
2010-01-04,47.8956
2010-01-05,47.8956
2010-01-06,47.8956
2010-01-07,47.8956
2010-01-08,47.8956
2010-01-09,47.8956
2010-01-10,47.8956
2010-01-11,47.8956
2010-01-12,47.8956
2010-01-13,47.8956
2010-01-14,47.8956
2010-01-15,47.8956
2010-01-16,47.8956
2010-01-17,47.8956
2010-01-18,47.8956
2010-01-19,47.8956
2010-01-20,47.8956
2010-01-21,47.8956
2010-01-22,47.8956
2010-01-23,47.8956
2010-01-24,47.8956
2010-01-25,47.8956
2010-01-26,47.8956
2010-01-27,47.8956
2010-01-28,47.8956
2010-01-29,47.8956
2010-01-30,47.8956
2010-01-31,47.8956
2010-02-01,47.8956
2010-02-02,47.8956
2010-02-03,47.8956
2010-02-04,47.8956
2010-02-05,47.8956
2010-02-06,47.8956
2010-02-07,47.8956
2010-02-08,47.8956
2010-02-09,47.8956
2010-02-10,47.8956
2010-02-11,47.8956
2010-02-12,47.8956
2010-02-13,47.8956
2010-02-14,47.8956
2010-02-15,47.8956
2010-02-16,47.8956
2010-02-17,47.8956
2010-02-18,47.8956
2010-02-19,47.8956
2010-02-20,47.8956
2010-02-21,47.8956
2010-02-22,47.8956
2010-02-23,47.8956
2010-02-24,47.8956
2010-02-25,47.8956
2010-02-26,47.8956
2010-02-27,47.8956
2010-02-28,47.8956
2010-03-01,47.8956
2010-03-02,47.8956
2010-03-03,47.8956
2010-03-04,47.8956
2010-03-05,47.8956
2010-03-06,47.8956
2010-03-07,47.8956
2010-03-08,47.8956
2010-03-09,47.8956
2010-03-10,47.8956
2010-03-11,47.8956
2010-03-12,47.8956
2010-03-13,47.8956
2010-03-14,47.8956
2010-03-15,47.8956
2010-03-16,47.8956
2010-03-17,47.8956
2010-03-18,47.8956
2010-03-19,47.8956
2010-03-20,47.8956
2010-03-21,47.8956
2010-03-22,47.8956
2010-03-23,47.8956
2010-03-24,47.8956
2010-03-25,47.8956
2010-03-26,47.8956
2010-03-27,47.8956
2010-03-28,47.8956
2010-03-29,47.8956
2010-03-30,47.8956
2010-03-31,70.9459
2010-04-01,70.9459
2010-04-02,70.9459
2010-04-03,70.9459
2010-04-04,70.9459
2010-04-05,70.9459
2010-04-06,70.9459
2010-04-07,70.9459
2010-04-08,70.9459
2010-04-09,70.9459
2010-04-10,70.9459
2010-04-11,70.9459
2010-04-12,70.9459
2010-04-13,70.9459
2010-04-14,70.9459
2010-04-15,70.9459
2010-04-16,70.9459
2010-04-17,70.9459
2010-04-18,70.9459
2010-04-19,70.9459
2010-04-20,70.9459
2010-04-21,70.9459
2010-04-22,70.9459
2010-04-23,70.9459
2010-04-24,70.9459
2010-04-25,70.9459
2010-04-26,70.9459
2010-04-27,70.9459
2010-04-28,70.9459
2010-04-29,70.9459
2010-04-30,70.9459
2010-05-01,70.9459
2010-05-02,70.9459
2010-05-03,70.9459
2010-05-04,70.9459
2010-05-05,70.9459
2010-05-06,70.9459
2010-05-07,70.9459
2010-05-08,70.9459
2010-05-09,70.9459
2010-05-10,70.9459
2010-05-11,70.9459
2010-05-12,70.9459
2010-05-13,70.9459
2010-05-14,70.9459
2010-05-15,70.9459
2010-05-16,70.9459
2010-05-17,70.9459
2010-05-18,70.9459
2010-05-19,70.9459
2010-05-20,70.9459
2010-05-21,70.9459
2010-05-22,70.9459
2010-05-23,70.9459
2010-05-24,70.9459
2010-05-25,70.9459
2010-05-26,70.9459
2010-05-27,70.9459
2010-05-28,70.9459
2010-05-29,70.9459
2010-05-30,70.9459
2010-05-31,70.9459
2010-06-01,70.9459
2010-06-02,70.9459
2010-06-03,70.9459
2010-06-04,70.9459
2010-06-05,70.9459
2010-06-06,70.9459
2010-06-07,70.9459
2010-06-08,70.9459
2010-06-09,70.9459
2010-06-10,70.9459
2010-06-11,70.9459
2010-06-12,70.9459
2010-06-13,70.9459
2010-06-14,70.9459
2010-06-15,70.9459
2010-06-16,70.9459
2010-06-17,70.9459
2010-06-18,70.9459
2010-06-19,70.9459
