,VEI NO Equity
,RETURN_COM_EQY
2010-01-01,26.5581
2010-01-02,26.5581
2010-01-03,26.5581
2010-01-04,26.5581
2010-01-05,26.5581
2010-01-06,26.5581
2010-01-07,26.5581
2010-01-08,26.5581
2010-01-09,26.5581
2010-01-10,26.5581
2010-01-11,26.5581
2010-01-12,26.5581
2010-01-13,26.5581
2010-01-14,26.5581
2010-01-15,26.5581
2010-01-16,26.5581
2010-01-17,26.5581
2010-01-18,26.5581
2010-01-19,26.5581
2010-01-20,26.5581
2010-01-21,26.5581
2010-01-22,26.5581
2010-01-23,26.5581
2010-01-24,26.5581
2010-01-25,26.5581
2010-01-26,26.5581
2010-01-27,26.5581
2010-01-28,26.5581
2010-01-29,26.5581
2010-01-30,26.5581
2010-01-31,26.5581
2010-02-01,26.5581
2010-02-02,26.5581
2010-02-03,26.5581
2010-02-04,26.5581
2010-02-05,26.5581
2010-02-06,26.5581
2010-02-07,26.5581
2010-02-08,26.5581
2010-02-09,26.5581
2010-02-10,26.5581
2010-02-11,26.5581
2010-02-12,26.5581
2010-02-13,26.5581
2010-02-14,26.5581
2010-02-15,26.5581
2010-02-16,26.5581
2010-02-17,26.5581
2010-02-18,26.5581
2010-02-19,26.5581
2010-02-20,26.5581
2010-02-21,26.5581
2010-02-22,26.5581
2010-02-23,26.5581
2010-02-24,26.5581
2010-02-25,26.5581
2010-02-26,26.5581
2010-02-27,26.5581
2010-02-28,26.5581
2010-03-01,26.5581
2010-03-02,26.5581
2010-03-03,26.5581
2010-03-04,26.5581
2010-03-05,26.5581
2010-03-06,26.5581
2010-03-07,26.5581
2010-03-08,26.5581
2010-03-09,26.5581
2010-03-10,26.5581
2010-03-11,26.5581
2010-03-12,26.5581
2010-03-13,26.5581
2010-03-14,26.5581
2010-03-15,26.5581
2010-03-16,26.5581
2010-03-17,26.5581
2010-03-18,26.5581
2010-03-19,26.5581
2010-03-20,26.5581
2010-03-21,26.5581
2010-03-22,26.5581
2010-03-23,26.5581
2010-03-24,26.5581
2010-03-25,26.5581
2010-03-26,26.5581
2010-03-27,26.5581
2010-03-28,26.5581
2010-03-29,26.5581
2010-03-30,26.5581
2010-03-31,31.7619
2010-04-01,31.7619
2010-04-02,31.7619
2010-04-03,31.7619
2010-04-04,31.7619
2010-04-05,31.7619
2010-04-06,31.7619
2010-04-07,31.7619
2010-04-08,31.7619
2010-04-09,31.7619
2010-04-10,31.7619
2010-04-11,31.7619
2010-04-12,31.7619
2010-04-13,31.7619
2010-04-14,31.7619
2010-04-15,31.7619
2010-04-16,31.7619
2010-04-17,31.7619
2010-04-18,31.7619
2010-04-19,31.7619
2010-04-20,31.7619
2010-04-21,31.7619
2010-04-22,31.7619
2010-04-23,31.7619
2010-04-24,31.7619
2010-04-25,31.7619
2010-04-26,31.7619
2010-04-27,31.7619
2010-04-28,31.7619
2010-04-29,31.7619
2010-04-30,31.7619
2010-05-01,31.7619
2010-05-02,31.7619
2010-05-03,31.7619
2010-05-04,31.7619
2010-05-05,31.7619
2010-05-06,31.7619
2010-05-07,31.7619
2010-05-08,31.7619
2010-05-09,31.7619
2010-05-10,31.7619
2010-05-11,31.7619
2010-05-12,31.7619
2010-05-13,31.7619
2010-05-14,31.7619
2010-05-15,31.7619
2010-05-16,31.7619
2010-05-17,31.7619
2010-05-18,31.7619
2010-05-19,31.7619
2010-05-20,31.7619
2010-05-21,31.7619
2010-05-22,31.7619
2010-05-23,31.7619
2010-05-24,31.7619
2010-05-25,31.7619
2010-05-26,31.7619
2010-05-27,31.7619
2010-05-28,31.7619
2010-05-29,31.7619
2010-05-30,31.7619
2010-05-31,31.7619
2010-06-01,31.7619
2010-06-02,31.7619
2010-06-03,31.7619
2010-06-04,31.7619
2010-06-05,31.7619
2010-06-06,31.7619
2010-06-07,31.7619
2010-06-08,31.7619
2010-06-09,31.7619
2010-06-10,31.7619
2010-06-11,31.7619
2010-06-12,31.7619
2010-06-13,31.7619
2010-06-14,31.7619
2010-06-15,31.7619
2010-06-16,31.7619
2010-06-17,31.7619
2010-06-18,31.7619
2010-06-19,31.7619
2010-06-20,31.7619
2010-06-21,31.7619
2010-06-22,31.7619
2010-06-23,31.7619
2010-06-24,31.7619
2010-06-25,31.7619
2010-06-26,31.7619
2010-06-27,31.7619
2010-06-28,31.7619
2010-06-29,31.7619
2010-06-30,27.8166
2010-07-01,27.8166
2010-07-02,27.8166
2010-07-03,27.8166
2010-07-04,27.8166
2010-07-05,27.8166
2010-07-06,27.8166
2010-07-07,27.8166
2010-07-08,27.8166
2010-07-09,27.8166
2010-07-10,27.8166
2010-07-11,27.8166
2010-07-12,27.8166
2010-07-13,27.8166
2010-07-14,27.8166
2010-07-15,27.8166
2010-07-16,27.8166
2010-07-17,27.8166
2010-07-18,27.8166
2010-07-19,27.8166
2010-07-20,27.8166
2010-07-21,27.8166
2010-07-22,27.8166
2010-07-23,27.8166
2010-07-24,27.8166
2010-07-25,27.8166
2010-07-26,27.8166
2010-07-27,27.8166
2010-07-28,27.8166
2010-07-29,27.8166
2010-07-30,27.8166
2010-07-31,27.8166
2010-08-01,27.8166
2010-08-02,27.8166
2010-08-03,27.8166
2010-08-04,27.8166
2010-08-05,27.8166
2010-08-06,27.8166
2010-08-07,27.8166
2010-08-08,27.8166
2010-08-09,27.8166
2010-08-10,27.8166
2010-08-11,27.8166
2010-08-12,27.8166
2010-08-13,27.8166
2010-08-14,27.8166
2010-08-15,27.8166
2010-08-16,27.8166
2010-08-17,27.8166
2010-08-18,27.8166
2010-08-19,27.8166
2010-08-20,27.8166
2010-08-21,27.8166
2010-08-22,27.8166
2010-08-23,27.8166
2010-08-24,27.8166
2010-08-25,27.8166
2010-08-26,27.8166
2010-08-27,27.8166
2010-08-28,27.8166
2010-08-29,27.8166
2010-08-30,27.8166
2010-08-31,27.8166
2010-09-01,27.8166
2010-09-02,27.8166
2010-09-03,27.8166
