,KTY PW Equity,KTY PW Equity,KTY PW Equity,KTY PW Equity,KTY PW Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,52.5491,52.5491,51.8216,51.8216,2236.0
2010-01-02,52.5491,52.5491,51.8216,51.8216,2236.0
2010-01-03,52.5491,52.5491,51.8216,51.8216,2236.0
2010-01-04,52.2068,52.6347,52.164,52.4207,1357.0
2010-01-05,52.4207,52.6347,51.9928,52.2068,867.0
2010-01-06,51.9928,52.4207,51.9928,52.3351,1026.0
2010-01-07,52.3351,53.0626,52.3351,53.0198,1609.0
2010-01-08,53.0626,53.7045,53.0626,53.6617,1468.0
2010-01-09,53.0626,53.7045,53.0626,53.6617,1468.0
2010-01-10,53.0626,53.7045,53.0626,53.6617,1468.0
2010-01-11,54.0041,54.2608,53.0626,53.3194,2484.0
2010-01-12,53.4905,53.9185,52.5063,52.6347,1130.0
2010-01-13,52.0784,53.2766,52.0784,52.6347,239.0
2010-01-14,52.4207,53.405,52.4207,53.405,77.0
2010-01-15,52.6347,53.4905,52.2496,53.2338,1802.0
2010-01-16,52.6347,53.4905,52.2496,53.2338,1802.0
2010-01-17,52.6347,53.4905,52.2496,53.2338,1802.0
2010-01-18,52.4207,53.2338,51.5649,52.6347,861.0
2010-01-19,52.6775,52.8915,52.3351,52.3351,393.0
2010-01-20,53.0198,53.0198,51.3509,52.2496,3992.0
2010-01-21,51.5649,52.0784,51.137,51.137,3651.0
2010-01-22,51.3509,51.3509,50.5379,50.923,4207.0
2010-01-23,51.3509,51.3509,50.5379,50.923,4207.0
2010-01-24,51.3509,51.3509,50.5379,50.923,4207.0
2010-01-25,50.4951,50.5807,49.3825,49.6392,24923.0
2010-01-26,49.6392,49.6392,48.0131,48.3555,20984.0
2010-01-27,48.7834,48.7834,48.1843,48.3555,1013.0
2010-01-28,48.0987,49.9816,48.0987,49.2113,1929.0
2010-01-29,48.7834,49.7676,48.7834,49.2113,3858.0
2010-01-30,48.7834,49.7676,48.7834,49.2113,3858.0
2010-01-31,48.7834,49.7676,48.7834,49.2113,3858.0
2010-02-01,49.2113,49.682,48.441,48.7834,30700.0
2010-02-02,48.655,50.8802,48.655,50.8802,1161.0
2010-02-03,51.3509,52.2068,51.3509,52.164,1251.0
2010-02-04,51.3509,51.7788,50.2811,50.4523,3138.0
2010-02-05,48.7834,49.6392,48.7834,48.9973,11438.0
2010-02-06,48.7834,49.6392,48.7834,48.9973,11438.0
2010-02-07,48.7834,49.6392,48.7834,48.9973,11438.0
2010-02-08,48.3982,49.4253,48.3982,48.869,1243.0
2010-02-09,49.2113,49.2113,48.7834,49.2113,315.0
2010-02-10,49.2113,49.6392,48.7834,49.2113,7486.0
