,INTUCH TB Equity,INTUCH TB Equity,INTUCH TB Equity,INTUCH TB Equity,INTUCH TB Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,10.066,10.066,9.885,9.976,297900.0
2010-01-02,10.066,10.066,9.885,9.976,297900.0
2010-01-03,10.066,10.066,9.885,9.976,297900.0
2010-01-04,9.794,9.976,9.794,9.976,52700.0
2010-01-05,9.885,9.976,9.794,9.794,43000.0
2010-01-06,9.976,9.976,9.794,9.794,30500.0
2010-01-07,9.794,9.885,9.794,9.885,128600.0
2010-01-08,9.885,9.885,9.794,9.794,165700.0
2010-01-09,9.885,9.885,9.794,9.794,165700.0
2010-01-10,9.885,9.885,9.794,9.794,165700.0
2010-01-11,9.794,9.885,9.794,9.794,50200.0
2010-01-12,9.885,10.248,9.885,10.157,409800.0
2010-01-13,9.976,10.066,9.976,10.066,77000.0
2010-01-14,9.976,10.066,9.885,9.976,85900.0
2010-01-15,9.976,9.976,9.885,9.885,84200.0
2010-01-16,9.976,9.976,9.885,9.885,84200.0
2010-01-17,9.976,9.976,9.885,9.885,84200.0
2010-01-18,9.885,9.885,9.794,9.794,166500.0
2010-01-19,9.794,10.066,9.794,10.066,406100.0
2010-01-20,9.885,9.885,9.794,9.794,39600.0
2010-01-21,9.794,9.794,9.704,9.704,147900.0
2010-01-22,9.522,9.794,9.522,9.704,75900.0
2010-01-23,9.522,9.794,9.522,9.704,75900.0
2010-01-24,9.522,9.794,9.522,9.704,75900.0
2010-01-25,9.704,9.704,9.613,9.704,59700.0
2010-01-26,9.794,9.794,9.613,9.704,62100.0
2010-01-27,9.704,9.704,9.432,9.432,123100.0
2010-01-28,9.432,9.704,9.25,9.522,469800.0
2010-01-29,9.432,9.522,9.432,9.522,9400.0
2010-01-30,9.432,9.522,9.432,9.522,9400.0
2010-01-31,9.432,9.522,9.432,9.522,9400.0
2010-02-01,9.341,9.522,9.341,9.522,24700.0
2010-02-02,9.522,9.522,9.432,9.522,78100.0
