,DEC LN Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,8.5826
2020-01-02,8.4492
2020-01-03,8.441
2020-01-04,8.441
2020-01-05,8.441
2020-01-06,8.4855
2020-01-07,8.4629
2020-01-08,8.5177
2020-01-09,8.3924
2020-01-10,8.3931
2020-01-11,8.3931
2020-01-12,8.3931
2020-01-13,8.3716
2020-01-14,8.3144
2020-01-15,8.2743
2020-01-16,8.3462
2020-01-17,8.2413
2020-01-18,8.2413
2020-01-19,8.2413
2020-01-20,8.2249
2020-01-21,8.2056
2020-01-22,8.2327
2020-01-23,7.9589
2020-01-24,7.9102
2020-01-25,7.9102
2020-01-26,7.9102
2020-01-27,7.8299
2020-01-28,7.7366
2020-01-29,7.8555
2020-01-30,7.8283
2020-01-31,7.7248
2020-02-01,7.7248
2020-02-02,7.7248
2020-02-03,7.564
2020-02-04,7.7196
2020-02-05,7.6739
2020-02-06,7.5757
2020-02-07,7.5285
2020-02-08,7.5285
2020-02-09,7.5285
2020-02-10,7.3993
2020-02-11,7.4415
2020-02-12,7.4175
2020-02-13,7.3447
2020-02-14,7.4501
2020-02-15,7.4501
2020-02-16,7.4501
2020-02-17,7.4526
2020-02-18,7.4017
2020-02-19,7.3619
2020-02-20,7.4767
2020-02-21,7.5787
2020-02-22,7.5787
2020-02-23,7.5787
2020-02-24,7.511
2020-02-25,7.6472
2020-02-26,7.485
2020-02-27,7.2692
2020-02-28,6.9362
2020-02-29,6.9362
2020-03-01,6.9362
2020-03-02,6.9167
2020-03-03,6.9177
2020-03-04,7.0168
2020-03-05,6.6828
2020-03-06,6.7436
2020-03-07,6.7436
2020-03-08,6.7436
2020-03-09,6.4684
2020-03-10,6.4275
2020-03-11,6.4446
2020-03-12,5.9792
2020-03-13,5.9906
2020-03-14,5.9906
2020-03-15,5.9906
2020-03-16,5.8137
2020-03-17,5.7099
2020-03-18,5.6383
2020-03-19,5.7375
2020-03-20,5.9637
2020-03-21,5.9637
2020-03-22,5.9637
2020-03-23,5.9278
2020-03-24,6.205
2020-03-25,6.4939
2020-03-26,6.7576
2020-03-27,6.8885
2020-03-28,6.8885
2020-03-29,6.8885
2020-03-30,6.8388
2020-03-31,7.1098
2020-04-01,6.9712
2020-04-02,6.9989
2020-04-03,6.8811
2020-04-04,6.8811
2020-04-05,6.8811
2020-04-06,7.1052
2020-04-07,7.2511
2020-04-08,7.1939
2020-04-09,7.1168
2020-04-10,7.1168
2020-04-11,7.1168
2020-04-12,7.1168
2020-04-13,7.1168
2020-04-14,7.0815
2020-04-15,6.8334
2020-04-16,6.7567
2020-04-17,7.1537
2020-04-18,7.1537
2020-04-19,7.1537
2020-04-20,7.1526
2020-04-21,7.233
2020-04-22,7.2127
