,BUR LN Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,6.3611
2020-01-02,6.2889
2020-01-03,6.1874
2020-01-04,6.1874
2020-01-05,6.1874
2020-01-06,6.1095
2020-01-07,6.2099
2020-01-08,6.0408
2020-01-09,6.1567
2020-01-10,6.1393
2020-01-11,6.1393
2020-01-12,6.1393
2020-01-13,6.0043
2020-01-14,6.1598
2020-01-15,5.9611
2020-01-16,5.9691
2020-01-17,5.957
2020-01-18,5.957
2020-01-19,5.957
2020-01-20,5.8961
2020-01-21,5.7666
2020-01-22,5.814
2020-01-23,5.7373
2020-01-24,5.6268
2020-01-25,5.6268
2020-01-26,5.6268
2020-01-27,5.6034
2020-01-28,5.6102
2020-01-29,5.7837
2020-01-30,5.7954
2020-01-31,5.7387
2020-02-01,5.7387
2020-02-02,5.7387
2020-02-03,5.8198
2020-02-04,6.093
2020-02-05,6.0442
2020-02-06,5.7525
2020-02-07,5.66
2020-02-08,5.66
2020-02-09,5.66
2020-02-10,5.5364
2020-02-11,5.5788
2020-02-12,5.5995
2020-02-13,5.4592
2020-02-14,5.4096
2020-02-15,5.4096
2020-02-16,5.4096
2020-02-17,5.4516
2020-02-18,5.3304
2020-02-19,5.3306
2020-02-20,5.4979
2020-02-21,5.5425
2020-02-22,5.5425
2020-02-23,5.5425
2020-02-24,5.3846
2020-02-25,5.3694
2020-02-26,5.369
2020-02-27,5.0443
2020-02-28,4.9051
2020-02-29,4.9051
2020-03-01,4.9051
2020-03-02,4.6705
2020-03-03,4.7415
2020-03-04,4.5549
2020-03-05,4.4615
2020-03-06,4.3908
2020-03-07,4.3908
2020-03-08,4.3908
2020-03-09,4.1311
2020-03-10,4.1193
2020-03-11,3.971
2020-03-12,3.7533
2020-03-13,3.7264
2020-03-14,3.7264
2020-03-15,3.7264
2020-03-16,3.2208
2020-03-17,3.059
2020-03-18,2.8263
2020-03-19,2.8884
2020-03-20,3.0327
2020-03-21,3.0327
2020-03-22,3.0327
2020-03-23,2.9548
2020-03-24,3.041
2020-03-25,3.3599
2020-03-26,3.9334
2020-03-27,3.8005
2020-03-28,3.8005
2020-03-29,3.8005
2020-03-30,3.7953
2020-03-31,3.9592
2020-04-01,3.727
2020-04-02,3.3741
2020-04-03,3.212
2020-04-04,3.212
2020-04-05,3.212
2020-04-06,3.4658
2020-04-07,3.85
2020-04-08,3.8801
2020-04-09,4.2044
2020-04-10,4.2044
2020-04-11,4.2044
2020-04-12,4.2044
2020-04-13,4.2044
2020-04-14,3.781
2020-04-15,3.4881
2020-04-16,3.4719
2020-04-17,3.6852
2020-04-18,3.6852
2020-04-19,3.6852
2020-04-20,3.6132
2020-04-21,3.3614
2020-04-22,3.319
2020-04-23,3.4806
2020-04-24,3.7077
2020-04-25,3.7077
2020-04-26,3.7077
2020-04-27,3.8713
2020-04-28,4.3385
2020-04-29,4.3865
2020-04-30,4.5782
2020-05-01,4.2145
2020-05-02,4.2145
2020-05-03,4.2145
2020-05-04,3.9134
2020-05-05,4.088
2020-05-06,4.0414
2020-05-07,3.9714
2020-05-08,3.9714
2020-05-09,3.9714
2020-05-10,3.9714
2020-05-11,4.3511
2020-05-12,4.376
2020-05-13,4.1747
2020-05-14,3.9337
2020-05-15,3.9419
2020-05-16,3.9419
2020-05-17,3.9419
2020-05-18,3.9858
2020-05-19,3.9956
2020-05-20,4.0913
2020-05-21,4.2134
2020-05-22,4.2051
2020-05-23,4.2051
2020-05-24,4.2051
2020-05-25,4.2051
2020-05-26,4.491
2020-05-27,4.1667
2020-05-28,4.1529
2020-05-29,4.0957
2020-05-30,4.0957
2020-05-31,4.0957
2020-06-01,4.0853
2020-06-02,4.3515
2020-06-03,4.5783
2020-06-04,4.7569
2020-06-05,5.0377
2020-06-06,5.0377
2020-06-07,5.0377
2020-06-08,5.1077
2020-06-09,5.0856
2020-06-10,4.9655
2020-06-11,4.6275
2020-06-12,4.6295
2020-06-13,4.6295
2020-06-14,4.6295
2020-06-15,4.6034
2020-06-16,4.6445
2020-06-17,4.6974
2020-06-18,4.5231
2020-06-19,4.5152
2020-06-20,4.5152
2020-06-21,4.5152
2020-06-22,4.7545
2020-06-23,4.8542
2020-06-24,4.4938
2020-06-25,4.4011
2020-06-26,4.4088
2020-06-27,4.4088
2020-06-28,4.4088
2020-06-29,4.265
2020-06-30,4.5369
2020-07-01,4.5286
2020-07-02,4.8929
2020-07-03,4.7833
2020-07-04,4.7833
2020-07-05,4.7833
2020-07-06,5.0122
2020-07-07,5.1268
2020-07-08,5.1089
2020-07-09,5.0655
2020-07-10,4.9751
2020-07-11,4.9751
2020-07-12,4.9751
2020-07-13,5.123
2020-07-14,5.0467
2020-07-15,5.1374
2020-07-16,5.2274
2020-07-17,5.1823
2020-07-18,5.1823
2020-07-19,5.1823
2020-07-20,5.2675
2020-07-21,5.4008
2020-07-22,5.3687
2020-07-23,5.3331
2020-07-24,5.3108
2020-07-25,5.3108
2020-07-26,5.3108
2020-07-27,5.3788
2020-07-28,5.5004
2020-07-29,5.8285
2020-07-30,5.5208
2020-07-31,5.3772
2020-08-01,5.3772
2020-08-02,5.3772
2020-08-03,5.4433
2020-08-04,5.5788
2020-08-05,5.6309
2020-08-06,5.5803
2020-08-07,5.4494
2020-08-08,5.4494
2020-08-09,5.4494
2020-08-10,5.5442
2020-08-11,5.7255
2020-08-12,5.6065
2020-08-13,5.5884
2020-08-14,5.6086
2020-08-15,5.6086
2020-08-16,5.6086
2020-08-17,5.5662
2020-08-18,5.5737
2020-08-19,5.533
2020-08-20,5.317
2020-08-21,5.2838
2020-08-22,5.2838
2020-08-23,5.2838
2020-08-24,5.4575
2020-08-25,5.5763
2020-08-26,5.7296
2020-08-27,5.6614
2020-08-28,5.7151
2020-08-29,5.7151
2020-08-30,5.7151
2020-08-31,5.7151
2020-09-01,5.8739
2020-09-02,5.9599
2020-09-03,5.6062
2020-09-04,5.6638
2020-09-05,5.6638
2020-09-06,5.6638
2020-09-07,5.7203
2020-09-08,5.6436
2020-09-09,5.5852
2020-09-10,5.6039
2020-09-11,5.4641
2020-09-12,5.4641
2020-09-13,5.4641
2020-09-14,5.589
2020-09-15,5.6913
2020-09-16,5.9355
2020-09-17,5.8345
2020-09-18,5.7739
2020-09-19,5.7739
2020-09-20,5.7739
2020-09-21,5.4551
2020-09-22,5.4537
2020-09-23,5.6812
2020-09-24,5.5667
2020-09-25,5.6338
2020-09-26,5.6338
2020-09-27,5.6338
2020-09-28,5.6842
2020-09-29,5.5704
2020-09-30,5.9943
2020-10-01,6.3552
2020-10-02,6.0842
2020-10-03,6.0842
2020-10-04,6.0842
2020-10-05,6.5415
2020-10-06,6.7416
2020-10-07,6.6455
2020-10-08,6.7585
2020-10-09,7.0252
2020-10-10,7.0252
2020-10-11,7.0252
2020-10-12,7.3199
2020-10-13,7.1707
2020-10-14,6.9419
2020-10-15,6.7702
2020-10-16,6.7902
2020-10-17,6.7902
2020-10-18,6.7902
2020-10-19,7.1102
2020-10-20,7.224
2020-10-21,7.0179
2020-10-22,6.8125
2020-10-23,6.823
2020-10-24,6.823
2020-10-25,6.823
2020-10-26,6.7626
2020-10-27,6.6487
2020-10-28,6.3843
2020-10-29,6.2681
2020-10-30,6.2658
2020-10-31,6.2658
2020-11-01,6.2658
2020-11-02,6.1296
2020-11-03,6.505
2020-11-04,6.7332
2020-11-05,6.7786
2020-11-06,6.6498
2020-11-07,6.6498
2020-11-08,6.6498
2020-11-09,6.856
2020-11-10,6.9546
2020-11-11,6.908
2020-11-12,6.851
2020-11-13,7.0981
2020-11-14,7.0981
2020-11-15,7.0981
2020-11-16,7.2199
2020-11-17,7.1191
2020-11-18,7.384
2020-11-19,7.2372
2020-11-20,7.2724
2020-11-21,7.2724
2020-11-22,7.2724
2020-11-23,7.4537
2020-11-24,7.5037
2020-11-25,7.4964
2020-11-26,7.469
2020-11-27,7.2774
2020-11-28,7.2774
2020-11-29,7.2774
2020-11-30,7.2033
2020-12-01,7.3824
2020-12-02,7.2191
2020-12-03,7.1473
2020-12-04,7.0045
2020-12-05,7.0045
2020-12-06,7.0045
2020-12-07,6.8376
2020-12-08,6.8448
2020-12-09,7.1068
2020-12-10,6.7896
2020-12-11,6.7104
2020-12-12,6.7104
2020-12-13,6.7104
2020-12-14,6.8391
2020-12-15,7.0355
2020-12-16,7.1393
2020-12-17,7.1412
2020-12-18,7.0635
2020-12-19,7.0635
2020-12-20,7.0635
2020-12-21,6.9238
2020-12-22,6.8177
2020-12-23,7.0345
2020-12-24,7.0466
2020-12-25,7.0466
2020-12-26,7.0466
2020-12-27,7.0466
2020-12-28,7.0466
2020-12-29,7.0051
2020-12-30,7.016
2020-12-31,12.5073
2021-01-01,12.5073
2021-01-02,12.5073
2021-01-03,12.5073
2021-01-04,12.3414
2021-01-05,12.7697
2021-01-06,12.4991
2021-01-07,12.3318
2021-01-08,12.2661
2021-01-09,12.2661
2021-01-10,12.2661
2021-01-11,11.9339
2021-01-12,11.8844
2021-01-13,11.6738
2021-01-14,11.5996
2021-01-15,11.5225
2021-01-16,11.5225
2021-01-17,11.5225
2021-01-18,11.5691
2021-01-19,11.7357
2021-01-20,11.8321
2021-01-21,11.9252
2021-01-22,11.7686
2021-01-23,11.7686
2021-01-24,11.7686
2021-01-25,11.338
2021-01-26,11.3757
2021-01-27,11.1274
2021-01-28,11.4666
2021-01-29,11.3063
2021-01-30,11.3063
2021-01-31,11.3063
2021-02-01,11.4522
2021-02-02,11.53
2021-02-03,11.3076
2021-02-04,11.3093
2021-02-05,11.2738
2021-02-06,11.2738
2021-02-07,11.2738
2021-02-08,11.1989
2021-02-09,11.4304
2021-02-10,11.876
2021-02-11,11.7099
2021-02-12,11.716
2021-02-13,11.716
2021-02-14,11.716
