,6758 JP Equity,6758 JP Equity,6758 JP Equity,6758 JP Equity,6758 JP Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-02-16,2701.5,2723.8,2674.7,2701.5,3243500.0
2010-02-17,2763.9,2786.2,2746.1,2781.7,5162900.0
2010-02-18,2808.5,2835.2,2772.8,2790.7,4836200.0
2010-02-19,2804.0,2830.8,2750.5,2759.4,6485300.0
2010-02-20,2804.0,2830.8,2750.5,2759.4,6485300.0
2010-02-21,2804.0,2830.8,2750.5,2759.4,6485300.0
2010-02-22,2821.9,2870.9,2812.9,2853.1,8613600.0
2010-02-23,2835.2,2848.6,2812.9,2844.1,5061000.0
2010-02-24,2786.2,2790.7,2750.5,2772.8,5773300.0
2010-02-25,2786.2,2786.2,2701.5,2714.9,5735500.0
2010-02-26,2692.6,2732.7,2692.6,2719.3,4556700.0
2010-02-27,2692.6,2732.7,2692.6,2719.3,4556700.0
2010-02-28,2692.6,2732.7,2692.6,2719.3,4556700.0
2010-03-01,2706.0,2737.2,2688.1,2723.8,3178000.0
2010-03-02,2759.4,2790.7,2728.2,2759.4,8241900.0
2010-03-03,2777.3,2826.3,2768.4,2795.1,9009900.0
2010-03-04,2799.6,2835.2,2732.7,2763.9,6738300.0
2010-03-05,2839.7,2866.4,2835.2,2857.5,9006800.0
2010-03-06,2839.7,2866.4,2835.2,2857.5,9006800.0
2010-03-07,2839.7,2866.4,2835.2,2857.5,9006800.0
2010-03-08,2942.2,2991.3,2933.3,2937.8,8877700.0
2010-03-09,2955.6,2982.3,2937.8,2969.0,6185600.0
2010-03-10,2986.8,3026.9,2982.3,3009.1,6862800.0
2010-03-11,3071.5,3098.2,3035.8,3067.0,9862200.0
2010-03-12,3084.9,3147.3,3009.1,3013.5,12475700.0
2010-03-13,3084.9,3147.3,3009.1,3013.5,12475700.0
2010-03-14,3084.9,3147.3,3009.1,3013.5,12475700.0
2010-03-15,3022.5,3031.4,2991.3,3026.9,5013000.0
2010-03-16,3009.1,3049.2,3000.2,3004.6,4411800.0
2010-03-17,3035.8,3071.5,3004.6,3053.7,5442800.0
2010-03-18,3067.0,3102.7,3053.7,3058.1,8490900.0
2010-03-19,3089.3,3156.2,3089.3,3138.4,8229900.0
2010-03-20,3089.3,3156.2,3089.3,3138.4,8229900.0
2010-03-21,3089.3,3156.2,3089.3,3138.4,8229900.0
2010-03-22,3089.3,3156.2,3089.3,3138.4,8229900.0
2010-03-23,3232.0,3249.8,3209.7,3249.8,10371400.0
2010-03-24,3236.4,3245.4,3147.3,3160.7,10100700.0
2010-03-25,3125.0,3187.4,3049.2,3093.8,9056200.0
2010-03-26,3142.8,3182.9,3129.5,3160.7,6557200.0
2010-03-27,3142.8,3182.9,3129.5,3160.7,6557200.0
2010-03-28,3142.8,3182.9,3129.5,3160.7,6557200.0
2010-03-29,3167.4,3198.7,3145.0,3167.4,4945900.0
2010-03-30,3198.7,3243.4,3176.3,3230.0,7617200.0
2010-03-31,3234.5,3238.9,3185.3,3203.2,5371300.0
2010-04-01,3234.5,3234.5,3162.9,3194.2,6937000.0
2010-04-02,3212.1,3212.1,3180.8,3194.2,4177900.0
2010-04-03,3212.1,3212.1,3180.8,3194.2,4177900.0
2010-04-04,3212.1,3212.1,3180.8,3194.2,4177900.0
2010-04-05,3212.1,3238.9,3203.2,3225.5,5106200.0
2010-04-06,3234.5,3288.2,3118.2,3145.0,6826400.0
2010-04-07,3109.2,3153.9,3082.4,3122.6,9544800.0
2010-04-08,3077.9,3086.8,3037.6,3046.6,6513900.0
2010-04-09,3046.6,3077.9,3042.1,3060.0,6804200.0
2010-04-10,3046.6,3077.9,3042.1,3060.0,6804200.0
2010-04-11,3046.6,3077.9,3042.1,3060.0,6804200.0
2010-04-12,3095.8,3109.2,3055.5,3055.5,4027500.0
2010-04-13,3051.1,3055.5,2997.4,3037.6,5142000.0
2010-04-14,3068.9,3091.3,3019.7,3037.6,5854700.0
2010-04-15,3082.4,3082.4,3037.6,3051.1,4753500.0
2010-04-16,3037.6,3042.1,2997.4,2997.4,4375100.0
2010-04-17,3037.6,3042.1,2997.4,2997.4,4375100.0
2010-04-18,3037.6,3042.1,2997.4,2997.4,4375100.0
2010-04-19,2934.7,2975.0,2925.8,2970.5,6778900.0
2010-04-20,2988.4,3028.7,2952.6,2961.6,5300100.0
2010-04-21,2992.9,3006.3,2957.1,2970.5,6506300.0
2010-04-22,2934.7,2948.2,2890.0,2907.9,7242200.0
2010-04-23,2925.8,2952.6,2867.6,2903.4,5665000.0
2010-04-24,2925.8,2952.6,2867.6,2903.4,5665000.0
2010-04-25,2925.8,2952.6,2867.6,2903.4,5665000.0
2010-04-26,2957.1,2975.0,2939.2,2948.2,7134800.0
2010-04-27,2934.7,3064.5,2930.3,3042.1,7875100.0
2010-04-28,3042.1,3042.1,2863.2,2939.2,9120300.0
2010-04-29,3042.1,3042.1,2863.2,2939.2,9120300.0
2010-04-30,2957.1,2970.5,2912.4,2925.8,5595100.0
2010-05-01,2957.1,2970.5,2912.4,2925.8,5595100.0
2010-05-02,2957.1,2970.5,2912.4,2925.8,5595100.0
2010-05-03,2957.1,2970.5,2912.4,2925.8,5595100.0
2010-05-04,2957.1,2970.5,2912.4,2925.8,5595100.0
2010-05-05,2957.1,2970.5,2912.4,2925.8,5595100.0
2010-05-06,2809.5,2854.2,2800.5,2827.4,6862900.0
2010-05-07,2693.2,2800.5,2666.3,2737.9,10148600.0
2010-05-08,2693.2,2800.5,2666.3,2737.9,10148600.0
2010-05-09,2693.2,2800.5,2666.3,2737.9,10148600.0
2010-05-10,2737.9,2805.0,2720.0,2805.0,9568500.0
2010-05-11,2907.9,2907.9,2755.8,2764.7,11414700.0
2010-05-12,2791.6,2796.1,2688.7,2720.0,7294200.0
2010-05-13,2796.1,2849.7,2782.6,2831.8,8051300.0
2010-05-14,2643.9,2684.2,2626.9,2639.5,23074100.0
2010-05-15,2643.9,2684.2,2626.9,2639.5,23074100.0
2010-05-16,2643.9,2684.2,2626.9,2639.5,23074100.0
2010-05-17,2592.9,2592.9,2511.5,2520.5,15341000.0
2010-05-18,2557.2,2577.7,2520.5,2535.7,9159700.0
2010-05-19,2505.3,2618.0,2491.8,2604.6,10900800.0
2010-05-20,2589.4,2626.1,2546.4,2564.3,8027300.0
2010-05-21,2519.6,2624.3,2505.3,2624.3,15357200.0
2010-05-22,2519.6,2624.3,2505.3,2624.3,15357200.0
2010-05-23,2519.6,2624.3,2505.3,2624.3,15357200.0
2010-05-24,2594.7,2614.4,2541.1,2569.7,9718900.0
2010-05-25,2541.1,2541.1,2438.2,2440.8,10078100.0
2010-05-26,2502.6,2508.8,2430.1,2443.5,7806600.0
2010-05-27,2424.7,2499.9,2407.7,2494.5,7536800.0
2010-05-28,2566.1,2584.0,2506.2,2515.1,7248300.0
2010-05-29,2566.1,2584.0,2506.2,2515.1,7248300.0
2010-05-30,2566.1,2584.0,2506.2,2515.1,7248300.0
2010-05-31,2540.2,2584.0,2516.0,2519.6,5654800.0
2010-06-01,2507.9,2514.2,2465.0,2494.5,4643800.0
2010-06-02,2458.7,2491.8,2414.0,2425.6,7555200.0
2010-06-03,2467.7,2497.2,2453.4,2488.3,6667300.0
2010-06-04,2479.3,2508.8,2465.9,2479.3,5595500.0
2010-06-05,2479.3,2508.8,2465.9,2479.3,5595500.0
