,POM FP Equity,POM FP Equity,POM FP Equity,POM FP Equity,POM FP Equity
2010-02-11,2.0298,2.0298,1.8749,1.9138,174456.0
2010-02-12,1.8873,1.9843,1.8641,1.9843,311148.0
2010-02-13,1.8873,1.9843,1.8641,1.9843,311148.0
2010-02-14,1.8873,1.9843,1.8641,1.9843,311148.0
2010-02-15,1.9495,1.9843,1.8641,1.8964,76428.0
2010-02-16,1.9022,1.9445,1.7896,1.821,354024.0
2010-02-17,1.8318,1.913,1.8318,1.889,145008.0
2010-02-18,1.9055,1.947,1.8641,1.918,106596.0
2010-02-19,1.9354,1.947,1.908,1.9263,177390.0
2010-02-20,1.9354,1.947,1.908,1.9263,177390.0
2010-02-21,1.9354,1.947,1.908,1.9263,177390.0
2010-02-22,1.9271,1.971,1.9205,1.9553,80028.0
2010-02-23,1.9785,1.9834,1.9263,1.9263,89406.0
2010-02-24,1.9271,1.947,1.9055,1.9055,67041.0
2010-02-25,1.9055,1.9055,1.8235,1.8401,201348.0
2010-02-26,1.8476,1.8807,1.8351,1.8807,47205.0
2010-02-27,1.8476,1.8807,1.8351,1.8807,47205.0
2010-02-28,1.8476,1.8807,1.8351,1.8807,47205.0
2010-03-01,1.86,1.947,1.86,1.9453,42984.0
2010-03-02,1.9271,1.9776,1.9271,1.9776,54675.0
2010-03-03,1.9751,1.9876,1.9569,1.9876,35199.0
2010-03-04,1.9843,1.9884,1.9561,1.9685,41166.0
2010-03-05,1.9553,2.0406,1.9553,2.0406,91395.0
2010-03-06,1.9553,2.0406,1.9553,2.0406,91395.0
2010-03-07,1.9553,2.0406,1.9553,2.0406,91395.0
2010-03-08,2.034,2.0547,1.9892,2.0381,62118.0
2010-03-09,2.0422,2.0671,2.0133,2.0224,82494.0
2010-03-10,2.0215,2.0215,1.9851,1.9967,142155.0
2010-03-11,2.029,2.0505,2.0133,2.0215,83088.0
2010-03-12,2.0224,2.1375,2.0224,2.0978,216495.0
2010-03-13,2.0224,2.1375,2.0224,2.0978,216495.0
2010-03-14,2.0224,2.1375,2.0224,2.0978,216495.0
2010-03-15,2.1334,2.1533,2.116,2.1516,122868.0
2010-03-16,2.1516,2.2784,2.1433,2.2369,203031.0
2010-03-17,2.2369,2.2369,2.1972,2.2088,158364.0
2010-03-18,2.2328,2.2444,2.1483,2.169,955917.0
2010-03-19,2.169,2.1715,2.15,2.1541,248877.0
2010-03-20,2.169,2.1715,2.15,2.1541,248877.0
2010-03-21,2.169,2.1715,2.15,2.1541,248877.0
2010-03-22,2.1856,2.1856,2.1541,2.1541,164241.0
2010-03-23,2.1665,2.1665,2.1417,2.1665,460647.0
2010-03-24,2.1665,2.1665,2.1127,2.1284,238509.0
2010-03-25,2.15,2.1674,2.1268,2.1674,303138.0
2010-03-26,2.1698,2.1698,2.1375,2.169,236313.0
2010-03-27,2.1698,2.1698,2.1375,2.169,236313.0
2010-03-28,2.1698,2.1698,2.1375,2.169,236313.0
2010-03-29,2.169,2.2154,2.1417,2.1417,255132.0
2010-03-30,2.1417,2.1707,2.1375,2.1541,246195.0
2010-03-31,2.1334,2.2436,2.1334,2.2287,167904.0
2010-04-01,2.2369,2.3861,2.2287,2.3861,460026.0
2010-04-02,2.2369,2.3861,2.2287,2.3861,460026.0
2010-04-03,2.2369,2.3861,2.2287,2.3861,460026.0
2010-04-04,2.2369,2.3861,2.2287,2.3861,460026.0
2010-04-05,2.2369,2.3861,2.2287,2.3861,460026.0
2010-04-06,2.362,2.4689,2.362,2.4689,615546.0
2010-04-07,2.4805,2.9163,2.4457,2.4772,999261.0
2010-04-08,2.4772,2.5095,2.4515,2.4988,212292.0
2010-04-09,2.4996,2.5683,2.4888,2.5468,185445.0
2010-04-10,2.4996,2.5683,2.4888,2.5468,185445.0
2010-04-11,2.4996,2.5683,2.4888,2.5468,185445.0
2010-04-12,2.5277,2.5891,2.5277,2.5377,263925.0
2010-04-13,2.5675,2.5675,2.5302,2.5551,63747.0
2010-04-14,2.5584,2.6098,2.5584,2.6056,331470.0
2010-04-15,2.6089,2.6512,2.5949,2.6512,137403.0
2010-04-16,2.6512,2.6512,2.6015,2.6023,106866.0
2010-04-17,2.6512,2.6512,2.6015,2.6023,106866.0
2010-04-18,2.6512,2.6512,2.6015,2.6023,106866.0
2010-04-19,2.5601,2.5683,2.4026,2.5244,144477.0
2010-04-20,2.5219,2.6835,2.5219,2.6761,241164.0
2010-04-21,2.6761,2.8103,2.6761,2.7713,388485.0
2010-04-22,2.7962,2.8583,2.4515,2.6926,610686.0
2010-04-23,2.6794,2.7258,2.6595,2.6926,250965.0
2010-04-24,2.6794,2.7258,2.6595,2.6926,250965.0
2010-04-25,2.6794,2.7258,2.6595,2.6926,250965.0
2010-04-26,2.7042,2.8533,2.6968,2.8509,445689.0
2010-04-27,2.8666,2.8666,2.7755,2.7962,360387.0
2010-04-28,2.7291,2.734,2.5824,2.6761,431361.0
2010-04-29,2.6545,2.6901,2.5874,2.6396,339552.0
2010-04-30,2.6512,2.7506,2.6512,2.734,521316.0
2010-05-01,2.6512,2.7506,2.6512,2.734,521316.0
2010-05-02,2.6512,2.7506,2.6512,2.734,521316.0
2010-05-03,2.7423,2.7548,2.6959,2.7548,73917.0
2010-05-04,2.778,2.8335,2.6346,2.6512,307629.0
2010-05-05,2.6181,2.6346,2.5104,2.5476,470637.0
2010-05-06,2.5062,2.6926,2.5062,2.6089,433944.0
2010-05-07,2.5344,2.6183,2.1183,2.4174,682038.0
2010-05-08,2.5344,2.6183,2.1183,2.4174,682038.0
2010-05-09,2.5344,2.6183,2.1183,2.4174,682038.0
2010-05-10,2.5589,2.7369,2.5386,2.7369,322272.0
2010-05-11,2.7267,2.7606,2.6327,2.7606,206307.0
2010-05-12,2.7623,2.9021,2.6903,2.8903,448641.0
2010-05-13,2.9038,2.9064,2.8394,2.8903,67068.0
2010-05-14,2.8894,2.8894,2.7793,2.8055,229671.0
2010-05-15,2.8894,2.8894,2.7793,2.8055,229671.0
2010-05-16,2.8894,2.8894,2.7793,2.8055,229671.0
2010-05-17,2.7615,2.7615,2.5844,2.614,289602.0
2010-05-18,2.6276,2.6437,2.6115,2.6115,113166.0
2010-05-19,2.603,2.6098,2.4996,2.5674,281826.0
2010-05-20,2.5632,2.5886,2.4827,2.542,429642.0
2010-05-21,2.4971,2.5801,2.4962,2.5801,217305.0
2010-05-22,2.4971,2.5801,2.4962,2.5801,217305.0
2010-05-23,2.4971,2.5801,2.4962,2.5801,217305.0
2010-05-24,2.5844,2.5844,2.4556,2.4869,130221.0
2010-05-25,2.4318,2.4556,2.2988,2.3564,218961.0
2010-05-26,2.3386,2.3903,2.2886,2.2886,257166.0
2010-05-27,2.342,2.5844,2.3302,2.5674,261270.0
2010-05-28,2.6056,2.7115,2.5962,2.7047,214029.0
2010-05-29,2.6056,2.7115,2.5962,2.7047,214029.0
2010-05-30,2.6056,2.7115,2.5962,2.7047,214029.0
2010-05-31,2.6538,2.7115,2.6538,2.6759,20160.0
2010-06-01,2.6488,2.6589,2.4835,2.4946,302715.0
2010-06-02,2.5217,2.575,2.4929,2.5725,162585.0
2010-06-03,2.6081,2.7089,2.6081,2.6911,210375.0
2010-06-04,2.7089,2.7386,2.542,2.5742,152856.0
2010-06-05,2.7089,2.7386,2.542,2.5742,152856.0
2010-06-06,2.7089,2.7386,2.542,2.5742,152856.0
2010-06-07,2.542,2.6081,2.4996,2.5208,69345.0
2010-06-08,2.5844,2.6267,2.5259,2.6191,358992.0
2010-06-09,2.6191,2.6259,2.5267,2.6013,252801.0
2010-06-10,2.5674,2.6267,2.5361,2.5827,307062.0
2010-06-11,2.6183,2.6513,2.6183,2.6496,88128.0
2010-06-12,2.6183,2.6513,2.6183,2.6496,88128.0
2010-06-13,2.6183,2.6513,2.6183,2.6496,88128.0
2010-06-14,2.6937,2.6945,2.6598,2.6801,124155.0
2010-06-15,2.6606,2.6776,2.6335,2.6776,133578.0
2010-06-16,2.6801,2.6801,2.6022,2.631,86994.0
2010-06-17,2.6818,2.847,2.6555,2.8386,303813.0
2010-06-18,2.8614,2.9911,2.8581,2.9572,416925.0
2010-06-19,2.8614,2.9911,2.8581,2.9572,416925.0
2010-06-20,2.8614,2.9911,2.8581,2.9572,416925.0
2010-06-21,2.9708,3.0928,2.9674,3.0546,438048.0
2010-06-22,3.0529,3.0894,3.0309,3.0868,138276.0
2010-06-23,3.0504,3.0877,3.0089,3.047,566136.0
2010-06-24,3.025,3.058,3.0174,3.058,117783.0
2010-06-25,3.0462,3.0589,3.0207,3.0343,155232.0
2010-06-26,3.0462,3.0589,3.0207,3.0343,155232.0
2010-06-27,3.0462,3.0589,3.0207,3.0343,155232.0
2010-06-28,3.0419,3.0673,3.025,3.058,53910.0
2010-06-29,3.0504,3.0504,3.0292,3.0402,169245.0
2010-06-30,3.0673,3.0673,3.025,3.0504,81162.0
2010-07-01,3.0224,3.0504,2.8301,2.8725,253008.0
2010-07-02,2.9402,2.9402,2.8343,2.8343,70434.0
2010-07-03,2.9402,2.9402,2.8343,2.8343,70434.0
2010-07-04,2.9402,2.9402,2.8343,2.8343,70434.0
2010-07-05,2.8555,2.8725,2.7826,2.8674,111663.0
2010-07-06,2.8674,2.9131,2.8657,2.9131,57888.0
2010-07-07,2.9343,3.008,2.9064,3.0021,147069.0
2010-07-08,3.0453,3.0928,3.008,3.0436,206955.0
2010-07-09,3.0928,3.0928,3.0284,3.0496,92997.0
2010-07-10,3.0928,3.0928,3.0284,3.0496,92997.0
2010-07-11,3.0928,3.0928,3.0284,3.0496,92997.0
2010-07-12,3.025,3.0496,3.025,3.0351,54900.0
2010-07-13,3.025,3.0911,3.025,3.0911,227376.0
2010-07-14,3.0911,3.0911,3.0657,3.0682,136620.0
2010-07-15,3.0673,3.2444,3.0673,3.1504,296541.0
2010-07-16,3.1529,3.2105,3.1182,3.1351,296289.0
2010-07-17,3.1529,3.2105,3.1182,3.1351,296289.0
2010-07-18,3.1529,3.2105,3.1182,3.1351,296289.0
2010-07-19,3.186,3.186,3.1614,3.186,91269.0
2010-07-20,3.2046,3.2072,3.1504,3.1606,162558.0
2010-07-21,3.1936,3.2351,3.1775,3.2275,155655.0
2010-07-22,3.3046,3.3741,3.2283,3.2961,337275.0
2010-07-23,3.3004,3.3004,3.2241,3.2241,200934.0
2010-07-24,3.3004,3.3004,3.2241,3.2241,200934.0
2010-07-25,3.3004,3.3004,3.2241,3.2241,200934.0
2010-07-26,3.258,3.258,3.2283,3.2572,124146.0
2010-07-27,3.2953,3.2953,3.2631,3.2834,201105.0
2010-07-28,3.3046,3.3385,3.2961,3.33,81189.0
2010-07-29,3.3876,3.3927,3.347,3.3639,289989.0
2010-07-30,3.3766,3.3766,3.225,3.225,172980.0
2010-07-31,3.3766,3.3766,3.225,3.225,172980.0
2010-08-01,3.3766,3.3766,3.225,3.225,172980.0
2010-08-02,3.2453,3.3554,3.2453,3.3461,173358.0
2010-08-03,3.3461,3.3893,3.3461,3.3868,100611.0
2010-08-04,3.3758,3.3758,3.2622,3.3105,145278.0
2010-08-05,3.3046,3.3173,3.2631,3.2631,68625.0
2010-08-06,3.2622,3.2953,3.2368,3.2707,193329.0
2010-08-07,3.2622,3.2953,3.2368,3.2707,193329.0
2010-08-08,3.2622,3.2953,3.2368,3.2707,193329.0
2010-08-09,3.2927,3.3537,3.2927,3.3453,69120.0
2010-08-10,3.3487,3.3512,3.3063,3.3385,85257.0
2010-08-11,3.3046,3.347,3.3046,3.3173,111726.0
2010-08-12,3.3063,3.3444,3.3063,3.3385,94068.0
2010-08-13,3.347,3.3554,3.2622,3.2707,263637.0
2010-08-14,3.347,3.3554,3.2622,3.2707,263637.0
2010-08-15,3.347,3.3554,3.2622,3.2707,263637.0
2010-08-16,3.2961,3.3343,3.2919,3.3215,55782.0
2010-08-17,3.3046,3.4266,3.3046,3.4063,310896.0
2010-08-18,3.4215,3.4741,3.3385,3.4165,425511.0
2010-08-19,3.4148,3.4148,3.347,3.3936,298296.0
2010-08-20,3.3682,3.3732,3.347,3.3512,165987.0
2010-08-21,3.3682,3.3732,3.347,3.3512,165987.0
2010-08-22,3.3682,3.3732,3.347,3.3512,165987.0
2010-08-23,3.3724,3.3724,3.2961,3.3114,61623.0
2010-08-24,3.3046,3.3046,3.0868,3.1936,287235.0
2010-08-25,3.1928,3.1953,3.108,3.1131,136467.0
2010-08-26,3.108,3.147,2.9657,3.1114,261162.0
2010-08-27,3.0682,3.1767,3.0682,3.1478,161712.0
2010-08-28,3.0682,3.1767,3.0682,3.1478,161712.0
2010-08-29,3.0682,3.1767,3.0682,3.1478,161712.0
2010-08-30,3.1351,3.2105,3.1351,3.2105,42660.0
2010-08-31,3.1767,3.1928,3.1114,3.1928,72963.0
2010-09-01,3.1783,3.3385,3.1783,3.3385,179955.0
2010-09-02,3.3046,3.3258,3.2733,3.2843,89748.0
2010-09-03,3.2368,3.3427,3.2368,3.3046,181620.0
2010-09-04,3.2368,3.3427,3.2368,3.3046,181620.0
2010-09-05,3.2368,3.3427,3.2368,3.3046,181620.0
2010-09-06,3.3682,3.3682,3.2894,3.3046,126126.0
2010-09-07,3.3215,3.3215,3.1411,3.2114,141300.0
2010-09-08,3.2207,3.2919,3.2207,3.2826,117414.0
2010-09-09,3.2961,3.3207,3.2402,3.2707,281592.0
2010-09-10,3.3046,3.3105,3.2326,3.2766,77202.0
2010-09-11,3.3046,3.3105,3.2326,3.2766,77202.0
2010-09-12,3.3046,3.3105,3.2326,3.2766,77202.0
2010-09-13,3.2639,3.3038,3.2639,3.2792,145800.0
2010-09-14,3.2461,3.2953,3.2411,3.2538,145800.0
2010-09-15,3.2343,3.2792,3.2326,3.2665,165573.0
2010-09-16,3.2622,3.2995,3.2622,3.2792,227025.0
2010-09-17,3.2919,3.2919,3.1851,3.1851,173106.0
2010-09-18,3.2919,3.2919,3.1851,3.1851,173106.0
2010-09-19,3.2919,3.2919,3.1851,3.1851,173106.0
2010-09-20,3.2029,3.2877,3.2029,3.2877,272214.0
2010-09-21,3.3021,3.3021,3.2538,3.286,134271.0
2010-09-22,3.286,3.286,3.2368,3.2792,73611.0
2010-09-23,3.23,3.269,3.1944,3.2207,71838.0
2010-09-24,3.2199,3.2453,3.1775,3.2275,104328.0
2010-09-25,3.2199,3.2453,3.1775,3.2275,104328.0
2010-09-26,3.2199,3.2453,3.1775,3.2275,104328.0
2010-09-27,3.2453,3.2792,3.2368,3.2707,109197.0
2010-09-28,3.2495,3.3038,3.2487,3.3038,164457.0
2010-09-29,3.2834,3.3038,3.2834,3.297,77661.0
2010-09-30,3.2894,3.3046,3.2707,3.3046,127593.0
2010-10-01,3.3122,3.3215,3.2877,3.3156,96615.0
2010-10-02,3.3122,3.3215,3.2877,3.3156,96615.0
2010-10-03,3.3122,3.3215,3.2877,3.3156,96615.0
2010-10-04,3.3215,3.3215,3.2834,3.3046,89424.0
2010-10-05,3.3046,3.3207,3.2961,3.3199,127494.0
2010-10-06,3.3199,3.3199,3.2834,3.2961,245151.0
2010-10-07,3.2919,3.3385,3.2894,3.3385,266517.0
2010-10-08,3.3385,3.347,3.3054,3.3343,230733.0
2010-10-09,3.3385,3.347,3.3054,3.3343,230733.0
2010-10-10,3.3385,3.347,3.3054,3.3343,230733.0
2010-10-11,3.3173,3.3554,3.3173,3.3554,52596.0
2010-10-12,3.3385,3.3537,3.3173,3.3376,75348.0
2010-10-13,3.3554,3.3826,3.347,3.3724,314505.0
2010-10-14,3.3851,3.4741,3.347,3.4317,345402.0
2010-10-15,3.4724,3.4724,3.4275,3.4275,148788.0
2010-10-16,3.4724,3.4724,3.4275,3.4275,148788.0
2010-10-17,3.4724,3.4724,3.4275,3.4275,148788.0
2010-10-18,3.4359,3.4656,3.3893,3.4165,160335.0
2010-10-19,3.408,3.491,3.408,3.4808,205209.0
2010-10-20,3.4732,3.4766,3.4529,3.4605,158130.0
2010-10-21,3.4893,3.5156,3.4563,3.491,427356.0
2010-10-22,3.491,3.6266,3.4893,3.5681,814113.0
2010-10-23,3.491,3.6266,3.4893,3.5681,814113.0
2010-10-24,3.491,3.6266,3.4893,3.5681,814113.0
2010-10-25,3.5681,3.6757,3.5681,3.6647,466776.0
2010-10-26,3.669,3.7274,3.652,3.6867,373662.0
2010-10-27,3.7181,3.7181,3.6605,3.6698,309789.0
2010-10-28,3.6783,3.6927,3.6452,3.6723,460017.0
2010-10-29,3.669,3.669,3.6435,3.669,381906.0
2010-10-30,3.669,3.669,3.6435,3.669,381906.0
2010-10-31,3.669,3.669,3.6435,3.669,381906.0
2010-11-01,3.669,3.9316,3.669,3.8528,287712.0
2010-11-02,3.8096,3.9816,3.7791,3.8638,744426.0
2010-11-03,3.8554,3.8977,3.813,3.8198,161856.0
2010-11-04,3.841,3.8808,3.813,3.813,185967.0
2010-11-05,3.813,3.8494,3.6664,3.7656,314640.0
2010-11-06,3.813,3.8494,3.6664,3.7656,314640.0
2010-11-07,3.813,3.8494,3.6664,3.7656,314640.0
2010-11-08,3.7359,3.7537,3.6944,3.7367,612558.0
2010-11-09,3.7537,3.896,3.7478,3.8477,349812.0
2010-11-10,3.8554,4.024,3.8384,3.8969,673434.0
2010-11-11,3.8969,3.9774,3.8571,3.9155,211329.0
2010-11-12,3.8706,3.8943,3.8147,3.8452,228960.0
2010-11-13,3.8706,3.8943,3.8147,3.8452,228960.0
2010-11-14,3.8706,3.8943,3.8147,3.8452,228960.0
2010-11-15,3.8384,3.8444,3.741,3.8147,289494.0
2010-11-16,3.8299,3.8977,3.7537,3.7766,340173.0
2010-11-17,3.763,3.9054,3.7562,3.9054,348615.0
2010-11-18,3.9104,3.9401,3.8554,3.9096,165240.0
2010-11-19,3.9215,3.9384,3.8477,3.8935,159741.0
2010-11-20,3.9215,3.9384,3.8477,3.8935,159741.0
2010-11-21,3.9215,3.9384,3.8477,3.8935,159741.0
2010-11-22,3.8977,3.9232,3.8655,3.9028,324135.0
2010-11-23,3.8969,3.9401,3.863,3.863,281403.0
2010-11-24,3.8664,3.8943,3.8215,3.8384,166482.0
2010-11-25,3.8808,3.9308,3.8469,3.8588,203544.0
2010-11-26,3.846,3.8943,3.8172,3.8232,177363.0
2010-11-27,3.846,3.8943,3.8172,3.8232,177363.0
2010-11-28,3.846,3.8943,3.8172,3.8232,177363.0
2010-11-29,3.8401,3.8723,3.7944,3.8299,182718.0
2010-11-30,3.813,3.8435,3.741,3.8393,280701.0
2010-12-01,3.8503,3.9393,3.8376,3.9393,142254.0
2010-12-02,3.9401,4.2214,3.9359,4.2214,520632.0
2010-12-03,4.2197,4.5248,4.2197,4.5044,507663.0
2010-12-04,4.2197,4.5248,4.2197,4.5044,507663.0
2010-12-05,4.2197,4.5248,4.2197,4.5044,507663.0
2010-12-06,4.4909,4.7764,4.4494,4.6976,517491.0
2010-12-07,4.7315,4.9993,4.6722,4.6976,846864.0
2010-12-08,4.6976,4.9128,4.4909,4.7874,1025406.0
2010-12-09,4.7874,4.8696,4.6197,4.7612,490662.0
2010-12-10,4.7934,4.7934,4.4909,4.5968,433134.0
2010-12-11,4.7934,4.7934,4.4909,4.5968,433134.0
2010-12-12,4.7934,4.7934,4.4909,4.5968,433134.0
2010-12-13,4.5756,4.7112,4.5248,4.673,391590.0
2010-12-14,4.7112,4.7535,4.679,4.6925,184410.0
2010-12-15,4.6917,4.6925,4.618,4.6891,187983.0
2010-12-16,4.6603,4.7027,4.6231,4.6231,172746.0
2010-12-17,4.6569,4.7154,4.518,4.5205,417168.0
2010-12-18,4.6569,4.7154,4.518,4.5205,417168.0
2010-12-19,4.6569,4.7154,4.518,4.5205,417168.0
2010-12-20,4.5163,4.6383,4.5163,4.5968,232551.0
2010-12-21,4.6053,4.7002,4.5968,4.6875,140112.0
2010-12-22,4.6451,4.7408,4.618,4.7383,473310.0
2010-12-23,4.6959,4.7374,4.6434,4.6807,138159.0
2010-12-24,4.6434,4.6536,4.4697,4.5731,128385.0
2010-12-25,4.6434,4.6536,4.4697,4.5731,128385.0
2010-12-26,4.6434,4.6536,4.4697,4.5731,128385.0
2010-12-27,4.5587,4.5714,4.4155,4.4629,190962.0
2010-12-28,4.4485,4.4815,4.2375,4.2545,543033.0
2010-12-29,4.2621,4.3511,4.2451,4.3468,373392.0
2010-12-30,4.3214,4.4544,4.2909,4.4434,235665.0
2010-12-31,4.4561,4.5171,4.4494,4.4909,112365.0
2011-01-01,4.4561,4.5171,4.4494,4.4909,112365.0
2011-01-02,4.4561,4.5171,4.4494,4.4909,112365.0
2011-01-03,4.4993,4.6078,4.4993,4.5781,170820.0
2011-01-04,4.5841,4.7451,4.5756,4.7434,226521.0
2011-01-05,4.7468,4.8781,4.7468,4.8637,668250.0
2011-01-06,4.8679,4.9315,4.6603,4.8501,396594.0
2011-01-07,4.8722,4.8908,4.7561,4.7722,647019.0
2011-01-08,4.8722,4.8908,4.7561,4.7722,647019.0
2011-01-09,4.8722,4.8908,4.7561,4.7722,647019.0
2011-01-10,4.8298,4.8722,4.7239,4.8374,244026.0
2011-01-11,4.8383,5.0416,4.8383,5.0332,838323.0
2011-01-12,5.0416,5.0704,5.0001,5.0374,391977.0
2011-01-13,5.0671,5.0832,5.0018,5.0671,218547.0
2011-01-14,5.0416,5.0747,5.0162,5.023,402192.0
2011-01-15,5.0416,5.0747,5.0162,5.023,402192.0
2011-01-16,5.0416,5.0747,5.0162,5.023,402192.0
2011-01-17,5.0662,5.0925,4.9696,5.0035,198351.0
2011-01-18,5.0162,5.1442,5.0162,5.1442,253449.0
2011-01-19,5.1433,5.1509,5.1018,5.134,155808.0
2011-01-20,5.073,5.101,4.7569,4.829,664893.0
2011-01-21,4.7713,4.9137,4.7646,4.8773,220122.0
2011-01-22,4.7713,4.9137,4.7646,4.8773,220122.0
2011-01-23,4.7713,4.9137,4.7646,4.8773,220122.0
2011-01-24,4.8891,4.9137,4.7544,4.851,243639.0
2011-01-25,4.8307,4.9061,4.7637,4.8493,171612.0
2011-01-26,4.812,4.8798,4.7959,4.8595,224406.0
2011-01-27,4.9137,5.1264,4.9137,4.923,539379.0
2011-01-28,4.9908,4.9908,4.8569,4.8756,172908.0
2011-01-29,4.9908,4.9908,4.8569,4.8756,172908.0
2011-01-30,4.9908,4.9908,4.8569,4.8756,172908.0
2011-01-31,4.851,4.8934,4.7493,4.8518,184491.0
2011-02-01,4.8467,4.9815,4.8467,4.9069,166887.0
2011-02-02,4.9145,4.9145,4.7908,4.8273,219915.0
2011-02-03,4.8298,4.8298,4.7027,4.7366,264564.0
2011-02-04,4.7866,4.7874,4.6205,4.6603,217440.0
2011-02-05,4.7866,4.7874,4.6205,4.6603,217440.0
2011-02-06,4.7866,4.7874,4.6205,4.6603,217440.0
2011-02-07,4.6222,4.7196,4.6205,4.7196,360747.0
2011-02-08,4.7451,4.9289,4.7307,4.9289,477288.0
2011-02-09,4.9357,5.0671,4.9357,5.0289,268155.0
2011-02-10,5.0289,5.0289,4.8298,4.8815,217359.0
2011-02-11,4.8315,4.923,4.7917,4.8578,139635.0
2011-02-12,4.8315,4.923,4.7917,4.8578,139635.0
2011-02-13,4.8315,4.923,4.7917,4.8578,139635.0
2011-02-14,4.862,4.9145,4.8298,4.8976,87534.0
2011-02-15,4.8688,4.9018,4.8383,4.8612,98118.0
2011-02-16,4.8679,4.8679,4.7663,4.7832,190458.0
2011-02-17,4.8298,4.8374,4.7502,4.8018,136242.0
2011-02-18,4.8018,4.8213,4.7468,4.7874,134694.0
2011-02-19,4.8018,4.8213,4.7468,4.7874,134694.0
2011-02-20,4.8018,4.8213,4.7468,4.7874,134694.0
2011-02-21,4.7332,4.7451,4.6442,4.6519,125100.0
2011-02-22,4.6188,4.6188,4.3638,4.5104,441693.0
2011-02-23,4.4705,4.5078,4.3994,4.4078,294984.0
2011-02-24,4.3934,4.3934,4.2833,4.3324,235737.0
2011-02-25,4.3383,4.507,4.3383,4.4748,266733.0
2011-02-26,4.3383,4.507,4.3383,4.4748,266733.0
2011-02-27,4.3383,4.507,4.3383,4.4748,266733.0
2011-02-28,4.4688,4.4909,4.3858,4.4434,179118.0
2011-03-01,4.4604,4.6095,4.4604,4.5536,330615.0
2011-03-02,4.5154,4.5154,4.4019,4.4858,140553.0
2011-03-03,4.4909,4.5163,4.4358,4.4671,121266.0
2011-03-04,4.4739,4.4909,4.3909,4.3909,210024.0
2011-03-05,4.4739,4.4909,4.3909,4.3909,210024.0
2011-03-06,4.4739,4.4909,4.3909,4.3909,210024.0
2011-03-07,4.3638,4.3799,4.3172,4.3553,153225.0
2011-03-08,4.3426,4.3722,4.1562,4.2833,350343.0
2011-03-09,4.3045,4.3214,4.1604,4.229,276741.0
2011-03-10,4.1646,4.1791,4.0672,4.1265,340290.0
2011-03-11,4.0672,4.2231,4.0096,4.185,417240.0
2011-03-12,4.0672,4.2231,4.0096,4.185,417240.0
2011-03-13,4.0672,4.2231,4.0096,4.185,417240.0
2011-03-14,4.0935,4.1774,3.9503,3.9833,522387.0
2011-03-15,3.8977,3.8977,3.6071,3.8969,956835.0
