,POM FP Equity,POM FP Equity,POM FP Equity,POM FP Equity,POM FP Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,1.5907,1.5907,1.5675,1.5874,20070.0
2010-01-02,1.5907,1.5907,1.5675,1.5874,20070.0
2010-01-03,1.5907,1.5907,1.5675,1.5874,20070.0
2010-01-04,1.5915,1.6487,1.5866,1.6355,236349.0
2010-01-05,1.6156,1.6413,1.5949,1.5949,158112.0
2010-01-06,1.6346,1.6346,1.5957,1.6297,159435.0
2010-01-07,1.6321,1.6338,1.6089,1.6239,82683.0
2010-01-08,1.628,1.7274,1.628,1.7224,404082.0
2010-01-09,1.628,1.7274,1.628,1.7224,404082.0
2010-01-10,1.628,1.7274,1.628,1.7224,404082.0
2010-01-11,1.7382,1.8061,1.7233,1.7896,491355.0
2010-01-12,1.8061,1.8227,1.773,1.773,285966.0
2010-01-13,1.8003,1.8003,1.7481,1.7722,77517.0
2010-01-14,1.7481,1.8434,1.7407,1.8409,150795.0
2010-01-15,1.8227,1.8476,1.8144,1.8393,283815.0
2010-01-16,1.8227,1.8476,1.8144,1.8393,283815.0
2010-01-17,1.8227,1.8476,1.8144,1.8393,283815.0
2010-01-18,1.8186,1.8517,1.8111,1.8442,121725.0
2010-01-19,1.8442,1.8442,1.8103,1.8393,73548.0
2010-01-20,1.8426,1.855,1.7407,1.744,149922.0
2010-01-21,1.7896,1.8227,1.7755,1.7771,97191.0
2010-01-22,1.7813,1.8177,1.7498,1.7978,147987.0
2010-01-23,1.7813,1.8177,1.7498,1.7978,147987.0
2010-01-24,1.7813,1.8177,1.7498,1.7978,147987.0
2010-01-25,1.7896,1.8078,1.7548,1.7962,49743.0
2010-01-26,1.7962,1.8094,1.7498,1.8094,229716.0
2010-01-27,1.807,1.8476,1.7896,1.8476,76338.0
2010-01-28,1.9055,1.947,1.889,1.947,442476.0
2010-01-29,1.9586,2.0108,1.9486,1.9652,789174.0
2010-01-30,1.9586,2.0108,1.9486,1.9652,789174.0
2010-01-31,1.9586,2.0108,1.9486,1.9652,789174.0
2010-02-01,1.947,2.0124,1.947,2.005,211320.0
2010-02-02,2.0298,2.0878,1.9967,2.0547,263484.0
2010-02-03,2.0961,2.1127,2.0638,2.1127,311364.0
2010-02-04,2.1127,2.2303,2.1127,2.1732,477747.0
2010-02-05,2.1533,2.1541,2.0712,2.1326,663228.0
2010-02-06,2.1533,2.1541,2.0712,2.1326,663228.0
2010-02-07,2.1533,2.1541,2.0712,2.1326,663228.0
2010-02-08,2.1384,2.1433,2.0381,2.0688,210906.0
2010-02-09,2.0464,2.063,2.0133,2.0215,131994.0
2010-02-10,1.9967,2.0712,1.9967,2.0298,133614.0
