,FRVIA FP Equity,FRVIA FP Equity,FRVIA FP Equity,FRVIA FP Equity,FRVIA FP Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,11.8301,11.9072,11.8301,11.8686,57472.0
2010-01-02,11.8301,11.9072,11.8301,11.8686,57472.0
2010-01-03,11.8301,11.9072,11.8301,11.8686,57472.0
2010-01-04,11.9149,12.4312,11.8686,12.3927,408484.0
2010-01-05,12.5237,12.778,12.4235,12.7357,410084.0
2010-01-06,12.8705,13.2405,12.8705,13.1827,515643.0
2010-01-07,13.225,13.4948,13.1094,13.4485,377425.0
2010-01-08,13.5564,13.8724,13.4986,13.6412,609309.0
2010-01-09,13.5564,13.8724,13.4986,13.6412,609309.0
2010-01-10,13.5564,13.8724,13.4986,13.6412,609309.0
2010-01-11,13.8724,14.0266,13.2597,13.5487,547418.0
2010-01-12,13.6412,13.6412,13.0324,13.0825,307635.0
2010-01-13,12.832,13.0208,12.6701,12.8667,449606.0
2010-01-14,12.9245,13.3175,12.9245,13.3137,329507.0
2010-01-15,13.3946,13.3946,12.8859,12.963,270487.0
2010-01-16,13.3946,13.3946,12.8859,12.963,270487.0
2010-01-17,13.3946,13.3946,12.8859,12.963,270487.0
2010-01-18,13.0401,13.1326,12.7703,12.9091,275306.0
2010-01-19,12.9322,13.1557,12.6933,13.1017,254042.0
2010-01-20,13.0863,13.2559,12.6239,12.7164,357140.0
2010-01-21,12.7935,12.936,11.753,11.8185,820870.0
2010-01-22,11.9611,12.1538,11.4871,12.0382,841111.0
2010-01-23,11.9611,12.1538,11.4871,12.0382,841111.0
2010-01-24,11.9611,12.1538,11.4871,12.0382,841111.0
2010-01-25,11.938,12.0806,11.5681,11.8609,421910.0
2010-01-26,11.7916,12.0228,11.6567,11.938,309512.0
2010-01-27,11.8917,12.0035,11.6914,11.7376,205143.0
2010-01-28,11.9496,12.0613,11.5257,11.5604,417272.0
2010-01-29,11.5758,11.9457,11.5642,11.7993,336781.0
2010-01-30,11.5758,11.9457,11.5642,11.7993,336781.0
2010-01-31,11.5758,11.9457,11.5642,11.7993,336781.0
2010-02-01,11.753,12.0767,11.622,12.0151,287058.0
2010-02-02,12.1769,12.1769,11.8917,12.0382,333517.0
2010-02-03,12.1152,12.1846,11.8686,12.042,323461.0
2010-02-04,12.3272,12.4967,11.6143,11.6605,544677.0
2010-02-05,11.4833,11.5372,11.0979,11.2752,738405.0
2010-02-06,11.4833,11.5372,11.0979,11.2752,738405.0
2010-02-07,11.4833,11.5372,11.0979,11.2752,738405.0
2010-02-08,11.4679,11.5604,10.7319,11.0055,596244.0
2010-02-09,10.6394,10.7164,10.0652,10.4351,1002284.0
2010-02-10,10.6047,10.6972,10.0575,10.1654,703926.0
2010-02-11,10.2116,10.3195,9.9265,10.1153,521001.0
2010-02-12,10.2116,10.3195,9.4024,9.5257,767486.0
2010-02-13,10.2116,10.3195,9.4024,9.5257,767486.0
2010-02-14,10.2116,10.3195,9.4024,9.5257,767486.0
2010-02-15,9.441,9.4795,9.1173,9.2714,1010414.0
2010-02-16,9.2791,10.0228,9.2329,10.0228,896449.0
2010-02-17,10.2502,10.4043,10.1269,10.1693,725945.0
2010-02-18,10.1808,10.3041,9.834,10.0652,383403.0
2010-02-19,9.9226,10.1269,9.834,10.019,263815.0
2010-02-20,9.9226,10.1269,9.834,10.019,263815.0
2010-02-21,9.9226,10.1269,9.834,10.019,263815.0
2010-02-22,10.096,10.1962,9.7878,10.0113,452421.0
2010-02-23,10.123,10.2425,9.649,9.6722,405147.0
2010-02-24,9.6567,9.8533,9.4988,9.807,475080.0
2010-02-25,9.7646,10.096,9.6722,9.7415,657096.0
2010-02-26,9.861,9.9881,9.6799,9.8533,422453.0
2010-02-27,9.861,9.9881,9.6799,9.8533,422453.0
2010-02-28,9.861,9.9881,9.6799,9.8533,422453.0
2010-03-01,9.9226,9.9804,9.676,9.8533,283196.0
2010-03-02,9.8648,10.7704,9.8648,10.701,1096709.0
2010-03-03,10.728,10.9399,10.5623,10.8398,848850.0
2010-03-04,10.7357,10.8821,10.6201,10.6895,589861.0
2010-03-05,10.782,11.3869,10.782,11.1827,804615.0
2010-03-06,10.782,11.3869,10.782,11.1827,804615.0
2010-03-07,10.782,11.3869,10.782,11.1827,804615.0
2010-03-08,11.4062,11.4717,11.0286,11.2598,604071.0
2010-03-09,11.2174,11.3291,10.7164,10.9669,697165.0
2010-03-10,10.782,11.1442,10.4814,11.1056,1548505.0
2010-03-11,11.017,11.1365,10.8321,10.9862,489568.0
2010-03-12,10.9977,11.0902,10.8937,10.9592,282133.0
2010-03-13,10.9977,11.0902,10.8937,10.9592,282133.0
2010-03-14,10.9977,11.0902,10.8937,10.9592,282133.0
2010-03-15,10.9592,11.017,10.7974,10.7974,214871.0
2010-03-16,10.8321,11.0556,10.8321,10.9053,218307.0
2010-03-17,11.0209,11.2521,10.8899,11.1827,461900.0
2010-03-18,11.1943,11.1943,10.9669,11.0594,392268.0
2010-03-19,11.1056,11.1904,10.7897,10.8667,541583.0
2010-03-20,11.1056,11.1904,10.7897,10.8667,541583.0
2010-03-21,11.1056,11.1904,10.7897,10.8667,541583.0
2010-03-22,10.8321,10.9515,10.6355,10.9515,441962.0
2010-03-23,10.9207,11.3214,10.8821,11.2251,503255.0
2010-03-24,11.3291,11.3908,11.1403,11.2906,594563.0
2010-03-25,11.2983,11.753,11.0748,11.7376,970502.0
2010-03-26,11.6798,11.8648,11.4987,11.5604,653271.0
2010-03-27,11.6798,11.8648,11.4987,11.5604,653271.0
2010-03-28,11.6798,11.8648,11.4987,11.5604,653271.0
2010-03-29,11.6374,11.9226,11.6336,11.7993,489892.0
2010-03-30,11.8995,11.9919,11.437,11.464,469489.0
2010-03-31,11.464,11.6374,11.3446,11.4679,465247.0
2010-04-01,11.5526,11.7492,11.5141,11.5758,305838.0
2010-04-02,11.5526,11.7492,11.5141,11.5758,305838.0
2010-04-03,11.5526,11.7492,11.5141,11.5758,305838.0
2010-04-04,11.5526,11.7492,11.5141,11.5758,305838.0
2010-04-05,11.5526,11.7492,11.5141,11.5758,305838.0
2010-04-06,11.8378,12.0228,11.6528,12.0228,694291.0
2010-04-07,12.0305,12.0998,11.9072,11.9842,301734.0
2010-04-08,11.9457,11.9457,11.5912,11.8262,265021.0
2010-04-09,11.9033,12.2617,11.8917,12.1345,428233.0
2010-04-10,11.9033,12.2617,11.8917,12.1345,428233.0
