,TRI FP Equity,TRI FP Equity,TRI FP Equity,TRI FP Equity,TRI FP Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,10.043,10.2537,10.043,10.2537,25885.0
2010-01-02,10.043,10.2537,10.043,10.2537,25885.0
2010-01-03,10.043,10.2537,10.043,10.2537,25885.0
2010-01-04,10.3429,11.1737,10.3429,11.0075,70587.0
2010-01-05,11.1859,12.1383,11.1048,11.6722,187494.0
2010-01-06,11.7127,11.8951,11.3318,11.5952,67152.0
2010-01-07,11.6398,11.8343,10.9508,11.4696,93934.0
2010-01-08,11.81,11.8262,11.5101,11.8059,62970.0
2010-01-09,11.81,11.8262,11.5101,11.8059,62970.0
2010-01-10,11.81,11.8262,11.5101,11.8059,62970.0
2010-01-11,11.9883,12.4422,11.9559,12.4422,132574.0
2010-01-12,12.4747,12.4747,12.0775,12.1585,41621.0
2010-01-13,12.1585,12.4828,11.9964,12.3571,96024.0
2010-01-14,12.4828,12.4828,12.0451,12.3206,49932.0
2010-01-15,12.191,12.3125,11.8748,12.1504,47823.0
2010-01-16,12.191,12.3125,11.8748,12.1504,47823.0
2010-01-17,12.191,12.3125,11.8748,12.1504,47823.0
2010-01-18,11.9154,12.1585,11.8343,12.0126,41587.0
2010-01-19,11.9559,12.4341,11.6236,12.4098,57602.0
2010-01-20,12.4017,12.5881,12.1585,12.3855,56772.0
2010-01-21,12.4179,12.4179,11.9073,12.191,32728.0
2010-01-22,12.1585,12.3531,11.9154,12.2355,45291.0
2010-01-23,12.1585,12.3531,11.9154,12.2355,45291.0
2010-01-24,12.1585,12.3531,11.9154,12.2355,45291.0
2010-01-25,12.0126,12.1504,11.8829,12.1383,16539.0
2010-01-26,11.9883,12.1585,11.7533,12.0491,35410.0
2010-01-27,12.0937,12.5638,11.7654,12.4422,42428.0
2010-01-28,12.4422,12.6043,12.2436,12.503,40665.0
2010-01-29,12.5111,12.734,12.1747,12.4868,47538.0
2010-01-30,12.5111,12.734,12.1747,12.4868,47538.0
2010-01-31,12.5111,12.734,12.1747,12.4868,47538.0
2010-02-01,12.4747,12.5557,12.191,12.4909,29643.0
2010-02-02,12.5233,12.6408,12.3288,12.6408,13179.0
2010-02-03,12.7259,12.8637,12.4544,12.499,16063.0
2010-02-04,12.5233,12.653,12.2234,12.4747,44137.0
2010-02-05,12.2396,12.2558,11.5911,12.1261,37672.0
2010-02-06,12.2396,12.2558,11.5911,12.1261,37672.0
2010-02-07,12.2396,12.2558,11.5911,12.1261,37672.0
2010-02-08,11.9924,12.1504,11.5668,11.7938,37708.0
2010-02-09,11.6398,11.7208,11.2507,11.4574,34960.0
2010-02-10,11.7168,11.9883,11.6479,11.8951,21992.0
2010-02-11,12.0694,12.1423,11.5547,11.7614,17918.0
2010-02-12,11.6114,11.814,11.3561,11.5466,16251.0
2010-02-13,11.6114,11.814,11.3561,11.5466,16251.0
2010-02-14,11.6114,11.814,11.3561,11.5466,16251.0
2010-02-15,11.3966,11.5101,11.1048,11.3196,17249.0
2010-02-16,11.117,11.425,11.1048,11.2629,11120.0
2010-02-17,11.275,11.502,11.275,11.4736,24441.0
2010-02-18,11.4858,11.6073,11.4128,11.6073,6436.0
2010-02-19,11.5911,11.656,11.3399,11.6276,18661.0
2010-02-20,11.5911,11.656,11.3399,11.6276,18661.0
2010-02-21,11.5911,11.656,11.3399,11.6276,18661.0
2010-02-22,11.5911,11.9843,11.5911,11.9843,9840.0
2010-02-23,11.9843,12.5598,11.9599,12.4747,43598.0
2010-02-24,12.3288,12.4584,12.0045,12.2396,15588.0
2010-02-25,12.1018,12.272,11.8505,12.0086,13444.0
2010-02-26,12.0086,12.3693,11.8262,12.3125,14137.0
2010-02-27,12.0086,12.3693,11.8262,12.3125,14137.0
2010-02-28,12.0086,12.3693,11.8262,12.3125,14137.0
2010-03-01,12.1829,12.5233,12.1666,12.5233,8212.0
2010-03-02,12.6449,12.653,12.3004,12.5638,24747.0
2010-03-03,12.5719,12.807,12.5233,12.807,34238.0
2010-03-04,12.8394,14.0634,12.7746,13.2893,107340.0
2010-03-05,13.2285,13.3258,13.0664,13.0907,22382.0
2010-03-06,13.2285,13.3258,13.0664,13.0907,22382.0
2010-03-07,13.2285,13.3258,13.0664,13.0907,22382.0
2010-03-08,13.0988,13.2042,12.7665,12.8313,39719.0
2010-03-09,12.7827,12.9205,12.4422,12.6449,21122.0
2010-03-10,12.6773,12.9286,12.6206,12.6206,20216.0
2010-03-11,12.8799,13.0907,12.7584,12.9043,20658.0
2010-03-12,12.9691,13.0664,12.807,12.961,8914.0
