Ticker,Currency
004170 KS Equity,KRW
1801 JP Equity,JPY
1928 HK Equity,HKD
2439 TT Equity,TWD
AAL LN Equity,GBp
AC PM Equity,PHP
ACS SM Equity,EUR
ADRO IJ Equity,IDR
ADVANC TB Equity,THB
AER US Equity,USD
ALPEKA MM Equity,MXN
APL PA Equity,PKR
BAJAJCON IN Equity,INR
BBAS3 BZ Equity,BRL
BETSB SS Equity,SEK
BMA AR Equity,ARS
CAB MK Equity,MYR
CCOLA TI Equity,TRY
CIM AU Equity,AUD
CIX CN Equity,CAD
DOKA SW Equity,CHF
ECOPETL CB Equity,COP
GJF NO Equity,NOK
KTY PW Equity,PLN
NOVOB DC Equity,DKK
NTB BH Equity,BMD
OTP HB Equity,HUF
SALMOCAM CI Equity,CLP
TCB VN Equity,VND
