Country,Currency
KS,KRW
JP,JPY
HK,HKD
TT,TWD
LN,GBp
PM,PHP
SM,EUR
IJ,IDR
TB,THB
US,USD
MM,MXN
PA,PKR
IN,INR
BZ,BRL
SS,SEK
AR,ARS
MK,MYR
TI,TRY
AU,AUD
CN,CAD
SW,CHF
CB,COP
NO,NOK
PW,PLN
DC,DKK
BH,BMD
HB,HUF
CI,CLP
VN,VND
IM,EUR
LX,EUR
LI,GBp
NA,EUR
AV,EUR
BB,EUR
FP,EUR
GR,EUR
FH,EUR
