,OTP HB Equity,OTP HB Equity,OTP HB Equity,OTP HB Equity,OTP HB Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,4132.4,4143.7,4118.8,4121.8,349672.0
2010-01-02,4132.4,4143.7,4118.8,4121.8,349672.0
2010-01-03,4132.4,4143.7,4118.8,4121.8,349672.0
2010-01-04,4109.7,4158.1,4099.9,4149.0,808972.0
2010-01-05,4170.9,4266.8,4163.3,4260.8,2964057.0
2010-01-06,4242.7,4290.3,4195.1,4285.7,1768045.0
2010-01-07,4263.1,4263.1,4210.2,4243.4,1113409.0
2010-01-08,4268.4,4354.5,4253.2,4334.1,3624508.0
2010-01-09,4268.4,4354.5,4253.2,4334.1,3624508.0
2010-01-10,4268.4,4354.5,4253.2,4334.1,3624508.0
2010-01-11,4377.9,4519.2,4366.6,4498.8,3560481.0
2010-01-12,4515.4,4515.4,4421.0,4483.7,2447601.0
2010-01-13,4397.5,4637.0,4396.8,4570.5,3925919.0
2010-01-14,4616.6,4711.8,4585.7,4683.9,3914692.0
2010-01-15,4676.3,4732.2,4557.7,4578.1,5129231.0
2010-01-16,4676.3,4732.2,4557.7,4578.1,5129231.0
2010-01-17,4676.3,4732.2,4557.7,4578.1,5129231.0
2010-01-18,4593.2,4641.6,4593.2,4631.0,628742.0
2010-01-19,4631.0,4653.6,4541.1,4638.5,1584780.0
2010-01-20,4608.3,4680.1,4587.2,4603.8,2008201.0
2010-01-21,4631.0,4653.6,4476.1,4487.4,2939184.0
2010-01-22,4457.2,4478.4,4345.4,4400.6,3660691.0
2010-01-23,4457.2,4478.4,4345.4,4400.6,3660691.0
2010-01-24,4457.2,4478.4,4345.4,4400.6,3660691.0
2010-01-25,4409.6,4498.0,4400.6,4468.6,1709187.0
2010-01-26,4381.7,4425.5,4309.9,4411.9,2345365.0
2010-01-27,4380.9,4401.3,4319.7,4343.1,1078532.0
2010-01-28,4456.5,4457.2,4313.7,4313.7,1756328.0
2010-01-29,4313.7,4417.9,4254.0,4417.9,2214914.0
2010-01-30,4313.7,4417.9,4254.0,4417.9,2214914.0
2010-01-31,4313.7,4417.9,4254.0,4417.9,2214914.0
2010-02-01,4359.0,4417.9,4334.1,4415.7,1248100.0
2010-02-02,4431.5,4455.0,4367.3,4408.1,1341202.0
2010-02-03,4433.0,4448.9,4344.7,4353.0,1462005.0
2010-02-04,4332.6,4332.6,4079.5,4079.5,3824812.0
2010-02-05,3968.4,4003.9,3864.2,3905.7,6893324.0
2010-02-06,3968.4,4003.9,3864.2,3905.7,6893324.0
2010-02-07,3968.4,4003.9,3864.2,3905.7,6893324.0
2010-02-08,3950.3,3980.5,3836.2,3875.5,4132999.0
2010-02-09,3929.2,4010.0,3915.6,3966.2,2830400.0
2010-02-10,4022.8,4067.4,3966.2,3966.2,2673513.0
2010-02-11,4034.2,4038.7,3905.7,3981.3,1909464.0
